nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
BEL,"FW,MF",25,1991,33.1,,,,,,,,,,,,,,,,
ENG,DF,30,1985,36.6,,,,,,,,,,,,,,,,
ENG,DF,35,1980,5.5,,,,,,,,,,,,,,,,
BRA,"FW,MF",20,1996,0.8,,,,,,,,,,,,,,,,
FRA,DF,21,1994,2.8,,,,,,,,,,,,,,,,
ESP,"DF,MF",25,1990,29.9,,,,,,,,,,,,,,,,
BEL,FW,22,1993,2.8,,,,,,,,,,,,,,,,
FRA,MF,25,1991,34.9,,,,,,,,,,,,,,,,
NED,"DF,MF",21,1995,1.1,,,,,,,,,,,,,,,,
ENG,"DF,MF",21,1994,1.9,,,,,,,,,,,,,,,,
SRB,MF,27,1988,29.9,,,,,,,,,,,,,,,,
NGA,"DF,MF",19,1996,0.3,,,,,,,,,,,,,,,,
BRA,"FW,MF",24,1991,5.1,,,,,,,,,,,,,,,,
ESP,"FW,MF",29,1987,23.8,,,,,,,,,,,,,,,,
ENG,MF,20,1996,0.4,,,,,,,,,,,,,,,,
BEL,GK,24,1992,36.0,,,,,,,,,,,,,,,,
NGA,"DF,FW",25,1990,27.6,,,,,,,,,,,,,,,,
BRA,"FW,MF",27,1988,17.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",25,1991,28.0,,,,,,,,,,,,,,,,
MLI,"FW,MF",28,1988,1.6,,,,,,,,,,,,,,,,
BEL,FW,25,1990,34.8,,,,,,,,,,,,,,,,
ENG,"FW,MF",23,1993,4.6,,,,,,,,,,,,,,,,
IRL,DF,35,1981,22.4,,,,,,,,,,,,,,,,
ENG,FW,28,1987,1.8,,,,,,,,,,,,,,,,
SCO,MF,28,1987,22.2,,,,,,,,,,,,,,,,
ENG,"DF,MF",27,1989,21.9,,,,,,,,,,,,,,,,
ENG,MF,30,1986,34.3,,,,,,,,,,,,,,,,
GHA,"DF,FW",23,1992,11.1,,,,,,,,,,,,,,,,
WAL,MF,29,1987,12.9,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1989,38.0,,,,,,,,,,,,,,,,
BEL,FW,21,1995,0.1,,,,,,,,,,,,,,,,
ENG,MF,24,1991,0.6,,,,,,,,,,,,,,,,
KOR,"FW,MF",28,1988,5.2,,,,,,,,,,,,,,,,
FRA,FW,29,1987,1.5,,,,,,,,,,,,,,,,
SRB,MF,25,1991,13.6,,,,,,,,,,,,,,,,
FRA,DF,26,1990,7.6,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1990,23.6,,,,,,,,,,,,,,,,
FRA,MF,32,1984,3.0,,,,,,,,,,,,,,,,
AUS,MF,31,1984,1.0,,,,,,,,,,,,,,,,
SEN,DF,26,1990,3.0,,,,,,,,,,,,,,,,
NED,DF,25,1990,7.9,,,,,,,,,,,,,,,,
ENG,DF,29,1987,19.4,,,,,,,,,,,,,,,,
FRA,GK,31,1985,9.0,,,,,,,,,,,,,,,,
SLE,"FW,MF",20,1995,0.3,,,,,,,,,,,,,,,,
WAL,GK,29,1987,29.0,,,,,,,,,,,,,,,,
CIV,"FW,MF",23,1992,33.5,,,,,,,,,,,,,,,,
COD,"FW,MF",27,1989,0.3,,,,,,,,,,,,,,,,
FRA,MF,30,1986,23.6,,,,,,,,,,,,,,,,
ENG,DF,23,1992,2.1,,,,,,,,,,,,,,,,
ENG,"FW,MF",29,1987,5.7,,,,,,,,,,,,,,,,
NGA,"FW,MF",18,1997,3.2,,,,,,,,,,,,,,,,
CIV,FW,32,1983,0.8,,,,,,,,,,,,,,,,
WAL,DF,31,1984,35.1,,,,,,,,,,,,,,,,
CRC,"DF,MF",26,1990,5.3,,,,,,,,,,,,,,,,
ENG,"FW,MF",19,1997,3.9,,,,,,,,,,,,,,,,
ECU,"FW,MF",26,1989,8.0,,,,,,,,,,,,,,,,
ENG,MF,35,1981,23.4,,,,,,,,,,,,,,,,
ESP,"FW,MF",22,1994,5.1,,,,,,,,,,,,,,,,
SEN,MF,26,1989,29.8,,,,,,,,,,,,,,,,
IRL,MF,25,1990,6.8,,,,,,,,,,,,,,,,
ESP,GK,26,1990,19.3,,,,,,,,,,,,,,,,
ENG,"DF,FW",19,1997,0.1,,,,,,,,,,,,,,,,
BEL,"FW,MF",28,1987,23.0,,,,,,,,,,,,,,,,
ENG,DF,31,1984,31.3,,,,,,,,,,,,,,,,
NED,GK,33,1982,18.7,,,,,,,,,,,,,,,,
ENG,DF,19,1996,15.2,,,,,,,,,,,,,,,,
ENG,DF,21,1994,2.0,,,,,,,,,,,,,,,,
FRA,MF,26,1989,11.8,,,,,,,,,,,,,,,,
ENG,"DF,MF",33,1982,25.0,,,,,,,,,,,,,,,,
ARG,DF,25,1991,17.1,,,,,,,,,,,,,,,,
BEL,FW,23,1993,36.3,,,,,,,,,,,,,,,,
ENG,MF,22,1993,32.2,,,,,,,,,,,,,,,,
IRL,"DF,MF",27,1988,25.7,,,,,,,,,,,,,,,,
ENG,MF,26,1989,4.5,,,,,,,,,,,,,,,,
ENG,MF,18,1998,17.2,,,,,,,,,,,,,,,,
COD,"FW,MF",27,1989,11.4,,,,,,,,,,,,,,,,
URU,FW,25,1990,15.8,,,,,,,,,,,,,,,,
NOR,FW,26,1990,13.0,,,,,,,,,,,,,,,,
EGY,"DF,MF",28,1987,28.0,,,,,,,,,,,,,,,,
SEN,"DF,MF",26,1990,14.1,,,,,,,,,,,,,,,,
ITA,DF,28,1988,14.8,,,,,,,,,,,,,,,,
SCO,"DF,MF",22,1994,30.4,,,,,,,,,,,,,,,,
SLE,DF,31,1985,23.7,,,,,,,,,,,,,,,,
SCO,GK,31,1985,16.0,,,,,,,,,,,,,,,,
IRL,MF,27,1989,10.7,,,,,,,,,,,,,,,,
COD,FW,30,1985,8.5,,,,,,,,,,,,,,,,
SUI,GK,31,1984,22.0,,,,,,,,,,,,,,,,
BRA,MF,29,1986,6.4,,,,,,,,,,,,,,,,
ENG,DF,23,1993,25.6,,,,,,,,,,,,,,,,
ENG,MF,26,1989,18.6,,,,,,,,,,,,,,,,
ENG,"FW,MF",19,1996,2.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",17,1999,3.6,,,,,,,,,,,,,,,,
POL,"FW,MF",28,1988,12.7,,,,,,,,,,,,,,,,
SRB,"FW,MF",22,1994,11.2,,,,,,,,,,,,,,,,
NOR,"DF,MF",24,1992,7.1,,,,,,,,,,,,,,,,
ENG,DF,32,1983,19.1,,,,,,,,,,,,,,,,
NOR,"DF,MF",24,1991,6.8,,,,,,,,,,,,,,,,
SEN,"FW,MF",26,1990,12.2,,,,,,,,,,,,,,,,
SCO,"FW,MF",28,1987,19.0,,,,,,,,,,,,,,,,
ENG,MF,25,1991,10.3,,,,,,,,,,,,,,,,
ENG,MF,25,1990,35.4,,,,,,,,,,,,,,,,
SCO,"FW,MF",33,1983,3.1,,,,,,,,,,,,,,,,
ENG,MF,29,1986,22.5,,,,,,,,,,,,,,,,
IRL,"FW,MF",23,1993,3.1,,,,,,,,,,,,,,,,
NGA,"FW,MF",23,1992,8.5,,,,,,,,,,,,,,,,
WAL,MF,27,1988,16.1,,,,,,,,,,,,,,,,
ENG,"DF,MF",19,1996,7.8,,,,,,,,,,,,,,,,
AUT,"DF,MF",30,1986,34.5,,,,,,,,,,,,,,,,
GHA,"DF,MF",21,1994,18.6,,,,,,,,,,,,,,,,
ENG,MF,26,1990,27.4,,,,,,,,,,,,,,,,
ENG,DF,29,1987,33.2,,,,,,,,,,,,,,,,
JAM,"FW,MF",20,1996,11.7,,,,,,,,,,,,,,,,
ALG,FW,28,1988,14.2,,,,,,,,,,,,,,,,
ENG,FW,29,1987,31.1,,,,,,,,,,,,,,,,
GHA,"DF,FW",23,1992,1.6,,,,,,,,,,,,,,,,
DEN,GK,29,1986,29.6,,,,,,,,,,,,,,,,
ARG,FW,30,1986,5.0,,,,,,,,,,,,,,,,
ESP,DF,27,1989,3.6,,,,,,,,,,,,,,,,
ENG,"DF,FW",26,1989,26.8,,,,,,,,,,,,,,,,
POL,DF,36,1980,1.0,,,,,,,,,,,,,,,,
ENG,MF,25,1991,0.0,,,,,,,,,,,,,,,,
SEN,MF,24,1992,3.0,,,,,,,,,,,,,,,,
ALG,"FW,MF",25,1991,31.4,,,,,,,,,,,,,,,,
GER,DF,31,1984,32.5,,,,,,,,,,,,,,,,
GER,GK,27,1989,8.4,,,,,,,,,,,,,,,,
JPN,"FW,MF",30,1986,17.4,,,,,,,,,,,,,,,,
JAM,DF,32,1984,27.0,,,,,,,,,,,,,,,,
NGA,"DF,MF",19,1996,16.9,,,,,,,,,,,,,,,,
TUN,DF,29,1987,10.2,,,,,,,,,,,,,,,,
ENG,"FW,MF",28,1988,26.0,,,,,,,,,,,,,,,,
ESP,"DF,MF",24,1992,3.4,,,,,,,,,,,,,,,,
WAL,"FW,MF",16,1999,1.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",26,1989,8.6,,,,,,,,,,,,,,,,
CRO,DF,27,1989,28.4,,,,,,,,,,,,,,,,
BEL,"FW,MF",21,1995,16.3,,,,,,,,,,,,,,,,
GER,"DF,MF",22,1994,26.3,,,,,,,,,,,,,,,,
NED,"FW,MF",25,1990,33.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",30,1986,35.0,,,,,,,,,,,,,,,,
ENG,MF,26,1990,23.5,,,,,,,,,,,,,,,,
