nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
SWE,DF,24,1998,4.9,2,0.41,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,34,1989,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
DEN,"MF,FW",24,1998,13.9,46,3.31,32,11,1,1,1,0,0,0.0,0,0,0,0,0,0
ENG,GK,20,2002,28.0,7,0.25,3,4,0,0,0,0,1,0.04,0,1,0,0,0,0
ENG,FW,34,1989,9.1,13,1.42,7,0,2,4,0,0,1,0.11,1,0,0,0,0,0
GER,DF,23,2000,13.7,10,0.73,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0
ENG,MF,27,1995,25.0,70,2.8,43,19,1,3,3,1,6,0.24,5,1,0,0,0,0
IRL,MF,27,1996,22.9,66,2.89,56,6,0,1,2,1,8,0.35,6,2,0,0,0,0
ISL,"MF,FW",32,1990,13.2,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0
TOG,DF,23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0
ITA,"MF,FW",18,2004,10.8,28,2.59,12,0,11,2,3,0,6,0.56,2,0,3,0,1,0
RSA,"FW,MF",22,2000,21.1,41,1.95,35,0,2,3,1,0,4,0.19,4,0,0,0,0,0
FRA,DF,21,2002,14.5,8,0.55,6,0,0,0,2,0,1,0.07,1,0,0,0,0,0
IRL,"FW,MF",23,2000,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0
BEL,"FW,MF",24,1999,4.7,10,2.14,4,5,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG,"FW,MF",29,1994,1.6,8,5.07,6,0,1,0,1,0,1,0.63,1,0,0,0,0,0
NOR,MF,25,1998,33.4,67,2.01,63,0,3,0,1,0,8,0.24,7,0,1,0,0,0
BRA,"DF,MF",24,1999,25.7,44,1.71,33,2,4,3,1,1,6,0.23,5,0,0,0,1,0
FRA,"MF,FW",18,2004,23.3,76,3.26,55,0,10,8,3,0,4,0.17,3,0,0,1,0,0
SUI,FW,22,2000,21.7,50,2.3,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0
ENG,MF,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,19,2003,2.3,3,1.31,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ALB,FW,21,2001,5.0,8,1.59,5,0,1,0,2,0,1,0.2,0,0,0,0,1,0
FRA,DF,25,1998,28.7,13,0.45,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,26,1996,8.4,22,2.62,11,8,0,1,2,0,2,0.24,1,0,0,1,0,0
FRA,DF,22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.2,3,0,0,0,0,0
ENG,"MF,FW",19,2003,2.5,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0
ITA,"FW,MF",20,2003,0.9,4,4.62,2,0,0,0,1,1,0,0.0,0,0,0,0,0,0
FRA,"FW,MF",25,1997,4.9,13,2.65,10,0,1,1,1,0,1,0.2,1,0,0,0,0,0
ENG,"FW,MF",21,2002,29.0,162,5.59,116,12,14,10,5,5,26,0.9,20,0,1,2,1,2
ENG,MF,23,2000,34.8,109,3.14,78,15,5,4,1,6,14,0.4,7,5,0,1,0,1
BRA,"DF,FW",18,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ARG,MF,22,2001,24.5,82,3.34,69,5,0,3,5,0,7,0.29,5,1,0,0,1,0
NED,"FW,MF",21,2002,2.3,5,2.15,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG,FW,19,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,17,2006,0.1,1,15.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,MF,19,2004,3.3,5,1.5,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,20,2003,20.0,27,1.35,21,1,1,4,0,0,3,0.15,3,0,0,0,0,0
FRA,DF,20,2003,19.5,52,2.67,47,2,1,0,0,2,7,0.36,7,0,0,0,0,0
ESP,DF,25,1998,19.8,35,1.77,28,1,1,1,4,0,3,0.15,2,0,0,0,1,0
ENG,FW,19,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ECU,MF,21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1
UKR,FW,22,2001,17.5,60,3.43,39,10,7,1,3,0,9,0.51,3,1,2,1,2,0
SEN,FW,22,2001,31.1,95,3.05,60,1,18,8,6,2,11,0.35,7,0,2,2,0,0
ENG,FW,21,2002,11.7,51,4.35,34,1,8,2,6,0,8,0.68,4,0,1,0,3,0
ENG,"FW,MF",28,1994,22.0,85,3.87,55,0,15,4,7,4,14,0.64,7,0,4,0,3,0
ENG,DF,23,1999,4.7,15,3.22,13,1,0,1,0,0,3,0.64,2,0,0,1,0,0
ESP,GK,25,1997,15.9,2,0.13,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
BEL,MF,19,2004,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,DF,38,1984,28.1,27,0.96,25,1,0,1,0,0,4,0.14,3,0,0,1,0,0
ENG,DF,24,1999,10.6,5,0.47,5,0,0,0,0,0,1,0.09,1,0,0,0,0,0
SRB,GK,23,1999,22.1,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,19,2004,14.4,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0
MLI,MF,23,2000,10.2,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0
USA,"DF,MF",23,2000,23.3,16,0.69,11,0,0,2,0,3,3,0.13,3,0,0,0,0,0
COL,"DF,MF",27,1996,16.0,46,2.88,38,2,1,1,2,2,7,0.44,5,1,1,0,0,0
ENG,"MF,DF",18,2005,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,GK,26,1997,18.0,1,0.06,1,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG,"MF,FW",25,1998,22.8,110,4.82,54,27,11,7,10,1,11,0.48,8,0,1,0,2,0
ENG,DF,34,1989,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
NED,"MF,FW",26,1996,2.6,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,FW,26,1997,25.4,65,2.56,48,0,5,6,4,2,12,0.47,8,0,1,1,2,0
COL,"MF,DF",28,1994,26.7,55,2.06,49,0,1,3,1,1,4,0.15,4,0,0,0,0,0
GHA,"FW,MF",30,1992,15.0,28,1.86,21,0,2,1,2,2,3,0.2,3,0,0,0,0,0
ENG,"MF,FW",20,2002,1.5,6,3.97,4,0,2,0,0,0,0,0.0,0,0,0,0,0,0
DEN,DF,27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0
ENG,DF,33,1989,22.0,16,0.73,13,2,0,1,0,0,3,0.14,2,1,0,0,0,0
GHA,"FW,MF",31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0
ENG,DF,23,2000,22.5,22,0.98,17,0,0,2,2,1,2,0.09,2,0,0,0,0,0
BRA,"MF,FW",19,2004,2.6,8,3.1,4,3,0,0,1,0,2,0.78,1,0,0,0,1,0
FRA,"FW,MF",21,2001,14.2,82,5.79,44,15,11,5,7,0,14,0.99,11,1,2,0,0,0
FRA,"MF,FW",21,2002,3.9,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0
ENG,DF,32,1991,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0
FRA,"FW,MF",25,1998,17.3,45,2.6,29,0,7,7,1,1,2,0.12,2,0,0,0,0,0
ENG,GK,29,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,GK,30,1993,20.0,2,0.1,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0
ENG,"DF,MF",23,1999,35.6,47,1.32,40,2,1,2,1,1,4,0.11,4,0,0,0,0,0
ENG,MF,28,1995,21.0,48,2.29,34,9,1,0,2,2,5,0.24,5,0,0,0,0,0
MLI,"FW,MF",30,1993,29.2,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0
NGA,MF,27,1996,1.6,12,7.77,6,1,2,3,0,0,0,0.0,0,0,0,0,0,0
BEL,MF,21,2001,23.2,56,2.41,47,0,1,3,4,1,1,0.04,0,0,0,0,0,1
POR,"MF,FW",30,1993,5.6,18,3.18,13,0,1,2,1,1,1,0.18,1,0,0,0,0,0
NED,"MF,FW",26,1997,6.6,18,2.72,9,0,1,5,2,1,1,0.15,0,0,0,1,0,0
ENG,"DF,MF",38,1985,25.3,58,2.29,38,10,1,4,3,2,1,0.04,0,0,0,0,1,0
ENG,DF,25,1998,12.4,17,1.37,9,1,0,5,0,2,3,0.24,1,0,0,1,0,1
GNB,FW,25,1998,10.6,32,3.03,19,0,6,3,2,2,1,0.09,1,0,0,0,0,0
ENG,FW,26,1997,24.1,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0
ENG,"MF,FW",23,1999,32.1,130,4.05,77,33,5,6,6,3,9,0.28,3,4,0,1,1,0
SEN,MF,33,1989,20.9,52,2.48,37,0,0,5,4,6,4,0.19,4,0,0,0,0,0
ENG,"MF,FW",26,1996,24.6,66,2.68,46,2,3,7,6,2,7,0.28,5,0,0,1,1,0
ENG,MF,22,2001,33.4,98,2.94,58,22,3,6,4,5,8,0.24,3,1,0,1,1,2
ENG,DF,30,1992,38.0,44,1.16,38,0,1,4,0,1,3,0.08,3,0,0,0,0,0
ENG,DF,21,2002,34.6,25,0.72,20,0,0,1,3,1,4,0.12,3,0,0,0,1,0
ENG,GK,29,1994,38.0,24,0.63,14,10,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,20,2003,2.6,6,2.33,3,0,0,2,1,0,0,0.0,0,0,0,0,0,0
ENG,FW,20,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,30,1993,4.9,4,0.82,3,0,0,1,0,0,1,0.21,0,0,0,1,0,0
SCO,DF,21,2001,11.2,20,1.79,14,3,0,1,0,2,2,0.18,2,0,0,0,0,0
FRA,FW,26,1996,1.2,3,2.41,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
IRL,DF,34,1988,7.4,6,0.81,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
IRL,FW,20,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,20,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
UKR,DF,24,1999,27.4,37,1.35,32,0,1,4,0,0,3,0.11,1,0,0,2,0,0
POR,FW,19,2004,2.3,7,3.03,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP,"FW,MF",27,1996,4.2,14,3.34,12,0,1,1,0,0,5,1.19,4,0,1,0,0,0
SRB,FW,28,1994,0.4,2,5.45,1,0,1,0,0,0,1,2.73,1,0,0,0,0,0
NGA,"FW,MF",27,1996,24.4,103,4.23,87,0,6,9,0,1,10,0.41,8,0,0,2,0,0
BRA,MF,27,1996,29.0,137,4.72,80,48,3,3,3,0,15,0.52,10,4,1,0,0,0
USA,DF,25,1997,36.3,69,1.9,63,2,2,0,1,1,7,0.19,7,0,0,0,0,0
ALB,FW,21,2001,1.0,1,1.01,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
GER,GK,31,1992,38.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
JAM,FW,30,1993,15.8,35,2.17,29,0,1,3,0,2,4,0.25,3,0,0,0,0,1
NGA,DF,23,1999,25.6,15,0.59,13,0,0,2,0,0,2,0.08,0,0,0,2,0,0
BRA,FW,28,1995,3.5,9,2.57,8,0,1,0,0,0,1,0.29,1,0,0,0,0,0
SEN,"DF,MF",26,1997,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,28,1995,14.7,29,1.97,25,3,0,0,1,0,5,0.34,3,2,0,0,0,0
WAL,FW,26,1997,18.0,65,3.61,42,4,5,4,8,2,10,0.56,9,0,0,0,1,0
FRA,DF,26,1997,15.8,4,0.25,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POR,MF,28,1995,30.0,33,1.1,23,2,0,4,2,2,2,0.07,1,0,0,1,0,0
NED,DF,27,1995,9.6,15,1.56,11,0,2,1,1,0,2,0.21,1,0,0,0,1,0
WAL,MF,18,2005,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
MEX,FW,32,1991,15.5,27,1.74,15,0,4,6,1,1,3,0.19,0,0,1,2,0,0
BRA,FW,22,2001,17.7,39,2.2,21,0,3,9,4,2,2,0.11,1,0,0,1,0,0
SRB,MF,26,1996,12.5,27,2.17,19,0,1,6,0,1,0,0.0,0,0,0,0,0,0
USA,DF,35,1987,16.7,10,0.6,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0
BEL,DF,27,1995,29.3,50,1.71,39,2,4,4,0,1,2,0.07,2,0,0,0,0,0
SCO,MF,32,1991,16.5,71,4.3,62,2,2,2,1,2,13,0.79,11,0,1,0,1,0
ENG,DF,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.0,0,0,0,0,0,0
BRA,FW,34,1988,22.8,111,4.87,81,15,4,9,2,0,10,0.44,10,0,0,0,0,0
ARG,MF,24,1998,28.9,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0
BRA,GK,30,1992,28.0,11,0.39,10,1,0,0,0,0,0,0.0,0,0,0,0,0,0
SCO,DF,29,1994,18.8,97,5.16,62,33,1,0,1,0,5,0.27,3,2,0,0,0,0
SCO,FW,17,2005,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,18,2005,1.0,1,1.01,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
IRL,GK,24,1998,10.0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
NED,"FW,MF",24,1999,18.3,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0
NIR,DF,20,2003,8.4,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0
ENG,MF,22,2001,13.0,36,2.78,28,0,3,3,1,1,3,0.23,3,0,0,0,0,0
URU,FW,24,1999,22.7,79,3.47,60,0,5,12,2,0,14,0.62,11,0,0,2,1,0
POR,FW,26,1996,12.7,48,3.77,36,0,5,3,4,0,14,1.1,7,0,4,1,2,0
HUN,MF,22,2000,23.4,115,4.92,84,21,4,3,3,0,7,0.3,5,0,0,1,1,0
ENG,"MF,FW",20,2003,15.0,78,5.19,61,9,2,3,1,2,10,0.67,6,1,1,0,1,1
FRA,DF,24,1999,17.5,24,1.37,24,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG,MF,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,20,2003,13.2,13,0.98,13,0,0,0,0,0,1,0.08,1,0,0,0,0,0
ENG,FW,17,2006,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,26,1997,19.8,51,2.57,43,0,1,4,3,0,5,0.25,4,0,0,1,0,0
CMR,DF,31,1991,8.7,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0
ENG,FW,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
GRE,DF,27,1996,7.5,32,4.24,20,9,0,0,2,1,2,0.27,2,0,0,0,0,0
COL,FW,26,1997,29.2,163,5.58,121,1,17,15,8,1,9,0.31,9,0,0,0,0,0
EGY,FW,31,1992,28.2,139,4.94,103,2,7,21,5,1,20,0.71,14,0,2,3,1,0
WAL,DF,20,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
NED,MF,21,2002,12.5,44,3.54,36,0,2,6,0,0,0,0.0,0,0,0,0,0,0
ESP,MF,18,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP,MF,32,1991,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0
NED,DF,32,1991,35.3,59,1.67,54,0,0,5,0,0,4,0.11,4,0,0,0,0,0
JPN,MF,30,1993,19.1,54,2.82,43,0,2,4,2,3,3,0.16,3,0,0,0,0,0
BEL,MF,23,1999,14.5,27,1.86,22,0,0,1,3,1,3,0.21,3,0,0,0,0,0
ENG,DF,23,1999,32.5,115,3.54,57,47,4,6,1,0,16,0.49,8,5,1,2,0,0
JAM,DF,29,1994,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0
ENG,"MF,FW",32,1991,13.4,36,2.68,24,5,3,3,1,0,6,0.45,4,0,1,1,0,0
ENG,"FW,MF",27,1995,31.8,71,2.23,49,0,5,10,6,1,8,0.25,4,0,0,3,1,0
ENG,"FW,MF",28,1994,4.7,17,3.57,13,0,1,2,1,0,2,0.42,2,0,0,0,0,0
IRL,"MF,DF",26,1997,22.2,79,3.56,51,2,12,5,9,0,9,0.41,1,0,2,2,4,0
JPN,DF,24,1999,6.6,8,1.21,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,FW,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0
ENG,"DF,MF",26,1996,4.5,5,1.11,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
NGA,DF,24,1998,20.5,8,0.39,7,0,1,0,0,0,3,0.15,3,0,0,0,0,0
BFA,DF,22,2001,19.2,32,1.67,25,0,2,2,1,2,4,0.21,3,0,0,1,0,0
SCO,"MF,FW",25,1998,11.3,15,1.33,10,0,1,1,3,0,0,0.0,0,0,0,0,0,0
ENG,GK,32,1991,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,29,1993,14.5,29,2.0,23,0,2,3,1,0,1,0.07,1,0,0,0,0,0
ENG,DF,17,2006,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,"MF,DF",31,1992,3.6,6,1.67,2,1,1,2,0,0,1,0.28,0,0,1,0,0,0
DEN,DF,25,1997,4.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ZIM,MF,29,1994,12.6,13,1.03,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
COD,MF,30,1993,12.2,19,1.55,12,1,2,1,2,1,0,0.0,0,0,0,0,0,0
ENG,DF,26,1996,18.4,21,1.14,15,1,0,5,0,0,4,0.22,3,0,0,1,0,0
ENG,MF,29,1993,29.1,104,3.58,67,11,14,6,3,3,11,0.38,6,2,1,1,1,0
ENG,"DF,MF",23,2000,5.6,12,2.15,8,3,1,0,0,0,0,0.0,0,0,0,0,0,0
NED,"MF,FW",23,1999,22.0,49,2.22,31,0,3,2,11,2,4,0.18,2,0,0,2,0,0
ENG,DF,21,2002,27.4,14,0.51,11,0,2,1,0,0,0,0.0,0,0,0,0,0,0
BEL,GK,30,1992,37.8,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
WAL,DF,28,1994,13.0,10,0.77,9,0,0,0,0,1,1,0.08,1,0,0,0,0,0
ENG,"MF,DF",18,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP,DF,29,1994,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POR,"MF,FW",28,1994,28.6,130,4.54,117,3,6,1,3,0,13,0.45,11,0,2,0,0,0
ENG,MF,21,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,GK,29,1993,30.9,7,0.23,5,2,0,0,0,0,2,0.06,2,0,0,0,0,0
NOR,FW,23,2000,28.4,59,2.08,39,0,3,10,6,1,11,0.39,5,0,1,3,2,0
ENG,"FW,MF",27,1995,11.2,54,4.82,46,0,1,2,5,0,4,0.36,4,0,0,0,0,0
ENG,MF,20,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BEL,"FW,MF",21,2002,17.7,111,6.26,82,1,17,6,5,0,15,0.85,10,0,2,1,2,0
ENG,"DF,MF",29,1994,11.8,23,1.95,21,0,0,0,2,0,0,0.0,0,0,0,0,0,0
CRO,DF,21,2002,25.9,54,2.09,40,1,5,2,4,2,7,0.27,6,0,0,0,1,0
ARG,"MF,FW",23,2000,29.4,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0
ENG,MF,27,1995,1.0,1,0.98,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
BEL,MF,32,1991,13.6,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0
ENG,DF,33,1990,30.7,62,2.02,57,1,1,1,2,0,11,0.36,9,0,1,1,0,0
SUI,"DF,MF",28,1995,27.9,55,1.97,45,1,0,3,2,4,4,0.14,4,0,0,0,0,0
CRO,MF,29,1994,17.2,54,3.14,47,0,2,4,1,0,6,0.35,5,0,0,1,0,0
POR,MF,24,1998,7.3,20,2.72,16,0,0,1,3,0,3,0.41,3,0,0,0,0,0
NED,DF,28,1995,22.7,36,1.59,28,0,2,4,1,1,6,0.26,3,0,1,2,0,0
NOR,"FW,MF",20,2003,3.4,22,6.56,16,0,4,1,1,0,6,1.79,3,0,2,0,1,0
ENG,"FW,MF",23,2000,31.7,144,4.54,111,9,9,6,8,1,21,0.66,16,1,1,0,3,0
ENG,"DF,MF",18,2004,9.0,15,1.67,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP,MF,27,1996,32.6,157,4.82,130,2,8,5,6,6,23,0.71,17,0,3,1,1,1
POR,DF,26,1997,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1
ESP,"FW,MF",22,2000,0.6,2,3.33,1,0,1,0,0,0,2,3.33,1,0,1,0,0,0
GER,GK,30,1992,7.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,DF,25,1997,19.8,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0
ARG,FW,19,2004,28.5,119,4.17,80,0,13,13,12,1,15,0.53,10,0,1,1,2,1
CIV,"FW,MF",21,2002,4.3,20,4.62,16,0,3,1,0,0,0,0.0,0,0,0,0,0,0
CMR,GK,27,1996,38.0,6,0.16,6,0,0,0,0,0,1,0.03,1,0,0,0,0,0
FRA,FW,27,1995,5.0,11,2.21,9,0,0,1,1,0,1,0.2,0,0,0,0,1,0
BRA,FW,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.2,1,0,0,0,0,2
POR,"MF,FW",28,1994,34.6,210,6.06,143,48,7,9,1,2,19,0.55,12,3,2,2,0,0
BRA,"MF,DF",31,1992,22.0,41,1.86,35,2,0,3,1,0,4,0.18,4,0,0,0,0,0
DEN,MF,31,1992,12.7,46,3.63,36,8,0,0,0,2,3,0.24,2,0,0,0,0,1
ENG,MF,18,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POR,DF,24,1999,35.3,78,2.21,67,4,2,3,1,1,7,0.2,6,0,0,1,0,0
NED,DF,26,1997,0.0,1,30.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,FW,17,2006,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
URU,"FW,MF",21,2001,1.9,3,1.57,2,0,0,0,1,0,1,0.52,1,0,0,0,0,0
TUN,"MF,FW",20,2003,1.5,6,4.06,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG,DF,30,1993,18.4,24,1.31,19,0,0,1,1,3,4,0.22,2,0,0,1,1,0
ENG,"FW,MF",23,2000,0.9,4,4.62,1,1,0,0,1,1,1,1.15,0,1,0,0,0,0
NIR,DF,35,1988,15.5,11,0.71,11,0,0,0,0,0,2,0.13,2,0,0,0,0,0
ENG,MF,18,2005,21.4,40,1.87,31,0,3,3,2,1,8,0.37,3,0,2,2,1,0
ARG,DF,25,1998,7.2,7,0.98,6,0,0,0,0,1,1,0.14,1,0,0,0,0,0
ENG,DF,28,1995,10.7,23,2.16,13,9,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG,FW,25,1997,25.2,87,3.45,57,1,16,7,6,0,12,0.48,10,0,1,0,1,0
ENG,"MF,FW",24,1999,5.7,18,3.15,11,2,2,0,1,2,0,0.0,0,0,0,0,0,0
ENG,FW,19,2004,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,DF,30,1993,15.3,16,1.05,13,1,0,2,0,0,2,0.13,2,0,0,0,0,0
DEN,FW,20,2003,24.0,58,2.42,43,0,5,4,3,3,4,0.17,2,0,2,0,0,0
SCO,"MF,FW",26,1996,21.1,26,1.23,18,0,1,4,1,2,2,0.09,1,0,0,0,0,1
ESP,DF,26,1996,4.6,15,3.28,13,1,0,1,0,0,1,0.22,1,0,0,0,0,0
MAR,"MF,DF",26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.1,1,0,0,0,0,0
SWE,DF,29,1994,14.8,19,1.29,19,0,0,0,0,0,3,0.2,3,0,0,0,0,0
FRA,DF,18,2004,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
IRL,"DF,FW",19,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SWE,FW,23,1999,25.1,72,2.87,45,0,12,11,4,0,10,0.4,4,0,3,2,1,0
ENG,MF,20,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,FW,22,2001,32.1,143,4.45,86,18,13,11,13,2,29,0.9,13,2,5,4,5,0
ENG,FW,18,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,MF,25,1997,36.3,143,3.94,110,8,10,3,6,6,19,0.52,12,0,4,2,1,0
ENG,FW,31,1992,11.0,22,2.0,12,0,4,5,1,0,4,0.36,2,0,1,1,0,0
ENG,DF,31,1992,30.3,27,0.89,22,2,1,2,0,0,4,0.13,3,0,0,1,0,0
ENG,"MF,FW",20,2002,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0
SWE,DF,28,1994,10.1,18,1.77,13,3,1,0,1,0,1,0.1,1,0,0,0,0,0
SUI,DF,31,1991,33.9,47,1.39,33,2,2,4,5,1,12,0.35,8,0,0,0,3,1
ENG,"FW,MF",25,1997,8.9,29,3.25,18,0,5,3,3,0,6,0.67,4,0,2,0,0,0
ENG,"FW,DF",28,1995,13.2,55,4.16,44,4,2,3,1,1,10,0.76,9,0,1,0,0,0
ENG,DF,29,1993,12.0,8,0.67,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG,MF,20,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG,MF,23,1999,4.7,13,2.8,11,0,0,2,0,0,1,0.22,1,0,0,0,0,0
BRA,"MF,FW",26,1996,14.2,47,3.3,37,0,6,4,0,0,3,0.21,2,0,0,1,0,0
