nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ENG,MF,19,1997,6,432,72,12.6,4.8,4,,3,2,,3,1.67,8,7,1,0.21,0.6,,,,,
ENG,"FW,MF",28,1988,3,60,20,1.8,0.7,0,,0,3,,0,0.33,1,2,-1,-1.5,-1.21,,,,,
FRA,"FW,MF",20,1996,11,270,25,7.9,3.0,3,,0,8,,6,1.27,4,4,0,0.0,0.34,,,,,
ENG,"FW,MF",29,1987,21,1328,63,38.8,14.8,16,,6,5,,4,1.29,23,24,-1,-0.07,0.41,,,,,
IRL,"DF,MF",28,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG,"DF,MF",18,1997,1,17,17,0.5,0.2,0,,0,1,,0,1.0,0,0,0,0.0,0.32,,,,,
CIV,"FW,MF",28,1987,11,134,12,3.9,1.5,0,,0,11,,10,1.45,3,1,2,1.34,1.73,,,,,
NED,"DF,MF",21,1995,10,735,74,21.5,8.2,8,,8,2,,8,1.4,16,17,-1,-0.12,0.25,,,,,
ENG,GK,24,1992,1,90,90,2.6,1.0,1,,1,0,,17,1.0,1,1,0,0.0,0.32,,,,,
SCO,"FW,MF",22,1994,28,1764,63,51.6,19.6,19,,6,9,,4,1.07,33,32,1,0.05,0.76,,,,,
ENG,FW,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG,DF,31,1985,34,2939,86,85.9,32.7,34,,31,0,,0,1.29,47,53,-6,-0.18,0.94,,,,,
ENG,"DF,MF",25,1991,38,3420,90,100.0,38.0,38,,38,0,,0,1.21,55,67,-12,-0.32,,,,,,
ENG,DF,23,1993,7,506,72,14.8,5.6,5,,4,2,,18,0.71,8,16,-8,-1.42,-1.3,,,,,
AUS,MF,18,1998,3,85,28,2.5,0.9,0,,0,3,,5,1.0,1,4,-3,-3.18,-2.83,,,,,
JAM,FW,25,1991,32,2259,71,66.1,25.1,26,,12,6,,2,0.97,24,32,-8,-0.32,0.3,,,,,
ENG,"FW,MF",26,1989,28,1771,63,51.8,19.7,20,,7,8,,0,1.07,16,27,-11,-0.56,-0.29,,,,,
ENG,MF,26,1990,9,551,61,16.1,6.1,6,,4,3,,6,0.67,9,9,0,0.0,0.5,,,,,
ENG,DF,26,1989,34,3015,89,88.2,33.5,34,,33,0,,0,1.06,33,49,-16,-0.48,-0.48,,,,,
ENG,"FW,MF",19,1997,3,25,8,0.7,0.3,0,,0,3,,5,0.0,0,0,0,0.0,0.42,,,,,
ENG,MF,31,1984,1,86,86,2.5,1.0,1,,0,0,,0,0.0,0,1,-1,-1.05,-0.64,,,,,
ENG,MF,32,1984,21,1764,84,51.6,19.6,21,,15,0,,0,1.24,20,28,-8,-0.41,0.03,,,,,
NOR,"DF,MF",24,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,
SCO,"FW,MF",30,1985,36,2836,79,82.9,31.5,33,,21,3,,0,1.03,32,44,-12,-0.38,0.24,,,,,
ENG,DF,23,1992,19,568,30,16.6,6.3,4,,4,15,,19,1.42,9,11,-2,-0.32,0.12,,,,,
IRL,"FW,MF",24,1992,32,2692,84,78.7,29.9,31,,26,1,,0,1.0,27,45,-18,-0.6,-0.85,,,,,
ENG,MF,33,1982,14,1105,79,32.3,12.3,12,,11,2,,0,0.93,11,16,-5,-0.41,0.02,,,,,
ENG,DF,23,1993,6,360,60,10.5,4.0,3,,2,3,,25,2.17,6,4,2,0.5,1.03,,,,,
ISL,"FW,MF",25,1990,20,998,50,29.2,11.1,10,,3,10,,4,1.05,12,19,-7,-0.63,-0.3,,,,,
IRL,DF,25,1990,3,270,90,7.9,3.0,3,,3,0,,2,0.33,4,6,-2,-0.67,-0.27,,,,,
ENG,FW,27,1989,2,13,7,0.4,0.1,0,,0,2,,1,1.5,0,0,0,0.0,0.42,,,,,
ENG,DF,27,1989,36,3240,90,94.7,36.0,36,,36,0,,1,1.03,38,53,-15,-0.42,0.08,,,,,
ENG,DF,23,1993,35,3150,90,92.1,35.0,35,,35,0,,0,1.11,35,49,-14,-0.4,0.27,,,,,
ENG,"FW,MF",30,1986,5,104,21,3.0,1.2,1,,0,4,,15,1.2,2,1,1,0.87,1.33,,,,,
ENG,GK,24,1992,0,,,,,0,,0,0,,11,,,,,,,,,,,
ENG,"FW,MF",22,1993,6,39,7,1.1,0.4,0,,0,6,,7,0.67,1,1,0,0.0,0.43,,,,,
ENG,GK,36,1979,3,270,90,7.9,3.0,3,,3,0,,27,0.0,3,7,-4,-1.33,-0.99,,,,,
IRL,"DF,FW",24,1992,14,719,51,21.0,8.0,7,,3,7,,1,0.57,10,11,-1,-0.13,0.37,,,,,
WAL,FW,26,1989,37,2064,56,60.4,22.9,21,,14,16,,0,1.08,28,35,-7,-0.31,0.29,,,,,
CAN,MF,27,1988,31,2102,68,61.5,23.4,23,,10,8,,3,1.06,21,36,-15,-0.64,-0.57,,,,,
IRL,"DF,FW",30,1985,37,3230,87,94.4,35.9,37,,34,0,,0,1.0,34,53,-19,-0.53,-1.95,,,,,
BEL,MF,28,1988,21,1068,51,31.2,11.9,16,,0,5,,8,1.33,16,13,3,0.25,0.98,,,,,
ZIM,"DF,MF",24,1991,0,,,,,0,,0,0,,18,,,,,,,,,,,
ENG,GK,30,1986,35,3150,90,92.1,35.0,35,,35,0,,0,1.14,36,48,-12,-0.34,0.99,,,,,
BIH,GK,29,1987,2,180,90,5.3,2.0,2,,2,0,,36,1.5,4,5,-1,-0.5,-1.97,,,,,
SRB,DF,32,1984,13,589,45,17.2,6.5,6,,6,7,,6,2.38,11,9,2,0.31,-1.28,,,,,
ESP,"FW,MF",29,1987,29,1339,46,39.2,14.9,13,,8,16,,5,2.28,39,14,25,1.68,0.51,,,,,
ESP,"DF,MF",26,1989,38,3420,90,100.0,38.0,38,,38,0,,0,2.45,85,33,52,1.37,,,,,,
BRA,"DF,MF",29,1987,33,2954,90,86.4,32.8,33,,31,0,,1,2.42,71,26,45,1.37,0.02,,,,,
ESP,FW,27,1988,35,3082,88,90.1,34.2,35,,27,0,,1,2.4,70,30,40,1.17,-2.03,,,,,
ENG,FW,18,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
BEL,"FW,MF",25,1991,36,2982,83,87.2,33.1,36,,11,0,,0,2.42,72,29,43,1.3,-0.55,,,,,
POR,GK,33,1982,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG,DF,30,1985,37,3296,89,96.4,36.6,36,,35,1,,1,2.43,80,29,51,1.39,0.67,,,,,
ENG,DF,35,1980,9,496,55,14.5,5.5,6,,5,3,,13,2.78,15,9,6,1.09,-0.33,,,,,
BRA,"FW,MF",20,1996,1,74,74,2.2,0.8,1,,0,0,,0,3.0,3,3,0,0.0,-1.4,,,,,
FRA,DF,21,1994,9,250,28,7.3,2.8,3,,1,6,,13,2.67,6,8,-2,-0.72,-2.25,,,,,
ESP,"DF,MF",25,1990,31,2693,87,78.7,29.9,30,,28,1,,3,2.58,71,19,52,1.74,1.74,,,,,
BEL,FW,22,1993,20,254,13,7.4,2.8,1,,0,19,,17,2.25,11,3,8,2.83,1.58,,,,,
