nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
SEN,MF,23,1996,7,66,9,1.9,0.7,0,,0,7,9,11,0.57,0,2,-2,-2.73,-2.94,1.4,2.3,-0.9,-1.25,-1.28
ESP,DF,29,1990,2,180,90,5.3,2.0,2,90,2,0,,6,0.0,0,3,-3,-1.5,-1.75,1.3,3.6,-2.3,-1.15,-1.21
ESP,DF,27,1992,4,309,77,9.0,3.4,3,90,3,1,39,9,1.25,2,4,-2,-0.58,-0.81,4.1,4.2,-0.1,-0.04,-0.05
URU,DF,31,1988,30,2592,86,75.8,28.8,30,86,24,0,,2,1.53,37,26,11,0.38,0.93,33.6,30.0,3.6,0.12,0.49
ESP,GK,26,1993,38,3420,90,100.0,38.0,38,90,38,0,,0,1.42,43,37,6,0.16,,41.6,41.4,0.2,0.0,
ESP,"MF,DF",29,1989,22,943,43,27.6,10.5,10,83,5,12,9,11,1.68,11,11,0,0.0,-0.22,11.7,14.5,-2.9,-0.27,-0.38
BRA,FW,28,1991,5,204,41,6.0,2.3,3,52,0,2,24,5,1.8,4,1,3,1.32,1.24,3.4,2.6,0.8,0.35,0.36
TOG,DF,27,1991,34,3060,90,89.5,34.0,34,90,34,0,,0,1.38,37,34,3,0.09,-0.66,35.5,37.7,-2.1,-0.06,-0.64
ESP,FW,32,1986,5,164,33,4.8,1.8,2,71,1,3,7,3,1.2,2,1,1,0.55,0.41,1.1,1.2,-0.2,-0.1,-0.11
URU,DF,24,1995,4,267,67,7.8,3.0,3,87,1,1,7,6,0.75,0,2,-2,-0.67,-0.9,3.3,1.6,1.7,0.58,0.62
MAR,MF,30,1988,10,403,40,11.8,4.5,5,74,2,5,6,10,0.9,4,6,-2,-0.45,-0.69,2.8,5.6,-2.8,-0.62,-0.71
MTQ,DF,22,1997,1,1,1,0.0,0.0,0,,0,1,1,11,1.0,0,0,0,0.0,-0.16,0.1,0.0,0.0,3.07,3.07
ESP,MF,29,1990,16,376,24,11.0,4.2,3,69,1,13,13,12,1.31,5,4,1,0.24,0.09,3.7,5.8,-2.1,-0.49,-0.56
ESP,"FW,MF",19,1999,12,378,32,11.1,4.2,4,70,0,8,12,5,1.25,3,8,-5,-1.19,-1.52,4.7,6.4,-1.7,-0.39,-0.45
ESP,FW,30,1988,34,2747,81,80.3,30.5,33,83,18,1,17,2,1.41,34,23,11,0.36,1.03,35.0,28.4,6.5,0.21,1.07
ESP,MF,25,1994,20,1175,59,34.4,13.1,14,78,1,6,14,9,1.3,17,15,2,0.15,-0.01,13.9,12.9,1.1,0.08,0.12
ESP,FW,37,1982,34,1886,55,55.1,21.0,23,70,5,11,25,2,1.38,20,19,1,0.05,-0.25,19.6,21.5,-1.9,-0.09,-0.21
BRA,MF,23,1996,19,586,31,17.1,6.5,3,74,0,16,23,2,1.58,12,4,8,1.23,1.29,10.3,4.8,5.5,0.85,1.02
URU,DF,28,1991,18,1530,85,44.7,17.0,18,85,16,0,,0,1.67,27,17,10,0.59,0.78,19.5,15.8,3.7,0.22,0.39
ARG,GK,29,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,
ESP,"MF,DF",21,1998,37,3237,87,94.6,36.0,37,87,24,0,,0,1.38,41,33,8,0.22,1.21,40.0,38.2,1.8,0.05,0.88
ESP,GK,22,1996,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP,MF,33,1986,2,72,36,2.1,0.8,0,,0,2,36,1,1.0,0,0,0,0.0,-0.16,0.6,0.2,0.4,0.47,0.47
URU,DF,21,1997,24,1870,78,54.7,20.8,21,85,18,3,25,1,1.38,20,20,0,0.0,-0.35,21.8,24.1,-2.3,-0.11,-0.25
URU,MF,23,1995,35,3069,88,89.7,34.1,34,89,30,1,33,0,1.37,36,33,3,0.09,-0.68,37.4,36.6,0.7,0.02,0.17
SRB,MF,24,1995,35,2895,83,84.6,32.2,33,87,28,2,10,0,1.51,39,31,8,0.25,0.59,37.9,34.6,3.3,0.1,0.64
NGA,MF,23,1995,10,572,57,16.7,6.4,6,73,1,4,33,0,1.5,7,6,1,0.16,0.0,7.4,5.8,1.6,0.26,0.31
ESP,DF,30,1989,4,243,61,7.1,2.7,3,66,0,1,45,1,1.0,1,2,-1,-0.37,-0.57,0.9,3.4,-2.5,-0.93,-1.01
POR,MF,32,1987,1,6,6,0.2,0.1,0,,0,1,6,5,3.0,0,0,0,0.0,-0.16,0.0,0.2,-0.2,-3.28,-3.29
ESP,DF,31,1987,17,1446,85,42.3,16.1,16,88,15,1,45,13,1.65,20,14,6,0.37,0.37,16.8,18.3,-1.5,-0.09,-0.17
ESP,FW,32,1987,32,1407,44,41.1,15.6,9,81,6,23,29,4,1.31,23,23,0,0.0,-0.27,20.5,21.3,-0.8,-0.05,-0.09
ESP,GK,23,1995,3,270,90,7.9,3.0,3,90,3,0,,34,1.0,3,3,0,0.0,-0.2,3.7,3.4,0.3,0.1,0.04
COL,"FW,MF",33,1986,7,226,32,6.6,2.5,2,73,1,5,16,9,0.71,3,6,-3,-1.19,-1.48,3.8,2.5,1.3,0.52,0.5
ESP,"FW,MF",19,2000,8,181,23,5.3,2.0,2,45,0,6,15,5,1.38,5,0,5,2.49,2.43,3.6,1.8,1.7,0.85,0.83
ESP,"FW,MF",27,1992,36,2563,71,74.9,28.5,27,84,19,9,32,0,1.39,43,31,12,0.42,0.95,33.5,34.7,-1.2,-0.04,-0.41
ESP,"FW,MF",23,1996,34,2201,65,64.4,24.5,21,86,15,13,30,2,1.59,39,25,14,0.57,1.09,31.2,26.6,4.7,0.19,0.36
ESP,DF,23,1996,26,2205,85,64.5,24.5,25,86,19,1,54,9,1.69,37,28,9,0.37,0.52,30.6,28.1,2.5,0.1,0.11
VEN,"FW,MF",26,1993,36,2129,59,62.3,23.7,20,82,7,16,31,1,1.47,36,30,6,0.25,0.18,30.6,27.2,3.4,0.15,0.22
FRA,"DF,MF",26,1993,17,1119,66,32.7,12.4,12,83,10,5,24,1,1.53,15,12,3,0.24,0.08,12.8,12.1,0.7,0.06,0.0
POR,DF,24,1995,36,3087,86,90.3,34.3,34,89,32,2,39,1,1.47,46,40,6,0.17,-0.1,37.8,38.9,-1.1,-0.03,-0.95
ESP,GK,22,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP,"MF,FW",25,1994,18,876,49,25.6,9.7,11,65,1,7,23,3,1.5,14,14,0,0.0,-0.25,11.7,10.0,1.6,0.17,0.14
ESP,DF,32,1986,28,2293,82,67.0,25.5,26,87,22,2,18,1,1.61,40,30,10,0.39,0.63,32.5,27.8,4.8,0.19,0.38
POR,"MF,DF",22,1996,12,356,30,10.4,4.0,3,77,1,9,14,2,1.67,8,2,6,1.52,1.49,6.5,2.9,3.6,0.9,0.94
ESP,DF,22,1997,11,629,57,18.4,7.0,7,87,6,4,6,4,1.55,10,6,4,0.57,0.48,6.8,8.4,-1.6,-0.23,-0.35
ESP,DF,26,1993,20,1191,60,34.8,13.2,13,84,10,7,13,13,1.55,13,19,-6,-0.45,-0.98,16.3,14.5,1.9,0.14,0.12
POR,GK,23,1996,0,,,,,0,,0,0,,11,,,,,,,,,,,
ESP,MF,22,1997,1,2,2,0.1,0.0,0,,0,1,2,12,3.0,0,0,0,0.0,-0.18,0.0,0.1,-0.1,-2.83,-2.89
FRA,MF,30,1989,19,1506,79,44.0,16.7,17,83,12,2,47,3,1.42,19,21,-2,-0.12,-0.54,20.8,20.8,0.0,0.0,-0.1
ESP,DF,19,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP,DF,29,1989,10,718,72,21.0,8.0,8,83,7,2,26,0,1.1,11,12,-1,-0.13,-0.39,9.0,10.3,-1.3,-0.17,-0.29
NGA,MF,26,1992,25,1361,54,39.8,15.1,14,76,7,11,27,12,1.64,19,14,5,0.33,0.24,15.1,17.1,-1.9,-0.13,-0.31
ESP,FW,34,1985,33,2347,71,68.6,26.1,30,76,13,3,26,3,1.58,34,33,1,0.04,-0.46,30.1,29.9,0.2,0.01,-0.17
POR,GK,25,1994,35,3150,90,92.1,35.0,35,90,35,0,,1,1.51,49,42,7,0.2,0.2,41.2,39.1,2.0,0.06,-0.04
ESP,DF,31,1988,36,2884,80,84.3,32.0,33,85,27,3,21,1,1.53,43,43,0,0.0,-1.18,37.9,37.7,0.2,0.01,-0.35
CMR,MF,21,1997,28,1499,54,43.8,16.7,18,72,6,10,21,3,1.29,18,22,-4,-0.24,-0.76,18.2,17.0,1.2,0.07,0.02
VEN,MF,21,1998,30,2368,79,69.2,26.3,28,82,18,2,32,2,1.63,37,28,9,0.34,0.51,30.2,27.3,2.9,0.11,0.16
ESP,DF,28,1990,1,15,15,0.4,0.2,0,,0,1,15,8,1.5,1,1,0,0.0,-0.19,0.4,0.2,0.2,1.49,1.43
ESP,"FW,MF",24,1994,22,1218,55,35.6,13.5,15,71,3,7,23,5,1.27,12,17,-5,-0.37,-0.86,14.3,14.2,0.0,0.0,-0.09
ESP,MF,31,1988,15,973,65,28.5,10.8,11,78,8,4,30,1,1.6,18,12,6,0.55,0.52,12.7,13.6,-0.9,-0.09,-0.21
TUR,"DF,FW",30,1989,4,231,58,6.8,2.6,3,75,2,1,6,19,0.25,0,3,-3,-1.17,-1.45,2.3,1.6,0.6,0.25,0.2
ESP,"DF,MF",23,1996,25,1220,49,35.7,13.6,13,71,5,12,25,9,1.0,10,13,-3,-0.22,0.52,16.5,14.9,1.6,0.12,0.3
ARG,MF,30,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP,MF,22,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
BRA,GK,22,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,
MAR,MF,19,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP,"MF,FW",18,2001,12,558,47,16.3,6.2,4,80,2,8,30,4,0.92,8,5,3,0.48,1.24,8.0,5.2,2.8,0.45,0.63
NGA,DF,22,1997,26,1997,77,58.4,22.2,21,87,19,5,32,8,1.15,17,31,-14,-0.63,-0.19,24.1,27.6,-3.4,-0.15,-0.19
ESP,MF,22,1997,5,311,62,9.1,3.5,3,90,3,2,21,3,1.4,2,8,-6,-1.74,-1.3,3.4,7.2,-3.9,-1.12,-1.15
GRE,DF,30,1988,24,1918,80,56.1,21.3,23,83,18,1,16,3,0.84,17,27,-10,-0.47,0.19,23.0,22.9,0.1,0.01,0.19
ARG,FW,28,1991,24,1213,51,35.5,13.5,13,79,8,11,17,2,0.96,11,18,-7,-0.52,0.05,15.4,13.8,1.6,0.12,0.3
FRA,MF,26,1993,10,770,77,22.5,8.6,9,82,5,1,28,5,1.5,6,10,-4,-0.47,0.11,8.3,8.2,0.1,0.01,0.11
ESP,GK,35,1984,27,2429,90,71.0,27.0,27,90,26,0,,1,1.11,25,33,-8,-0.3,0.88,29.7,28.2,1.6,0.06,0.46
ESP,DF,20,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP,"MF,FW",21,1997,9,184,20,5.4,2.0,1,54,0,8,16,5,1.22,5,3,2,0.98,1.62,2.8,3.2,-0.4,-0.2,-0.13
ESP,MF,29,1990,20,815,41,23.8,9.1,11,61,1,9,16,13,0.9,1,11,-10,-1.1,-0.72,6.7,7.5,-0.8,-0.09,-0.01
ARG,DF,25,1994,33,2785,84,81.4,30.9,32,86,28,1,30,2,0.88,22,45,-23,-0.74,-1.03,31.3,36.2,-4.9,-0.16,-0.45
ESP,MF,24,1995,12,337,28,9.9,3.7,2,68,1,10,20,7,0.67,1,3,-2,-0.53,0.02,4.8,4.5,0.3,0.08,0.18
ESP,GK,21,1997,11,990,90,28.9,11.0,11,90,11,0,,27,0.55,5,18,-13,-1.18,-0.89,10.2,14.6,-4.4,-0.4,-0.46
NGA,DF,25,1993,23,1874,81,54.8,20.8,22,84,17,1,23,6,0.78,16,30,-14,-0.67,-0.26,18.6,23.4,-4.8,-0.23,-0.35
POR,"DF,MF",25,1994,26,1931,74,56.5,21.5,22,82,15,4,33,7,1.12,19,25,-6,-0.28,0.63,22.4,21.7,0.7,0.03,0.25
ESP,FW,18,2000,4,115,29,3.4,1.3,2,52,0,2,6,3,1.0,1,3,-2,-1.57,-1.05,1.6,1.3,0.3,0.24,0.33
ESP,"FW,DF",24,1995,4,219,55,6.4,2.4,3,68,1,1,14,15,0.25,2,4,-2,-0.82,-0.29,3.3,3.7,-0.4,-0.17,-0.1
DEN,"FW,MF",28,1991,24,1934,81,56.5,21.5,21,89,17,3,25,0,0.79,16,31,-15,-0.7,-0.33,22.0,27.8,-5.7,-0.27,-0.44
ESP,FW,29,1990,13,790,61,23.1,8.8,9,75,3,4,30,3,1.08,9,11,-2,-0.23,0.42,10.8,6.3,4.6,0.52,0.77
ESP,GK,20,1999,0,,,,,0,,0,0,,12,,,,,,,,,,,
ESP,MF,28,1991,25,1570,63,45.9,17.4,18,79,10,7,20,7,0.92,9,23,-14,-0.8,-0.46,17.4,18.1,-0.7,-0.04,0.07
VEN,DF,30,1988,25,1871,75,54.7,20.8,21,84,14,4,27,6,1.12,19,25,-6,-0.29,0.58,21.4,21.2,0.2,0.01,0.19
ESP,DF,23,1996,14,951,68,27.8,10.6,12,78,9,2,8,8,1.07,9,17,-8,-0.76,-0.28,10.2,14.0,-3.7,-0.35,-0.38
CIV,"FW,MF",25,1993,14,531,38,15.5,5.9,2,80,0,12,31,1,1.0,6,6,0,0.0,0.65,9.7,4.9,4.8,0.82,1.06
ESP,MF,30,1989,29,2012,69,58.8,22.4,22,79,9,7,40,4,1.0,23,31,-8,-0.36,0.47,26.2,23.5,2.7,0.12,0.48
ESP,MF,30,1989,26,2194,84,64.2,24.4,25,86,22,1,36,4,0.92,18,29,-11,-0.45,0.28,23.2,25.7,-2.5,-0.1,-0.08
ESP,FW,27,1992,2,78,39,2.3,0.9,1,66,0,1,12,3,0.0,0,1,-1,-1.15,-0.62,0.7,0.6,0.1,0.1,0.18
ESP,DF,27,1992,33,2684,81,78.5,29.8,31,84,22,2,40,1,0.88,20,41,-21,-0.7,-0.7,27.5,32.4,-4.9,-0.16,-0.41
UKR,DF,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
MAR,FW,22,1997,18,1385,77,40.5,15.4,15,87,13,3,27,0,0.61,14,27,-13,-0.84,-0.49,16.9,23.7,-6.8,-0.44,-0.62
ESP,"MF,FW",21,1998,30,1914,64,56.0,21.3,22,78,7,8,26,0,0.87,20,34,-14,-0.66,-0.24,22.4,27.1,-4.7,-0.22,-0.33
ESP,GK,28,1991,36,3240,90,94.7,36.0,36,90,36,0,,2,1.19,43,51,-8,-0.22,-1.22,44.2,59.9,-15.7,-0.44,-0.88
ESP,MF,17,2002,1,2,2,0.1,0.0,0,,0,1,2,4,3.0,1,0,1,45.0,45.18,0.9,0.0,0.9,40.7,41.12
ESP,FW,22,1997,34,2140,63,62.6,23.8,24,79,7,10,25,4,1.15,33,32,1,0.04,0.53,31.8,33.1,-1.3,-0.06,0.89
ESP,DF,29,1990,6,456,76,13.3,5.1,5,90,5,1,6,4,1.33,4,6,-2,-0.39,-0.27,4.2,7.6,-3.4,-0.67,-0.32
ESP,DF,27,1992,23,1848,80,54.0,20.5,20,90,19,3,17,9,1.48,34,31,3,0.15,0.66,28.5,33.4,-4.9,-0.24,0.33
ESP,DF,32,1987,17,989,58,28.9,11.0,11,80,6,6,17,20,1.29,9,16,-7,-0.64,-0.67,12.7,18.8,-6.1,-0.56,-0.24
ESP,GK,22,1997,0,,,,,0,,0,0,,9,,,,,,,,,,,
ESP,DF,22,1997,1,73,73,2.1,0.8,1,73,0,0,,3,0.0,2,3,-1,-1.23,-1.1,1.2,2.2,-1.0,-1.18,-0.81
MKD,MF,24,1995,30,2114,70,61.8,23.5,23,85,16,7,23,2,1.33,35,34,1,0.04,0.52,31.1,36.9,-5.8,-0.25,0.37
URU,DF,24,1995,11,809,74,23.7,9.0,9,89,8,2,3,5,1.45,9,10,-1,-0.11,0.06,10.7,15.5,-4.8,-0.54,-0.2
GEO,MF,20,1999,1,2,2,0.1,0.0,0,,0,1,2,8,0.0,0,0,0,0.0,0.16,0.0,0.1,-0.1,-3.68,-3.29
ESP,DF,22,1997,1,13,13,0.4,0.1,0,,0,1,13,1,0.0,0,1,-1,-6.92,-6.79,0.9,0.4,0.4,2.76,3.16
ESP,MF,25,1994,25,1236,49,36.1,13.7,14,69,2,11,25,4,1.28,11,17,-6,-0.44,-0.44,15.5,24.8,-9.3,-0.67,-0.45
POR,"MF,FW",27,1991,20,654,33,19.1,7.3,5,72,1,15,20,11,0.85,8,9,-1,-0.14,0.03,11.0,12.9,-1.9,-0.26,0.16
ESP,MF,21,1997,1,9,9,0.3,0.1,0,,0,1,9,3,3.0,1,0,1,10.0,10.18,0.9,0.0,0.9,9.29,9.7
ESP,DF,30,1989,32,2432,76,71.1,27.0,27,86,24,5,20,2,1.44,40,38,2,0.07,0.8,36.3,46.2,-9.9,-0.37,0.08
ESP,MF,26,1993,37,3156,85,92.3,35.1,35,89,30,2,28,0,1.32,45,46,-1,-0.03,1.68,44.3,57.4,-13.1,-0.37,0.19
ESP,"FW,MF",32,1987,38,2519,66,73.7,28.0,29,80,11,9,23,0,1.29,32,38,-6,-0.21,-0.21,31.9,49.6,-17.7,-0.63,-0.92
ESP,GK,23,1995,2,180,90,5.3,2.0,2,90,2,0,,14,3.0,4,2,2,1.0,1.22,3.9,3.0,0.9,0.45,0.88
SRB,MF,26,1993,26,1993,77,58.3,22.1,22,87,17,4,21,2,1.35,33,33,0,0.0,0.38,29.3,36.7,-7.4,-0.33,0.13
MNE,MF,27,1991,30,1569,52,45.9,17.4,20,73,5,10,12,2,1.27,18,28,-10,-0.57,-0.77,20.5,29.3,-8.9,-0.51,-0.22
ESP,GK,29,1989,0,,,,,0,,0,0,,14,,,,,,,,,,,
ESP,MF,21,1998,5,33,7,1.0,0.4,0,,0,5,7,6,2.0,2,1,1,2.73,2.91,1.7,2.2,-0.5,-1.41,-1.03
ESP,DF,24,1995,4,191,48,5.6,2.1,2,90,2,2,6,7,1.75,3,4,-1,-0.47,-0.33,2.7,2.9,-0.3,-0.13,0.27
ESP,FW,28,1991,36,2267,63,66.3,25.2,26,80,11,10,20,1,1.25,27,32,-5,-0.2,-0.12,33.0,38.4,-5.5,-0.22,0.51
ESP,DF,20,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP,MF,28,1991,28,1875,67,54.8,20.8,22,76,5,6,32,2,1.29,23,31,-8,-0.38,-0.5,22.4,31.1,-8.7,-0.42,-0.06
POR,DF,25,1994,29,2610,90,76.3,29.0,29,90,29,0,,1,1.28,36,38,-2,-0.07,0.38,34.9,45.6,-10.7,-0.37,0.09
ESP,FW,30,1989,22,672,31,19.6,7.5,6,70,0,16,16,12,1.23,7,10,-3,-0.4,-0.3,9.0,16.0,-7.0,-0.94,-0.69
ESP,DF,30,1988,28,2374,85,69.4,26.4,27,88,25,1,1,5,1.54,36,34,2,0.08,0.76,35.6,43.1,-7.5,-0.28,0.34
ESP,DF,29,1989,20,1589,79,46.5,17.7,18,87,15,2,10,9,1.05,14,23,-9,-0.51,-0.66,20.6,30.1,-9.5,-0.54,-0.28
CRC,DF,30,1989,8,485,61,14.2,5.4,5,85,3,3,20,18,1.5,6,13,-7,-1.3,-1.33,7.5,11.7,-4.3,-0.79,-0.47
ESP,FW,26,1992,20,279,14,8.2,3.1,0,,0,20,14,10,0.35,1,7,-6,-1.94,-1.39,4.9,6.6,-1.7,-0.56,0.04
ESP,"MF,FW",23,1996,29,1690,58,49.4,18.8,22,70,5,7,20,9,0.97,20,32,-12,-0.64,0.04,23.6,32.2,-8.6,-0.46,0.26
ESP,DF,20,1999,19,1498,79,43.8,16.6,16,89,13,3,27,0,0.95,19,29,-10,-0.6,0.1,15.7,25.9,-10.2,-0.61,-0.04
SRB,DF,27,1991,12,814,68,23.8,9.0,9,87,8,3,11,9,0.67,4,17,-13,-1.44,-1.02,7.1,15.1,-7.9,-0.88,-0.38
MKD,"MF,FW",26,1992,14,330,24,9.6,3.7,1,56,0,13,21,8,0.79,2,7,-5,-1.36,-0.78,4.8,6.7,-2.0,-0.53,0.06
CRO,FW,28,1991,35,2765,79,80.8,30.7,33,81,15,2,38,0,0.94,38,53,-15,-0.49,0.89,35.0,51.1,-16.2,-0.53,0.33
ESP,DF,27,1991,32,2775,87,81.1,30.8,32,87,28,0,,0,0.97,33,50,-17,-0.55,0.56,36.6,53.2,-16.6,-0.54,0.27
ESP,MF,30,1988,2,37,19,1.1,0.4,0,,0,2,19,2,0.0,0,2,-2,-4.86,-4.25,0.4,1.3,-0.9,-2.24,-1.66
GHA,DF,25,1994,2,108,54,3.2,1.2,2,54,1,0,,0,0.5,0,1,-1,-0.83,-0.18,2.2,1.6,0.6,0.48,1.11
COL,"FW,MF",20,1999,22,1487,68,43.5,16.5,17,78,7,5,32,0,0.82,19,23,-4,-0.24,0.74,15.2,26.2,-10.9,-0.66,-0.13
ESP,"MF,FW",31,1988,37,3039,82,88.9,33.8,36,84,26,1,25,0,0.89,39,62,-23,-0.68,-0.21,36.1,58.4,-22.4,-0.66,-0.65
ESP,GK,31,1987,1,90,90,2.6,1.0,1,90,1,0,,22,0.0,2,7,-5,-5.0,-4.46,0.7,2.0,-1.3,-1.33,-0.76
ESP,DF,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP,DF,28,1991,23,1768,77,51.7,19.6,18,88,16,5,38,4,0.83,21,34,-13,-0.66,-0.01,21.5,36.1,-14.6,-0.74,-0.32
GHA,MF,23,1996,36,2903,81,84.9,32.3,35,82,21,1,34,1,0.92,37,55,-18,-0.56,0.66,34.1,52.6,-18.5,-0.57,0.09
ESP,GK,22,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP,DF,22,1997,19,1360,72,39.8,15.1,16,83,12,3,12,8,0.74,13,29,-16,-1.06,-0.67,16.3,27.8,-11.5,-0.76,-0.29
ESP,MF,27,1991,6,150,25,4.4,1.7,1,73,0,5,15,17,0.67,0,4,-4,-2.4,-1.82,1.4,3.1,-1.7,-1.0,-0.43
KOR,MF,30,1989,1,9,9,0.3,0.1,0,,0,1,9,0,3.0,0,1,-1,-10.0,-9.37,0.0,0.3,-0.3,-3.21,-2.63
CIV,"MF,FW",28,1990,35,2188,63,64.0,24.3,24,80,12,11,25,1,0.86,19,35,-16,-0.66,0.0,22.8,38.1,-15.3,-0.63,-0.12
GRE,DF,24,1995,2,93,47,2.7,1.0,1,30,0,1,63,1,2.0,3,1,2,1.94,2.67,2.6,1.9,0.7,0.71,1.34
ARG,FW,14,2004,1,8,8,0.2,0.1,0,,0,1,8,9,0.0,0,0,0,0.0,0.66,0.1,0.1,0.0,-0.12,0.47
GHA,DF,22,1996,23,1805,78,52.8,20.1,20,83,14,3,49,3,1.04,24,33,-9,-0.45,0.44,22.7,29.7,-7.1,-0.35,0.5
ESP,GK,34,1985,36,3240,90,94.7,36.0,36,90,36,0,,2,0.89,38,60,-22,-0.61,0.89,39.7,60.6,-20.9,-0.58,0.15
ESP,MF,32,1987,3,130,43,3.8,1.4,2,58,0,1,14,14,1.0,0,4,-4,-2.77,-2.19,1.0,2.3,-1.3,-0.87,-0.29
SVK,DF,23,1995,36,3182,88,93.0,35.4,36,88,33,0,,0,0.92,40,59,-19,-0.54,1.73,38.4,58.2,-19.9,-0.56,0.38
ESP,GK,23,1996,1,90,90,2.6,1.0,1,90,1,0,,13,1.0,2,2,0,0.0,0.68,0.8,0.9,-0.1,-0.14,0.47
ARG,"FW,MF",31,1988,13,209,16,6.1,2.3,1,58,0,12,13,11,0.85,2,3,-1,-0.43,0.24,3.4,2.8,0.6,0.26,0.9
ESP,GK,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP,DF,15,2004,1,4,4,0.1,0.0,0,,0,1,4,2,1.0,0,0,0,0.0,0.66,0.0,0.1,-0.1,-2.08,-1.5
ESP,MF,35,1984,35,2568,73,75.1,28.5,31,79,17,4,30,0,0.77,29,43,-14,-0.49,0.67,32.7,44.5,-11.8,-0.41,0.76
JPN,"MF,FW",18,2001,35,2312,66,67.6,25.7,23,84,14,12,31,1,0.83,28,49,-21,-0.82,-0.49,26.6,47.0,-20.4,-0.79,-0.63
ESP,DF,37,1982,9,473,53,13.8,5.3,4,90,4,5,23,24,1.1,5,14,-9,-1.71,-1.22,2.8,7.9,-5.1,-0.97,-0.44
FRA,"MF,FW",28,1991,4,82,21,2.4,0.9,0,,0,4,21,7,0.25,1,3,-2,-2.2,-1.57,1.3,1.3,0.0,0.02,0.62
ESP,FW,26,1992,6,109,18,3.2,1.2,0,,0,6,18,1,0.67,2,2,0,0.0,0.68,1.4,2.5,-1.1,-0.91,-0.33
ESP,FW,31,1988,26,1443,56,42.2,16.0,17,71,0,9,26,4,1.27,18,21,-3,-0.19,0.04,22.9,20.1,2.8,0.17,0.3
ESP,FW,17,2001,1,11,11,0.3,0.1,0,,0,1,11,8,1.0,0,0,0,0.0,0.21,0.1,0.1,0.0,-0.25,-0.26
ESP,MF,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP,DF,30,1989,29,2610,90,76.3,29.0,29,90,29,0,,4,1.59,36,36,0,0.0,0.89,39.4,35.3,4.1,0.14,0.59
ESP,FW,24,1995,8,406,51,11.9,4.5,5,71,0,3,17,5,0.75,3,7,-4,-0.89,-0.77,3.8,5.8,-2.0,-0.45,-0.51
SRB,MF,27,1992,31,2245,72,65.6,24.9,27,82,17,4,9,2,1.52,26,33,-7,-0.28,-0.2,29.3,31.7,-2.5,-0.1,-0.29
ESP,DF,25,1994,32,2793,87,81.7,31.0,31,90,31,1,3,2,1.31,38,48,-10,-0.32,-0.61,42.3,41.2,1.0,0.03,0.17
ESP,FW,32,1986,14,880,63,25.7,9.8,9,83,6,5,27,0,1.57,10,12,-2,-0.2,0.01,12.1,11.7,0.5,0.05,0.06
ARG,FW,25,1994,20,1591,80,46.5,17.7,18,87,14,2,14,0,1.35,24,22,2,0.11,0.61,28.3,21.7,6.6,0.37,0.69
ARG,DF,32,1987,16,1277,80,37.3,14.2,15,84,11,1,21,13,1.19,16,21,-5,-0.35,-0.23,17.0,20.5,-3.5,-0.25,-0.4
ESP,MF,29,1990,23,1161,50,33.9,12.9,12,76,3,11,22,10,1.04,15,23,-8,-0.62,-0.62,17.1,20.1,-3.0,-0.23,-0.36
ESP,GK,22,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP,MF,31,1988,22,1082,49,31.6,12.0,11,82,8,11,16,6,1.45,13,23,-10,-0.83,-0.91,13.6,15.2,-1.5,-0.13,-0.19
ESP,MF,19,1999,1,10,10,0.3,0.1,0,,0,1,10,7,1.0,0,0,0,0.0,0.21,0.1,0.1,0.0,-0.25,-0.26
ESP,"MF,DF",21,1998,27,1496,55,43.7,16.6,15,82,10,12,22,5,1.41,20,22,-2,-0.12,0.16,16.7,21.1,-4.4,-0.26,-0.47
ESP,"FW,MF",24,1995,14,791,57,23.1,8.8,8,74,2,6,34,1,1.07,8,12,-4,-0.46,-0.32,7.2,10.4,-3.2,-0.37,-0.48
ESP,MF,21,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP,GK,23,1996,2,180,90,5.3,2.0,2,90,2,0,,17,2.0,5,3,2,1.0,1.28,3.4,3.0,0.4,0.2,0.21
