players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
2,38,38,3420,38,51,1.34,147,94,68.7,19,6,13,13,34.2,6,5,1,0,16.7,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
1,38,38,3420,38,61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,0,33.3,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
1,38,38,3420,38,54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,0,66.7,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
2,38,38,3420,38,39,1.03,160,121,77.5,14,12,12,12,31.6,5,3,1,1,25.0,/en/squads/943e8050/2017-2018/Burnley-Stats
2,38,38,3420,38,38,1.0,117,81,69.2,21,7,10,16,42.1,2,2,0,0,0.0,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
2,38,38,3420,38,55,1.45,170,117,68.8,11,11,16,9,23.7,2,2,0,0,0.0,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
1,38,38,3420,38,58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,1,25.0,/en/squads/d3fd31cc/2017-2018/Everton-Stats
1,38,38,3420,38,58,1.53,158,99,65.8,9,10,19,10,26.3,6,4,2,0,33.3,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
3,38,38,3420,38,60,1.58,164,104,64.6,12,11,15,9,23.7,4,2,2,0,50.0,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
2,38,38,3420,38,38,1.0,104,64,67.3,21,12,5,17,44.7,6,4,2,0,33.3,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2,38,38,3420,38,27,0.71,85,58,68.2,32,4,2,18,47.4,2,0,2,0,100.0,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2,38,38,3420,38,28,0.74,143,117,81.1,25,6,7,19,50.0,1,1,0,0,0.0,/en/squads/19538871/2017-2018/Manchester-United-Stats
3,38,38,3420,38,47,1.24,148,102,70.9,12,8,18,9,23.7,6,4,2,0,33.3,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
2,38,38,3420,38,56,1.47,165,108,66.7,7,15,16,8,21.1,2,1,1,0,50.0,/en/squads/33c895d4/2017-2018/Southampton-Stats
2,38,38,3420,38,68,1.79,216,150,70.8,7,12,19,6,15.8,5,5,0,0,0.0,/en/squads/17892952/2017-2018/Stoke-City-Stats
1,38,38,3420,38,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50.0,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
3,38,38,3420,38,36,0.95,124,89,72.6,23,8,7,16,42.1,3,2,0,1,0.0,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
2,38,38,3420,38,64,1.68,156,93,62.8,11,8,19,9,23.7,6,6,0,0,0.0,/en/squads/2abfe087/2017-2018/Watford-Stats
2,38,38,3420,38,56,1.47,154,100,64.3,6,13,19,10,26.3,1,1,0,0,0.0,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
2,38,38,3420,38,68,1.79,187,119,66.3,10,12,16,10,26.3,6,5,1,0,16.7,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
2,38,38,3420,38,50,1.32,172,122,75.0,15,2,21,12,31.6,10,7,2,1,22.2,/en/squads/8d6fd021/2017-2018/Alaves-Stats
