players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
30,38,25193,23347,1757,432,117,151,572,758,225,132,49,4,20878,89,413,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
22,38,17962,15874,2036,534,37,112,707,857,218,104,65,1,13450,52,412,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
24,38,16372,14549,1725,322,32,203,680,797,163,89,59,5,11838,98,355,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
24,38,15340,13382,1858,463,19,107,707,822,167,69,66,14,10524,100,313,/en/squads/943e8050/2017-2018/Burnley-Stats
26,38,23101,21232,1761,445,69,203,755,748,230,54,76,7,18967,108,405,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
28,38,16114,14109,1949,456,30,83,703,874,210,85,37,68,11809,56,361,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
30,38,16472,14537,1853,417,25,114,629,850,150,70,62,7,11953,82,397,/en/squads/d3fd31cc/2017-2018/Everton-Stats
25,38,16822,14785,1970,478,26,82,765,927,165,101,32,6,12036,67,415,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
27,38,17124,15046,1986,424,63,170,744,954,203,137,28,0,12357,92,370,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
27,38,24900,23034,1796,391,106,146,764,896,230,122,69,1,20367,70,382,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,38,29961,28178,1716,418,118,213,691,779,284,17,141,2,26164,67,404,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
27,38,21865,19929,1848,456,85,176,753,809,220,111,65,1,17765,88,398,/en/squads/19538871/2017-2018/Manchester-United-Stats
27,38,15659,13725,1871,444,67,114,616,837,167,75,58,8,11071,63,355,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
26,38,19027,17044,1910,423,56,169,800,862,227,130,65,7,14336,73,423,/en/squads/33c895d4/2017-2018/Southampton-Stats
30,38,14569,12544,1938,460,33,111,598,875,136,73,46,11,10122,87,320,/en/squads/17892952/2017-2018/Stoke-City-Stats
26,38,17437,15500,1899,472,23,141,694,825,150,99,36,2,13223,38,347,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
25,38,23695,21612,1995,483,83,196,825,948,246,95,89,7,19284,88,437,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
29,38,17513,15484,1955,484,27,138,713,926,183,92,62,2,12758,74,438,/en/squads/2abfe087/2017-2018/Watford-Stats
24,38,15004,13059,1866,394,34,96,784,855,176,122,32,11,10495,79,348,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
27,38,16197,14112,1988,482,51,134,733,900,161,98,37,5,11779,97,396,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
