players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,38,51,5,0,6,0,48.4,0.29,-2.6,-0.07,164,460,35.7,925,250,32.9,34.4,253,61.7,47.3,508,39,7.7,59,1.55,14.4,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
1,38,61,2,2,7,1,54.8,0.31,-5.2,-0.14,223,647,34.5,832,215,45.7,38.9,328,81.4,55.5,611,35,5.7,18,0.47,10.2,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
1,38,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
2,38,39,3,0,4,1,47.3,0.28,9.3,0.25,382,1074,35.6,1004,140,76.5,52.1,329,93.0,66.1,662,59,8.9,40,1.05,12.5,/en/squads/943e8050/2017-2018/Burnley-Stats
2,38,38,2,0,2,2,35.1,0.29,-0.9,-0.02,169,468,36.1,1034,226,32.0,33.8,263,52.1,45.7,479,27,5.6,29,0.76,13.2,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
2,38,55,2,1,11,2,51.5,0.3,-1.5,-0.04,312,826,37.8,777,110,68.5,47.3,316,93.0,62.8,612,37,6.0,32,0.84,13.4,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
1,38,58,3,0,6,0,56.1,0.3,-1.9,-0.05,322,945,34.1,984,162,64.0,47.8,340,92.6,67.2,591,27,4.6,51,1.34,14.9,/en/squads/d3fd31cc/2017-2018/Everton-Stats
1,38,58,4,0,6,1,51.7,0.3,-5.3,-0.14,360,891,40.4,1083,103,59.4,45.2,304,81.6,57.9,493,31,6.3,55,1.45,14.4,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
3,38,60,2,3,11,2,50.5,0.29,-7.5,-0.2,338,875,38.6,973,134,60.4,43.8,307,93.5,63.3,563,28,5.0,66,1.74,16.3,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
