players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
26,38,70,5,1,492,471,73,567,544,462,5,14,3,2120,603,665,47.6,/en/squads/8dfb7350/2017-2018/Dijon-Stats
23,38,67,2,2,498,517,100,727,475,437,5,7,1,2026,610,635,49.0,/en/squads/d41b5f53/2017-2018/Guingamp-Stats
25,38,61,6,2,482,430,87,614,492,453,2,7,3,2251,485,460,51.3,/en/squads/cb188c0c/2017-2018/Lille-Stats
26,38,72,2,1,475,530,80,572,450,411,6,8,3,2142,573,458,55.6,/en/squads/d53c0b06/2017-2018/Lyon-Stats
26,38,81,2,0,508,481,78,864,448,505,7,6,2,2246,607,571,51.5,/en/squads/5725cc7b/2017-2018/Marseille-Stats
36,38,80,7,2,532,435,56,701,511,458,2,5,2,2204,615,725,45.9,/en/squads/f83960ae/2017-2018/Metz-Stats
32,38,71,4,1,508,517,73,764,497,433,8,5,1,2069,612,609,50.1,/en/squads/fd6114db/2017-2018/Monaco-Stats
23,38,72,1,0,447,528,83,849,499,450,2,6,0,2220,633,554,53.3,/en/squads/281b0e73/2017-2018/Montpellier-Stats
30,38,68,6,5,490,409,85,789,426,510,4,4,1,2243,667,692,49.1,/en/squads/d7a486cd/2017-2018/Nantes-Stats
31,38,82,4,2,445,533,63,572,437,398,9,5,3,1939,388,381,50.5,/en/squads/132ebc33/2017-2018/Nice-Stats
28,38,69,6,4,425,493,93,682,329,435,7,5,1,2023,353,265,57.1,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
28,38,67,5,3,479,525,89,766,415,409,7,8,2,2194,674,642,51.2,/en/squads/b3072e00/2017-2018/Rennes-Stats
30,38,72,8,1,510,492,90,657,401,447,10,7,1,2035,627,597,51.2,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats
25,38,72,4,1,523,437,76,776,515,490,7,7,0,2087,700,664,51.3,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats
25,38,93,3,1,590,495,75,822,479,465,9,6,2,2074,748,672,52.7,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats
25,38,78,7,2,495,388,63,689,437,410,3,5,1,2018,641,787,44.9,/en/squads/54195385/2017-2018/Troyes-Stats
27,34,68,,1,490,411,70,757,400,543,4,3,0,1616,700,774,47.5,/en/squads/0cdc4311/2017-2018/Augsburg-Stats
28,34,42,,0,366,413,67,893,355,467,7,4,3,1687,518,448,53.6,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
30,34,41,,1,403,422,83,585,336,510,4,3,0,1472,580,516,52.9,/en/squads/add600ae/2017-2018/Dortmund-Stats
28,34,72,,0,526,453,85,586,409,483,2,3,2,1576,676,708,48.8,/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats
29,34,56,,3,446,429,40,471,392,465,8,5,4,1292,707,771,47.8,/en/squads/a486e511/2017-2018/Freiburg-Stats
27,34,47,,0,398,411,73,490,384,488,5,4,1,1428,516,504,50.6,/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats
29,34,63,,3,499,467,61,668,367,543,3,4,1,1631,678,778,46.6,/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats
26,34,63,,0,487,503,53,579,382,490,5,4,0,1502,787,681,53.6,/en/squads/60b5e41f/2017-2018/Hannover-96-Stats
