players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
30,38,1079,28.39,830,53,70,65,53,8,131,3.45,95,8,7,12,7,2,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
22,38,809,21.29,582,78,53,42,39,15,83,2.18,53,8,5,8,7,2,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
24,38,684,18.0,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
24,38,664,17.47,441,88,36,43,48,8,58,1.53,37,4,4,11,2,0,/en/squads/943e8050/2017-2018/Burnley-Stats
26,38,1114,29.32,838,83,81,54,46,12,110,2.89,84,7,8,3,8,0,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
28,38,834,21.95,528,83,90,56,60,17,78,2.05,50,3,7,9,9,0,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
30,38,629,16.55,454,59,31,31,42,12,71,1.87,41,4,8,9,5,4,/en/squads/d3fd31cc/2017-2018/Everton-Stats
25,38,621,16.34,443,52,39,35,36,16,45,1.18,29,4,6,3,3,0,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
27,38,731,19.24,495,83,63,45,38,7,94,2.47,68,8,6,5,7,0,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
27,38,1139,29.97,859,71,98,58,36,17,144,3.79,98,5,27,8,5,1,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,38,1209,31.82,943,73,76,52,52,13,193,5.08,150,8,16,7,10,2,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
27,38,916,24.11,699,54,69,45,38,11,117,3.08,81,6,12,12,5,1,/en/squads/19538871/2017-2018/Manchester-United-Stats
27,38,781,20.55,561,72,45,44,39,20,63,1.66,43,7,2,10,1,0,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
26,38,799,21.03,590,71,54,42,32,10,65,1.71,40,5,9,6,5,0,/en/squads/33c895d4/2017-2018/Southampton-Stats
30,38,669,17.61,463,69,41,44,41,11,62,1.63,39,8,4,7,3,1,/en/squads/17892952/2017-2018/Stoke-City-Stats
26,38,581,15.29,395,57,48,37,33,11,40,1.05,23,7,1,6,1,2,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
25,38,1092,28.74,811,75,68,72,51,15,114,3.0,81,7,8,11,7,0,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
29,38,766,20.16,526,73,60,47,40,20,69,1.82,41,5,8,10,5,0,/en/squads/2abfe087/2017-2018/Watford-Stats
