players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
30,61.4,38,29146,2201,7494,13560,8306,1104,29141,547,383,70.0,164,30.0,18631,95357,50346,915,805,214,540,412,20745,2210,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
22,48.1,38,22240,2420,7636,9472,5366,780,22237,638,343,53.8,291,45.6,11197,66091,33018,702,474,169,564,419,13346,1505,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
24,43.7,38,20478,2530,7473,8781,4463,594,20471,487,299,61.4,188,38.6,10099,57499,29182,523,375,113,496,296,11749,1216,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
24,43.7,38,19452,2376,6334,8960,4332,589,19452,345,218,63.2,127,36.8,8853,45635,22260,431,329,88,489,345,10419,1090,/en/squads/943e8050/2017-2018/Burnley-Stats
26,55.6,38,27165,2307,8084,12055,7334,988,27162,734,513,69.9,221,30.1,16479,93989,51657,1045,699,238,533,414,18823,1969,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
28,45.2,38,20777,2192,6612,9120,5293,811,20767,718,479,66.7,239,33.3,11461,62001,31023,727,526,213,618,482,11715,1297,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
30,45.5,38,20994,2427,7086,9205,4900,608,20986,461,264,57.3,197,42.7,10177,52954,26650,477,352,105,616,381,11850,1152,/en/squads/d3fd31cc/2017-2018/Everton-Stats
25,45.7,38,21340,2267,7032,9501,5064,533,21338,491,276,56.2,215,43.8,10213,60650,29381,627,495,127,546,416,11895,1189,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
27,48.0,38,21322,2209,6497,10115,4964,673,21316,718,422,58.8,294,40.9,10418,64343,32440,655,471,151,516,358,12216,1251,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
