playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
32,3,9.0,,98611,Moura,,Francisco Moura,1999-08-16,Portugal,Left-Back,,,2025-05-16T09:42:46Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
14,3,,,2298,Andrea Belotti,Andrea,Belotti,1993-12-20,Italy,Centre-Forward,,,2024-08-23T09:25:23Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
15,3,1.0,,161005,Dylan Nandín,Dylan,Nandin,2002-02-28,Uruguay,Offence,,,2024-06-23T09:42:54Z,712,FC Arouca,Arouca,FCA,https://crests.football-data.org/712.png,Rua Doutor Ângelo Miranda Arouca 4540-140,http://www.fcarouca.eu,1952.0,Yellow / Blue,Estádio Municipal de Arouca,2022-02-25T16:58:25Z,PPL,Primeira Liga,2024
28,3,1.0,2.0,16149,Zé Luís,,Zé Luís,1991-01-24,Cape Verde Islands,Centre-Forward,,,2024-11-01T22:50:30Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
11,3,,,275027,Yan Maranhão,,Yan Maranhão,2002-09-13,Brazil,Offence,,,2025-02-04T09:46:15Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
14,3,1.0,,67704,Uroš Račić,Uroš,Račić,1998-03-17,Serbia,Central Midfield,,,2024-09-02T10:05:31Z,5613,Sporting Clube de Braga,Braga,SCB,https://crests.football-data.org/5613.png,"Parque Norte, Monte Crasto, Apartado 12 Braga 4700-087",http://www.scbraga.pt,1921.0,Red / White,Estádio Municipal de Braga,2022-02-19T08:44:56Z,PPL,Primeira Liga,2024
14,2,2.0,,83223,Ivan Jaime Pajuelo,,Iván Jaime,2000-09-26,Spain,Attacking Midfield,,,2024-11-01T22:50:30Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
17,2,2.0,1.0,13690,Alisson Safira,,Alisson Safira,1995-03-17,Brazil,Offence,,,2023-07-30T19:37:08Z,5530,CD Santa Clara,Santa Clara,CD ,https://crests.football-data.org/5530.png,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",http://www.cdsantaclara.pt,1921.0,Red / White,Cidade do Futebol,2022-02-20T08:40:31Z,PPL,Primeira Liga,2024
17,2,,,8511,Zaydou Youssouf,Zaydou,Youssouf,1999-07-11,France,Central Midfield,,,2024-11-01T22:50:30Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
19,2,1.0,,18690,Madson,,Madson,1999-08-26,Brazil,Left Winger,,,2024-11-01T22:50:30Z,583,Moreirense FC,Moreirense,MOR,https://crests.football-data.org/583.png,Avenida Comendador Joaquim de Almeida Freitas Moreira de Cónegos 4815-270,http://www.moreirensefc.pt,1938.0,Green / White,P.D. Comendador Joaquim de Almeida Freitas,2023-03-05T07:40:05Z,PPL,Primeira Liga,2024
19,2,2.0,,33128,Mario González,,Mario González,1996-02-25,Spain,Offence,,,2024-12-26T09:42:53Z,5531,FC Famalicão,Famalicão,FAM,https://crests.football-data.org/5531.png,null Vila Nova de Famalicão null,http://www.fcfamalicao.pt,1931.0,Blue / White,Estádio Municipal 22 de Junho,2022-08-07T11:37:24Z,PPL,Primeira Liga,2024
29,2,2.0,,102250,Jaume Grau,,Jaume Grau,1997-05-05,Spain,Midfield,,,2024-08-05T08:21:34Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
17,2,3.0,,192626,Kaio César,,Kaio Andrade,2004-02-15,Brazil,Right Winger,,,2024-11-01T22:50:30Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
32,2,1.0,,171367,Tomás Händel,,Tomás Händel,2000-11-27,Portugal,Defensive Midfield,,,2024-11-01T22:50:30Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
25,2,,,8781,Duplexe Tchamba,Duplexe,Tchamba,1998-07-10,Cameroon,Centre-Back,,,2024-11-01T22:50:30Z,6618,Casa Pia AC,Casa Pia,CAS,https://crests.football-data.org/6618.png,Estádio Pina Manique Lisboa 1500-462,http://www.casapia-ac.pt,1920.0,Black / White,Estádio Pina Manique,2022-07-26T17:38:35Z,PPL,Primeira Liga,2024
25,2,2.0,,243614,Vasco Lopes,,Vasco Lopes,1999-09-02,Cape Verde Islands,Offence,,,2025-05-15T09:42:52Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
31,2,1.0,,37560,Florentino,,Florentino,1999-08-19,Portugal,Defensive Midfield,,,2024-11-01T22:50:30Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
23,2,,,130047,Tomás Ribeiro,,Tomás Ribeiro,1999-04-30,Portugal,Centre-Back,,,2024-11-01T22:50:30Z,5602,SC Farense,Farense,FAR,https://crests.football-data.org/5602.png,"Praça de Tânger, Ginásio Sede Faro 8005-445",http://www.scfarense1910.blogspot.com,1910.0,Black / White,Estádio de São Lúis,2023-07-06T17:34:46Z,PPL,Primeira Liga,2024
30,2,1.0,,105208,Kiko Bondoso,,Kiko Bondoso,1995-11-17,Portugal,Offence,,,2025-05-20T09:42:31Z,496,Rio Ave FC,Rio Ave,RIO,https://crests.football-data.org/496.png,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",http://www.rioave-fc.pt,1939.0,Green / White,Estádio do Rio Ave Futebol Clube,2022-07-26T17:38:50Z,PPL,Primeira Liga,2024
30,2,4.0,,213136,Wagner Pina,,Wagner Pina,2002-11-03,Portugal,Right-Back,,,2024-11-01T22:50:30Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
32,2,1.0,,1723,Arthur Cabral,,Arthur Cabral,1998-04-25,Brazil,Centre-Forward,,,2024-11-01T22:50:30Z,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,Avenida General Norton de Matos 1500 Lissabon null,https://www.slbenfica.pt,1904.0,,Estádio do Sport Lisboa e Benfica,2024-11-06T20:07:52Z,PPL,Primeira Liga,2024
24,2,3.0,,49092,Hidemasa Morita,Hidemasa,Morita,1995-05-10,Japan,Central Midfield,,6.0,2024-11-01T22:50:30Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
33,2,2.0,,153938,Leonel Bucca,Leonel,Bucca,1999-03-20,Argentina,Central Midfield,,,2024-11-01T22:50:30Z,9136,CF Estrela da Amadora,Amadora,AMA,https://crests.football-data.org/9136.png,null null null,,,,Estádio Nacional,2023-07-31T12:07:04Z,PPL,Primeira Liga,2024
26,2,,2.0,116188,Gustavo Assunção,,Gustavo Assunção,2000-03-30,Brazil,Defensive Midfield,,,2024-11-01T22:50:30Z,10340,AVS,AVS,AVS,https://crests.football-data.org/10340.png,null null null,,,,Estádio do CD Aves,2024-12-17T10:57:53Z,PPL,Primeira Liga,2024
34,2,4.0,,229421,Geovany Quenda,,Geovany Quenda,2007-04-30,Portugal,Offence,,,2024-04-06T09:42:50Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
