nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
URU,DF,20,1999,2.6,0,1,0,0.0,0.38,0.0,0.0,,3.7,0,0,0,0.2,0.2,0.21,-0.2,-0.2
FRA,DF,25,1993,10.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"DF,MF",27,1992,26.0,1,6,2,33.3,0.23,0.08,0.17,0.5,14.7,0,0,0,0.6,0.6,0.1,0.4,0.4
ESP,MF,31,1988,27.6,2,10,4,40.0,0.36,0.14,0.2,0.5,16.4,0,0,0,1.3,1.3,0.13,0.7,0.7
ESP,FW,20,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,23,1996,15.0,1,15,7,46.7,1.0,0.47,0.07,0.14,18.2,0,0,0,1.1,1.1,0.08,-0.1,-0.1
MEX,MF,32,1986,22.7,0,12,4,33.3,0.53,0.18,0.0,0.0,22.3,0,0,0,1.0,1.0,0.08,-1.0,-1.0
ESP,DF,32,1987,7.1,0,2,0,0.0,0.28,0.0,0.0,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ALG,DF,27,1991,28.6,0,11,3,27.3,0.38,0.1,0.0,0.0,11.3,0,0,0,1.5,1.5,0.14,-1.5,-1.5
ESP,FW,26,1993,21.4,3,36,12,33.3,1.69,0.56,0.08,0.25,13.6,0,0,0,3.8,3.8,0.11,-0.8,-0.8
ESP,"MF,FW",21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,21.5,0,0,0,1.4,1.4,0.12,-0.4,-0.4
ESP,"MF,FW",27,1991,8.7,2,20,6,30.0,2.29,0.69,0.1,0.33,21.0,2,0,0,1.9,1.9,0.1,0.1,0.1
ESP,GK,21,1998,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
MEX,"MF,FW",19,2000,3.9,0,6,2,33.3,1.55,0.52,0.0,0.0,24.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
BRA,DF,20,1999,31.5,3,26,4,15.4,0.82,0.13,0.12,0.75,15.0,0,0,0,1.8,1.8,0.07,1.2,1.2
ARG,MF,25,1994,10.4,1,12,3,25.0,1.15,0.29,0.08,0.33,21.5,0,0,0,0.7,0.7,0.06,0.3,0.3
ESP,MF,18,2000,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,MF,32,1987,4.2,0,3,1,33.3,0.72,0.24,0.0,0.0,14.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ESP,"MF,FW",38,1981,22.9,8,31,11,35.5,1.35,0.48,0.19,0.55,21.3,5,2,3,6.0,3.7,0.12,2.0,2.3
ESP,GK,29,1990,32.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"FW,MF",26,1993,2.9,1,7,3,42.9,2.39,1.02,0.14,0.33,14.7,0,0,0,1.5,1.5,0.22,-0.5,-0.5
ESP,FW,25,1993,22.6,10,52,18,34.6,2.3,0.8,0.19,0.56,15.1,0,0,0,8.0,8.0,0.16,2.0,2.0
ESP,"DF,MF",28,1991,28.0,3,23,4,17.4,0.82,0.14,0.13,0.75,18.1,0,0,0,2.5,2.5,0.11,0.5,0.5
FRA,"MF,FW",26,1993,29.3,7,101,40,39.6,3.45,1.36,0.06,0.15,20.7,8,1,1,6.9,6.1,0.06,0.1,-0.1
ESP,"FW,MF",18,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"MF,FW",28,1991,35.1,6,48,14,29.2,1.37,0.4,0.06,0.21,21.8,5,3,4,7.5,4.3,0.09,-1.5,-1.3
BRA,DF,29,1989,13.1,1,5,2,40.0,0.38,0.15,0.2,0.5,14.0,0,0,0,0.3,0.3,0.06,0.7,0.7
CMR,MF,23,1996,2.2,0,3,0,0.0,1.39,0.0,0.0,,30.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
POR,MF,27,1992,9.9,0,6,2,33.3,0.61,0.2,0.0,0.0,21.5,0,0,0,0.6,0.6,0.1,-0.6,-0.6
MAR,DF,30,1989,15.9,1,10,3,30.0,0.63,0.19,0.1,0.33,12.8,0,0,0,1.0,1.0,0.1,0.0,0.0
ESP,DF,26,1993,25.2,0,24,8,33.3,0.95,0.32,0.0,0.0,15.9,0,0,0,2.7,2.7,0.11,-2.7,-2.7
ESP,MF,22,1997,7.6,0,6,1,16.7,0.79,0.13,0.0,0.0,7.4,0,0,0,1.3,1.3,0.22,-1.3,-1.3
ESP,"MF,FW",22,1997,16.4,0,25,8,32.0,1.52,0.49,0.0,0.0,22.7,0,0,0,2.1,2.1,0.08,-2.1,-2.1
ESP,DF,24,1995,3.8,0,1,0,0.0,0.27,0.0,0.0,,5.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
ESP,DF,25,1993,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"MF,FW",25,1994,18.1,1,18,8,44.4,0.99,0.44,0.06,0.13,19.2,1,0,1,2.0,1.2,0.07,-1.0,-0.2
CRO,MF,27,1992,7.8,0,4,4,100.0,0.51,0.51,0.0,0.0,25.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3
ESP,MF,20,1999,20.3,1,14,4,28.6,0.69,0.2,0.07,0.25,20.1,0,0,0,1.5,1.5,0.1,-0.5,-0.5
RUS,FW,29,1990,8.3,2,16,6,37.5,1.94,0.73,0.13,0.33,16.6,0,0,0,2.0,2.0,0.13,0.0,0.0
URU,"FW,MF",25,1994,6.2,1,7,3,42.9,1.12,0.48,0.14,0.33,11.3,0,0,0,0.7,0.7,0.09,0.3,0.3
ESP,DF,28,1991,21.8,0,6,3,50.0,0.27,0.14,0.0,0.0,18.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5
ESP,FW,31,1987,36.2,14,77,32,41.6,2.12,0.88,0.12,0.28,17.5,11,5,7,14.6,9.0,0.12,-0.6,0.0
ESP,"MF,FW",17,2001,0.1,1,1,1,100.0,6.92,6.92,1.0,1.0,14.2,0,0,0,0.3,0.3,0.31,0.7,0.7
ESP,GK,22,1997,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"DF,MF",22,1997,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
COL,DF,27,1992,17.0,1,9,5,55.6,0.53,0.29,0.11,0.2,15.1,0,0,0,0.5,0.5,0.06,0.5,0.5
ESP,DF,22,1996,4.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GHA,DF,23,1995,27.8,0,10,1,10.0,0.36,0.04,0.0,0.0,11.1,0,0,0,1.0,1.0,0.1,-1.0,-1.0
ESP,"FW,MF",24,1994,1.0,0,1,0,0.0,1.03,0.0,0.0,,17.8,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP,DF,26,1993,14.7,0,1,0,0.0,0.07,0.0,0.0,,34.6,0,0,0,0.0,0.0,0.01,0.0,0.0
URU,DF,25,1994,34.9,1,19,5,26.3,0.54,0.14,0.05,0.2,26.7,7,0,0,0.8,0.8,0.04,0.2,0.2
ESP,"MF,FW",32,1986,3.6,2,6,4,66.7,1.67,1.11,0.17,0.25,19.8,2,1,1,1.6,0.9,0.14,0.4,0.1
MEX,DF,27,1991,32.1,1,13,3,23.1,0.41,0.09,0.08,0.33,14.0,0,0,0,1.0,1.0,0.08,0.0,0.0
TUR,MF,25,1994,21.9,0,12,2,16.7,0.55,0.09,0.0,0.0,21.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
SEN,MF,21,1997,6.7,0,2,0,0.0,0.3,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
DEN,"FW,MF",24,1995,9.9,2,30,15,50.0,3.03,1.52,0.07,0.13,21.9,1,0,0,2.0,2.0,0.07,0.0,0.0
BRA,MF,26,1993,23.5,4,32,10,31.3,1.36,0.43,0.13,0.4,20.1,0,0,0,1.5,1.5,0.05,2.5,2.5
ESP,GK,24,1995,32.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"FW,MF",23,1995,21.6,6,47,14,29.8,2.18,0.65,0.13,0.43,15.3,1,0,0,6.1,6.1,0.13,-0.1,-0.1
ESP,"MF,FW",21,1997,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,GK,32,1986,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
SVK,MF,24,1994,15.4,0,8,3,37.5,0.52,0.2,0.0,0.0,25.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ESP,DF,32,1987,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,24.9,3,0,0,0.7,0.7,0.05,0.3,0.3
BRA,FW,35,1984,14.5,6,23,9,39.1,1.59,0.62,0.22,0.56,15.5,0,1,2,4.6,3.0,0.13,1.4,2.0
ESP,MF,22,1996,25.7,4,32,15,46.9,1.24,0.58,0.09,0.2,25.2,0,1,2,2.7,1.0,0.03,1.3,2.0
ARG,DF,27,1992,12.4,1,3,1,33.3,0.24,0.08,0.33,1.0,9.3,0,0,0,0.6,0.6,0.2,0.4,0.4
CHI,"MF,FW",33,1986,26.6,8,37,15,40.5,1.39,0.56,0.11,0.27,19.4,1,4,5,8.0,4.0,0.11,0.0,0.0
ARG,MF,26,1993,18.6,0,21,5,23.8,1.13,0.27,0.0,0.0,15.4,0,0,0,1.7,1.7,0.08,-1.7,-1.7
ESP,DF,34,1984,5.1,1,4,2,50.0,0.79,0.39,0.25,0.5,9.6,0,0,0,0.3,0.3,0.09,0.7,0.7
ESP,DF,29,1989,26.2,1,24,7,29.2,0.92,0.27,0.04,0.14,28.0,8,0,0,0.8,0.8,0.03,0.2,0.2
ESP,FW,29,1989,19.6,5,59,18,30.5,3.01,0.92,0.08,0.28,14.1,0,0,0,6.0,6.0,0.1,-1.0,-1.0
SRB,GK,27,1992,35.0,0,1,1,100.0,0.03,0.03,0.0,0.0,6.4,0,0,0,0.5,0.5,0.47,-0.5,-0.5
ESP,MF,20,1999,0.3,0,2,0,0.0,6.0,0.0,0.0,,12.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ESP,MF,22,1997,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ARG,"DF,MF",31,1988,17.8,2,14,4,28.6,0.79,0.22,0.07,0.25,18.2,1,1,1,2.8,2.0,0.16,-0.8,-1.0
SEN,MF,33,1986,25.0,1,27,6,22.2,1.08,0.24,0.04,0.17,22.8,0,0,0,1.2,1.2,0.05,-0.2,-0.2
POR,DF,27,1992,23.2,1,12,4,33.3,0.52,0.17,0.08,0.25,10.6,0,0,0,1.0,1.0,0.08,0.0,0.0
ESP,DF,28,1990,19.7,3,8,5,62.5,0.41,0.25,0.38,0.6,16.8,0,0,0,1.2,1.2,0.15,1.8,1.8
ESP,"MF,FW",32,1986,21.1,1,38,14,36.8,1.8,0.66,0.03,0.07,21.0,6,0,0,2.9,2.9,0.08,-1.9,-1.9
ESP,"FW,MF",29,1990,5.4,0,10,1,10.0,1.84,0.18,0.0,0.0,17.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
POR,DF,24,1995,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,26,1992,10.3,0,5,1,20.0,0.48,0.1,0.0,0.0,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
URU,MF,25,1993,9.7,0,7,3,42.9,0.72,0.31,0.0,0.0,26.1,2,0,0,0.3,0.3,0.04,-0.3,-0.3
ESP,FW,29,1990,20.7,1,28,6,21.4,1.35,0.29,0.04,0.17,11.1,0,0,0,3.0,3.0,0.11,-2.0,-2.0
ESP,"MF,DF",27,1992,12.7,0,4,0,0.0,0.31,0.0,0.0,,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
JPN,"MF,FW",31,1988,21.8,2,40,12,30.0,1.84,0.55,0.05,0.17,20.5,0,0,0,3.5,3.5,0.09,-1.5,-1.5
ESP,GK,30,1988,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,23,1996,16.1,0,6,1,16.7,0.37,0.06,0.0,0.0,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP,"MF,FW",27,1992,15.2,2,38,14,36.8,2.49,0.92,0.03,0.07,25.6,12,1,1,3.2,2.4,0.06,-1.2,-1.4
ESP,"DF,MF",21,1998,12.1,1,12,5,41.7,0.99,0.41,0.08,0.2,21.8,0,0,0,1.2,1.2,0.1,-0.2,-0.2
ESP,MF,30,1989,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
COL,DF,30,1989,25.1,3,22,8,36.4,0.88,0.32,0.14,0.38,10.5,0,0,0,2.3,2.3,0.1,0.7,0.7
ESP,"DF,MF",29,1989,27.3,4,16,11,68.8,0.59,0.4,0.25,0.36,13.7,0,0,0,1.3,1.3,0.08,2.7,2.7
ESP,GK,37,1981,35.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,30,1989,27.7,0,16,3,18.8,0.58,0.11,0.0,0.0,18.9,0,0,0,1.0,1.0,0.07,-1.0,-1.0
ESP,MF,32,1987,5.3,1,7,7,100.0,1.33,1.33,0.14,0.14,16.5,0,0,0,1.7,1.7,0.25,-0.7,-0.7
ARG,"FW,MF",28,1991,6.4,1,7,5,71.4,1.1,0.78,0.14,0.2,15.7,0,0,0,1.3,1.3,0.18,-0.3,-0.3
ESP,DF,23,1995,11.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,33,1986,15.4,0,3,0,0.0,0.2,0.0,0.0,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ARG,FW,25,1993,20.1,1,47,13,27.7,2.34,0.65,0.02,0.08,12.1,0,0,0,4.5,4.5,0.1,-3.5,-3.5
CMR,FW,21,1998,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
URU,DF,28,1991,17.0,0,1,0,0.0,0.06,0.0,0.0,,19.3,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP,DF,22,1997,3.3,0,2,0,0.0,0.6,0.0,0.0,,13.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP,MF,22,1996,33.4,2,30,3,10.0,0.9,0.09,0.0,0.0,29.7,3,2,2,2.6,1.0,0.03,-0.6,-1.0
ARG,"FW,MF",22,1997,11.4,0,21,2,9.5,1.85,0.18,0.0,0.0,19.3,1,0,0,1.2,1.2,0.06,-1.2,-1.2
BRA,DF,30,1988,14.8,0,9,0,0.0,0.61,0.0,0.0,,12.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ESP,"FW,MF",18,2001,2.0,0,4,3,75.0,1.98,1.48,0.0,0.0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ESP,GK,29,1989,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ARG,"DF,MF",30,1989,0.6,0,3,0,0.0,4.82,0.0,0.0,,15.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ESP,"DF,FW",21,1998,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,16.5,0,0,0,0.4,0.4,0.38,-0.4,-0.4
ESP,MF,19,1999,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,FW,24,1994,11.9,4,34,13,38.2,2.85,1.09,0.09,0.23,19.6,3,1,1,5.0,4.2,0.13,-1.0,-1.2
ESP,MF,25,1993,29.5,2,52,9,17.3,1.76,0.3,0.04,0.22,24.2,0,0,0,3.4,3.4,0.07,-1.4,-1.4
FRA,DF,28,1990,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,22.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ESP,"DF,FW",19,2000,14.1,0,5,0,0.0,0.35,0.0,0.0,,23.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP,FW,22,1997,9.7,0,16,6,37.5,1.66,0.62,0.0,0.0,16.9,0,0,0,1.7,1.7,0.11,-1.7,-1.7
ESP,MF,31,1987,18.8,0,10,1,10.0,0.53,0.05,0.0,0.0,27.6,1,0,0,0.4,0.4,0.04,-0.4,-0.4
CHN,"FW,MF",27,1991,19.1,4,45,15,33.3,2.36,0.79,0.09,0.27,13.6,0,0,0,6.8,6.8,0.15,-2.8,-2.8
ESP,"MF,FW",21,1997,12.4,0,3,0,0.0,0.24,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
CMR,"DF,MF",31,1988,26.9,2,13,4,30.8,0.48,0.15,0.15,0.5,15.3,0,0,0,0.9,0.9,0.07,1.1,1.1
SEN,MF,23,1996,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,29,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,27,1992,3.4,0,3,0,0.0,0.87,0.0,0.0,,14.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
URU,DF,31,1988,28.8,1,21,5,23.8,0.73,0.17,0.05,0.2,26.3,7,0,0,0.9,0.9,0.04,0.1,0.1
ESP,GK,26,1993,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"MF,DF",29,1989,10.5,3,19,7,36.8,1.81,0.67,0.16,0.43,32.6,9,0,0,0.6,0.6,0.03,2.4,2.4
BRA,FW,28,1991,2.3,0,5,1,20.0,2.21,0.44,0.0,0.0,23.2,1,0,0,0.6,0.6,0.11,-0.6,-0.6
TOG,DF,27,1991,34.0,0,5,1,20.0,0.15,0.03,0.0,0.0,12.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ESP,FW,32,1986,1.8,0,3,1,33.3,1.65,0.55,0.0,0.0,10.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
URU,DF,24,1995,3.0,0,1,0,0.0,0.34,0.0,0.0,,6.0,0,0,0,0.3,0.3,0.26,-0.3,-0.3
MAR,MF,30,1988,4.5,0,9,3,33.3,2.01,0.67,0.0,0.0,24.6,3,0,0,0.4,0.4,0.04,-0.4,-0.4
MTQ,DF,22,1997,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,MF,29,1990,4.2,0,3,1,33.3,0.72,0.24,0.0,0.0,18.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ESP,"FW,MF",19,1999,4.2,1,6,3,50.0,1.43,0.71,0.17,0.33,10.3,0,0,0,0.5,0.5,0.08,0.5,0.5
ESP,FW,30,1988,30.5,11,54,20,37.0,1.77,0.66,0.15,0.4,14.1,0,3,4,11.0,7.9,0.15,0.0,0.1
ESP,MF,25,1994,13.1,1,27,8,29.6,2.07,0.61,0.04,0.13,23.8,4,0,0,1.5,1.5,0.05,-0.5,-0.5
ESP,FW,37,1982,21.0,5,30,9,30.0,1.43,0.43,0.1,0.33,14.1,0,2,2,6.3,4.7,0.16,-1.3,-1.7
BRA,MF,23,1996,6.5,1,14,3,21.4,2.15,0.46,0.07,0.33,20.1,0,0,0,0.9,0.9,0.06,0.1,0.1
URU,DF,28,1991,17.0,2,10,3,30.0,0.59,0.18,0.2,0.67,12.5,0,0,0,1.0,1.0,0.1,1.0,1.0
ESP,"MF,DF",21,1998,36.0,1,30,6,20.0,0.83,0.17,0.03,0.17,20.3,2,0,0,2.2,2.2,0.07,-1.2,-1.2
ESP,MF,33,1986,0.8,0,1,0,0.0,1.25,0.0,0.0,,9.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1
URU,DF,21,1997,20.8,0,6,1,16.7,0.29,0.05,0.0,0.0,11.7,0,0,0,0.6,0.6,0.1,-0.6,-0.6
URU,MF,23,1995,34.1,1,47,7,14.9,1.38,0.21,0.02,0.14,25.3,5,0,0,2.1,2.1,0.04,-1.1,-1.1
SRB,MF,24,1995,32.2,2,34,11,32.4,1.06,0.34,0.06,0.18,14.4,0,0,0,3.0,3.0,0.09,-1.0,-1.0
NGA,MF,23,1995,6.4,1,9,3,33.3,1.42,0.47,0.11,0.33,15.7,0,0,0,0.7,0.7,0.08,0.3,0.3
ESP,DF,30,1989,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
POR,MF,32,1987,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,31,1987,16.1,0,6,2,33.3,0.37,0.12,0.0,0.0,12.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
ESP,FW,32,1987,15.6,10,52,22,42.3,3.33,1.41,0.17,0.41,15.6,0,1,1,7.5,6.6,0.13,2.5,2.4
ESP,GK,23,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
COL,"FW,MF",33,1986,2.5,0,6,1,16.7,2.39,0.4,0.0,0.0,12.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ESP,"FW,MF",19,2000,2.0,1,3,2,66.7,1.49,0.99,0.33,0.5,10.6,0,0,0,0.9,0.9,0.31,0.1,0.1
ESP,"FW,MF",27,1992,28.5,7,44,18,40.9,1.55,0.63,0.16,0.39,16.2,0,0,0,6.5,6.5,0.15,0.5,0.5
ESP,"FW,MF",23,1996,24.5,10,46,18,39.1,1.88,0.74,0.2,0.5,16.0,3,1,1,9.8,9.0,0.2,0.2,0.0
ESP,DF,23,1996,24.5,0,8,4,50.0,0.33,0.16,0.0,0.0,15.9,0,0,0,0.9,0.9,0.11,-0.9,-0.9
VEN,"FW,MF",26,1993,23.7,7,71,26,36.6,3.0,1.1,0.08,0.23,20.6,2,1,1,6.7,5.9,0.08,0.3,0.1
FRA,"DF,MF",26,1993,12.4,1,5,2,40.0,0.4,0.16,0.2,0.5,18.0,0,0,0,0.3,0.3,0.06,0.7,0.7
POR,DF,24,1995,34.3,3,13,5,38.5,0.38,0.15,0.23,0.6,9.7,0,0,0,1.6,1.6,0.12,1.4,1.4
ESP,"MF,FW",25,1994,9.7,2,17,2,11.8,1.75,0.21,0.06,0.5,24.8,3,1,1,1.7,0.9,0.06,0.3,0.1
ESP,DF,32,1986,25.5,2,10,4,40.0,0.39,0.16,0.2,0.5,8.1,0,0,0,1.8,1.8,0.18,0.2,0.2
POR,"MF,DF",22,1996,4.0,0,6,2,33.3,1.52,0.51,0.0,0.0,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ESP,DF,22,1997,7.0,0,1,0,0.0,0.14,0.0,0.0,,9.1,0,0,0,0.2,0.2,0.17,-0.2,-0.2
ESP,DF,26,1993,13.2,0,2,0,0.0,0.15,0.0,0.0,,14.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ESP,MF,22,1997,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA,MF,30,1989,16.7,0,6,4,66.7,0.36,0.24,0.0,0.0,18.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ESP,DF,29,1989,8.0,0,10,0,0.0,1.25,0.0,0.0,,26.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
NGA,MF,26,1992,15.1,2,20,3,15.0,1.32,0.2,0.1,0.67,21.0,0,0,0,2.4,2.4,0.12,-0.4,-0.4
ESP,FW,34,1985,26.1,7,32,13,40.6,1.23,0.5,0.19,0.46,14.3,2,1,1,5.1,4.3,0.14,1.9,1.7
POR,GK,25,1994,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,DF,31,1988,32.0,1,16,1,6.3,0.5,0.03,0.06,1.0,23.9,0,0,0,0.9,0.9,0.06,0.1,0.1
CMR,MF,21,1997,16.7,0,7,0,0.0,0.42,0.0,0.0,,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
VEN,MF,21,1998,26.3,2,34,4,11.8,1.29,0.15,0.06,0.5,21.1,0,0,0,2.7,2.7,0.08,-0.7,-0.7
ESP,DF,28,1990,0.2,0,1,0,0.0,6.0,0.0,0.0,,20.8,1,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP,"FW,MF",24,1994,13.5,3,16,4,25.0,1.18,0.3,0.13,0.5,28.3,12,1,1,1.8,1.0,0.06,1.2,1.0
ESP,MF,31,1988,10.8,2,14,5,35.7,1.29,0.46,0.14,0.4,26.9,1,0,0,0.9,0.9,0.07,1.1,1.1
TUR,"DF,FW",30,1989,2.6,0,1,0,0.0,0.39,0.0,0.0,,33.8,1,0,0,0.0,0.0,0.04,0.0,0.0
ESP,"DF,MF",23,1996,13.6,0,16,3,18.8,1.18,0.22,0.0,0.0,21.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7
ESP,"MF,FW",18,2001,6.2,1,14,4,28.6,2.26,0.65,0.07,0.25,18.3,0,0,0,1.0,1.0,0.07,0.0,0.0
NGA,DF,22,1997,22.2,0,11,0,0.0,0.5,0.0,0.0,,14.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8
ESP,MF,22,1997,3.5,0,1,0,0.0,0.29,0.0,0.0,,18.6,0,0,0,0.0,0.0,0.05,0.0,0.0
GRE,DF,30,1988,21.3,0,12,4,33.3,0.56,0.19,0.0,0.0,14.4,0,0,0,1.1,1.1,0.09,-1.1,-1.1
ARG,FW,28,1991,13.5,1,37,13,35.1,2.75,0.96,0.03,0.08,11.3,0,0,0,5.2,5.1,0.15,-4.2,-4.1
FRA,MF,26,1993,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,13.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7
ESP,GK,35,1984,27.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,"MF,FW",21,1997,2.0,1,5,2,40.0,2.45,0.98,0.2,0.5,18.0,0,0,0,0.6,0.6,0.12,0.4,0.4
ESP,MF,29,1990,9.1,0,9,3,33.3,0.99,0.33,0.0,0.0,18.2,1,0,0,0.5,0.5,0.06,-0.5,-0.5
ARG,DF,25,1994,30.9,1,20,4,20.0,0.65,0.13,0.05,0.25,20.1,3,0,0,1.3,1.3,0.07,-0.3,-0.3
ESP,MF,24,1995,3.7,0,10,4,40.0,2.67,1.07,0.0,0.0,19.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7
ESP,GK,21,1997,11.0,0,1,1,100.0,0.09,0.09,0.0,0.0,4.6,0,0,0,0.4,0.4,0.38,-0.4,-0.4
NGA,DF,25,1993,20.8,1,4,1,25.0,0.19,0.05,0.25,1.0,12.1,0,0,0,0.3,0.3,0.07,0.7,0.7
POR,"DF,MF",25,1994,21.5,1,23,8,34.8,1.07,0.37,0.04,0.13,23.7,2,0,0,1.2,1.2,0.05,-0.2,-0.2
ESP,FW,18,2000,1.3,0,1,1,100.0,0.78,0.78,0.0,0.0,12.7,0,0,0,0.5,0.5,0.46,-0.5,-0.5
ESP,"FW,DF",24,1995,2.4,0,5,0,0.0,2.05,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
DEN,"FW,MF",28,1991,21.5,6,41,17,41.5,1.91,0.79,0.15,0.35,14.8,1,0,1,7.1,6.3,0.15,-1.1,-0.3
