nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
FRA,MF,26,1991,33.3,1,25,5,20.0,0.75,0.15,0.04,0.2,25.7,0,0,0,0.8,0.8,0.03,0.2,0.2
FRA,FW,30,1986,6.8,3,30,8,26.7,4.4,1.17,0.1,0.38,11.5,0,0,0,3.6,3.6,0.12,-0.6,-0.6
ESP,"MF,FW",30,1987,16.9,4,56,20,35.7,3.31,1.18,0.07,0.2,21.5,1,0,0,3.0,3.0,0.05,1.0,1.0
ENG,MF,23,1993,1.4,0,2,1,50.0,1.4,0.7,0.0,0.0,13.1,0,0,0,0.8,0.8,0.38,-0.8,-0.8
BEL,GK,25,1992,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA,MF,22,1994,23.6,2,40,8,20.0,1.69,0.34,0.05,0.25,18.5,0,0,0,3.2,3.2,0.08,-1.2,-1.2
NGA,"DF,MF",26,1990,23.4,3,35,11,31.4,1.49,0.47,0.09,0.27,16.8,0,0,0,3.0,3.0,0.09,0.0,0.0
BRA,"MF,FW",28,1988,21.0,6,53,23,43.4,2.52,1.1,0.09,0.22,19.8,5,1,1,5.5,4.7,0.09,0.5,0.3
ARG,GK,35,1981,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP,FW,24,1992,22.9,11,79,34,43.0,3.45,1.48,0.14,0.32,13.6,0,0,0,13.0,13.0,0.16,-2.0,-2.0
ENG,DF,19,1997,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
NOR,FW,21,1995,4.0,0,7,3,42.9,1.75,0.75,0.0,0.0,17.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5
ENG,"FW,MF",26,1991,34.7,2,62,14,22.6,1.79,0.4,0.03,0.14,22.3,2,0,0,3.0,3.0,0.05,-1.0,-1.0
MLI,"FW,MF",29,1988,5.3,3,17,6,35.3,3.2,1.13,0.18,0.5,15.5,0,0,0,1.9,1.9,0.12,1.1,1.1
BEL,FW,26,1990,24.9,3,58,17,29.3,2.33,0.68,0.03,0.12,12.5,0,1,2,10.2,8.6,0.15,-7.2,-6.6
IRL,DF,36,1981,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG,FW,24,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
SCO,MF,29,1987,27.0,5,30,10,33.3,1.11,0.37,0.17,0.5,12.9,0,0,0,3.7,3.7,0.13,1.3,1.3
ENG,DF,28,1989,26.5,3,23,8,34.8,0.87,0.3,0.13,0.38,12.6,0,0,0,2.2,2.2,0.11,0.8,0.8
ENG,MF,31,1986,6.3,0,10,2,20.0,1.58,0.32,0.0,0.0,19.0,1,0,0,1.2,1.2,0.15,-1.2,-1.2
NED,"MF,DF",20,1996,4.9,0,1,0,0.0,0.2,0.0,0.0,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0
GHA,"DF,MF",24,1992,19.4,0,15,2,13.3,0.77,0.1,0.0,0.0,18.1,0,0,0,1.2,1.2,0.08,-1.2,-1.2
ENG,DF,27,1989,17.9,0,5,1,20.0,0.28,0.06,0.0,0.0,16.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ARG,GK,38,1979,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
KOR,"FW,MF",29,1988,1.5,0,1,0,0.0,0.67,0.0,0.0,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG,FW,18,1998,0.3,0,1,0,0.0,3.46,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
SRB,MF,26,1991,34.2,10,34,9,26.5,0.99,0.26,0.09,0.33,25.1,9,7,8,8.2,1.8,0.05,1.8,1.2
FRA,DF,27,1990,17.8,1,3,1,33.3,0.17,0.06,0.33,1.0,5.4,0,0,0,1.2,1.2,0.39,-0.2,-0.2
ENG,DF,27,1990,13.3,0,5,2,40.0,0.38,0.15,0.0,0.0,12.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
SEN,DF,27,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
NED,DF,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09,1.9,1.9
