players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
27,34,75,7,3,382,409,51,461,294,280,6,7,2,1918,430,492,46.6,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
27,34,69,1,0,476,334,74,610,433,341,5,8,0,2081,740,703,51.3,/en/squads/a224b06a/2022-2023/Mainz-05-Stats
25,34,69,2,1,393,402,80,489,310,312,5,8,2,1966,440,433,50.4,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
35,34,68,1,0,427,391,70,764,306,329,3,6,1,1896,692,739,48.4,/en/squads/c539e393/2022-2023/Schalke-04-Stats
30,34,72,5,4,346,407,56,597,308,316,4,6,1,1989,547,470,53.8,/en/squads/598bc722/2022-2023/Stuttgart-Stats
28,34,65,2,1,445,345,62,708,262,278,4,7,0,1833,767,755,50.4,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats
25,34,76,1,0,426,369,65,514,321,349,3,3,2,1987,631,622,50.4,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats
28,34,63,0,0,390,451,50,568,292,324,6,7,3,1800,525,546,49.0,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats
27,38,83,3,1,470,385,58,652,421,364,6,3,2,2234,575,483,54.3,/en/squads/922493f3/2022-2023/Atalanta-Stats
27,38,84,3,2,477,426,77,558,302,373,5,9,3,2080,369,447,45.2,/en/squads/1d8099f8/2022-2023/Bologna-Stats
33,38,81,3,0,458,407,68,659,393,400,5,5,1,2059,562,730,43.5,/en/squads/9aad3a77/2022-2023/Cremonese-Stats
32,38,88,7,3,441,459,54,611,280,364,2,6,1,1815,434,519,45.5,/en/squads/a3d88bd8/2022-2023/Empoli-Stats
30,38,93,3,2,488,511,56,880,260,337,3,8,2,2016,588,517,53.2,/en/squads/421387cf/2022-2023/Fiorentina-Stats
36,38,103,3,0,540,383,74,652,337,357,1,2,3,2238,810,735,52.4,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats
25,38,65,3,2,444,406,68,885,315,325,4,3,3,1948,500,415,54.6,/en/squads/d609edc0/2022-2023/Internazionale-Stats
29,38,74,6,1,456,409,62,731,307,352,6,5,0,1951,486,477,50.5,/en/squads/e0652b02/2022-2023/Juventus-Stats
24,38,87,2,0,400,471,54,483,310,349,6,2,1,1979,399,381,51.2,/en/squads/7213da33/2022-2023/Lazio-Stats
29,38,86,2,1,553,439,68,709,368,427,4,6,3,2120,567,728,43.8,/en/squads/ffcbe334/2022-2023/Lecce-Stats
30,38,90,2,2,449,438,61,671,289,422,3,5,1,2051,561,478,54.0,/en/squads/dc56fe14/2022-2023/Milan-Stats
31,38,90,4,1,489,495,69,596,334,355,6,3,1,1845,448,441,50.4,/en/squads/21680aa4/2022-2023/Monza-Stats
27,38,47,1,0,389,468,60,681,287,313,8,2,0,2027,483,403,54.5,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
30,38,83,4,2,446,505,56,595,368,340,6,3,1,1981,543,429,55.9,/en/squads/cf74a709/2022-2023/Roma-Stats
30,38,85,4,1,473,439,67,559,329,337,1,11,0,1981,528,585,47.4,/en/squads/c5577084/2022-2023/Salernitana-Stats
40,38,108,3,2,507,512,55,599,317,351,1,11,2,1913,617,636,49.2,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats
31,38,90,6,3,408,443,43,625,278,281,6,4,2,1756,375,438,46.1,/en/squads/e2befd26/2022-2023/Sassuolo-Stats
34,38,103,6,4,519,379,55,655,301,359,2,7,3,2033,535,570,48.4,/en/squads/68449f6d/2022-2023/Spezia-Stats
28,38,81,0,0,506,382,80,610,292,265,2,6,0,2010,590,629,48.4,/en/squads/105360fe/2022-2023/Torino-Stats
30,38,88,3,1,478,476,51,564,314,365,1,7,2,1916,477,406,54.0,/en/squads/04eea015/2022-2023/Udinese-Stats
