players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
26,38,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,38,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,38,68,0,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,38,57,1,1,354,399,72,661,341,338,7,2,3,1959,664,617,51.8,/en/squads/cd051869/2022-2023/Brentford-Stats
29,38,58,0,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,38,81,3,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,38,82,3,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,38,81,2,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,38,80,1,0,411,405,60,769,340,350,8,8,2,1979,511,550,48.2,/en/squads/fd962109/2022-2023/Fulham-Stats
29,38,89,3,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
28,38,63,2,2,410,397,83,496,367,412,5,5,5,2013,512,558,47.9,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
28,38,57,1,0,405,321,84,799,333,370,3,4,2,2211,482,455,51.4,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
24,38,44,1,0,347,384,51,742,223,272,9,3,1,1866,438,364,54.6,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
26,38,78,2,0,424,297,79,517,352,400,2,3,1,2190,465,434,51.7,/en/squads/19538871/2022-2023/Manchester-United-Stats
27,38,61,1,0,406,399,71,740,333,360,2,5,2,2065,552,426,56.4,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
33,38,84,0,0,445,390,67,530,349,387,3,9,0,1902,560,600,48.3,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
36,38,73,0,0,430,378,57,613,427,426,3,3,5,2130,551,611,47.4,/en/squads/33c895d4/2022-2023/Southampton-Stats
29,38,77,3,1,424,353,67,719,340,353,5,4,1,1984,549,474,53.7,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
25,38,44,0,0,362,316,62,768,408,336,6,6,1,2023,620,587,51.4,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
32,38,85,6,1,463,389,62,661,279,370,1,4,1,2052,465,542,46.2,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
29,38,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,47.6,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,52.2,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,52.7,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,84,6,3,433,452,98,744,253,324,0,3,3,1995,467,359,56.5,/en/squads/206d90db/2022-2023/Barcelona-Stats
30,38,83,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,47.4,/en/squads/fc536746/2022-2023/Real-Betis-Stats
26,38,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,45.9,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
38,38,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,48.2,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
32,38,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,51.0,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,52.1,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,126,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,50.6,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,49.6,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,120,5,0,611,457,77,635,318,344,4,7,0,1833,674,629,51.7,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,93,7,1,544,410,60,794,315,328,5,4,2,1930,613,628,49.4,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,90,6,2,544,490,98,832,309,393,2,5,4,2085,437,527,45.3,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,59.5,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,54.4,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,121,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,51.1,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,93,8,3,504,510,80,924,288,428,6,5,2,2015,492,561,46.7,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,43.3,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,48.8,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
36,38,86,10,2,541,495,63,631,420,382,8,10,2,2053,602,711,45.8,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats
33,38,69,5,3,492,422,47,584,375,386,4,11,4,2025,436,441,49.7,/en/squads/69236f98/2022-2023/Angers-Stats
33,38,54,6,4,462,419,48,617,454,378,6,6,1,2078,487,566,46.2,/en/squads/5ae09109/2022-2023/Auxerre-Stats
29,38,63,2,0,499,462,59,755,475,417,7,9,2,2115,633,569,52.7,/en/squads/fb08dbb3/2022-2023/Brest-Stats
28,38,72,5,2,426,592,52,564,440,398,7,12,0,2051,410,427,49.0,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats
29,38,63,3,0,492,481,62,791,339,323,7,3,1,1975,406,369,52.4,/en/squads/fd4e0f7d/2022-2023/Lens-Stats
26,38,82,1,0,497,480,64,624,301,370,10,5,3,2138,440,463,48.7,/en/squads/cb188c0c/2022-2023/Lille-Stats
30,38,48,4,3,397,501,49,434,369,420,5,2,1,2019,407,479,45.9,/en/squads/d2c87802/2022-2023/Lorient-Stats
29,38,61,3,1,500,453,57,649,481,423,5,11,3,2144,452,438,50.8,/en/squads/d53c0b06/2022-2023/Lyon-Stats
30,38,63,4,1,533,419,68,751,420,404,3,5,3,2291,491,484,50.4,/en/squads/5725cc7b/2022-2023/Marseille-Stats
27,38,64,5,3,488,411,84,661,426,400,8,5,3,2203,515,457,53.0,/en/squads/fd6114db/2022-2023/Monaco-Stats
31,38,68,10,1,488,523,71,673,404,413,6,11,2,2095,480,553,46.5,/en/squads/281b0e73/2022-2023/Montpellier-Stats
29,38,65,4,2,481,414,54,820,431,431,3,9,4,2075,592,598,49.7,/en/squads/d7a486cd/2022-2023/Nantes-Stats
34,38,53,3,1,383,376,51,690,413,467,5,5,0,2143,392,365,51.8,/en/squads/132ebc33/2022-2023/Nice-Stats
26,38,57,5,2,380,416,77,399,296,362,5,5,1,1938,245,201,54.9,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
34,38,70,9,2,507,423,85,707,397,407,7,3,2,2368,472,465,50.4,/en/squads/7fdd64e0/2022-2023/Reims-Stats
32,38,58,6,2,465,379,54,564,341,335,3,5,1,2035,538,520,50.9,/en/squads/b3072e00/2022-2023/Rennes-Stats
29,38,73,7,2,529,474,43,647,437,409,6,11,0,2132,677,573,54.2,/en/squads/c0d3eab4/2022-2023/Strasbourg-Stats
29,38,62,3,3,473,413,74,660,409,406,2,7,3,2168,483,460,51.2,/en/squads/3f8c4b5f/2022-2023/Toulouse-Stats
32,38,55,5,1,402,404,57,517,398,361,4,8,2,1986,476,495,49.0,/en/squads/54195385/2022-2023/Troyes-Stats
34,34,96,5,2,433,356,58,548,286,299,3,4,2,1792,640,777,45.2,/en/squads/0cdc4311/2022-2023/Augsburg-Stats
28,34,49,3,2,306,335,84,603,287,387,5,10,0,2085,471,381,55.3,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
26,34,64,1,0,429,354,66,568,337,386,3,14,3,1991,770,737,51.1,/en/squads/b42c6323/2022-2023/Bochum-Stats
30,34,66,0,0,322,407,41,677,298,334,6,1,1,1958,425,364,53.9,/en/squads/add600ae/2022-2023/Dortmund-Stats
28,34,71,1,1,429,377,70,616,284,357,6,2,1,2088,467,555,45.7,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
27,34,62,2,1,404,424,57,547,325,289,7,6,0,1754,743,686,52.0,/en/squads/a486e511/2022-2023/Freiburg-Stats
27,34,62,3,1,338,447,72,441,267,275,3,6,1,1718,415,419,49.8,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats
32,34,82,1,1,422,394,58,516,366,344,4,6,0,1835,633,701,47.5,/en/squads/2818f8bc/2022-2023/Hertha-BSC-Stats
31,34,80,5,3,471,368,78,577,285,323,7,3,1,1843,550,557,49.7,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats
27,34,75,3,3,400,352,68,790,372,370,2,5,3,2022,659,608,52.0,/en/squads/bc357bf7/2022-2023/Koln-Stats
