players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
26,38,1045,27.5,775,78,58,73,43,18,150,3.95,121,6,5,13,3,2,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,38,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,38,616,16.21,444,45,53,43,24,7,64,1.68,44,5,4,8,2,1,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,38,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,/en/squads/cd051869/2022-2023/Brentford-Stats
29,38,1075,28.29,819,73,81,63,27,12,115,3.03,83,3,13,9,6,1,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,38,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,38,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,38,735,19.34,493,84,39,54,45,20,59,1.55,41,5,5,2,4,2,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,38,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,/en/squads/fd962109/2022-2023/Fulham-Stats
29,38,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
28,38,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
28,38,1046,27.53,778,85,56,75,33,19,129,3.39,97,9,7,8,7,1,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
24,38,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
26,38,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0,/en/squads/19538871/2022-2023/Manchester-United-Stats
27,38,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
33,38,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
36,38,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3,/en/squads/33c895d4/2022-2023/Southampton-Stats
29,38,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
25,38,817,21.5,586,81,40,60,35,15,67,1.76,41,6,6,8,6,0,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
32,38,713,18.76,520,62,31,47,42,11,44,1.16,32,1,3,6,1,1,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
29,38,758,19.95,533,73,51,51,33,17,76,2.0,51,7,8,7,3,0,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,1050,27.63,824,65,62,58,30,11,125,3.29,106,2,6,11,0,0,/en/squads/206d90db/2022-2023/Barcelona-Stats
30,38,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0,/en/squads/fc536746/2022-2023/Real-Betis-Stats
26,38,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
38,38,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
32,38,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,779,20.5,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
36,38,539,14.18,350,72,22,34,51,10,38,1.0,23,0,3,5,5,2,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats
33,38,647,17.03,471,56,44,25,44,7,53,1.39,35,5,2,4,7,0,/en/squads/69236f98/2022-2023/Angers-Stats
33,38,733,19.29,528,61,52,40,35,17,50,1.32,28,4,3,7,8,0,/en/squads/5ae09109/2022-2023/Auxerre-Stats
29,38,736,19.37,495,98,33,50,41,19,73,1.92,39,10,4,8,9,3,/en/squads/fb08dbb3/2022-2023/Brest-Stats
28,38,668,17.58,497,51,32,39,39,10,72,1.89,45,4,5,11,6,1,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats
