players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
26,38,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,64,53.5,46.8,10.5,443,1637,459,62,2049,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,38,13782,17396,79.2,244073,87581,6111,6947,88.0,5979,6934,86.2,1345,2579,52.2,35,38.8,31.6,-3.8,318,964,268,80,1242,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,38,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,24,28.4,26.3,-4.4,261,850,237,75,1006,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,38,11317,15551,72.8,209962,87002,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,36,38.4,30.5,-2.4,284,922,279,87,1131,/en/squads/cd051869/2022-2023/Brentford-Stats
29,38,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,46,52.2,44.7,-6.2,480,1459,391,78,1849,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,38,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,27,38.6,35.3,-11.6,376,1426,370,68,1737,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,38,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,29,29.0,23.8,0.0,316,1013,239,51,1243,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,38,11790,15783,74.7,214056,82478,5336,6174,86.4,4771,5750,83.0,1366,2947,46.4,24,32.4,26.9,-8.4,308,964,224,67,1052,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,38,13974,18014,77.6,255629,89303,5867,6818,86.1,6222,7333,84.8,1551,2860,54.2,33,28.5,23.7,4.5,306,1044,284,97,1326,/en/squads/fd962109/2022-2023/Fulham-Stats
29,38,12437,16924,73.5,206567,84295,6115,7225,84.6,4782,5973,80.1,1072,2528,42.4,31,31.8,27.3,-0.8,337,1086,270,70,1429,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
