players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
3,34,41,7,0,5,2,38.8,0.3,-0.2,-0.01,81,259,31.3,1244,172,16.2,33.6,210,27.1,30.2,377,23,6.1,49,1.44,12.5,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
2,34,71,5,1,7,1,58.2,0.28,-11.8,-0.35,279,658,42.4,1022,129,46.4,36.8,269,68.4,51.5,483,18,3.7,32,0.94,11.6,/en/squads/c539e393/2022-2023/Schalke-04-Stats
2,34,57,6,2,6,1,47.3,0.29,-8.7,-0.26,153,341,44.9,1099,184,23.9,29.2,227,34.4,35.1,463,18,3.9,43,1.26,18.9,/en/squads/598bc722/2022-2023/Stuttgart-Stats
2,34,38,7,0,6,0,44.2,0.26,6.2,0.18,288,713,40.4,1274,137,46.5,37.1,218,55.5,43.1,481,51,10.6,36,1.06,15.1,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats
2,34,64,2,0,6,2,55.1,0.29,-6.9,-0.2,214,530,40.4,942,165,40.7,41.6,291,50.5,43.2,496,25,5.0,42,1.24,16.5,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats
1,34,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1291,183,34.2,33.7,293,50.2,43.1,489,29,5.9,51,1.5,16.5,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats
3,38,48,3,1,5,2,41.3,0.25,-4.7,-0.12,161,425,37.9,863,237,28.9,32.1,307,57.3,44.7,454,32,7.0,42,1.11,15.6,/en/squads/922493f3/2022-2023/Atalanta-Stats
2,38,49,7,1,6,3,48.3,0.25,2.3,0.06,151,380,39.7,927,211,30.5,35.6,306,31.7,31.7,502,29,5.8,24,0.63,,/en/squads/1d8099f8/2022-2023/Bologna-Stats
3,38,69,5,3,11,1,68.1,0.29,0.1,0.0,214,704,30.4,1039,181,50.7,35.7,324,54.6,45.8,527,35,6.6,39,1.03,8.6,/en/squads/9aad3a77/2022-2023/Cremonese-Stats
3,38,49,4,0,10,1,48.6,0.28,0.6,0.01,163,530,30.8,1144,191,36.5,18.5,363,30.9,30.4,741,39,5.3,26,0.68,,/en/squads/a3d88bd8/2022-2023/Empoli-Stats
4,38,43,7,0,4,2,39.2,0.26,-1.8,-0.05,198,499,39.7,1183,166,32.6,32.4,245,46.1,40.6,336,14,4.2,60,1.58,9.3,/en/squads/421387cf/2022-2023/Fiorentina-Stats
