players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,38,38,3420,38,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
2,38,38,3420,38,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
2,38,38,3420,38,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
1,38,38,3420,38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0,/en/squads/cd051869/2022-2023/Brentford-Stats
2,38,38,3420,38,53,1.39,131,82,64.1,18,8,12,12,31.6,8,6,2,0,25.0,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
2,38,38,3420,38,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
3,38,38,3420,38,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
2,38,38,3420,38,57,1.5,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7,/en/squads/d3fd31cc/2022-2023/Everton-Stats
2,38,38,3420,38,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5,/en/squads/fd962109/2022-2023/Fulham-Stats
2,38,38,3420,38,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
2,38,38,3420,38,68,1.79,178,113,64.0,9,7,22,7,18.4,5,4,1,0,20.0,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
2,38,38,3420,38,47,1.24,157,111,71.3,19,10,9,14,36.8,4,2,1,1,33.3,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
2,38,38,3420,38,33,0.87,92,60,67.4,28,5,5,13,34.2,3,3,0,0,0.0,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
1,38,38,3420,38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,/en/squads/19538871/2022-2023/Manchester-United-Stats
2,38,38,3418,38,33,0.87,127,94,75.6,19,14,5,14,36.8,5,2,2,1,50.0,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
