players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
26,38,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,38,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,38,15381,13607,1736,424,48,87,509,706,144,88,25,9,11715,38,342,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,38,15551,13766,1713,453,53,107,661,738,163,83,34,12,11317,72,303,/en/squads/cd051869/2022-2023/Brentford-Stats
29,38,22888,21109,1709,445,81,130,694,693,233,102,88,2,19210,70,383,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,38,22836,20995,1767,503,58,129,693,722,209,108,70,2,19147,74,371,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,38,17308,15416,1834,525,41,118,591,763,186,84,60,5,13395,58,350,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,38,15783,13984,1735,434,39,93,704,707,174,138,28,0,11790,64,311,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,38,18014,16136,1818,471,20,157,769,795,182,70,69,2,13974,60,393,/en/squads/fd962109/2022-2023/Fulham-Stats
29,38,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
28,38,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
28,38,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
24,38,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
26,38,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420,/en/squads/19538871/2022-2023/Manchester-United-Stats
27,38,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
33,38,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
36,38,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375,/en/squads/33c895d4/2022-2023/Southampton-Stats
29,38,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
25,38,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
32,38,18294,16575,1657,430,49,149,661,663,185,61,86,2,14554,62,355,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
29,38,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,/en/squads/206d90db/2022-2023/Barcelona-Stats
30,38,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,/en/squads/fc536746/2022-2023/Real-Betis-Stats
26,38,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
38,38,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
32,38,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
36,38,15286,13368,1855,562,39,57,631,795,126,42,65,0,11216,63,349,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats
33,38,17463,15689,1727,483,40,92,584,705,164,98,42,0,14103,47,294,/en/squads/69236f98/2022-2023/Angers-Stats
33,38,15989,14213,1728,491,31,210,617,712,135,56,57,0,12386,48,305,/en/squads/5ae09109/2022-2023/Auxerre-Stats
29,38,16452,14545,1848,525,30,162,755,754,178,82,81,2,12486,59,339,/en/squads/fb08dbb3/2022-2023/Brest-Stats
28,38,17961,16060,1849,642,31,105,564,658,155,73,48,4,14212,52,373,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats
29,38,21203,19476,1665,556,53,111,791,623,204,80,87,1,17809,62,311,/en/squads/fd4e0f7d/2022-2023/Lens-Stats
26,38,22826,20992,1770,555,56,124,624,718,217,81,76,1,19266,64,398,/en/squads/cb188c0c/2022-2023/Lille-Stats
30,38,18087,16255,1783,540,48,55,434,658,145,60,52,2,14837,49,334,/en/squads/d2c87802/2022-2023/Lorient-Stats
29,38,22698,20857,1784,521,65,101,649,758,184,71,68,0,18956,57,395,/en/squads/d53c0b06/2022-2023/Lyon-Stats
30,38,20689,18914,1707,448,72,149,751,723,209,107,50,0,16817,68,359,/en/squads/5725cc7b/2022-2023/Marseille-Stats
27,38,18378,16574,1720,457,46,137,661,730,166,80,72,1,14414,84,356,/en/squads/fd6114db/2022-2023/Monaco-Stats
31,38,16221,14249,1901,555,38,123,673,749,195,85,87,2,12420,71,319,/en/squads/281b0e73/2022-2023/Montpellier-Stats
29,38,17169,15386,1729,462,17,121,820,725,196,77,89,0,13283,54,313,/en/squads/d7a486cd/2022-2023/Nantes-Stats
34,38,20784,19059,1674,442,53,93,690,656,193,88,60,0,17325,51,368,/en/squads/132ebc33/2022-2023/Nice-Stats
26,38,26476,24872,1527,458,149,109,399,537,204,74,61,0,23694,77,368,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
