players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
32,38,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,36,324,107,33.0,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.8,35.9,0.08,-3.8,-3.9,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.9,49.7,0.11,-5.9,-4.7,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.5,35.4,0.08,-6.5,-6.4,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
36,38,22,311,81,26.0,8.18,2.13,0.05,0.2,18.1,12,6,9,36.1,29.5,0.1,-14.1,-13.5,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats
33,38,31,367,121,33.0,9.66,3.18,0.07,0.22,17.5,18,4,4,40.9,37.8,0.11,-9.9,-10.8,/en/squads/69236f98/2022-2023/Angers-Stats
33,38,32,420,117,27.9,11.05,3.08,0.06,0.21,19.6,15,7,9,42.8,35.8,0.09,-10.8,-10.8,/en/squads/5ae09109/2022-2023/Auxerre-Stats
29,38,43,417,132,31.7,10.97,3.47,0.09,0.27,17.4,13,7,8,43.4,37.1,0.09,-0.4,-1.1,/en/squads/fb08dbb3/2022-2023/Brest-Stats
28,38,44,393,139,35.4,10.34,3.66,0.09,0.27,18.3,16,7,10,47.5,39.6,0.1,-3.5,-2.6,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats
29,38,66,518,177,34.2,13.63,4.66,0.12,0.34,16.4,6,6,9,66.7,59.8,0.12,-0.7,0.2,/en/squads/fd4e0f7d/2022-2023/Lens-Stats
26,38,65,545,201,36.9,14.34,5.29,0.1,0.27,16.8,16,11,12,68.7,60.0,0.12,-3.7,-6.0,/en/squads/cb188c0c/2022-2023/Lille-Stats
30,38,49,397,149,37.5,10.45,3.92,0.11,0.3,17.9,16,4,6,44.5,39.8,0.1,4.5,5.2,/en/squads/d2c87802/2022-2023/Lorient-Stats
29,38,63,511,199,38.9,13.45,5.24,0.11,0.29,16.7,18,6,8,61.1,54.8,0.11,1.9,2.2,/en/squads/d53c0b06/2022-2023/Lyon-Stats
30,38,61,546,173,31.7,14.37,4.55,0.1,0.32,16.7,16,6,7,65.3,60.0,0.11,-4.3,-5.0,/en/squads/5725cc7b/2022-2023/Marseille-Stats
27,38,69,470,199,42.3,12.37,5.24,0.14,0.32,17.0,10,5,8,62.1,55.7,0.12,6.9,8.3,/en/squads/fd6114db/2022-2023/Monaco-Stats
31,38,64,435,165,37.9,11.45,4.34,0.13,0.35,18.3,22,7,7,52.2,46.7,0.11,11.8,10.3,/en/squads/281b0e73/2022-2023/Montpellier-Stats
29,38,35,443,151,34.1,11.66,3.97,0.07,0.21,18.1,16,3,5,42.8,39.0,0.09,-7.8,-7.0,/en/squads/d7a486cd/2022-2023/Nantes-Stats
34,38,47,507,187,36.9,13.34,4.92,0.08,0.22,17.8,11,6,7,57.2,51.7,0.1,-10.2,-10.7,/en/squads/132ebc33/2022-2023/Nice-Stats
26,38,86,562,242,43.1,14.79,6.37,0.14,0.33,16.2,28,5,7,78.2,72.6,0.13,7.8,8.4,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
34,38,45,516,165,32.0,13.58,4.34,0.07,0.23,18.1,17,7,8,61.5,55.2,0.11,-16.5,-17.2,/en/squads/7fdd64e0/2022-2023/Reims-Stats
32,38,66,526,189,35.9,13.84,4.97,0.12,0.33,16.3,15,3,3,61.4,59.0,0.12,4.6,4.0,/en/squads/b3072e00/2022-2023/Rennes-Stats
29,38,48,442,150,33.9,11.63,3.95,0.1,0.29,17.5,21,5,7,48.5,42.8,0.1,-0.5,0.2,/en/squads/c0d3eab4/2022-2023/Strasbourg-Stats
29,38,50,453,171,37.7,11.92,4.5,0.1,0.27,16.3,19,4,4,52.5,49.4,0.11,-2.5,-3.4,/en/squads/3f8c4b5f/2022-2023/Toulouse-Stats
32,38,43,390,130,33.3,10.26,3.42,0.1,0.29,18.2,8,5,5,39.1,35.6,0.09,3.9,2.4,/en/squads/54195385/2022-2023/Troyes-Stats
34,34,41,354,101,28.5,10.41,2.97,0.1,0.37,18.2,14,4,5,34.7,30.9,0.09,6.3,6.1,/en/squads/0cdc4311/2022-2023/Augsburg-Stats
28,34,90,625,251,40.2,18.38,7.38,0.14,0.35,16.7,10,3,5,75.0,71.0,0.12,15.0,16.0,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
26,34,37,397,127,32.0,11.68,3.74,0.09,0.27,18.1,11,3,3,40.0,37.7,0.1,-3.0,-3.7,/en/squads/b42c6323/2022-2023/Bochum-Stats
30,34,81,558,219,39.2,16.41,6.44,0.14,0.35,16.6,20,4,6,71.1,66.5,0.12,9.9,10.5,/en/squads/add600ae/2022-2023/Dortmund-Stats
28,34,56,399,132,33.1,11.74,3.88,0.13,0.38,16.9,14,6,6,52.1,47.4,0.12,3.9,2.6,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
27,34,51,412,167,40.5,12.12,4.91,0.11,0.26,17.1,16,7,8,47.9,41.6,0.11,3.1,2.4,/en/squads/a486e511/2022-2023/Freiburg-Stats
27,34,52,403,166,41.2,11.85,4.88,0.12,0.29,17.3,12,4,6,52.1,47.5,0.12,-0.1,0.5,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats
32,34,42,377,121,32.1,11.09,3.56,0.09,0.29,18.4,11,7,7,39.4,33.9,0.09,2.6,1.1,/en/squads/2818f8bc/2022-2023/Hertha-BSC-Stats
31,34,46,398,130,32.7,11.71,3.82,0.1,0.3,17.3,16,7,9,48.0,41.1,0.1,-2.0,-2.1,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats
27,34,46,413,146,35.4,12.15,4.29,0.1,0.29,16.2,6,4,4,47.9,44.7,0.11,-1.9,-2.7,/en/squads/bc357bf7/2022-2023/Koln-Stats
27,34,57,432,160,37.0,12.71,4.71,0.12,0.33,17.4,16,5,7,51.4,46.0,0.11,5.6,6.0,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
27,34,54,414,152,36.7,12.18,4.47,0.12,0.33,17.1,17,4,6,47.1,42.4,0.11,6.9,7.6,/en/squads/a224b06a/2022-2023/Mainz-05-Stats
25,34,64,497,182,36.6,14.62,5.35,0.12,0.32,17.5,18,6,7,62.7,57.4,0.12,1.3,0.6,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
35,34,32,421,123,29.2,12.38,3.62,0.07,0.23,17.7,19,4,5,39.6,35.9,0.09,-7.6,-7.9,/en/squads/c539e393/2022-2023/Schalke-04-Stats
30,34,45,457,140,30.6,13.44,4.12,0.09,0.29,17.9,14,5,5,47.6,43.7,0.1,-2.6,-3.7,/en/squads/598bc722/2022-2023/Stuttgart-Stats
28,34,49,374,113,30.2,11.0,3.32,0.12,0.41,17.9,5,3,7,37.9,32.5,0.09,11.1,13.5,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats
25,34,50,363,136,37.5,10.68,4.0,0.12,0.33,17.9,18,5,6,41.1,36.4,0.1,8.9,8.6,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats
28,34,55,401,138,34.4,11.79,4.06,0.13,0.37,16.9,11,4,7,51.3,45.8,0.12,3.7,5.2,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats
27,38,64,506,168,33.2,13.32,4.42,0.11,0.35,16.9,13,6,8,57.7,51.3,0.1,6.3,6.7,/en/squads/922493f3/2022-2023/Atalanta-Stats
27,38,52,479,150,31.3,12.61,3.95,0.1,0.31,19.6,18,6,6,43.8,39.4,0.08,8.2,6.6,/en/squads/1d8099f8/2022-2023/Bologna-Stats
33,38,35,458,122,26.6,12.05,3.21,0.07,0.25,18.5,15,5,7,38.7,33.2,0.07,-3.7,-3.2,/en/squads/9aad3a77/2022-2023/Cremonese-Stats
32,38,35,447,129,28.9,11.76,3.39,0.07,0.26,18.3,19,2,2,38.8,37.2,0.09,-3.8,-4.2,/en/squads/a3d88bd8/2022-2023/Empoli-Stats
30,38,51,597,171,28.6,15.71,4.5,0.08,0.27,17.6,23,4,6,55.0,50.8,0.09,-4.0,-3.8,/en/squads/421387cf/2022-2023/Fiorentina-Stats
36,38,29,415,116,28.0,10.92,3.05,0.07,0.24,18.6,13,1,1,35.8,35.1,0.09,-6.8,-7.1,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats
25,38,68,625,197,31.5,16.45,5.18,0.1,0.32,16.9,21,4,5,68.0,64.5,0.11,0.0,-0.5,/en/squads/d609edc0/2022-2023/Internazionale-Stats
29,38,56,529,171,32.3,13.92,4.5,0.1,0.31,17.3,19,3,6,55.3,50.4,0.1,0.7,2.6,/en/squads/e0652b02/2022-2023/Juventus-Stats
24,38,59,430,161,37.4,11.32,4.24,0.12,0.33,17.8,14,6,8,51.1,44.9,0.11,7.9,8.1,/en/squads/7213da33/2022-2023/Lazio-Stats
29,38,31,412,106,25.7,10.84,2.79,0.07,0.25,18.8,14,4,6,36.3,31.6,0.08,-5.3,-4.6,/en/squads/ffcbe334/2022-2023/Lecce-Stats
30,38,61,546,178,32.6,14.37,4.68,0.1,0.31,17.7,26,5,5,58.8,55.1,0.1,2.2,0.9,/en/squads/dc56fe14/2022-2023/Milan-Stats
31,38,46,406,139,34.2,10.68,3.66,0.1,0.29,17.9,13,5,6,45.9,41.2,0.1,0.1,-0.2,/en/squads/21680aa4/2022-2023/Monza-Stats
27,38,75,605,212,35.0,15.92,5.58,0.11,0.32,17.1,18,8,10,64.7,56.8,0.1,10.3,10.2,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
30,38,50,488,155,31.8,12.84,4.08,0.09,0.28,17.0,15,7,10,57.7,50.2,0.11,-7.7,-7.2,/en/squads/cf74a709/2022-2023/Roma-Stats
30,38,46,381,115,30.2,10.03,3.03,0.12,0.38,18.9,14,2,2,36.7,35.2,0.09,9.3,8.8,/en/squads/c5577084/2022-2023/Salernitana-Stats
40,38,23,376,114,30.3,9.89,3.0,0.06,0.19,17.8,16,1,2,34.1,32.5,0.09,-11.1,-10.5,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats
31,38,46,477,161,33.8,12.55,4.24,0.08,0.23,18.0,20,9,10,51.6,43.9,0.09,-5.6,-6.9,/en/squads/e2befd26/2022-2023/Sassuolo-Stats
34,38,29,419,120,28.6,11.03,3.16,0.06,0.21,18.3,19,4,4,41.5,38.5,0.09,-12.5,-13.5,/en/squads/68449f6d/2022-2023/Spezia-Stats
28,38,41,444,146,32.9,11.68,3.84,0.09,0.27,16.7,6,2,2,41.8,40.2,0.09,-0.8,-1.2,/en/squads/105360fe/2022-2023/Torino-Stats
30,38,46,503,145,28.8,13.24,3.82,0.09,0.31,18.5,23,1,2,46.9,45.4,0.09,-0.9,-0.4,/en/squads/04eea015/2022-2023/Udinese-Stats
