players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
26,24.7,38,3420,90,100,38,418,85,270,150,15,192,2.21,88,43,45,1.18,71.6,42.0,29.6,0.78,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,27.0,38,3420,90,100,38,418,83,274,144,20,193,1.61,51,46,5,0.13,50.3,52.5,-2.2,-0.06,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,26.3,38,3420,90,100,38,418,84,279,141,19,201,1.03,37,71,-34,-0.89,38.5,63.8,-25.3,-0.67,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,26.2,38,3420,90,100,38,418,82,247,171,19,171,1.55,58,46,12,0.32,56.3,48.8,7.5,0.2,/en/squads/cd051869/2022-2023/Brentford-Stats
29,26.3,38,3420,90,100,38,418,83,277,143,19,199,1.63,72,53,19,0.5,73.3,50.2,23.1,0.61,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,26.3,38,3420,90,100,38,418,81,243,173,22,169,1.16,38,47,-9,-0.24,49.5,52.5,-3.0,-0.08,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,26.7,38,3420,90,100,38,418,84,277,138,17,204,1.18,40,49,-9,-0.24,39.3,48.1,-8.8,-0.23,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,26.6,38,3420,90,100,38,418,84,300,116,20,225,0.95,34,57,-23,-0.61,45.2,65.5,-20.4,-0.54,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,28.2,38,3420,90,100,38,418,84,265,152,15,190,1.37,55,53,2,0.05,46.2,63.6,-17.4,-0.46,/en/squads/fd962109/2022-2023/Fulham-Stats
29,25.3,38,3420,90,100,38,418,82,260,157,21,185,0.82,48,78,-30,-0.79,47.3,67.1,-19.8,-0.52,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
28,26.1,38,3420,90,100,38,418,82,278,138,23,203,0.89,51,68,-17,-0.45,50.5,63.3,-12.8,-0.34,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
28,27.4,38,3420,90,100,38,418,82,253,164,20,178,1.76,75,47,28,0.74,71.5,50.8,20.7,0.55,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
24,27.2,38,3420,90,100,38,418,84,294,123,19,219,2.34,94,33,61,1.61,78.6,32.1,46.5,1.22,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
26,26.9,38,3420,90,100,38,418,83,269,149,19,192,1.97,58,43,15,0.39,67.7,50.4,17.3,0.45,/en/squads/19538871/2022-2023/Manchester-United-Stats
27,27.3,38,3420,90,100,38,418,84,263,155,16,185,1.87,68,33,35,0.92,71.9,39.5,32.3,0.85,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
33,26.5,38,3420,90,100,38,418,82,261,159,21,183,1.0,38,68,-30,-0.79,39.3,64.2,-24.9,-0.66,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
36,24.7,38,3420,90,100,38,418,81,243,175,22,167,0.66,36,73,-37,-0.97,37.8,60.8,-23.0,-0.61,/en/squads/33c895d4/2022-2023/Southampton-Stats
29,27.6,38,3420,90,100,38,418,85,278,140,15,202,1.58,70,63,7,0.18,57.0,49.6,7.4,0.2,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
25,28.2,38,3420,90,100,38,418,84,286,132,20,204,1.05,42,55,-13,-0.34,49.2,53.0,-3.9,-0.1,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
32,26.7,38,3420,90,100,38,418,80,248,165,24,175,1.08,31,58,-27,-0.71,36.8,59.9,-23.0,-0.61,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
29,26.4,38,3420,90,100,38,418,81,229,187,21,254,1.08,49,65,-16,-0.42,45.5,62.5,-17.0,-0.45,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,27.4,38,3420,90,100,38,418,81,234,182,19,248,1.34,47,43,4,0.11,54.2,36.9,17.3,0.46,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,28.5,38,3420,90,100,38,418,81,245,168,22,201,2.03,70,33,37,0.97,61.9,41.1,20.8,0.55,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,25.9,38,3420,90,100,38,418,81,246,168,23,227,2.32,70,20,50,1.32,75.5,33.2,42.3,1.11,/en/squads/206d90db/2022-2023/Barcelona-Stats
