players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
26,38,568,343,238,212,118,249,510,48.8,261,362,86,276,237,805,599,23,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,38,632,338,305,251,76,312,648,48.1,336,438,118,320,324,956,714,14,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,38,618,371,316,249,53,256,614,41.7,358,499,170,329,353,971,1027,11,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,38,588,338,271,228,89,253,597,42.4,344,456,168,288,341,929,822,14,/en/squads/cd051869/2022-2023/Brentford-Stats
29,38,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,38,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,38,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,38,708,424,362,257,89,309,619,49.9,310,510,180,330,390,1098,874,17,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,38,625,350,295,229,101,299,588,50.9,289,455,125,330,340,965,749,15,/en/squads/fd962109/2022-2023/Fulham-Stats
29,38,840,480,376,343,121,412,870,47.4,458,536,131,405,392,1232,734,18,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
28,38,699,412,345,291,63,308,677,45.5,369,517,170,347,367,1066,777,12,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
28,38,590,370,228,250,112,281,651,43.2,370,350,74,276,333,923,568,20,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
24,38,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
26,38,657,400,343,231,83,300,600,50.0,300,496,146,350,352,1009,771,11,/en/squads/19538871/2022-2023/Manchester-United-Stats
27,38,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
33,38,659,387,380,201,78,296,589,50.3,293,500,156,344,349,1008,944,7,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
36,38,714,426,378,279,57,297,612,48.5,315,542,165,377,427,1141,852,11,/en/squads/33c895d4/2022-2023/Southampton-Stats
29,38,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
25,38,608,336,290,226,92,270,563,48.0,293,415,139,276,408,1016,810,10,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
32,38,660,370,363,222,75,285,616,46.3,331,497,175,322,279,939,817,19,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
29,38,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17,/en/squads/206d90db/2022-2023/Barcelona-Stats
