playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
29,5,2.0,,119460,Ayase Ueda,Ayase,Ueda,1998-09-10,Japan,Centre-Forward,,36.0,2024-08-24T08:13:26Z,675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,Van Zandvlietplein 3 Rotterdam 3007 AP,http://www.feyenoord.nl,1908,Red / White / Black,Stadion Feijenoord,2022-03-24T17:06:52Z,DED,Eredivisie,2023
32,5,1.0,,137048,Yassin Oukili,Yassin,Oukili,2001-01-03,Morocco,Central Midfield,,37.0,2024-08-24T08:13:27Z,683,RKC Waalwijk,RKC,RKC,https://crests.football-data.org/683.png,Akkerlaan 2 Waalwijk 5143 ND,http://www.rkcwaalwijk.nl,1940,Yellow / Blue,Mandemakers Stadion,2022-03-22T10:11:27Z,DED,Eredivisie,2023
33,5,5.0,,7499,Odysseus Velanas,Ody,Velanas,1998-06-05,Netherlands,Attacking Midfield,,,2024-08-24T08:13:27Z,684,PEC Zwolle,Zwolle,ZWO,https://crests.football-data.org/684.png,Stadionplein 1 Zwolle 8025 CP,http://www.peczwolle.nl,1910,Blue / White,MAC³PARK Stadion,2022-03-22T10:11:39Z,DED,Eredivisie,2023
34,5,6.0,,97537,Kenneth Taylor,Kenneth,Taylor,2002-05-16,Netherlands,Central Midfield,,8.0,2024-08-24T08:13:27Z,678,AFC Ajax,Ajax,AJA,https://crests.football-data.org/678.png,ArenA Boulevard 29 Amsterdam 1101 AX,http://www.ajax.nl,1900,Red / White,Johan Cruyff ArenA,2022-03-22T10:11:05Z,DED,Eredivisie,2023
27,5,,,154152,Camiel Neghli,Camiel,Neghli,2001-11-06,Algeria,Right Winger,,,2024-08-24T08:13:28Z,6806,Sparta Rotterdam,Sparta,SPA,https://crests.football-data.org/6806.png,Spartapark Noord 1 Rotterdam 3027 VW,http://www.sparta-rotterdam.nl,1888,Red / White / Black,Sparta-Stadion Het Kasteel,2022-03-22T10:09:59Z,DED,Eredivisie,2023
20,5,7.0,,7478,Steven Berghuis,Steven,Berghuis,1991-12-19,Netherlands,Right Winger,,,2024-08-24T08:13:27Z,678,AFC Ajax,Ajax,AJA,https://crests.football-data.org/678.png,ArenA Boulevard 29 Amsterdam 1101 AX,http://www.ajax.nl,1900,Red / White,Johan Cruyff ArenA,2022-03-22T10:11:05Z,DED,Eredivisie,2023
14,5,2.0,,21733,Tjaronn Chery,Tjaronn,Chery,1988-06-04,Suriname,Midfield,,10.0,2023-08-22T06:42:41Z,1915,NEC,NEC,NEC,https://crests.football-data.org/1915.png,Stadionplein 1 Nijmegen 6532 AJ,http://www.nec-nijmegen.nl,1900,Red / Green / Black,Goffertstadion,2022-03-06T09:55:52Z,DED,Eredivisie,2023
20,5,,,144600,Taylor Booth,Taylor,Booth,2001-05-31,USA,Right Winger,,,2024-08-24T08:13:26Z,676,FC Utrecht,Utrecht,UTR,https://crests.football-data.org/676.png,Postbus 85159 Utrecht 3508 AD,http://www.fc-utrecht.nl,1970,Red / White,Stadion Galgenwaard,2022-03-24T17:07:00Z,DED,Eredivisie,2023
34,5,2.0,1.0,15542,Dávid Hancko,Dávid,Hancko,1997-12-13,Slovakia,Centre-Back,,,2024-08-24T08:13:26Z,675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,Van Zandvlietplein 3 Rotterdam 3007 AP,http://www.feyenoord.nl,1908,Red / White / Black,Stadion Feijenoord,2022-03-24T17:06:52Z,DED,Eredivisie,2023
11,4,1.0,,7565,Noa Lang,Noa,Lang,1999-06-17,Netherlands,Left Winger,,,2024-08-24T08:13:26Z,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,DED,Eredivisie,2023
