playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
32,36,8.0,5.0,8004,Harry Kane,Harry,Kane,1993-07-28,England,Centre-Forward,,,2024-08-12T11:57:09Z,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,Säbenerstr. 51 München 81547,http://www.fcbayern.de,1900,Red / White / Blue,Allianz Arena,2024-07-09T17:26:37Z,BL1,Bundesliga,2023
28,28,4.0,4.0,211,Sehrou Guirassy,Serhou,Guirassy,1996-03-12,Guinea,Centre-Forward,,9.0,2024-08-12T11:57:09Z,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,Mercedesstraße 109 Stuttgart 70372,http://www.vfb.de,1893,White / Red,Mercedes-Benz Arena,2023-02-28T07:59:06Z,BL1,Bundesliga,2023
34,24,8.0,2.0,73215,Loïs Openda,Loïs,Openda,2000-02-16,Belgium,Centre-Forward,,,2024-10-11T09:41:12Z,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,Neumarkt 29-33 Leipzig 04109,http://www.dierotenbullen.com,2009,White / Red,Red Bull Arena,2022-02-19T09:03:00Z,BL1,Bundesliga,2023
30,18,10.0,,6928,Deniz Undav,Deniz,Undav,1996-07-19,Germany,Centre-Forward,,9.0,2024-10-11T09:41:02Z,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,Mercedesstraße 109 Stuttgart 70372,http://www.vfb.de,1893,White / Red,Mercedes-Benz Arena,2023-02-28T07:59:06Z,BL1,Bundesliga,2023
33,16,3.0,,133903,Maximilian Beier,Maximilian,Beier,2002-10-17,Germany,Centre-Forward,,,2024-08-12T11:57:09Z,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,Horrenberger Straße 58 Zuzenhausen 74939,http://www.achtzehn99.de,1921,Blue / White,PreZero Arena,2022-02-25T16:49:58Z,BL1,Bundesliga,2023
31,15,6.0,5.0,318,Andrej Kramarić,Andrej,Kramarić,1991-06-19,Croatia,Centre-Forward,,,2024-08-12T11:57:09Z,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,Horrenberger Straße 58 Zuzenhausen 74939,http://www.achtzehn99.de,1921,Blue / White,PreZero Arena,2022-02-25T16:49:58Z,BL1,Bundesliga,2023
33,15,10.0,3.0,33242,Ermedin Demirovic,Ermedin,Demirović,1998-03-25,Bosnia-Herzegovina,Centre-Forward,,,2024-08-12T11:57:09Z,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,Donauwörther Straße 170 Augsburg 86154,http://www.fcaugsburg.de,1907,Red / Green / White,WWK Arena,2023-02-28T07:59:40Z,BL1,Bundesliga,2023
23,14,9.0,4.0,130811,Victor Boniface,Victor,Boniface,2000-12-23,Nigeria,Centre-Forward,,8.0,2024-10-09T09:41:00Z,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,Bismarckstr. 122-124 Leverkusen 51373,http://www.bayer04.de,1904,Red / White / Black,BayArena,2022-02-25T16:43:07Z,BL1,Bundesliga,2023
33,14,2.0,,124244,Benjamin Šeško,Benjamin,Šeško,2003-05-31,Slovenia,Centre-Forward,,,2024-10-11T09:41:12Z,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,Neumarkt 29-33 Leipzig 04109,http://www.dierotenbullen.com,2009,White / Red,Red Bull Arena,2022-02-19T09:03:00Z,BL1,Bundesliga,2023
29,13,3.0,,7457,Donyell Malen,Donyell,Malen,1999-01-19,Netherlands,Right Winger,,,2024-08-12T11:57:09Z,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,Rheinlanddamm 207-209 Dortmund 44137,http://www.bvb.de,1909,Black / Yellow,Signal Iduna Park,2022-02-25T16:50:16Z,BL1,Bundesliga,2023
