players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
25,38,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,/en/squads/18bb7c10/Arsenal-Stats
28,38,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,/en/squads/8602292d/Aston-Villa-Stats
29,38,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,/en/squads/4ba7cbea/Bournemouth-Stats
28,38,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,/en/squads/cd051869/Brentford-Stats
32,38,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,38,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,38,15751,14063,1614,440,70,59,604,621,171,115,18,0,11876,74,302,/en/squads/47c64c55/Crystal-Palace-Stats
26,38,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,/en/squads/d3fd31cc/Everton-Stats
26,38,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,/en/squads/fd962109/Fulham-Stats
32,38,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,/en/squads/b74092de/Ipswich-Town-Stats
32,38,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319,/en/squads/a2d435b3/Leicester-City-Stats
24,38,21759,19999,1700,448,69,128,729,682,252,145,72,1,18304,60,330,/en/squads/822bd0ba/Liverpool-Stats
30,38,24443,22822,1576,449,86,90,659,603,253,127,37,4,21531,45,341,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,38,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355,/en/squads/19538871/Manchester-United-Stats
24,38,18898,17088,1739,482,78,94,705,704,217,118,27,17,15416,71,351,/en/squads/b2b47a98/Newcastle-United-Stats
23,38,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282,/en/squads/e4a775cb/Nottingham-Forest-Stats
36,38,18561,16979,1533,468,43,60,548,493,152,102,33,0,15530,49,272,/en/squads/33c895d4/Southampton-Stats
31,38,19956,18009,1884,561,54,71,753,705,243,108,66,0,16508,63,435,/en/squads/361ca564/Tottenham-Hotspur-Stats
27,38,18363,16678,1612,437,53,133,613,612,152,82,57,1,14820,73,343,/en/squads/7c21e445/West-Ham-United-Stats
32,38,17884,16133,1689,495,55,122,568,696,147,98,31,3,14472,62,328,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
29,38,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,/en/squads/8d6fd021/Alaves-Stats
31,38,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,/en/squads/2b390eca/Athletic-Club-Stats
24,38,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
28,38,25721,23787,1869,621,130,133,709,712,265,104,47,1,22321,65,371,/en/squads/206d90db/Barcelona-Stats
36,38,19284,17322,1906,613,60,153,627,778,197,82,68,0,15770,56,376,/en/squads/fc536746/Real-Betis-Stats
30,38,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,/en/squads/f25da7fb/Celta-Vigo-Stats
27,38,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,/en/squads/a8661628/Espanyol-Stats
30,38,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,/en/squads/7848bd64/Getafe-Stats
30,38,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,/en/squads/9024a00a/Girona-Stats
34,38,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,/en/squads/0049d422/Las-Palmas-Stats
26,38,14840,13035,1721,500,48,91,495,653,113,46,46,0,11207,84,252,/en/squads/7c6f2c78/Leganes-Stats
28,38,16224,14337,1809,471,44,93,735,757,145,58,73,3,12613,78,292,/en/squads/2aa12281/Mallorca-Stats
25,38,16028,14070,1892,487,28,133,819,831,175,64,50,2,12184,66,349,/en/squads/03c57e2b/Osasuna-Stats
26,38,17861,15874,1908,436,46,112,769,868,202,107,65,0,13936,79,395,/en/squads/98e8af82/Rayo-Vallecano-Stats
