players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
25,38,969,25.5,726,82,52,64,34,11,119,3.13,86,11,6,11,4,1,/en/squads/18bb7c10/Arsenal-Stats
28,38,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2,/en/squads/8602292d/Aston-Villa-Stats
29,38,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2,/en/squads/4ba7cbea/Bournemouth-Stats
28,38,780,20.53,569,74,40,51,35,11,113,2.97,78,11,5,9,9,1,/en/squads/cd051869/Brentford-Stats
32,38,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,38,1061,27.92,811,60,58,70,39,23,109,2.87,75,5,9,9,7,4,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,38,877,23.08,634,76,32,71,48,16,89,2.34,60,8,6,8,6,1,/en/squads/47c64c55/Crystal-Palace-Stats
26,38,713,18.76,530,65,44,31,31,12,68,1.79,46,4,6,4,5,3,/en/squads/d3fd31cc/Everton-Stats
26,38,940,24.74,718,73,38,70,25,16,99,2.61,80,3,5,4,4,3,/en/squads/fd962109/Fulham-Stats
32,38,658,17.32,458,72,51,30,33,14,58,1.53,46,2,6,2,2,0,/en/squads/b74092de/Ipswich-Town-Stats
32,38,585,15.39,427,49,44,26,34,5,56,1.47,37,4,6,5,4,0,/en/squads/a2d435b3/Leicester-City-Stats
24,38,1151,30.29,881,70,82,73,27,18,147,3.87,111,7,12,10,6,1,/en/squads/822bd0ba/Liverpool-Stats
30,38,1096,28.84,852,69,68,56,41,10,125,3.29,95,3,11,10,4,2,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,38,939,24.71,711,78,38,61,36,15,70,1.84,45,4,5,6,6,4,/en/squads/19538871/Manchester-United-Stats
24,38,938,24.68,711,73,39,53,37,25,115,3.03,94,7,3,5,4,2,/en/squads/b2b47a98/Newcastle-United-Stats
