players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
25,38,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,/en/squads/18bb7c10/Arsenal-Stats
28,38,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,/en/squads/8602292d/Aston-Villa-Stats
29,38,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,/en/squads/4ba7cbea/Bournemouth-Stats
28,38,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,/en/squads/cd051869/Brentford-Stats
32,38,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,38,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,38,766,450,374,298,94,324,642,50.5,318,484,144,340,333,1099,1087,19,/en/squads/47c64c55/Crystal-Palace-Stats
26,38,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,/en/squads/d3fd31cc/Everton-Stats
26,38,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,/en/squads/fd962109/Fulham-Stats
32,38,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,/en/squads/b74092de/Ipswich-Town-Stats
32,38,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31,/en/squads/a2d435b3/Leicester-City-Stats
24,38,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,/en/squads/822bd0ba/Liverpool-Stats
30,38,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,38,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26,/en/squads/19538871/Manchester-United-Stats
