players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
25,56.9,38,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801,/en/squads/18bb7c10/Arsenal-Stats
28,50.5,38,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,720,448,212,508,386,14423,1331,/en/squads/8602292d/Aston-Villa-Stats
29,48.5,38,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,754,534,228,597,350,12855,1474,/en/squads/4ba7cbea/Bournemouth-Stats
28,47.9,38,21489,3282,8328,8055,5308,987,21483,627,265,42.3,293,46.7,11409,61941,31661,598,380,213,549,300,13151,1339,/en/squads/cd051869/Brentford-Stats
32,52.3,38,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,816,576,263,583,344,15637,1522,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,57.1,38,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,861,493,317,466,297,17888,1576,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,42.8,38,20386,2572,7690,8437,4456,798,20382,498,208,41.8,241,48.4,10274,51841,25240,507,352,127,492,339,11785,1141,/en/squads/47c64c55/Crystal-Palace-Stats
26,40.9,38,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,51039,25414,486,364,119,525,390,11309,1023,/en/squads/d3fd31cc/Everton-Stats
26,52.3,38,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,73723,38440,786,544,213,515,281,16043,1544,/en/squads/fd962109/Fulham-Stats
32,40.6,38,19091,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,53235,26144,513,330,150,538,347,11405,920,/en/squads/b74092de/Ipswich-Town-Stats
32,45.4,38,21748,2881,8066,9845,4048,632,21745,638,264,41.4,304,47.6,12276,61780,30421,576,365,143,500,336,13828,1072,/en/squads/a2d435b3/Leicester-City-Stats
24,57.7,38,25905,2422,7286,11574,7274,1315,25896,677,301,44.5,310,45.8,14931,76219,41047,825,558,322,532,350,18113,1910,/en/squads/822bd0ba/Liverpool-Stats
30,61.3,38,28103,2092,6503,12076,9753,1348,28099,799,377,47.2,301,37.7,18077,103744,56163,1146,863,404,476,395,21242,1920,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,53.5,38,24734,2553,8593,10460,5908,967,24730,621,252,40.6,323,52.0,15116,75007,37992,697,475,230,521,353,16672,1433,/en/squads/19538871/Manchester-United-Stats
24,51.3,38,23032,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,71021,36065,759,474,263,491,438,15294,1583,/en/squads/b2b47a98/Newcastle-United-Stats
23,41.2,38,18996,2463,6477,7688,5064,785,18993,581,259,44.6,233,40.1,8769,49847,26563,633,385,187,563,324,10732,1117,/en/squads/e4a775cb/Nottingham-Forest-Stats
36,48.5,38,22776,3003,8424,9788,4766,688,22774,736,312,42.4,333,45.2,12656,66945,34286,640,460,165,486,355,15394,1118,/en/squads/33c895d4/Southampton-Stats
31,54.7,38,24310,2624,8155,10176,6220,1001,24306,810,307,37.9,425,52.5,15054,82855,41718,841,567,249,538,425,16368,1582,/en/squads/361ca564/Tottenham-Hotspur-Stats
27,48.4,38,22887,2942,8352,9852,4896,839,22884,793,347,43.8,360,45.4,11796,59439,29684,632,394,175,492,392,14712,1214,/en/squads/7c21e445/West-Ham-United-Stats
32,48.1,38,22329,2578,7797,10051,4750,729,22328,731,324,44.3,315,43.1,12486,66974,34365,607,458,146,591,369,14358,1179,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
29,45.3,38,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,/en/squads/8d6fd021/Alaves-Stats
31,48.4,38,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,/en/squads/2b390eca/Athletic-Club-Stats
24,52.6,38,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
