players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
25,38,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3,/en/squads/18bb7c10/Arsenal-Stats
28,38,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2,/en/squads/8602292d/Aston-Villa-Stats
29,38,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6,/en/squads/4ba7cbea/Bournemouth-Stats
28,38,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4,/en/squads/cd051869/Brentford-Stats
32,38,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,38,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,38,80,4,3,417,403,74,604,333,450,4,2,3,1696,510,636,44.5,/en/squads/47c64c55/Crystal-Palace-Stats
26,38,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1,/en/squads/d3fd31cc/Everton-Stats
26,38,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50.0,/en/squads/fd962109/Fulham-Stats
32,38,92,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9,/en/squads/b74092de/Ipswich-Town-Stats
32,38,87,0,0,420,393,63,621,327,431,3,4,3,1478,503,579,46.5,/en/squads/a2d435b3/Leicester-City-Stats
24,38,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5,/en/squads/822bd0ba/Liverpool-Stats
30,38,59,2,1,287,382,45,659,229,299,4,4,2,1437,310,334,48.1,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,38,86,3,1,403,371,69,630,358,493,4,4,2,1736,486,488,49.9,/en/squads/19538871/Manchester-United-Stats
24,38,68,1,0,394,450,71,705,270,371,4,2,2,1632,487,466,51.1,/en/squads/b2b47a98/Newcastle-United-Stats
23,38,90,2,2,401,419,91,621,322,419,3,3,0,1588,570,559,50.5,/en/squads/e4a775cb/Nottingham-Forest-Stats
36,38,89,3,0,459,421,49,548,305,378,2,9,0,1440,468,421,52.6,/en/squads/33c895d4/Southampton-Stats
31,38,72,1,1,446,483,63,753,322,414,4,3,4,1658,422,436,49.2,/en/squads/361ca564/Tottenham-Hotspur-Stats
27,38,82,3,2,443,397,73,613,331,388,2,3,3,1558,587,560,51.2,/en/squads/7c21e445/West-Ham-United-Stats
32,38,79,2,2,480,425,62,568,298,471,0,9,3,1659,451,475,48.7,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
29,38,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9,/en/squads/8d6fd021/Alaves-Stats
31,38,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1,/en/squads/2b390eca/Athletic-Club-Stats
24,38,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
28,38,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,/en/squads/206d90db/Barcelona-Stats
36,38,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3,/en/squads/fc536746/Real-Betis-Stats
30,38,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1,/en/squads/f25da7fb/Celta-Vigo-Stats
27,38,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4,/en/squads/a8661628/Espanyol-Stats
30,38,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1,/en/squads/7848bd64/Getafe-Stats
30,38,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3,/en/squads/9024a00a/Girona-Stats
34,38,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,48.5,/en/squads/0049d422/Las-Palmas-Stats
26,38,82,6,0,503,470,84,495,332,384,7,8,3,1500,472,614,43.5,/en/squads/7c6f2c78/Leganes-Stats
28,38,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,52.5,/en/squads/2aa12281/Mallorca-Stats
25,38,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,54.5,/en/squads/03c57e2b/Osasuna-Stats
26,38,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,47.3,/en/squads/98e8af82/Rayo-Vallecano-Stats
30,38,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,55.6,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
31,38,85,4,0,501,417,82,740,283,401,3,7,0,1569,578,606,48.8,/en/squads/e31d1cd9/Real-Sociedad-Stats
35,38,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,54.6,/en/squads/ad2be733/Sevilla-Stats
32,38,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,45.4,/en/squads/dcc91a7b/Valencia-Stats
38,38,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,50.9,/en/squads/17859612/Valladolid-Stats
31,38,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,55.2,/en/squads/2a8183b3/Villarreal-Stats
30,34,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8,/en/squads/69236f98/Angers-Stats
29,34,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4,/en/squads/5ae09109/Auxerre-Stats
30,34,69,3,1,430,413,42,641,316,426,5,10,2,1471,534,508,51.2,/en/squads/fb08dbb3/Brest-Stats
31,34,56,4,1,379,403,50,695,324,387,6,6,1,1399,451,436,50.8,/en/squads/5c2737db/Le-Havre-Stats
33,34,86,8,3,499,360,84,706,321,365,2,9,0,1576,450,414,52.1,/en/squads/fd4e0f7d/Lens-Stats
27,34,77,2,1,410,376,48,535,271,356,8,4,1,1535,392,350,52.8,/en/squads/cb188c0c/Lille-Stats
31,34,60,0,0,407,357,71,598,282,340,6,3,0,1422,305,332,47.9,/en/squads/d53c0b06/Lyon-Stats
32,34,64,6,4,394,371,53,609,280,358,5,6,2,1485,312,249,55.6,/en/squads/5725cc7b/Marseille-Stats
28,34,60,4,2,462,444,69,563,357,429,3,3,0,1763,426,421,50.3,/en/squads/fd6114db/Monaco-Stats
35,34,87,7,2,427,438,65,646,273,389,3,9,3,1349,374,442,45.8,/en/squads/281b0e73/Montpellier-Stats
30,34,71,4,0,413,389,31,611,283,376,3,8,3,1289,426,439,49.2,/en/squads/d7a486cd/Nantes-Stats
31,34,59,5,2,391,417,56,599,365,399,5,3,1,1608,427,402,51.5,/en/squads/132ebc33/Nice-Stats
28,34,37,0,0,307,336,54,562,265,386,6,3,1,1654,262,214,55.0,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
34,34,66,6,2,392,372,59,611,289,359,1,5,0,1407,378,430,46.8,/en/squads/7fdd64e0/Reims-Stats
