players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
25,38,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,/en/squads/18bb7c10/Arsenal-Stats
28,38,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,/en/squads/8602292d/Aston-Villa-Stats
29,38,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5,/en/squads/4ba7cbea/Bournemouth-Stats
28,38,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,6.0,5.6,/en/squads/cd051869/Brentford-Stats
32,38,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,38,61,590,203,34.4,15.53,5.34,0.1,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,38,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,/en/squads/47c64c55/Crystal-Palace-Stats
26,38,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,11,2,2,41.8,40.2,0.1,-2.8,-3.2,/en/squads/d3fd31cc/Everton-Stats
26,38,53,516,167,32.4,13.58,4.39,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1,/en/squads/fd962109/Fulham-Stats
32,38,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,0.6,0.2,/en/squads/b74092de/Ipswich-Town-Stats
32,38,33,332,105,31.6,8.74,2.76,0.09,0.3,17.3,8,2,3,32.6,30.4,0.09,0.4,0.6,/en/squads/a2d435b3/Leicester-City-Stats
24,38,85,639,215,33.6,16.82,5.66,0.12,0.35,15.9,11,9,9,82.2,75.2,0.12,2.8,0.8,/en/squads/822bd0ba/Liverpool-Stats
30,38,71,603,208,34.5,15.87,5.47,0.11,0.33,16.9,21,3,4,68.1,64.9,0.11,2.9,3.1,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,38,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,15,4,4,52.6,49.4,0.1,-10.6,-11.4,/en/squads/19538871/Manchester-United-Stats
24,38,66,519,163,31.4,13.66,4.29,0.12,0.37,15.9,14,5,6,63.8,59.5,0.12,2.2,1.5,/en/squads/b2b47a98/Newcastle-United-Stats
23,38,57,460,162,35.2,12.11,4.26,0.12,0.33,17.5,15,3,3,45.5,43.2,0.1,11.5,10.8,/en/squads/e4a775cb/Nottingham-Forest-Stats
36,38,25,341,106,31.1,8.97,2.79,0.07,0.24,16.3,7,0,2,32.7,30.9,0.09,-7.7,-5.9,/en/squads/33c895d4/Southampton-Stats
31,38,61,493,177,35.9,12.97,4.66,0.12,0.33,16.0,13,3,4,58.8,55.6,0.12,2.2,2.4,/en/squads/361ca564/Tottenham-Hotspur-Stats
27,38,43,473,137,29.0,12.45,3.61,0.08,0.29,16.3,14,3,3,47.0,44.7,0.1,-4.0,-4.7,/en/squads/7c21e445/West-Ham-United-Stats
32,38,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.1,9.3,9.3,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
29,38,38,393,123,31.3,10.34,3.24,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1,/en/squads/8d6fd021/Alaves-Stats
31,38,53,462,148,32.0,12.16,3.89,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,1.8,/en/squads/2b390eca/Athletic-Club-Stats
24,38,68,463,174,37.6,12.18,4.58,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,3.4,2.7,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
28,38,99,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8,/en/squads/206d90db/Barcelona-Stats
36,38,55,518,176,34.0,13.63,4.63,0.09,0.27,18.1,14,7,10,54.6,46.9,0.09,0.4,1.1,/en/squads/fc536746/Real-Betis-Stats
30,38,58,442,167,37.8,11.63,4.39,0.11,0.3,17.9,19,8,9,54.2,47.3,0.11,3.8,2.7,/en/squads/f25da7fb/Celta-Vigo-Stats
27,38,38,351,98,27.9,9.24,2.58,0.09,0.34,18.4,15,5,5,34.4,30.5,0.09,3.6,2.5,/en/squads/a8661628/Espanyol-Stats
30,38,34,430,122,28.4,11.32,3.21,0.07,0.24,19.4,17,5,5,36.8,33.0,0.08,-2.8,-4.0,/en/squads/7848bd64/Getafe-Stats
30,38,43,397,134,33.8,10.45,3.53,0.1,0.29,17.7,13,4,5,42.5,38.6,0.1,0.5,0.4,/en/squads/9024a00a/Girona-Stats
34,38,38,409,134,32.8,10.76,3.53,0.09,0.26,19.2,21,3,4,36.3,33.2,0.08,1.7,1.8,/en/squads/0049d422/Las-Palmas-Stats
26,38,38,345,110,31.9,9.08,2.89,0.1,0.3,20.1,19,5,7,36.0,30.6,0.09,2.0,2.4,/en/squads/7c6f2c78/Leganes-Stats
