players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
25,38,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51.0,55,45.3,45.7,9.7,428,1397,437,75,1826,/en/squads/18bb7c10/Arsenal-Stats
28,38,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344,/en/squads/8602292d/Aston-Villa-Stats
29,38,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489,/en/squads/4ba7cbea/Bournemouth-Stats
28,38,13358,17100,78.1,245539,93263,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,44,42.4,38.1,1.6,330,1104,325,91,1356,/en/squads/cd051869/Brentford-Stats
32,38,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
29,38,18033,21320,84.6,311166,98339,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,47,52.7,41.8,-5.7,457,1488,346,73,1595,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
29,38,11876,15751,75.4,213331,80343,5195,6073,85.5,5288,6319,83.7,1138,2545,44.7,38,46.4,36.4,-8.4,379,887,272,69,1159,/en/squads/47c64c55/Crystal-Palace-Stats
26,38,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041,/en/squads/d3fd31cc/Everton-Stats
26,38,16199,19753,82.0,289508,97635,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,44,37.5,35.0,6.5,398,1346,343,108,1558,/en/squads/fd962109/Fulham-Stats
32,38,11524,14775,78.0,204832,77912,5157,5835,88.4,5115,5988,85.4,1021,2184,46.7,26,24.2,21.2,1.8,283,865,173,54,935,/en/squads/b74092de/Ipswich-Town-Stats
32,38,13945,17486,79.7,234016,83996,6703,7482,89.6,5797,6664,87.0,1073,2370,45.3,25,25.1,24.1,-0.1,252,953,216,67,1082,/en/squads/a2d435b3/Leicester-City-Stats
24,38,18304,21759,84.1,312354,104899,8616,9383,91.8,7893,8905,88.6,1412,2550,55.4,65,61.6,54.3,3.4,509,1583,430,83,1924,/en/squads/822bd0ba/Liverpool-Stats
30,38,21531,24443,88.1,349984,98901,11071,11923,92.9,8884,9710,91.5,1281,2040,62.8,51,54.2,53.8,-3.2,472,1685,440,62,1944,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
31,38,16837,20415,82.5,278154,89708,8233,9125,90.2,6855,7768,88.2,1257,2438,51.6,29,39.7,35.6,-10.7,406,1141,335,73,1448,/en/squads/19538871/Manchester-United-Stats
24,38,15416,18898,81.6,260464,91034,7416,8283,89.5,6475,7373,87.8,1193,2313,51.6,50,46.0,42.2,4.0,399,1149,399,70,1595,/en/squads/b2b47a98/Newcastle-United-Stats
23,38,10822,14366,75.3,185832,74897,5322,6094,87.3,4065,5011,81.1,1038,2339,44.4,42,33.0,29.9,9.0,333,974,241,64,1125,/en/squads/e4a775cb/Nottingham-Forest-Stats
36,38,15530,18561,83.7,263566,84964,7279,7996,91.0,6699,7455,89.9,1175,2271,51.7,16,24.8,23.9,-8.8,269,989,218,60,1127,/en/squads/33c895d4/Southampton-Stats
31,38,16508,19956,82.7,275294,93072,7570,8434,89.8,7373,8290,88.9,1102,2086,52.8,47,44.4,36.4,2.6,375,1255,369,83,1593,/en/squads/361ca564/Tottenham-Hotspur-Stats
27,38,14820,18363,80.7,258653,90743,6989,7831,89.2,6245,7153,87.3,1346,2580,52.2,29,33.9,32.0,-4.9,331,1075,267,72,1222,/en/squads/7c21e445/West-Ham-United-Stats
32,38,14472,17884,80.9,246100,83847,6855,7612,90.1,5909,6712,88.0,1251,2503,50.0,42,35.4,26.6,6.6,323,1011,276,72,1185,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
29,38,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160,/en/squads/8d6fd021/Alaves-Stats
31,38,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,40,36.7,33.1,3.3,351,1283,274,90,1579,/en/squads/2b390eca/Athletic-Club-Stats
24,38,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,51,47.9,45.3,3.1,348,1233,365,96,1559,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
28,38,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212,/en/squads/206d90db/Barcelona-Stats
36,38,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,/en/squads/fc536746/Real-Betis-Stats
30,38,17798,21253,83.7,312877,104182,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,40,38.4,36.9,1.6,339,1424,300,53,1659,/en/squads/f25da7fb/Celta-Vigo-Stats
27,38,10580,13996,75.6,199624,80026,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,27,24.5,23.4,2.5,256,772,204,81,1000,/en/squads/a8661628/Espanyol-Stats
30,38,8695,12922,67.3,169125,74933,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,21,23.9,23.8,-2.9,296,958,226,104,981,/en/squads/7848bd64/Getafe-Stats
30,38,18273,21401,85.4,322614,100730,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,31,31.6,37.4,-0.6,308,1494,302,87,1691,/en/squads/9024a00a/Girona-Stats
34,38,14352,18209,78.8,254010,92291,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,27,26.3,26.5,0.7,304,1059,246,79,1210,/en/squads/0049d422/Las-Palmas-Stats
26,38,11207,14840,75.5,201808,76373,5038,5734,87.9,4716,5600,84.2,1169,2735,42.7,27,23.3,21.8,3.7,241,796,187,45,1030,/en/squads/7c6f2c78/Leganes-Stats
28,38,12613,16224,77.7,232365,90368,5538,6293,88.0,5349,6310,84.8,1466,2803,52.3,24,26.5,28.3,-2.5,282,973,239,112,1184,/en/squads/2aa12281/Mallorca-Stats
25,38,12184,16028,76.0,230479,92624,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,28,29.8,33.4,-1.8,300,963,265,127,1221,/en/squads/03c57e2b/Osasuna-Stats
26,38,13936,17861,78.0,247359,94801,6459,7310,88.4,5793,6748,85.8,1401,2920,48.0,27,36.2,32.2,-9.2,374,1081,242,85,1362,/en/squads/98e8af82/Rayo-Vallecano-Stats
30,38,21356,24221,88.2,356264,110503,10517,11248,93.5,8566,9311,92.0,1723,2595,66.4,55,54.6,52.2,0.4,501,1773,359,34,1967,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
31,38,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341,/en/squads/e31d1cd9/Real-Sociedad-Stats
35,38,14432,18057,79.9,252909,88471,6743,7466,90.3,6146,7086,86.7,1267,2706,46.8,32,30.8,24.4,1.2,357,1072,210,60,1193,/en/squads/ad2be733/Sevilla-Stats
32,38,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30.0,33.4,-4.0,283,1109,254,91,1340,/en/squads/dcc91a7b/Valencia-Stats
38,38,12052,15387,78.3,228419,83632,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,15,25.7,24.3,-10.7,256,752,176,93,991,/en/squads/17859612/Valladolid-Stats
31,38,14532,17825,81.5,262800,96388,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,51,49.7,48.0,1.3,427,1146,371,102,1522,/en/squads/2a8183b3/Villarreal-Stats
30,34,11082,14057,78.8,195284,73447,4970,5624,88.4,4828,5656,85.4,1022,2043,50.0,17,23.5,22.7,-6.5,216,777,200,63,953,/en/squads/69236f98/Angers-Stats
29,34,11002,14162,77.7,201495,77527,4812,5517,87.2,4576,5349,85.5,1301,2498,52.1,35,32.0,24.3,3.0,296,804,212,68,1084,/en/squads/5ae09109/Auxerre-Stats
30,34,12678,16021,79.1,235901,85305,5284,6055,87.3,5575,6467,86.2,1526,2732,55.9,32,29.4,30.3,2.6,302,929,189,64,1096,/en/squads/fb08dbb3/Brest-Stats
31,34,11125,14115,78.8,205190,72072,4445,5095,87.2,5289,6120,86.4,1156,2182,53.0,21,24.4,25.8,-3.4,230,786,201,85,1051,/en/squads/5c2737db/Le-Havre-Stats
33,34,14837,18173,81.6,244876,87655,7330,8209,89.3,5806,6685,86.9,1219,2163,56.4,26,36.2,41.1,-10.2,365,1117,354,100,1451,/en/squads/fd4e0f7d/Lens-Stats
27,34,16765,19728,85.0,293593,93730,7248,8031,90.3,7757,8568,90.5,1382,2203,62.7,29,35.1,40.0,-6.1,318,1393,345,70,1616,/en/squads/cb188c0c/Lille-Stats
31,34,16061,19063,84.3,263677,88666,7944,8738,90.9,6605,7372,89.6,1102,1978,55.7,46,44.4,52.5,1.6,350,1215,371,58,1615,/en/squads/d53c0b06/Lyon-Stats
32,34,20427,23240,87.9,323783,101486,10229,10983,93.1,8543,9350,91.4,1062,1793,59.2,49,44.6,43.4,4.4,381,1513,325,69,1714,/en/squads/5725cc7b/Marseille-Stats
28,34,14561,17916,81.3,245412,90154,6877,7784,88.3,6192,7109,87.1,1143,2134,53.6,49,55.3,54.1,-6.3,390,1232,391,59,1638,/en/squads/fd6114db/Monaco-Stats
35,34,11442,14420,79.3,210740,76029,4844,5530,87.6,4897,5675,86.3,1384,2425,57.1,13,23.0,23.6,-10.0,255,875,169,75,1039,/en/squads/281b0e73/Montpellier-Stats
30,34,10999,13956,78.8,198112,76026,4741,5379,88.1,4886,5607,87.1,1116,2236,49.9,27,27.8,26.3,-0.8,257,878,216,85,1053,/en/squads/d7a486cd/Nantes-Stats
31,34,13129,16103,81.5,221429,82784,6345,7100,89.4,5509,6336,86.9,1015,1909,53.2,43,42.9,40.6,0.1,353,951,321,65,1320,/en/squads/132ebc33/Nice-Stats
28,34,23156,25781,89.8,384671,110280,10887,11622,93.7,10098,10815,93.4,1623,2267,71.6,69,70.8,61.3,-1.8,521,1849,450,71,2123,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
34,34,11657,14602,79.8,203427,75490,5338,6018,88.7,4868,5628,86.5,1110,2150,51.6,19,26.5,28.4,-7.5,276,861,224,80,1156,/en/squads/7fdd64e0/Reims-Stats
35,34,13914,16913,82.3,244981,84751,6055,6811,88.9,6276,7138,87.9,1246,2132,58.4,32,29.6,32.5,2.4,318,1083,265,62,1440,/en/squads/b3072e00/Rennes-Stats
32,34,13001,15954,81.5,218182,80494,6224,6913,90.0,5489,6265,87.6,973,1997,48.7,28,24.6,26.5,3.4,269,1024,237,34,1262,/en/squads/d298ef2c/Saint-Etienne-Stats
30,34,14667,17462,84.0,252607,87865,6434,7096,90.7,6989,7831,89.2,998,1882,53.0,43,38.5,32.5,4.5,273,896,216,50,1204,/en/squads/c0d3eab4/Strasbourg-Stats
27,34,11674,14867,78.5,203673,74918,5182,5953,87.0,5259,6118,86.0,964,2027,47.6,34,34.7,38.0,-0.7,297,879,284,65,1219,/en/squads/3f8c4b5f/Toulouse-Stats
29,34,11577,14936,77.5,213228,82617,4900,5714,85.8,5187,6033,86.0,1267,2377,53.3,26,25.1,33.1,0.9,296,905,248,77,1162,/en/squads/0cdc4311/Augsburg-Stats
29,34,22755,25733,88.4,376161,117553,11338,12153,93.3,9489,10320,91.9,1548,2329,66.5,66,59.7,75.9,6.3,511,2131,464,67,2138,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
27,34,10281,14230,72.2,202499,85811,3889,4696,82.8,4761,5852,81.4,1433,2841,50.4,23,30.0,35.5,-7.0,308,865,235,76,1090,/en/squads/b42c6323/Bochum-Stats
