playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
46,19,7.0,1.0,67978,Joël Piroe,Joël,Piroe,1999-08-02,Netherlands,Centre-Forward,,,2024-09-02T09:59:06Z,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.png,Elland Road Leeds LS11 0ES,http://www.leedsunited.com,1904.0,White / Blue,Elland Road,2022-02-10T19:27:14Z,ELC,Championship,2024
42,18,5.0,3.0,4401,Josh Brownhill,Josh,Brownhill,1995-12-19,England,Central Midfield,,,2024-09-02T09:59:06Z,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,Harry Potts Way Burnley BB10 4BX,http://www.burnleyfootballclub.com,1881.0,Claret / Sky Blue,Turf Moor,2022-02-10T19:24:11Z,ELC,Championship,2024
41,18,3.0,,127034,Borja Sainz,,Borja Sainz,2001-02-01,Spain,Left Winger,,,2024-09-02T09:59:05Z,68,Norwich City FC,Norwich,NOR,https://crests.football-data.org/68.png,Carrow Road Norwich NR1 1JE,http://www.canaries.co.uk,1902.0,Yellow / Green,Carrow Road,2022-03-23T08:28:03Z,ELC,Championship,2024
32,15,5.0,1.0,56852,Josh Sargent,Josh,Sargent,2000-02-20,USA,Centre-Forward,,,2024-09-02T09:59:05Z,68,Norwich City FC,Norwich,NOR,https://crests.football-data.org/68.png,Carrow Road Norwich NR1 1JE,http://www.canaries.co.uk,1902.0,Yellow / Green,Carrow Road,2022-03-23T08:28:03Z,ELC,Championship,2024
44,13,5.0,1.0,34908,Josh Windass,Josh,Windass,1994-01-09,England,Attacking Midfield,,,2024-09-02T09:59:06Z,345,Sheffield Wednesday FC,Sheffield Wed,SHE,https://crests.football-data.org/345.png,"Hillsborough Sheffield, Yorkshire S6 1SW",http://www.swfc.co.uk,1820.0,Blue / White / Black,Hillsborough Stadium,2022-02-19T08:58:10Z,ELC,Championship,2024
36,13,1.0,2.0,161089,Tommy Conway,Tommy,Conway,2002-08-06,Scotland,Centre-Forward,,,2024-09-02T09:59:06Z,343,Middlesbrough FC,Middlesbrough,MID,https://crests.football-data.org/343.png,Riverside Stadium Middlesbrough TS3 6RS,http://www.mfc.co.uk,1876.0,Red / White,Riverside Stadium,2022-02-19T08:58:41Z,ELC,Championship,2024
47,13,2.0,,83599,Wilson Isidor,Wilson,Isidor,2000-08-27,France,Centre-Forward,,,2024-09-02T09:59:05Z,71,Sunderland AFC,Sunderland,SUN,https://crests.football-data.org/71.png,The Sunderland Stadium of Light Sunderland SR5 1SU,http://www.safc.com,1879.0,Red / White,Stadium of Light,2022-02-19T09:12:07Z,ELC,Championship,2024
26,12,2.0,,4072,Josh Maja,Josh,Maja,1998-12-27,Nigeria,Centre-Forward,,9.0,2024-09-02T09:59:05Z,74,West Bromwich Albion FC,West Brom,WBA,https://crests.football-data.org/74.png,The Hawthorns West Bromwich B71 4LF,http://www.wba.co.uk,1879.0,White / Navy Blue,The Hawthorns,2022-02-19T09:11:36Z,ELC,Championship,2024
29,12,2.0,1.0,10076,Haji Wright,Haji,Wright,1998-03-27,USA,Left Winger,,,2024-09-02T09:59:07Z,1076,Coventry City FC,Coventry City,COV,https://crests.football-data.org/1076.png,"Gallagher Retail Park, Stoney Stanton Road Coventry CV6 5QE",http://www.ccfc.co.uk,1883.0,Sky Blue / White,St Andrew's Trillion Trophy Stadium,2022-02-19T08:56:17Z,ELC,Championship,2024
48,12,,2.0,152437,Anis Mehmeti,Anis,Mehmeti,2001-01-09,Albania,Left Winger,,,2024-09-02T09:59:07Z,387,Bristol City FC,Bristol City,BRI,https://crests.football-data.org/387.png,Ashton Gate Bristol BS3 2EJ,http://www.bcfc.co.uk,1894.0,Red / White,Ashton Gate Stadium,2024-07-29T17:18:14Z,ELC,Championship,2024
