nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ESP,GK,23,1993,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,100.0
ESP,FW,24,1992,10.9,2,0,0,16,7,9,5,3,7,1,0,0,20,26,38,40.6
NGA,FW,28,1988,8.1,2,0,0,12,14,8,1,1,2,0,0,0,18,22,38,36.7
URU,"MF,FW",32,1984,22.9,5,1,1,23,28,3,133,23,24,0,0,0,162,21,19,52.5
ESP,DF,26,1990,1.2,0,0,0,4,2,0,12,2,1,0,0,0,3,1,2,33.3
ESP,DF,22,1995,15.9,5,0,0,27,3,1,7,19,19,0,1,0,49,34,27,55.7
URU,"FW,MF",24,1993,21.6,0,0,0,28,48,19,27,12,25,1,0,0,107,11,41,21.2
ARG,"MF,DF",20,1996,0.3,2,0,0,2,0,0,0,2,1,0,0,0,2,0,1,0.0
ARG,MF,22,1995,4.6,1,0,0,12,4,0,1,9,4,0,0,0,22,3,5,37.5
URU,DF,22,1994,12.3,4,0,0,18,6,0,32,24,24,0,0,0,50,26,16,61.9
ESP,DF,24,1992,19.7,5,1,0,41,14,0,2,33,10,0,1,0,87,44,42,51.2
NGA,"MF,FW",21,1996,5.5,0,0,0,15,26,6,10,5,7,0,0,0,41,3,7,30.0
ESP,DF,21,1996,0.2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
ESP,"MF,FW",19,1997,4.3,4,0,0,8,6,0,22,4,7,0,0,0,29,7,6,53.8
ESP,"FW,MF",26,1991,2.4,1,0,0,2,2,0,35,2,2,0,0,0,12,0,1,0.0
ESP,FW,17,2000,0.1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
ESP,DF,27,1990,8.7,2,0,0,9,8,1,24,19,17,0,0,0,51,5,11,31.3
VEN,"MF,FW",23,1994,6.8,1,0,0,4,15,0,13,6,8,0,0,0,28,2,15,11.8
ESP,"MF,FW",25,1991,13.4,3,0,0,35,28,6,41,13,23,0,0,0,88,14,10,58.3
ESP,DF,28,1989,36.0,8,0,0,42,10,3,8,77,43,0,3,0,190,48,40,54.5
CHI,MF,33,1984,17.6,6,0,0,43,21,0,9,29,45,0,0,0,122,22,22,50.0
BEL,MF,25,1992,7.4,1,0,0,3,3,1,32,6,5,0,0,0,37,0,5,0.0
ALG,MF,33,1984,11.7,2,0,0,18,11,0,7,15,19,0,0,0,78,17,13,56.7
ESP,DF,31,1986,7.5,3,0,0,8,0,2,4,13,13,0,0,0,36,5,7,41.7
FRA,DF,29,1988,13.8,1,0,0,20,7,3,0,20,16,0,0,0,56,34,22,60.7
ESP,MF,26,1991,20.4,11,1,1,42,44,1,68,30,42,0,0,0,145,21,21,50.0
ESP,GK,31,1986,34.0,0,0,0,1,3,0,0,2,0,0,0,0,35,13,1,92.9
VEN,DF,28,1988,34.7,10,0,0,47,22,3,168,58,69,1,2,0,245,49,47,51.0
ESP,MF,27,1990,2.0,1,1,0,11,4,1,8,6,6,0,0,0,11,2,3,40.0
MAR,FW,20,1997,17.7,2,1,1,34,33,14,19,9,25,0,0,0,54,78,115,40.4
SRB,MF,29,1987,5.3,4,2,2,7,2,0,4,4,4,0,0,0,36,6,5,54.5
ESP,"FW,MF",21,1996,6.2,1,0,0,6,4,2,25,6,3,0,0,0,41,3,10,23.1
ESP,DF,18,1999,1.0,0,0,0,3,1,0,1,3,1,0,0,0,5,2,0,100.0
MAR,DF,18,1998,8.4,0,0,0,8,6,1,30,10,15,0,0,0,50,9,10,47.4
ESP,"FW,MF",20,1997,3.8,0,0,0,4,5,7,0,0,3,0,0,0,15,4,2,66.7
BRA,MF,25,1992,28.8,8,0,0,59,72,2,6,63,78,0,0,0,242,59,37,61.5
POR,FW,32,1985,25.4,1,0,0,19,18,40,34,6,4,1,0,0,51,34,27,55.7
ESP,DF,25,1992,24.7,11,1,0,48,32,3,91,38,40,0,2,0,155,19,27,41.3
ESP,MF,20,1996,4.5,0,0,0,7,15,0,2,5,7,0,0,0,26,0,1,0.0
WAL,"FW,MF",28,1989,20.0,5,0,0,25,16,13,55,12,13,2,0,0,37,33,29,53.2
ESP,MF,25,1992,19.7,1,0,0,19,59,6,94,15,12,0,0,0,89,3,14,17.6
ESP,DF,20,1997,7.0,0,0,0,2,2,1,0,16,7,0,0,0,39,9,11,45.0
FRA,FW,29,1987,23.9,0,0,0,19,11,15,6,8,8,1,0,0,43,9,28,24.3
CRC,GK,30,1986,27.0,1,0,0,1,3,0,0,3,1,0,1,0,44,4,0,100.0
ESP,GK,30,1986,10.0,0,0,0,0,0,0,0,2,0,0,0,0,16,2,0,100.0
FRA,GK,19,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
ESP,"MF,FW",26,1991,18.7,3,0,0,33,42,12,91,7,33,2,0,0,86,5,16,23.8
CRO,MF,31,1985,21.9,3,0,0,20,31,0,18,31,22,1,0,0,149,7,12,36.8
BRA,DF,29,1988,25.1,3,1,0,26,41,3,155,30,37,0,0,0,159,9,26,25.7
ESP,"FW,MF",21,1996,20.5,2,0,0,9,27,3,106,9,17,0,0,0,77,3,3,50.0
ESP,MF,22,1995,6.1,1,0,0,6,4,0,1,5,8,0,0,0,46,7,11,38.9
CRO,MF,23,1994,11.0,2,0,0,10,20,0,4,5,27,1,0,0,79,1,7,12.5
ESP,DF,27,1990,23.0,7,0,0,33,28,0,23,46,40,0,1,1,126,34,25,57.6
FRA,DF,24,1993,25.8,3,0,0,19,12,0,1,33,19,0,0,0,143,49,27,64.5
ESP,DF,31,1986,25.4,9,2,2,37,20,6,9,47,29,0,0,1,195,84,45,65.1
FRA,DF,19,1997,10.7,1,0,0,11,15,1,30,17,15,1,0,0,68,10,4,71.4
GER,MF,27,1990,25.1,4,0,0,21,38,2,148,16,35,0,0,0,151,11,7,61.1
BEL,FW,22,1995,17.5,4,0,0,32,60,6,59,11,11,0,0,0,74,5,14,26.3
ESP,DF,31,1985,17.0,4,0,0,20,17,6,69,21,22,0,0,0,74,25,15,62.5
ESP,DF,20,1996,0.8,0,0,0,1,1,0,3,4,2,0,0,0,5,1,0,100.0
ESP,DF,23,1994,17.7,1,0,0,21,11,3,9,45,20,0,0,0,69,41,28,59.4
ESP,MF,27,1990,35.1,10,1,1,34,68,0,49,75,57,0,0,0,285,23,16,59.0
ESP,DF,31,1986,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
MEX,FW,28,1989,4.2,0,0,0,5,18,1,20,0,7,1,0,0,23,7,3,70.0
ESP,MF,31,1986,24.9,2,0,0,44,47,1,6,41,36,0,0,0,160,30,31,49.2
ESP,DF,23,1993,25.8,9,1,1,35,27,0,3,43,22,0,2,0,147,63,51,55.3
ARG,GK,25,1992,26.0,3,0,0,1,2,0,0,0,1,0,1,0,43,1,0,100.0
MEX,DF,29,1988,8.0,1,0,0,9,13,1,0,10,3,0,0,0,56,24,9,72.7
ESP,MF,20,1997,17.6,3,1,1,19,15,1,2,32,29,0,0,0,113,38,23,62.3
ESP,FW,30,1987,2.6,0,0,0,1,4,1,1,0,0,1,0,0,6,8,10,44.4
ESP,DF,26,1991,11.7,0,0,0,10,17,3,13,23,9,0,1,0,83,29,21,58.0
ESP,"FW,MF",22,1995,2.0,0,0,0,6,1,1,0,0,0,0,0,0,5,7,9,43.8
ESP,MF,22,1995,0.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
ESP,"FW,MF",24,1993,16.5,3,0,0,20,23,16,5,10,13,1,1,0,57,12,17,41.4
POR,DF,23,1994,18.2,1,0,0,23,15,0,70,27,32,0,0,1,99,19,19,50.0
ESP,GK,33,1984,8.5,0,0,0,1,0,0,0,2,0,0,1,0,22,2,0,100.0
ESP,"FW,MF",20,1997,30.8,3,0,0,28,46,17,85,18,23,1,0,0,110,32,50,39.0
ESP,DF,29,1988,19.9,4,0,0,13,6,0,1,30,15,0,0,0,120,40,21,65.6
ESP,MF,24,1992,2.5,0,1,0,1,1,0,8,5,0,0,0,0,24,3,0,100.0
ESP,"MF,FW",26,1991,21.4,4,0,0,23,29,0,153,11,24,1,0,0,116,2,13,13.3
ESP,GK,30,1986,3.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
BRA,FW,25,1991,30.8,4,0,0,31,53,21,15,5,7,0,1,0,77,49,59,45.4
ESP,"MF,FW",33,1983,21.4,1,0,0,15,31,4,56,7,14,0,0,0,89,30,28,51.7
ESP,DF,21,1995,32.4,3,1,1,25,31,9,155,26,27,0,1,0,178,5,29,14.7
ESP,MF,23,1994,0.6,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0.0
ESP,FW,21,1996,1.5,0,0,0,4,1,0,0,0,1,0,0,0,3,2,3,40.0
FRA,DF,22,1995,33.3,9,0,0,52,24,1,1,35,50,0,0,0,164,70,41,63.1
POR,DF,28,1988,5.1,1,0,0,5,0,0,0,10,7,0,0,0,35,12,11,52.2
ESP,GK,24,1993,14.0,1,0,0,0,1,0,0,2,0,0,0,0,18,5,1,83.3
ARG,MF,28,1989,20.4,5,0,0,47,61,9,32,11,32,0,2,0,120,33,32,50.8
ARG,DF,30,1987,23.5,9,0,0,36,16,6,23,42,37,1,1,0,118,39,32,54.9
BRA,MF,27,1989,5.8,0,0,0,5,11,0,5,2,11,0,0,0,42,2,10,16.7
ARG,MF,27,1990,19.5,9,0,0,48,25,0,0,26,47,0,0,0,123,48,25,65.8
BRA,DF,20,1997,2.1,0,0,0,2,2,0,3,5,2,0,0,1,19,2,3,40.0
ESP,"FW,DF",31,1985,19.6,2,0,0,16,24,8,94,19,25,0,1,0,106,11,24,31.4
ARG,FW,22,1994,13.3,5,0,0,26,43,5,7,2,10,1,0,0,65,12,15,44.4
GER,"DF,MF",23,1993,7.5,0,0,0,9,1,0,9,10,15,0,0,0,57,6,7,46.2
ESP,MF,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA,DF,26,1991,6.0,0,0,0,4,6,0,8,6,6,0,0,0,37,7,11,38.9
COL,FW,26,1991,17.9,4,0,0,26,13,31,18,3,9,0,1,0,42,26,49,34.7
DEN,"MF,FW",34,1983,6.0,0,0,0,3,3,2,17,4,7,0,0,0,34,1,10,9.1
MEX,DF,29,1988,13.2,4,0,0,12,9,0,53,15,19,0,1,0,65,14,10,58.3
ARG,DF,33,1984,4.5,2,0,0,10,2,0,0,13,8,0,0,0,18,14,4,77.8
ESP,"FW,MF",30,1986,17.8,4,0,0,17,24,20,27,10,36,0,0,0,97,13,19,40.6
ESP,"FW,MF",25,1992,26.6,8,1,1,46,41,20,113,30,19,0,0,0,133,12,28,30.0
ESP,MF,28,1989,3.8,2,0,0,10,6,0,1,0,10,0,0,0,21,1,3,25.0
ESP,"FW,MF",22,1995,8.0,0,0,0,17,22,5,18,4,8,1,0,0,25,4,9,30.8
ESP,DF,27,1989,25.9,10,0,0,34,38,1,41,66,49,0,0,0,157,56,37,60.2
ESP,GK,23,1993,24.0,2,0,0,1,3,0,0,1,1,0,1,0,31,11,1,91.7
DEN,DF,28,1989,17.5,3,0,0,18,9,0,1,32,24,0,0,0,69,43,21,67.2
FRA,MF,28,1988,24.6,2,0,0,31,13,2,10,28,26,0,0,0,186,101,23,81.5
FRA,DF,26,1990,9.1,4,0,0,20,22,3,23,16,13,0,1,0,32,11,3,78.6
ARG,FW,24,1993,0.8,0,0,0,2,2,1,0,0,1,0,0,0,5,1,0,100.0
FRA,FW,26,1990,18.9,2,1,1,17,20,21,8,5,8,0,0,0,60,15,58,20.5
ARG,MF,29,1988,26.7,9,1,0,42,51,2,145,12,53,0,0,0,244,10,13,43.5
BRA,MF,21,1996,12.0,5,0,0,20,21,1,65,11,15,0,0,0,59,13,12,52.0
ESP,MF,20,1997,26.3,4,0,0,54,42,1,54,5,32,0,0,0,135,8,16,33.3
ESP,MF,28,1989,33.3,15,1,0,47,67,2,171,34,57,0,0,0,300,16,21,43.2
ARG,DF,30,1986,22.5,5,0,0,22,15,1,3,24,12,0,0,0,101,43,22,66.2
ESP,MF,17,2000,3.5,0,0,0,4,6,0,11,3,7,0,0,0,18,4,5,44.4
FRA,"MF,DF",26,1991,7.3,2,0,0,13,7,1,1,20,14,0,0,0,60,20,6,76.9
BRA,DF,26,1990,28.7,6,1,1,23,19,0,1,51,27,0,1,0,166,59,26,69.4
CTA,MF,24,1993,29.0,12,1,1,57,53,1,3,62,57,0,1,0,231,41,35,53.9
POR,MF,20,1996,27.1,2,0,0,35,70,10,52,16,26,0,0,0,133,9,15,37.5
ESP,GK,26,1990,5.0,2,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100.0
COL,DF,25,1992,15.3,4,0,0,16,15,2,0,29,24,0,1,0,85,45,22,67.2
ESP,DF,22,1995,32.4,11,0,0,35,45,5,94,56,60,2,0,0,176,24,26,48.0
POR,MF,23,1994,1.0,0,0,0,4,2,0,5,2,1,0,0,0,5,1,0,100.0
ARG,FW,23,1993,5.9,1,0,0,5,7,7,6,2,6,0,0,0,28,3,4,42.9
ESP,DF,26,1991,23.9,7,0,0,38,28,1,51,53,48,0,2,0,98,33,25,56.9
ESP,MF,21,1995,2.5,0,0,0,6,11,2,11,2,1,1,0,0,11,1,1,50.0
ESP,DF,22,1995,5.0,1,0,0,5,3,0,6,10,14,0,0,0,23,4,5,44.4
SRB,MF,22,1995,6.2,1,0,0,5,2,0,5,16,13,0,0,0,29,13,17,43.3
BRA,GK,28,1989,33.0,2,0,0,0,4,0,0,1,1,0,0,0,22,6,0,100.0
ESP,FW,26,1991,29.8,4,0,0,28,40,20,26,17,13,2,0,0,86,34,46,42.5
POR,DF,23,1994,17.3,2,1,1,23,13,1,15,23,24,0,0,0,94,39,14,73.6
ESP,FW,21,1995,17.3,4,0,0,24,36,11,6,2,9,1,0,0,50,35,54,39.3
ITA,FW,26,1991,23.1,9,1,1,41,32,16,9,8,14,1,0,0,43,74,77,49.0
ESP,"DF,MF",19,1997,8.9,4,0,0,10,8,1,10,9,16,0,0,0,55,8,11,42.1
ESP,MF,23,1994,0.8,0,0,0,3,1,0,0,3,1,0,0,0,5,0,0,
ESP,DF,20,1997,2.6,1,0,0,6,0,0,2,3,4,0,0,0,9,2,1,66.7
SEN,"DF,MF",27,1990,1.1,0,0,0,2,0,0,0,3,1,0,0,0,10,3,1,75.0
ESP,GK,30,1986,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
SRB,DF,33,1984,14.1,5,0,0,18,3,0,27,16,22,0,1,0,59,9,11,45.0
COL,FW,30,1986,27.7,9,0,0,22,20,40,11,8,2,0,0,0,54,23,38,37.7
ESP,MF,20,1997,1.0,1,0,0,3,2,0,8,1,0,0,0,0,1,0,1,0.0
COD,FW,26,1991,14.0,5,0,0,40,19,11,12,3,7,0,0,0,38,17,41,29.3
ESP,"MF,FW",21,1995,12.3,3,1,0,25,27,8,34,17,21,0,0,0,74,8,15,34.8
ITA,DF,36,1981,13.2,4,1,0,14,11,0,0,12,11,0,1,0,48,15,8,65.2
ESP,MF,20,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
RUS,"MF,FW",26,1990,10.3,2,0,0,21,14,5,27,13,16,1,0,0,50,12,16,42.9
TUR,FW,20,1997,12.5,1,0,0,32,25,9,5,4,5,0,0,0,32,41,47,46.6
ESP,DF,29,1988,28.2,14,1,1,54,37,0,67,46,43,1,3,0,122,33,39,45.8
ESP,MF,33,1984,6.0,2,0,0,13,8,0,1,3,13,0,1,0,40,8,10,44.4
ARG,MF,21,1996,0.3,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,
ESP,MF,25,1991,30.0,10,1,1,38,43,1,83,22,41,0,0,0,213,27,24,52.9
ARG,GK,33,1984,12.5,0,0,0,0,3,0,0,1,0,0,0,0,20,1,0,100.0
ESP,DF,26,1990,31.2,6,0,0,44,15,3,60,58,66,0,0,0,157,57,37,60.6
ESP,FW,21,1996,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,100.0
ITA,"FW,MF",25,1991,7.1,1,0,0,3,12,9,17,1,4,1,0,0,31,1,7,12.5
ESP,"MF,FW",21,1996,29.1,4,0,0,34,32,2,30,22,33,0,0,0,195,28,35,44.4
ESP,DF,20,1997,0.6,0,0,0,2,0,0,0,0,0,0,0,0,5,3,2,60.0
URU,MF,20,1997,0.8,1,0,0,1,2,0,1,0,2,0,0,0,4,0,0,
ITA,"MF,FW",26,1991,12.7,3,0,0,36,32,7,18,4,20,0,0,0,66,12,24,33.3
ESP,MF,21,1996,35.9,8,0,0,77,35,2,5,52,71,0,0,0,320,98,35,73.7
COL,FW,23,1994,2.6,1,0,0,6,10,1,2,0,1,0,0,0,7,5,5,50.0
POR,"DF,MF",23,1994,2.6,0,0,0,1,1,0,0,5,5,0,0,0,10,7,3,70.0
KSA,MF,25,1991,0.4,1,0,0,1,1,1,0,0,0,0,0,0,7,0,0,
ESP,"MF,FW",22,1995,23.0,4,0,0,42,66,7,97,22,28,2,0,0,121,15,41,26.8
ESP,GK,28,1989,23.0,3,0,0,2,3,0,0,0,2,0,1,0,32,7,1,87.5
ESP,DF,28,1989,26.8,10,1,1,28,6,0,2,58,22,0,1,0,158,59,40,59.6
ESP,DF,27,1990,32.2,14,1,1,33,30,3,7,53,26,0,0,0,132,58,50,53.7
ESP,"DF,MF",21,1997,3.2,2,0,0,11,3,0,2,7,8,0,0,0,15,4,2,66.7
ESP,"FW,MF",19,1998,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
ESP,GK,21,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
ESP,FW,25,1992,16.0,4,0,0,41,13,12,5,4,7,0,0,0,40,48,100,32.4
ESP,"MF,FW",24,1993,6.2,1,0,0,10,20,3,14,0,6,0,0,0,38,4,2,66.7
ESP,DF,23,1994,7.2,1,0,0,8,4,0,17,6,8,0,0,0,24,13,10,56.5
COL,MF,28,1989,0.8,1,0,0,1,1,0,0,2,1,0,0,0,3,0,1,0.0
SRB,MF,26,1992,17.6,5,0,0,34,15,0,14,13,16,0,0,0,109,31,30,50.8
URU,"MF,FW",25,1993,3.3,1,0,0,6,9,0,5,1,4,0,0,0,15,8,7,53.3
ESP,GK,26,1992,35.0,3,0,0,0,4,0,0,1,0,0,0,0,34,8,1,88.9
CHI,DF,24,1994,22.3,5,0,0,16,9,1,0,40,26,0,1,0,89,95,37,72.0
ESP,"MF,FW",28,1989,16.1,0,0,0,2,9,0,62,8,8,0,0,0,93,3,13,18.8
SWE,FW,26,1992,7.0,2,0,0,13,4,0,10,1,1,0,0,0,16,16,22,42.1
ARG,FW,24,1993,31.9,6,0,0,70,70,15,48,7,13,2,0,0,86,198,234,45.8
ESP,"MF,FW",27,1991,33.0,3,0,0,34,31,13,291,22,14,0,0,0,186,5,27,15.6
ESP,MF,32,1986,25.9,6,0,0,62,53,4,16,23,48,0,1,1,190,103,70,59.5
ESP,DF,22,1996,22.6,4,0,0,24,28,0,42,27,29,0,0,0,116,19,27,41.3
GHA,"MF,FW",24,1994,1.9,2,0,0,7,1,1,13,1,3,0,0,0,11,5,5,50.0
BRA,DF,24,1993,4.8,1,0,0,7,2,0,0,7,5,0,1,0,21,26,6,81.3
ESP,DF,22,1995,30.8,10,1,0,35,61,1,80,57,35,0,0,0,148,51,44,53.7
ESP,"FW,MF",26,1992,10.7,2,0,0,28,13,4,8,2,11,0,0,0,29,22,46,32.4
JPN,"MF,FW",30,1988,9.2,0,0,0,7,16,0,27,4,5,0,0,0,53,4,3,57.1
ESP,MF,30,1987,26.0,13,0,0,58,51,1,7,41,41,0,1,0,219,57,53,51.8
ESP,DF,28,1989,36.0,13,0,0,26,14,2,1,53,34,0,1,1,147,79,70,53.0
GHA,MF,28,1990,18.5,9,0,0,33,31,1,24,16,30,0,0,0,138,18,38,32.1
ESP,DF,28,1990,28.1,7,0,0,18,37,0,43,47,35,0,1,0,150,45,42,51.7
ESP,"DF,FW",26,1992,18.2,9,0,0,44,16,8,50,30,27,0,0,0,78,28,15,65.1
ESP,MF,29,1989,1.1,1,0,0,1,1,0,0,6,2,0,0,0,8,5,2,71.4
ESP,FW,37,1981,10.5,5,0,0,28,8,12,6,0,2,0,1,0,17,52,57,47.7
ESP,MF,31,1987,22.6,8,0,0,30,17,0,108,24,24,0,1,0,178,20,17,54.1
ROU,DF,26,1992,0.5,0,0,0,2,1,0,1,1,0,0,0,0,2,0,0,
ESP,MF,28,1990,27.5,13,0,0,46,26,0,5,49,34,0,0,0,187,56,32,63.6
ESP,"MF,FW",21,1996,0.6,0,0,0,4,0,0,0,2,1,0,0,0,2,3,9,25.0
ESP,GK,30,1988,31.0,1,0,0,1,4,0,0,0,0,0,0,0,27,17,1,94.4
ESP,FW,28,1989,6.4,0,0,0,4,3,0,62,2,3,0,0,0,34,6,4,60.0
ESP,"MF,FW",25,1992,26.5,7,0,0,27,79,1,40,12,20,3,0,0,158,5,27,15.6
GHA,FW,24,1994,33.6,3,0,0,40,52,21,31,7,18,0,0,0,82,77,92,45.6
ESP,"FW,MF",21,1997,14.7,3,0,0,19,20,2,44,17,23,0,0,0,96,22,18,55.0
ESP,DF,25,1993,2.3,1,0,0,1,3,0,12,4,2,0,0,0,11,4,4,50.0
ESP,DF,27,1991,32.2,12,0,0,38,55,0,16,69,26,2,2,0,183,91,69,56.9
BIH,"FW,MF",24,1993,1.8,0,0,0,5,2,1,0,0,1,0,0,0,6,7,7,50.0
ESP,"FW,MF",30,1987,15.3,4,1,1,12,13,3,105,12,10,0,0,0,70,4,18,18.2
ESP,DF,30,1988,5.8,0,0,0,10,1,1,8,2,6,0,0,0,25,5,4,55.6
ESP,MF,33,1984,2.7,0,0,0,5,3,0,4,2,2,0,0,0,19,7,7,50.0
ESP,MF,29,1989,19.3,7,0,0,34,8,2,11,21,25,0,0,0,99,63,35,64.3
ESP,DF,19,1998,5.2,2,1,0,5,1,0,0,10,8,0,0,0,26,14,12,53.8
ESP,"MF,FW",32,1986,26.3,12,0,0,98,60,10,28,21,41,1,0,0,123,186,125,59.8
ESP,MF,22,1995,3.6,1,0,0,1,4,1,12,1,5,0,0,0,25,2,7,22.2
ESP,DF,21,1997,11.8,4,0,0,16,2,0,1,28,11,0,0,0,50,43,25,63.2
ESP,GK,21,1997,7.0,2,0,0,1,0,0,0,1,0,0,1,0,5,1,0,100.0
ESP,DF,23,1995,29.0,10,0,0,31,24,0,4,63,30,0,0,0,138,93,66,58.5
ESP,"DF,FW",28,1990,34.7,8,0,0,38,78,3,102,42,31,0,0,0,270,75,37,67.0
ESP,"DF,FW",29,1989,26.9,7,2,1,39,11,9,78,27,32,0,0,0,117,37,33,52.9
COL,DF,20,1998,0.5,0,0,0,0,1,0,0,0,3,0,0,0,4,1,0,100.0
FRA,"FW,MF",27,1991,35.5,5,0,0,18,35,12,101,12,19,0,0,0,118,41,56,42.3
ESP,GK,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESP,FW,18,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
ESP,DF,20,1998,1.0,0,0,0,0,1,0,3,1,0,0,0,0,3,1,0,100.0
ESP,FW,29,1988,12.4,4,1,0,22,15,11,4,2,1,0,0,0,24,29,61,32.2
URU,DF,32,1986,27.9,6,0,0,32,24,0,0,45,30,0,0,1,138,83,51,61.9
BRA,DF,32,1985,22.6,4,0,0,26,14,2,54,44,36,0,1,0,143,18,10,64.3
POR,"FW,MF",23,1995,2.5,0,0,0,3,7,1,3,1,3,0,0,0,11,2,9,18.2
SVN,GK,25,1993,37.0,1,0,0,1,2,0,0,1,0,0,1,0,32,7,1,87.5
ESP,DF,19,1999,4.5,2,0,0,6,1,2,0,5,4,0,0,0,13,1,5,16.7
ESP,FW,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
URU,DF,23,1995,19.7,5,0,0,8,18,0,0,44,15,0,1,0,92,55,25,68.8
ESP,DF,33,1985,17.9,7,0,0,17,10,3,49,19,22,0,1,0,135,14,11,56.0
ESP,MF,26,1992,28.7,10,1,1,34,38,2,118,31,46,1,0,0,176,15,17,46.9
FRA,DF,22,1996,12.4,5,0,0,13,20,0,10,14,25,0,0,0,67,21,13,61.8
CRO,FW,30,1988,7.1,3,0,0,14,9,3,0,2,4,0,0,0,13,17,21,44.7
ESP,MF,22,1996,30.4,5,0,0,59,43,1,2,41,70,0,0,0,280,77,35,68.8
COL,DF,26,1992,19.7,4,0,0,21,32,2,51,34,32,0,0,0,99,41,34,54.7
ESP,"MF,DF",23,1994,32.5,10,0,0,55,26,7,49,42,56,0,1,1,204,93,60,60.8
ESP,FW,17,2001,0.5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
MNE,DF,27,1991,15.5,5,1,1,15,6,0,1,22,10,0,0,0,65,35,24,59.3
FRA,MF,22,1995,20.2,4,0,0,23,33,7,73,22,21,0,0,0,106,8,25,24.2
GHA,MF,25,1993,23.0,9,1,1,31,21,0,27,49,42,0,0,0,144,39,31,55.7
ESP,DF,20,1998,1.0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,2,33.3
ESP,"FW,DF",17,2001,0.7,0,0,0,4,2,0,0,0,0,0,0,0,1,2,5,28.6
ESP,"MF,FW",28,1989,8.4,1,0,0,6,40,2,3,10,13,0,0,0,53,5,18,21.7
ESP,FW,25,1992,12.0,5,0,0,29,19,14,7,5,14,0,0,0,33,58,46,55.8
ARG,"MF,FW",23,1995,21.3,7,1,0,38,36,11,34,17,19,1,0,0,123,10,25,28.6
ESP,FW,18,2000,0.2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0.0
BRA,MF,21,1996,15.9,2,0,0,11,40,0,4,9,10,0,0,0,109,3,7,30.0
CHI,MF,31,1987,21.4,7,0,0,58,32,0,6,29,44,0,0,0,121,39,30,56.5
ESP,MF,20,1998,7.1,2,0,0,9,14,1,3,2,4,0,0,0,38,5,4,55.6
ESP,FW,20,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA,DF,23,1995,21.5,8,1,0,30,14,1,0,21,29,0,0,1,106,44,32,57.9
ESP,"MF,DF",24,1994,0.2,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,100.0
ESP,DF,31,1987,35.0,6,0,0,24,21,2,0,36,27,1,0,0,277,116,41,73.9
CRO,MF,30,1988,29.4,7,1,1,27,53,3,24,51,24,0,0,0,215,37,20,64.9
NED,GK,29,1989,3.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0
FRA,DF,18,1999,1.7,2,0,0,4,0,0,0,3,2,0,0,0,13,2,2,50.0
COL,DF,26,1992,1.3,0,0,0,0,0,0,0,0,2,0,0,0,6,4,5,44.4
ESP,DF,29,1989,33.2,6,0,0,25,19,9,52,60,22,1,0,0,208,16,37,30.2
GHA,FW,31,1987,2.7,1,0,0,3,9,3,0,1,2,0,0,0,5,3,6,33.3
ARG,FW,31,1987,30.1,3,0,0,22,66,17,78,3,7,0,0,0,69,7,10,41.2
URU,FW,31,1987,31.4,5,0,0,31,57,27,21,8,11,3,0,0,69,22,10,68.8
BRA,"FW,MF",21,1997,6.8,0,0,0,5,9,8,16,1,2,0,0,0,24,4,11,26.7
GER,GK,26,1992,35.0,0,0,0,0,2,0,0,2,0,0,0,0,58,5,0,100.0
SEN,"DF,FW",19,1998,2.5,1,0,0,9,0,3,6,4,5,0,1,0,13,2,4,33.3
