players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
25,38,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
31,38,94,2,0,412,473,47,651,236,311,4,2,4,1619,334,363,47.9,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
30,38,79,3,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
28,38,89,2,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0,/en/squads/cd051869/2023-2024/Brentford-Stats
30,38,90,3,0,414,454,84,671,288,366,6,6,2,1751,406,345,54.1,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
31,38,77,7,3,429,353,76,550,280,342,3,7,3,1727,561,696,44.6,/en/squads/943e8050/2023-2024/Burnley-Stats
32,38,109,4,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
26,38,73,2,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
26,38,82,1,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0,/en/squads/d3fd31cc/2023-2024/Everton-Stats
25,38,84,4,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9,/en/squads/fd962109/2023-2024/Fulham-Stats
30,38,69,5,2,463,376,100,817,292,418,8,1,2,2034,583,441,56.9,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
28,38,71,0,0,443,448,67,841,325,368,2,4,4,1868,635,631,50.2,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
