players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
31,50.6,38,23998,2938,8197,9856,6146,1025,23991,697,311,44.6,303,43.5,13979,75358,39599,758,523,274,484,342,15597,1468,/en/squads/19538871/2023-2024/Manchester-United-Stats
32,52.2,38,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13650,73461,36585,737,507,243,506,400,15994,1545,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
33,40.6,38,20126,2493,7339,8320,4686,785,20125,604,275,45.5,268,44.4,10217,54749,29182,601,394,155,527,286,11784,1123,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
35,35.8,38,17951,2817,7156,7145,3830,646,17946,581,251,43.2,286,49.2,8332,43412,20412,346,287,128,489,322,9458,875,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
29,61.6,38,28529,2791,8520,12260,8010,1316,28527,812,359,44.2,363,44.7,18087,92824,46598,957,634,349,559,375,20484,2097,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
26,41.1,38,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,12459,1192,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
27,48.9,38,23487,2823,8674,10264,4804,739,23483,823,415,50.4,324,39.4,13055,71341,36731,671,519,168,536,389,15352,1163,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
30,41.8,38,18179,2162,6122,7564,4706,764,18172,625,310,49.6,254,40.6,8574,48049,25494,550,364,138,572,299,9972,1252,/en/squads/8d6fd021/2023-2024/Alaves-Stats
35,46.4,38,20902,2654,7711,9323,4094,614,20900,667,299,44.8,314,47.1,11128,59196,30444,590,424,132,550,269,12660,1082,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
27,49.8,38,22845,1965,6376,10617,6083,901,22839,743,338,45.5,349,47.0,12487,65998,34507,735,528,193,571,366,14367,1596,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
27,50.8,38,24749,2368,7880,11405,5662,954,24743,567,297,52.4,227,40.0,14402,72549,38491,758,546,181,533,303,16931,1580,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
29,64.3,38,28717,2191,7360,14262,7313,1077,28710,826,384,46.5,338,40.9,17768,96311,54148,964,728,262,605,305,21296,1911,/en/squads/206d90db/2023-2024/Barcelona-Stats
35,50.4,38,23335,2339,7497,10512,5555,886,23332,793,386,48.7,329,41.5,13053,68844,34142,676,495,186,626,427,15184,1424,/en/squads/fc536746/2023-2024/Real-Betis-Stats
31,46.1,38,22062,2314,7084,9675,5538,818,22057,646,295,45.7,291,45.0,12540,63894,32693,660,489,162,600,336,13773,1332,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
34,43.3,38,19166,2242,6375,8425,4551,570,19163,537,230,42.8,263,49.0,9664,52345,25428,456,422,76,571,343,10662,996,/en/squads/ee7c297c/2023-2024/Cadiz-Stats
33,44.8,38,19243,2020,5619,8971,4848,684,19236,552,239,43.3,261,47.3,9360,49101,24618,439,385,122,576,281,10603,1124,/en/squads/7848bd64/2023-2024/Getafe-Stats
25,56.9,38,25780,2695,8432,11583,5985,977,25772,745,353,47.4,297,39.9,16055,90323,46626,894,599,234,584,376,18610,1673,/en/squads/9024a00a/2023-2024/Girona-Stats
40,45.6,38,20152,2413,7720,8677,3997,667,20144,658,303,46.0,296,45.0,10969,57198,28813,512,379,112,600,305,12010,1030,/en/squads/a0435291/2023-2024/Granada-Stats
29,59.2,38,27041,2667,9077,12876,5282,614,27036,680,316,46.5,308,45.3,15544,71689,36286,577,459,116,645,365,18955,1573,/en/squads/0049d422/2023-2024/Las-Palmas-Stats
25,45.0,38,19767,2279,6620,8961,4390,672,19764,511,251,49.1,219,42.9,9848,53864,26398,498,377,108,566,313,11353,1155,/en/squads/2aa12281/2023-2024/Mallorca-Stats
29,47.5,38,21181,2147,6244,9526,5586,720,21176,530,237,44.7,247,46.6,10522,54022,25894,501,408,97,540,283,12730,1306,/en/squads/03c57e2b/2023-2024/Osasuna-Stats
26,49.4,38,21757,2306,7210,9672,5091,669,21751,653,283,43.3,306,46.9,10906,56132,26844,506,368,116,634,373,13171,1327,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
27,59.2,38,28670,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,97637,52448,950,802,315,480,312,21642,1923,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
31,55.3,38,23321,2214,6934,11207,5377,769,23317,681,321,47.1,284,41.7,12972,71091,36540,685,465,175,612,351,15092,1402,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
35,50.3,38,22879,2261,7429,10033,5652,746,22877,632,292,46.2,278,44.0,12225,64805,32942,635,447,146,620,280,14506,1406,/en/squads/ad2be733/2023-2024/Sevilla-Stats
29,44.3,38,20444,2323,7222,9012,4440,593,20435,644,276,42.9,294,45.7,10723,56085,28187,522,399,136,582,318,12130,1151,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
32,49.6,38,22729,2879,8003,9685,5250,848,22722,723,351,48.5,329,45.5,12248,68209,34560,654,491,189,570,356,15179,1548,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
25,53.6,34,21735,2170,6704,10200,5105,723,21731,690,326,47.2,320,46.4,15224,89502,39734,590,532,105,569,265,13983,1385,/en/squads/fb08dbb3/2023-2024/Brest-Stats
31,48.9,34,20572,2425,6911,9932,3924,578,20564,575,252,43.8,286,49.7,14537,85738,39030,537,470,113,498,269,13270,1238,/en/squads/d9676424/2023-2024/Clermont-Foot-Stats
27,44.7,34,18820,2058,6332,8458,4240,620,18813,586,260,44.4,286,48.8,12860,70472,31489,457,446,114,453,284,11638,1189,/en/squads/5c2737db/2023-2024/Le-Havre-Stats
27,52.9,34,21677,1936,5779,10394,5721,811,21670,487,226,46.4,220,45.2,15840,89132,41093,609,612,113,527,317,14549,1611,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
28,56.6,34,22824,2050,6613,11596,4827,761,22821,680,336,49.4,293,43.1,17241,94800,44141,650,532,190,468,310,16106,1453,/en/squads/cb188c0c/2023-2024/Lille-Stats
38,46.3,34,20198,2448,6962,9140,4345,640,20197,691,341,49.3,316,45.7,14463,87600,40467,632,548,117,535,315,13141,1283,/en/squads/d2c87802/2023-2024/Lorient-Stats
35,51.8,34,21623,2216,6779,9649,5437,865,21619,742,375,50.5,317,42.7,15991,90353,42599,683,550,196,525,352,14665,1577,/en/squads/d53c0b06/2023-2024/Lyon-Stats
33,53.7,34,21671,1889,6061,10285,5532,815,21667,548,260,47.4,244,44.5,15835,90152,42162,635,595,156,478,303,14559,1609,/en/squads/5725cc7b/2023-2024/Marseille-Stats
30,35.6,34,15895,2067,5771,7135,3258,451,15889,655,290,44.3,336,51.3,10009,63084,27228,458,422,96,507,267,8739,899,/en/squads/f83960ae/2023-2024/Metz-Stats
30,53.6,34,22252,1983,5837,11000,5665,893,22247,593,301,50.8,255,43.0,16173,89004,38754,614,593,179,575,325,14692,1713,/en/squads/fd6114db/2023-2024/Monaco-Stats
31,44.6,34,18599,2267,6560,8239,4047,672,18592,621,293,47.2,283,45.6,12397,73315,34699,553,489,166,561,291,11076,1155,/en/squads/281b0e73/2023-2024/Montpellier-Stats
35,44.8,34,18988,2268,6241,8774,4159,639,18983,468,220,47.0,212,45.3,13293,73735,33515,569,438,141,520,254,12078,1229,/en/squads/d7a486cd/2023-2024/Nantes-Stats
27,52.4,34,22006,2245,7341,10584,4353,741,21999,752,371,49.3,342,45.5,16643,94005,44283,661,624,153,553,341,15354,1226,/en/squads/132ebc33/2023-2024/Nice-Stats
29,65.2,34,27994,2331,7124,13880,7239,974,27985,815,401,49.2,364,44.7,22605,117789,57147,845,772,284,474,288,21336,1901,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
29,50.4,34,20300,2235,6510,9331,4713,700,20296,660,329,49.8,297,45.0,14199,84533,39985,625,477,157,577,299,12862,1410,/en/squads/7fdd64e0/2023-2024/Reims-Stats
29,52.1,34,21300,2090,6252,9861,5426,794,21289,689,351,50.9,289,41.9,15567,92352,44323,606,634,144,500,334,14324,1625,/en/squads/b3072e00/2023-2024/Rennes-Stats
30,44.3,34,18798,2315,6649,8526,3874,559,18794,639,318,49.8,277,43.3,13153,79771,36751,548,514,108,489,313,11914,1142,/en/squads/c0d3eab4/2023-2024/Strasbourg-Stats
26,48.4,34,20087,2092,6116,9591,4602,735,20078,592,289,48.8,265,44.8,13929,76303,35079,549,474,153,501,267,12883,1395,/en/squads/3f8c4b5f/2023-2024/Toulouse-Stats
29,43.9,34,18130,2132,6226,7678,4413,795,18123,531,235,44.3,255,48.0,9496,50630,24792,462,313,91,533,236,10394,1122,/en/squads/0cdc4311/2023-2024/Augsburg-Stats
30,61.3,34,26644,2111,7127,12412,7367,1214,26639,907,481,53.0,374,41.2,16452,93322,49960,944,704,276,468,357,19847,1926,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
25,46.6,34,18361,2175,5905,8082,4546,787,18357,436,186,42.7,209,47.9,8480,42524,20687,400,292,91,494,280,9653,1140,/en/squads/b42c6323/2023-2024/Bochum-Stats
32,45.7,34,19009,2407,7114,8147,3897,566,19006,440,192,43.6,220,50.0,9943,51709,26088,437,310,99,470,230,11700,1073,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats
32,57.8,34,24314,2558,8081,11082,5366,901,24308,712,320,44.9,312,43.8,14643,79399,41049,770,565,229,532,329,17002,1436,/en/squads/add600ae/2023-2024/Dortmund-Stats
34,52.1,34,22762,2453,7846,10620,4523,815,22759,640,281,43.9,326,50.9,13004,64135,31792,574,391,176,523,298,14898,1294,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats
25,46.6,34,19706,2362,6698,9055,4130,653,19697,518,221,42.7,237,45.8,10673,57954,28611,468,383,94,452,240,12176,1189,/en/squads/a486e511/2023-2024/Freiburg-Stats
27,46.8,34,20954,2559,7900,9058,4189,720,20948,550,237,43.1,261,47.5,12077,60157,30940,598,435,153,429,320,13427,1217,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats
22,42.5,34,18405,2361,6987,7570,4058,637,18402,530,223,42.1,266,50.2,9120,52754,26313,510,361,90,549,279,10152,976,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats
30,49.5,34,20983,2561,6920,9475,4742,752,20977,542,220,40.6,267,49.3,11630,59332,30284,538,401,144,477,241,13325,1351,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats
26,46.5,34,19356,2274,7028,8252,4318,668,19350,524,246,46.9,236,45.0,10380,57764,29156,618,439,141,472,292,11521,1081,/en/squads/bc357bf7/2023-2024/Koln-Stats
24,61.8,34,27830,1703,5847,14080,8122,1168,27822,727,348,47.9,328,45.1,16677,86657,46901,888,676,242,483,333,21041,1979,/en/squads/c7a9f859/2023-2024/Bayer-Leverkusen-Stats
30,46.1,34,19212,2023,6417,8450,4536,807,19207,601,269,44.8,269,44.8,9023,46790,22024,480,314,135,537,285,10854,1155,/en/squads/a224b06a/2023-2024/Mainz-05-Stats
26,55.3,34,23320,1985,6900,11365,5276,918,23313,633,322,50.9,238,37.6,14158,71290,37973,714,543,177,488,332,16170,1530,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
27,59.9,34,26204,2322,7298,13251,5858,898,26196,673,334,49.6,279,41.5,15113,75798,37881,693,545,191,561,329,18993,1602,/en/squads/598bc722/2023-2024/Stuttgart-Stats
30,42.9,34,18929,2344,7065,7881,4179,687,18923,506,217,42.9,260,51.4,9123,47015,23793,389,297,112,549,293,10894,1132,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
30,46.8,34,20347,2574,7617,9015,3923,672,20341,556,253,45.5,262,47.1,11241,58514,29365,492,367,108,541,263,12715,1163,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats
28,48.0,34,20363,2187,6900,9104,4524,655,20360,481,202,42.0,235,48.9,11147,54291,25908,441,329,105,521,261,12976,1226,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats
29,51.0,38,24136,2222,7494,10658,6186,912,24131,618,286,46.3,270,43.7,13092,68762,34095,715,519,175,621,377,15915,1733,/en/squads/922493f3/2023-2024/Atalanta-Stats
28,58.1,38,26520,2581,8683,12696,5367,718,26515,673,293,43.5,322,47.8,15952,85719,42240,660,485,149,542,311,18969,1441,/en/squads/1d8099f8/2023-2024/Bologna-Stats
29,42.1,38,18599,2190,6532,7916,4352,669,18593,516,237,45.9,220,42.6,9242,50747,25755,529,339,111,545,338,10604,1097,/en/squads/c4260e09/2023-2024/Cagliari-Stats
34,44.0,38,19512,2513,7254,8232,4226,643,19507,578,226,39.1,285,49.3,10392,56371,27637,524,356,142,543,304,11485,1049,/en/squads/a3d88bd8/2023-2024/Empoli-Stats
30,57.4,38,23660,2134,6769,10823,6270,912,23652,626,279,44.6,277,44.2,13985,74376,35906,621,541,162,543,331,15981,1640,/en/squads/421387cf/2023-2024/Fiorentina-Stats
34,49.7,38,21725,2575,7362,9638,4917,700,21715,709,297,41.9,349,49.2,11253,59975,29044,563,414,147,578,348,13600,1308,/en/squads/6a7ad59d/2023-2024/Frosinone-Stats
34,44.1,38,19810,2525,7228,8554,4197,577,19804,450,193,42.9,200,44.4,10591,55850,27300,468,367,83,577,293,11911,1061,/en/squads/658bf2de/2023-2024/Genoa-Stats
36,44.4,38,18925,2169,6433,8621,4096,598,18918,567,252,44.4,261,46.0,9746,53168,24445,539,384,113,595,284,10515,1108,/en/squads/0e72edf2/2023-2024/Hellas-Verona-Stats
27,57.1,38,26071,2584,8236,11755,6248,1016,26057,435,195,44.8,190,43.7,15792,76532,39144,720,567,163,474,230,18982,1603,/en/squads/d609edc0/2023-2024/Internazionale-Stats
31,48.5,38,22071,2211,6537,10295,5426,881,22066,596,259,43.5,269,45.1,12537,68467,35950,709,501,183,553,307,14598,1451,/en/squads/e0652b02/2023-2024/Juventus-Stats
22,53.3,38,24842,2339,7512,12115,5447,774,24838,607,272,44.8,269,44.3,13268,72312,37908,716,521,143,507,243,17337,1521,/en/squads/7213da33/2023-2024/Lazio-Stats
26,44.9,38,19625,2361,6796,8874,4214,667,19620,651,299,45.9,279,42.9,10809,63363,32718,638,430,153,605,357,11618,1171,/en/squads/ffcbe334/2023-2024/Lecce-Stats
35,56.9,38,24529,2325,7583,11624,5537,941,24521,765,359,46.9,324,42.4,15357,89185,47776,899,648,228,520,293,17458,1557,/en/squads/dc56fe14/2023-2024/Milan-Stats
31,53.5,38,23553,2841,8296,10598,4849,712,23548,490,216,44.1,216,44.1,14513,79970,40662,723,556,165,519,265,16564,1236,/en/squads/21680aa4/2023-2024/Monza-Stats
29,60.9,38,26725,2080,7134,12991,6831,1045,26715,744,327,44.0,344,46.2,15782,85539,42352,802,628,195,490,293,19328,1745,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
30,54.9,38,23999,2517,7747,11359,5055,803,23987,486,221,45.5,218,44.9,14347,75992,38938,682,532,163,433,271,16913,1462,/en/squads/cf74a709/2023-2024/Roma-Stats
39,44.5,38,19905,2438,6768,9075,4257,572,19903,536,212,39.6,269,50.2,10350,55276,25774,499,391,115,560,304,12018,1108,/en/squads/c5577084/2023-2024/Salernitana-Stats
30,43.8,38,19492,2317,6391,8488,4817,713,19484,580,277,47.8,252,43.4,10365,60707,31154,636,455,157,538,332,11857,1292,/en/squads/e2befd26/2023-2024/Sassuolo-Stats
30,51.6,38,21921,2352,7011,10078,5040,678,21919,563,244,43.3,247,43.9,12779,69586,33417,710,463,123,547,272,14373,1309,/en/squads/105360fe/2023-2024/Torino-Stats
32,39.3,38,17838,2312,6525,7635,3964,602,17834,721,336,46.6,314,43.6,9266,54234,27533,602,415,138,645,335,9874,1012,/en/squads/04eea015/2023-2024/Udinese-Stats
