players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
25,38,22558,20941,1530,443,104,65,670,560,265,217,1,0,19094,87,319,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
31,38,19363,17499,1817,628,80,95,651,613,231,149,15,2,16133,47,343,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
30,38,15920,14065,1799,419,48,91,709,774,235,192,9,4,11899,56,361,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
28,38,16818,14996,1752,464,70,113,706,683,184,79,51,10,12551,70,357,/en/squads/cd051869/2023-2024/Brentford-Stats
30,38,25029,23334,1611,511,62,76,671,541,206,86,73,5,21810,84,327,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
31,38,17959,16189,1694,445,49,77,550,670,180,67,58,9,13937,76,344,/en/squads/943e8050/2023-2024/Burnley-Stats
32,38,23364,21587,1692,496,116,101,558,611,202,78,55,4,20039,85,348,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
26,38,16754,14948,1734,484,52,97,583,721,178,81,57,6,12915,72,366,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
26,38,15514,13704,1721,409,45,78,752,768,181,140,26,3,11349,89,347,/en/squads/d3fd31cc/2023-2024/Everton-Stats
25,38,20237,18414,1772,464,58,118,736,696,212,70,98,1,16311,51,421,/en/squads/fd962109/2023-2024/Fulham-Stats
30,38,24379,22490,1789,440,102,145,817,755,287,86,171,2,20376,100,371,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
28,38,15099,13156,1876,498,22,111,841,703,203,93,101,5,11048,67,413,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
25,38,27758,26136,1580,460,85,133,700,604,286,114,66,7,24616,42,383,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
31,38,19538,17784,1663,371,73,99,594,643,224,70,86,10,15785,91,372,/en/squads/19538871/2023-2024/Manchester-United-Stats
32,38,19852,18026,1767,515,85,133,648,679,192,75,60,9,16117,59,364,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
33,38,15679,13975,1627,409,53,83,595,661,148,80,55,0,11877,77,315,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
35,38,13509,11764,1681,380,26,52,428,666,141,70,47,6,9531,64,322,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
29,38,24197,22167,1947,636,91,59,710,723,234,93,70,1,20649,83,480,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
26,38,16373,14568,1734,429,60,158,661,721,165,93,61,0,12568,71,411,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
27,38,19175,17409,1688,439,49,125,578,684,156,75,41,15,15484,78,333,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
30,38,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,/en/squads/8d6fd021/2023-2024/Alaves-Stats
35,38,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
27,38,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
27,38,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
29,38,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,/en/squads/206d90db/2023-2024/Barcelona-Stats
35,38,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,/en/squads/fc536746/2023-2024/Real-Betis-Stats
31,38,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
34,38,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,/en/squads/ee7c297c/2023-2024/Cadiz-Stats
33,38,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,/en/squads/7848bd64/2023-2024/Getafe-Stats
25,38,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,/en/squads/9024a00a/2023-2024/Girona-Stats
40,38,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,/en/squads/a0435291/2023-2024/Granada-Stats
29,38,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,/en/squads/0049d422/2023-2024/Las-Palmas-Stats
25,38,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,/en/squads/2aa12281/2023-2024/Mallorca-Stats
29,38,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,/en/squads/03c57e2b/2023-2024/Osasuna-Stats
26,38,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
27,38,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
31,38,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
35,38,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,/en/squads/ad2be733/2023-2024/Sevilla-Stats
29,38,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,/en/squads/dcc91a7b/2023-2024/Valencia-Stats
32,38,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,/en/squads/2a8183b3/2023-2024/Villarreal-Stats
25,34,17733,16093,1606,490,25,166,792,696,154,79,67,0,14111,34,336,/en/squads/fb08dbb3/2023-2024/Brest-Stats
31,34,16784,15174,1559,458,51,78,551,581,150,73,52,2,13390,51,277,/en/squads/d9676424/2023-2024/Clermont-Foot-Stats
27,34,15121,13517,1552,441,28,54,544,655,128,54,55,0,11739,52,321,/en/squads/5c2737db/2023-2024/Le-Havre-Stats
27,34,18083,16450,1558,453,49,63,736,638,175,68,87,0,14709,75,344,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
28,34,19319,17662,1611,578,34,114,533,598,177,71,50,0,16278,46,285,/en/squads/cb188c0c/2023-2024/Lille-Stats
38,34,16298,14696,1546,459,25,80,565,555,135,57,51,0,13284,56,292,/en/squads/d2c87802/2023-2024/Lorient-Stats
35,34,17984,16440,1492,413,56,101,560,576,166,72,46,0,14823,52,330,/en/squads/d53c0b06/2023-2024/Lyon-Stats
33,34,18000,16375,1556,451,39,63,713,626,184,42,110,0,14716,69,312,/en/squads/5725cc7b/2023-2024/Marseille-Stats
30,34,11986,10324,1617,435,16,110,563,659,133,62,65,0,8816,45,279,/en/squads/f83960ae/2023-2024/Metz-Stats
30,34,18346,16702,1571,465,76,72,517,619,183,54,82,0,14825,73,335,/en/squads/fd6114db/2023-2024/Monaco-Stats
31,34,14618,12910,1653,489,37,130,601,653,138,35,88,0,11198,55,317,/en/squads/281b0e73/2023-2024/Montpellier-Stats
35,34,15384,13814,1519,397,50,69,627,609,165,72,62,0,12180,51,276,/en/squads/d7a486cd/2023-2024/Nantes-Stats
27,34,18379,16875,1452,414,41,43,605,583,184,76,84,1,15511,52,283,/en/squads/132ebc33/2023-2024/Nice-Stats
29,34,24396,22942,1401,395,73,98,513,540,198,58,60,0,21536,53,331,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
29,34,16365,14705,1576,392,45,103,618,688,174,65,85,0,12995,84,320,/en/squads/7fdd64e0/2023-2024/Reims-Stats
29,34,17580,16008,1536,483,38,96,554,608,157,57,67,0,14481,36,276,/en/squads/b3072e00/2023-2024/Rennes-Stats
30,34,15031,13463,1533,487,44,65,554,586,117,61,39,2,12021,35,224,/en/squads/c0d3eab4/2023-2024/Strasbourg-Stats
26,34,16304,14673,1581,476,43,102,526,622,151,53,78,0,13014,50,348,/en/squads/3f8c4b5f/2023-2024/Toulouse-Stats
29,34,14262,12585,1596,393,34,76,631,681,165,65,80,0,10545,81,314,/en/squads/0cdc4311/2023-2024/Augsburg-Stats
