players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
25,38,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
31,38,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
30,38,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
28,38,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,/en/squads/cd051869/2023-2024/Brentford-Stats
30,38,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
31,38,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22,/en/squads/943e8050/2023-2024/Burnley-Stats
32,38,663,376,325,235,103,323,630,51.3,307,448,166,282,298,961,785,24,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
26,38,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
26,38,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12,/en/squads/d3fd31cc/2023-2024/Everton-Stats
25,38,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14,/en/squads/fd962109/2023-2024/Fulham-Stats
30,38,677,418,274,290,113,341,768,44.4,427,475,108,367,292,969,583,19,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
28,38,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
25,38,517,305,183,221,113,222,458,48.5,236,353,75,278,233,750,457,17,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
31,38,676,409,334,240,102,349,715,48.8,366,534,207,327,313,989,884,12,/en/squads/19538871/2023-2024/Manchester-United-Stats
32,38,661,391,316,254,91,302,681,44.3,379,497,151,346,285,946,682,16,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
33,38,728,430,437,219,72,326,609,53.5,283,489,168,321,331,1059,968,13,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
35,38,709,405,375,248,86,299,635,47.1,336,514,180,334,348,1057,1042,18,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
29,38,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
26,38,684,426,350,254,80,307,607,50.6,300,487,180,307,361,1045,906,9,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
27,38,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
30,38,578,347,284,227,67,290,629,46.1,339,363,117,246,279,857,810,5,/en/squads/8d6fd021/2023-2024/Alaves-Stats
35,38,633,372,354,222,57,280,582,48.1,302,430,134,296,313,946,856,19,/en/squads/78ecf4bb/2023-2024/Almeria-Stats
27,38,581,362,217,264,100,305,635,48.0,330,419,106,313,278,859,631,4,/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
