players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
27,38,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
31,38,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
29,38,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7,/en/squads/cd051869/2021-2022/Brentford-Stats
26,38,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
23,38,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18,/en/squads/943e8050/2021-2022/Burnley-Stats
26,38,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
24,38,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
33,38,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15,/en/squads/d3fd31cc/2021-2022/Everton-Stats
29,38,787,437,396,298,93,408,886,46.0,478,473,143,330,395,1182,621,15,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
28,38,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
27,38,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
26,38,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
29,38,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20,/en/squads/19538871/2021-2022/Manchester-United-Stats
29,38,659,383,334,266,59,304,641,47.4,337,420,162,258,360,1019,776,14,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
28,38,614,368,322,242,50,297,714,41.6,417,450,180,270,381,995,860,14,/en/squads/1c781004/2021-2022/Norwich-City-Stats
25,38,602,340,285,243,74,248,581,42.7,333,430,132,298,446,1048,795,13,/en/squads/33c895d4/2021-2022/Southampton-Stats
25,38,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
30,38,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19,/en/squads/2abfe087/2021-2022/Watford-Stats
25,38,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
26,38,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
33,38,550,324,271,221,58,262,637,41.1,375,373,106,267,376,926,890,7,/en/squads/8d6fd021/2021-2022/Alaves-Stats
26,38,508,292,217,216,75,224,582,38.5,358,411,128,283,339,847,788,8,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
26,38,636,346,290,279,67,293,619,47.3,326,372,98,274,365,1001,649,14,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
38,38,587,331,236,270,81,244,493,49.5,249,346,85,261,325,912,467,17,/en/squads/206d90db/2021-2022/Barcelona-Stats
31,38,662,392,322,261,79,324,695,46.6,371,386,112,274,361,1023,777,11,/en/squads/fc536746/2021-2022/Real-Betis-Stats
25,38,696,409,324,279,93,286,762,37.5,476,423,91,332,376,1072,634,11,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
33,38,647,380,346,238,63,301,711,42.3,410,390,106,284,413,1060,768,5,/en/squads/ee7c297c/2021-2022/Cadiz-Stats
28,38,589,325,335,191,63,268,622,43.1,354,367,126,241,305,894,769,14,/en/squads/6c8b07df/2021-2022/Elche-Stats
34,38,557,338,308,196,53,275,646,42.6,371,360,114,246,326,883,892,20,/en/squads/a8661628/2021-2022/Espanyol-Stats
31,38,587,360,266,243,78,248,594,41.8,346,400,96,304,401,988,719,8,/en/squads/7848bd64/2021-2022/Getafe-Stats
32,38,611,343,310,240,61,274,632,43.4,358,437,130,307,326,937,841,8,/en/squads/a0435291/2021-2022/Granada-Stats
31,38,558,305,268,212,78,237,611,38.8,374,326,110,216,377,935,735,12,/en/squads/9800b6a1/2021-2022/Levante-Stats
33,38,607,332,301,235,71,248,551,45.0,303,374,119,255,344,951,826,9,/en/squads/2aa12281/2021-2022/Mallorca-Stats
29,38,577,331,270,236,71,251,598,42.0,347,340,115,225,368,945,758,5,/en/squads/03c57e2b/2021-2022/Osasuna-Stats
28,38,621,359,320,237,64,280,688,40.7,408,410,95,315,365,986,686,9,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats
31,38,560,345,281,195,84,211,502,42.0,291,379,114,265,334,894,526,17,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats
32,38,586,339,271,234,81,260,546,47.6,286,382,105,277,348,934,703,6,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats
33,38,534,302,252,211,71,236,542,43.5,306,367,124,243,270,804,603,18,/en/squads/ad2be733/2021-2022/Sevilla-Stats
34,38,591,364,289,217,85,266,623,42.7,357,373,93,280,339,930,746,8,/en/squads/dcc91a7b/2021-2022/Valencia-Stats
29,38,538,312,250,197,91,229,476,48.1,247,330,109,221,329,867,644,16,/en/squads/2a8183b3/2021-2022/Villarreal-Stats
30,38,619,370,301,253,65,284,659,43.1,375,384,99,285,423,1042,631,9,/en/squads/69236f98/2021-2022/Angers-Stats
39,38,642,377,321,243,78,323,741,43.6,418,357,104,253,454,1096,688,19,/en/squads/123f3efe/2021-2022/Bordeaux-Stats
25,38,682,400,342,249,91,310,655,47.3,345,369,108,261,469,1151,707,4,/en/squads/fb08dbb3/2021-2022/Brest-Stats
28,38,622,361,285,262,75,291,665,43.8,374,372,99,273,386,1008,527,9,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats
28,38,591,359,273,243,75,266,602,44.2,336,360,99,261,455,1046,616,7,/en/squads/fd4e0f7d/2021-2022/Lens-Stats
26,38,653,359,310,274,69,305,619,49.3,314,351,111,240,377,1030,672,6,/en/squads/cb188c0c/2021-2022/Lille-Stats
29,38,696,412,337,292,67,383,811,47.2,428,405,115,290,412,1108,776,9,/en/squads/d2c87802/2021-2022/Lorient-Stats
30,38,632,367,264,270,98,279,614,45.4,335,385,91,294,396,1028,621,17,/en/squads/d53c0b06/2021-2022/Lyon-Stats
27,38,556,319,252,238,66,232,501,46.3,269,263,65,198,327,883,437,10,/en/squads/5725cc7b/2021-2022/Marseille-Stats
36,38,711,442,395,275,41,300,649,46.2,349,452,139,313,507,1218,782,11,/en/squads/f83960ae/2021-2022/Metz-Stats
27,38,745,435,292,368,85,324,701,46.2,377,378,103,275,424,1169,487,10,/en/squads/fd6114db/2021-2022/Monaco-Stats
27,38,625,380,340,210,75,309,723,42.7,414,363,134,229,356,981,675,13,/en/squads/281b0e73/2021-2022/Montpellier-Stats
26,38,685,405,331,262,92,353,774,45.6,421,419,136,283,415,1100,680,9,/en/squads/d7a486cd/2021-2022/Nantes-Stats
27,38,610,369,291,253,66,314,590,53.2,276,392,119,273,441,1051,595,7,/en/squads/132ebc33/2021-2022/Nice-Stats
36,38,607,360,229,276,102,290,599,48.4,309,330,106,224,303,910,437,14,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats
35,38,615,365,328,221,66,286,629,45.5,343,460,154,306,493,1108,753,7,/en/squads/7fdd64e0/2021-2022/Reims-Stats
28,38,546,318,234,215,97,261,550,47.5,289,347,92,255,315,861,646,12,/en/squads/b3072e00/2021-2022/Rennes-Stats
39,38,695,397,341,265,89,295,638,46.2,343,398,93,305,452,1147,563,10,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats
26,38,660,392,302,257,101,293,626,46.8,333,380,93,287,433,1093,563,6,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats
35,38,636,351,351,221,64,285,625,45.6,340,375,107,268,430,1066,656,8,/en/squads/54195385/2021-2022/Troyes-Stats
26,34,549,311,270,235,44,238,543,43.8,305,395,110,285,421,970,770,7,/en/squads/247c4b67/2021-2022/Arminia-Stats
26,34,561,335,254,236,71,250,584,42.8,334,397,116,281,363,924,769,12,/en/squads/0cdc4311/2021-2022/Augsburg-Stats
30,34,563,338,231,237,95,259,559,46.3,300,338,68,270,349,912,404,18,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats
28,34,566,353,298,199,69,277,574,48.3,297,420,119,301,429,995,616,13,/en/squads/b42c6323/2021-2022/Bochum-Stats
33,34,541,322,232,236,73,255,550,46.4,295,351,82,269,347,888,519,11,/en/squads/add600ae/2021-2022/Dortmund-Stats
27,34,595,330,260,252,83,283,673,42.1,390,435,95,340,377,972,592,12,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats
26,34,518,299,246,207,65,215,477,45.1,262,352,130,222,355,873,751,13,/en/squads/a486e511/2021-2022/Freiburg-Stats
26,34,572,345,260,252,60,285,615,46.3,330,402,91,311,326,898,553,13,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats
29,34,568,336,258,252,58,270,567,47.6,297,416,124,292,374,942,712,8,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats
36,34,546,321,294,197,55,252,544,46.3,292,377,105,272,406,952,816,15,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats
32,34,483,291,191,216,76,223,484,46.1,261,390,88,302,285,768,520,17,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats
26,34,598,361,264,246,88,288,665,43.3,377,442,99,343,426,1024,628,10,/en/squads/bc357bf7/2021-2022/Koln-Stats
29,34,484,281,235,199,50,225,493,45.6,268,350,101,249,360,844,620,12,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats
28,34,579,305,291,220,68,282,595,47.4,313,404,94,310,439,1018,584,9,/en/squads/a224b06a/2021-2022/Mainz-05-Stats
29,34,499,289,218,222,59,219,512,42.8,293,399,81,318,349,848,523,12,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats
34,34,532,307,231,236,65,241,530,45.5,289,386,124,262,342,874,708,8,/en/squads/598bc722/2021-2022/Stuttgart-Stats
28,34,538,296,266,223,49,268,568,47.2,300,322,90,232,376,914,657,7,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats
30,34,539,298,278,201,60,257,540,47.6,283,388,103,285,388,927,740,9,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats
32,38,630,341,252,271,107,299,635,47.1,336,436,96,340,441,1071,483,6,/en/squads/922493f3/2021-2022/Atalanta-Stats
36,38,530,298,261,202,67,216,528,40.9,312,384,127,257,370,900,678,5,/en/squads/1d8099f8/2021-2022/Bologna-Stats
33,38,557,303,263,229,65,230,544,42.3,314,406,128,278,397,954,747,5,/en/squads/c4260e09/2021-2022/Cagliari-Stats
