players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
27,38,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,21,5,8,60.5,55.1,0.1,-0.5,-0.1,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
31,38,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20,3,3,44.0,42.0,0.09,6.0,5.0,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
29,38,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1,/en/squads/cd051869/2021-2022/Brentford-Stats
26,38,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,15,4,7,46.2,40.7,0.09,-6.2,-4.7,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
23,38,32,405,119,29.4,10.66,3.13,0.08,0.26,17.2,14,1,2,39.7,38.1,0.1,-7.7,-7.1,/en/squads/943e8050/2021-2022/Burnley-Stats
26,38,75,583,200,34.3,15.34,5.26,0.11,0.34,17.4,26,8,9,63.4,56.6,0.1,11.6,10.4,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
24,38,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,13,6,8,46.4,40.1,0.1,3.6,3.9,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
33,38,42,430,130,30.2,11.32,3.42,0.08,0.28,17.7,18,6,7,41.2,35.8,0.08,0.8,0.2,/en/squads/d3fd31cc/2021-2022/Everton-Stats
29,38,42,480,142,29.6,12.63,3.74,0.08,0.26,18.3,13,5,5,44.4,40.4,0.09,-2.4,-3.4,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
28,38,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,14,2,2,47.8,46.2,0.11,14.2,13.8,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
27,38,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,13,7,8,88.7,82.7,0.12,5.3,4.3,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
26,38,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,17,7,9,88.7,81.4,0.12,7.3,7.6,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
29,38,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,19,3,5,55.8,51.9,0.11,0.2,1.1,/en/squads/19538871/2021-2022/Manchester-United-Stats
29,38,41,446,142,31.8,11.74,3.74,0.09,0.27,18.1,15,3,3,38.1,35.9,0.08,2.9,2.1,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
28,38,21,370,104,28.1,9.74,2.74,0.05,0.17,19.0,18,3,3,32.3,30.0,0.08,-11.3,-12.0,/en/squads/1c781004/2021-2022/Norwich-City-Stats
25,38,41,478,161,33.7,12.58,4.24,0.08,0.23,17.7,24,4,4,44.8,41.6,0.09,-3.8,-4.6,/en/squads/33c895d4/2021-2022/Southampton-Stats
25,38,63,486,185,38.1,12.79,4.87,0.12,0.31,16.7,16,5,5,61.2,57.3,0.12,1.8,0.7,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
30,38,33,397,123,31.0,10.45,3.24,0.08,0.26,18.1,24,1,2,40.0,38.4,0.1,-7.0,-6.4,/en/squads/2abfe087/2021-2022/Watford-Stats
25,38,58,443,142,32.1,11.66,3.74,0.12,0.38,16.6,13,4,6,51.4,46.8,0.11,6.6,7.2,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
26,38,35,401,133,33.2,10.55,3.5,0.08,0.26,18.6,13,1,1,37.5,36.8,0.09,-2.5,-2.8,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
33,38,29,373,111,29.8,9.82,2.92,0.06,0.21,18.2,15,6,7,37.3,31.8,0.09,-8.3,-8.8,/en/squads/8d6fd021/2021-2022/Alaves-Stats
26,38,40,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,3,7,49.6,44.0,0.1,-9.6,-7.0,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
26,38,63,458,152,33.2,12.05,4.0,0.13,0.39,17.5,8,4,5,54.4,50.6,0.11,8.6,8.4,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
38,38,68,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,6,7,63.4,57.9,0.12,4.6,4.1,/en/squads/206d90db/2021-2022/Barcelona-Stats
31,38,60,509,182,35.8,13.39,4.79,0.11,0.3,18.4,21,6,6,53.5,48.8,0.1,6.5,5.2,/en/squads/fc536746/2021-2022/Real-Betis-Stats
25,38,43,405,135,33.3,10.66,3.55,0.1,0.3,18.3,14,3,6,43.1,38.3,0.1,-0.1,1.7,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
33,38,35,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,3,6,39.5,34.8,0.09,-4.5,-2.8,/en/squads/ee7c297c/2021-2022/Cadiz-Stats
28,38,39,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,1,1,33.7,32.9,0.1,5.3,5.1,/en/squads/6c8b07df/2021-2022/Elche-Stats
34,38,39,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,5,5,36.7,32.9,0.08,2.3,1.1,/en/squads/a8661628/2021-2022/Espanyol-Stats
31,38,31,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,3,5,29.3,25.3,0.06,1.7,2.7,/en/squads/7848bd64/2021-2022/Getafe-Stats
32,38,43,421,131,31.1,11.08,3.45,0.1,0.31,19.2,12,3,5,39.0,35.1,0.09,4.0,4.9,/en/squads/a0435291/2021-2022/Granada-Stats
31,38,51,430,146,34.0,11.32,3.84,0.1,0.29,17.7,14,8,13,55.1,45.1,0.11,-4.1,-2.1,/en/squads/9800b6a1/2021-2022/Levante-Stats
33,38,33,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,6,7,38.8,33.3,0.08,-5.8,-6.3,/en/squads/2aa12281/2021-2022/Mallorca-Stats
29,38,37,425,114,26.8,11.18,3.0,0.07,0.27,19.6,11,6,8,36.7,30.7,0.07,0.3,0.3,/en/squads/03c57e2b/2021-2022/Osasuna-Stats
28,38,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats
31,38,80,645,243,37.7,16.97,6.39,0.11,0.3,18.8,21,8,12,71.7,62.2,0.1,8.3,9.8,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats
32,38,40,430,143,33.3,11.32,3.76,0.07,0.22,17.1,18,9,10,51.5,43.8,0.1,-11.5,-12.8,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats
33,38,51,430,139,32.3,11.32,3.66,0.11,0.35,17.0,10,2,3,42.4,40.0,0.09,8.6,9.0,/en/squads/ad2be733/2021-2022/Sevilla-Stats
34,38,45,394,129,32.7,10.37,3.39,0.09,0.29,18.9,18,8,9,39.0,32.2,0.08,6.0,4.8,/en/squads/dcc91a7b/2021-2022/Valencia-Stats
29,38,62,449,164,36.5,11.82,4.32,0.13,0.35,15.3,8,5,6,64.2,60.0,0.14,-2.2,-3.0,/en/squads/2a8183b3/2021-2022/Villarreal-Stats
30,38,41,384,123,32.0,10.11,3.24,0.08,0.26,18.2,18,9,9,46.5,39.5,0.11,-5.5,-7.5,/en/squads/69236f98/2021-2022/Angers-Stats
39,38,50,446,145,32.5,11.74,3.82,0.11,0.33,19.2,16,2,4,44.9,41.9,0.1,5.1,6.1,/en/squads/123f3efe/2021-2022/Bordeaux-Stats
25,38,48,394,138,35.0,10.37,3.63,0.1,0.3,17.4,12,7,8,43.4,37.0,0.1,4.6,4.0,/en/squads/fb08dbb3/2021-2022/Brest-Stats
28,38,36,436,134,30.7,11.47,3.53,0.08,0.25,17.7,10,2,3,44.4,41.9,0.1,-8.4,-7.9,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats
28,38,60,511,183,35.8,13.45,4.82,0.11,0.3,18.6,14,5,5,50.2,46.4,0.09,9.8,8.6,/en/squads/fd4e0f7d/2021-2022/Lens-Stats
26,38,45,461,150,32.5,12.13,3.95,0.09,0.27,17.4,15,4,5,50.5,46.6,0.1,-5.5,-5.6,/en/squads/cb188c0c/2021-2022/Lille-Stats
29,38,35,442,146,33.0,11.63,3.84,0.07,0.22,19.3,32,3,3,41.3,39.0,0.09,-6.3,-7.0,/en/squads/d2c87802/2021-2022/Lorient-Stats
