players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
27,38,19843,18149,1628,404,77,132,633,679,208,153,23,5,16176,66,309,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
31,38,16499,14615,1832,525,71,97,670,716,196,111,42,11,12748,52,278,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
29,38,16272,14443,1763,432,50,70,640,778,159,84,47,9,11676,66,333,/en/squads/cd051869/2021-2022/Brentford-Stats
26,38,20588,18838,1697,390,58,152,728,784,200,84,96,0,16410,53,397,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
23,38,14107,12275,1731,370,32,135,747,783,183,152,14,1,9454,101,334,/en/squads/943e8050/2021-2022/Burnley-Stats
26,38,24888,23158,1661,434,77,101,745,713,241,113,100,0,21190,69,364,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
24,38,19081,17115,1903,528,40,120,643,844,175,88,44,8,14983,63,316,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
33,38,14557,12746,1758,413,30,70,653,783,161,83,60,0,10366,53,345,/en/squads/d3fd31cc/2021-2022/Everton-Stats
29,38,18288,16432,1793,417,66,140,648,798,170,100,38,3,13989,63,368,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
28,38,20137,18268,1809,457,65,105,556,769,185,113,42,2,16129,60,379,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
27,38,25552,23742,1747,436,112,167,897,780,282,47,207,0,21163,63,374,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
26,38,27902,26239,1597,406,102,192,869,664,316,154,50,4,24406,66,355,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
29,38,20641,18862,1691,376,80,187,659,725,197,74,88,0,16690,88,369,/en/squads/19538871/2021-2022/Manchester-United-Stats
29,38,14036,12203,1762,415,31,114,592,743,160,90,46,14,10201,71,281,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
28,38,16070,14176,1839,474,50,153,568,766,165,90,60,2,12164,55,306,/en/squads/1c781004/2021-2022/Norwich-City-Stats
25,38,16941,15115,1784,411,43,81,711,750,233,106,105,4,12505,42,343,/en/squads/33c895d4/2021-2022/Southampton-Stats
25,38,20696,18976,1658,430,88,133,632,676,193,78,62,0,17204,62,332,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
30,38,14641,12800,1788,394,35,101,610,808,161,90,50,4,10423,53,317,/en/squads/2abfe087/2021-2022/Watford-Stats
25,38,18378,16647,1672,309,29,146,802,770,200,135,43,1,14326,59,353,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
26,38,19103,17380,1662,420,58,151,587,718,168,41,86,6,15253,61,329,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
33,38,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,/en/squads/8d6fd021/2021-2022/Alaves-Stats
26,38,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
26,38,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
38,38,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,/en/squads/206d90db/2021-2022/Barcelona-Stats
31,38,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,/en/squads/fc536746/2021-2022/Real-Betis-Stats
25,38,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
33,38,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,/en/squads/ee7c297c/2021-2022/Cadiz-Stats
