players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
2,38,38,3420,38,48,1.26,147,100,70.7,22,3,13,13,34.2,6,5,0,1,0.0,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
3,38,38,3420,38,54,1.42,149,96,66.4,13,6,19,11,28.9,6,4,1,1,20.0,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
3,38,38,3420,38,56,1.47,179,125,71.5,13,7,18,9,23.7,5,5,0,0,0.0,/en/squads/cd051869/2021-2022/Brentford-Stats
2,38,38,3419,38,44,1.16,146,102,71.9,12,15,11,11,28.9,4,3,0,1,0.0,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2,38,38,3420,38,53,1.39,178,127,73.0,7,14,17,9,23.7,5,5,0,0,0.0,/en/squads/943e8050/2021-2022/Burnley-Stats
2,38,38,3420,38,33,0.87,115,83,76.5,21,11,6,16,42.1,6,6,0,0,0.0,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2,38,38,3420,38,46,1.21,144,99,70.1,11,15,12,12,31.6,4,3,1,0,25.0,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2,38,38,3420,38,66,1.74,188,127,66.0,11,6,21,8,21.1,2,2,0,0,0.0,/en/squads/d3fd31cc/2021-2022/Everton-Stats
2,38,38,3420,38,79,2.08,224,146,67.0,9,11,18,5,13.2,5,5,0,0,0.0,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2,38,38,3420,38,59,1.55,192,132,72.9,14,10,14,7,18.4,9,7,2,0,22.2,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2,38,38,3420,38,26,0.68,107,82,75.7,28,8,2,21,55.3,0,0,0,0,,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2,38,38,3420,38,26,0.68,85,59,70.6,29,6,3,21,55.3,1,1,0,0,0.0,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
1,38,38,3420,38,57,1.5,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0,/en/squads/19538871/2021-2022/Manchester-United-Stats
3,38,38,3420,38,62,1.63,165,104,65.5,13,10,15,8,21.1,6,5,1,0,16.7,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2,38,38,3420,38,84,2.21,222,139,66.2,5,7,26,6,15.8,12,9,1,2,10.0,/en/squads/1c781004/2021-2022/Norwich-City-Stats
3,38,38,3420,38,67,1.76,183,118,64.5,9,13,16,8,21.1,2,2,0,0,0.0,/en/squads/33c895d4/2021-2022/Southampton-Stats
