players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
27,38,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
31,38,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
29,38,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0,/en/squads/cd051869/2021-2022/Brentford-Stats
26,38,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
23,38,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0,/en/squads/943e8050/2021-2022/Burnley-Stats
26,38,1064,28.0,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
24,38,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
33,38,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0,/en/squads/d3fd31cc/2021-2022/Everton-Stats
29,38,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
28,38,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
27,38,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
26,38,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
29,38,917,24.13,706,65,56,38,39,13,104,2.74,77,6,6,7,5,3,/en/squads/19538871/2021-2022/Manchester-United-Stats
29,38,758,19.95,504,81,61,57,44,11,70,1.84,46,4,5,9,6,0,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
28,38,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1,/en/squads/1c781004/2021-2022/Norwich-City-Stats
25,38,814,21.42,585,68,43,51,49,18,71,1.87,44,5,6,4,9,3,/en/squads/33c895d4/2021-2022/Southampton-Stats
25,38,882,23.21,678,51,46,61,37,9,117,3.08,95,3,4,8,6,1,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
30,38,693,18.24,475,59,48,43,52,16,57,1.5,36,5,4,7,3,2,/en/squads/2abfe087/2021-2022/Watford-Stats
25,38,770,20.26,569,68,47,50,28,8,102,2.68,72,10,5,9,5,1,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
26,38,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
33,38,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0,/en/squads/8d6fd021/2021-2022/Alaves-Stats
26,38,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
26,38,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
38,38,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2,/en/squads/206d90db/2021-2022/Barcelona-Stats
31,38,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1,/en/squads/fc536746/2021-2022/Real-Betis-Stats
25,38,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
33,38,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2,/en/squads/ee7c297c/2021-2022/Cadiz-Stats
28,38,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2,/en/squads/6c8b07df/2021-2022/Elche-Stats
34,38,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2,/en/squads/a8661628/2021-2022/Espanyol-Stats
31,38,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2,/en/squads/7848bd64/2021-2022/Getafe-Stats
32,38,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4,/en/squads/a0435291/2021-2022/Granada-Stats
31,38,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1,/en/squads/9800b6a1/2021-2022/Levante-Stats
33,38,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2,/en/squads/2aa12281/2021-2022/Mallorca-Stats
29,38,721,18.97,502,85,28,49,44,13,62,1.63,42,7,0,7,4,2,/en/squads/03c57e2b/2021-2022/Osasuna-Stats
28,38,862,22.68,603,98,37,54,52,18,63,1.66,36,5,7,8,5,2,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats
31,38,1195,31.45,922,68,83,56,49,17,139,3.66,102,2,13,11,8,3,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats
32,38,773,20.34,530,70,56,57,46,14,69,1.82,38,3,6,12,10,0,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats
33,38,784,20.63,578,78,35,35,43,15,95,2.5,63,9,8,7,5,3,/en/squads/ad2be733/2021-2022/Sevilla-Stats
34,38,718,18.89,479,93,45,26,64,11,83,2.18,53,8,7,3,11,1,/en/squads/dcc91a7b/2021-2022/Valencia-Stats
