players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
27,38,67,4,3,365,357,66,633,296,311,6,6,1,1861,463,572,44.7,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
31,38,81,2,1,401,504,52,670,339,382,2,6,2,1850,538,561,49.0,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
29,38,65,3,2,371,363,66,640,393,342,6,5,2,2061,717,728,49.6,/en/squads/cd051869/2021-2022/Brentford-Stats
26,38,72,2,0,393,355,53,728,358,403,4,4,0,2154,569,498,53.3,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
23,38,68,2,0,394,332,101,747,410,324,2,5,2,2027,827,733,53.0,/en/squads/943e8050/2021-2022/Burnley-Stats
26,38,63,1,0,409,392,69,745,347,348,8,6,1,2084,538,486,52.5,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
24,38,69,1,1,414,481,63,643,333,374,6,4,2,2103,610,618,49.7,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
33,38,82,6,2,368,388,53,653,365,402,7,2,5,2023,634,725,46.7,/en/squads/d3fd31cc/2021-2022/Everton-Stats
29,38,101,3,0,469,368,63,648,395,437,4,5,1,2260,470,626,42.9,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
28,38,55,1,0,356,396,60,556,367,384,1,9,1,2015,530,553,48.9,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
27,38,50,1,0,363,286,63,897,340,320,5,0,1,2265,571,467,55.0,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
26,38,42,1,0,321,330,66,869,279,284,7,1,0,1967,482,397,54.8,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
29,38,77,2,1,396,320,88,659,340,358,3,5,3,2071,555,443,55.6,/en/squads/19538871/2021-2022/Manchester-United-Stats
29,38,81,2,1,392,366,71,592,360,383,1,6,2,1835,677,619,52.2,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
28,38,57,1,1,356,431,55,568,381,368,2,12,2,1887,493,598,45.2,/en/squads/1c781004/2021-2022/Norwich-City-Stats
25,38,65,2,1,402,363,42,711,446,340,4,2,2,2224,672,726,48.1,/en/squads/33c895d4/2021-2022/Southampton-Stats
25,38,69,1,1,386,406,62,632,355,349,3,2,1,1893,560,500,52.8,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
30,38,63,3,3,442,352,53,610,444,356,2,7,3,2154,711,749,48.7,/en/squads/2abfe087/2021-2022/Watford-Stats
25,38,52,3,2,323,276,59,802,374,301,3,6,2,1970,639,628,50.4,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
26,38,62,2,2,366,335,61,587,389,377,1,10,1,2104,461,490,48.5,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
33,38,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3,/en/squads/8d6fd021/2021-2022/Alaves-Stats
26,38,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
26,38,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
38,38,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5,/en/squads/206d90db/2021-2022/Barcelona-Stats
31,38,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,49.7,/en/squads/fc536746/2021-2022/Real-Betis-Stats
25,38,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,46.4,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
33,38,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,46.4,/en/squads/ee7c297c/2021-2022/Cadiz-Stats
28,38,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,50.6,/en/squads/6c8b07df/2021-2022/Elche-Stats
34,38,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,43.8,/en/squads/a8661628/2021-2022/Espanyol-Stats
31,38,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,50.1,/en/squads/7848bd64/2021-2022/Getafe-Stats
32,38,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,44.8,/en/squads/a0435291/2021-2022/Granada-Stats
31,38,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,47.3,/en/squads/9800b6a1/2021-2022/Levante-Stats
33,38,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,48.1,/en/squads/2aa12281/2021-2022/Mallorca-Stats
29,38,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,52.1,/en/squads/03c57e2b/2021-2022/Osasuna-Stats
28,38,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,49.9,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats
31,38,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,55.4,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats
32,38,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,53.2,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats
33,38,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,51.5,/en/squads/ad2be733/2021-2022/Sevilla-Stats
34,38,134,8,6,641,586,52,765,339,364,8,8,3,2079,564,599,48.5,/en/squads/dcc91a7b/2021-2022/Valencia-Stats
29,38,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,52.9,/en/squads/2a8183b3/2021-2022/Villarreal-Stats
30,38,70,4,3,471,461,46,572,423,370,7,5,3,2051,408,509,44.5,/en/squads/69236f98/2021-2022/Angers-Stats
39,38,91,5,2,460,391,58,611,454,377,2,9,3,2134,488,506,49.1,/en/squads/123f3efe/2021-2022/Bordeaux-Stats
25,38,59,2,0,427,417,47,710,469,400,4,4,2,2006,618,540,53.4,/en/squads/fb08dbb3/2021-2022/Brest-Stats
28,38,65,8,3,387,482,53,713,386,361,2,5,3,2137,432,466,48.1,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats
28,38,73,7,1,421,357,58,699,455,359,3,5,0,2051,427,366,53.8,/en/squads/fd4e0f7d/2021-2022/Lens-Stats
26,38,98,6,3,446,441,89,621,377,359,5,6,2,2145,525,492,51.6,/en/squads/cb188c0c/2021-2022/Lille-Stats
29,38,69,4,3,475,423,55,588,412,412,3,6,3,2044,433,524,45.2,/en/squads/d2c87802/2021-2022/Lorient-Stats
