Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,xG,xG (sem pênalti),xAG,npxG+xAG,Conduções Progressivas,Passes Progressivos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,xG/90min,xAG/90min,xG+xAG/90min,npxG/90min,npxG+xAG/90min,URL
26,24.7,59.3,38,418,3420,38,84,64,148,81,3,4,51,0,71.6,68.9,53.5,122.4,824,2049,2.21,1.68,3.89,2.13,3.82,1.88,1.41,3.29,1.81,3.22,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
26,27.0,49.3,38,418,3420,38,49,35,84,46,3,4,80,1,50.3,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
31,26.3,40.4,38,418,3420,38,37,24,61,37,0,0,68,0,38.5,38.5,28.4,66.9,504,1006,0.97,0.63,1.61,0.97,1.61,1.01,0.75,1.76,1.01,1.76,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
25,26.2,43.8,38,418,3420,38,56,36,92,49,7,8,57,1,56.3,50.1,38.4,88.5,392,1131,1.47,0.95,2.42,1.29,2.24,1.48,1.01,2.49,1.32,2.33,/en/squads/cd051869/2022-2023/Brentford-Stats
29,26.3,60.2,38,418,3420,38,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3.0,1.63,2.84,1.93,1.37,3.3,1.81,3.19,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
32,26.3,58.7,38,418,3420,38,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
26,26.7,46.3,38,418,3420,38,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243,1.0,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
28,26.6,42.8,38,418,3420,38,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,/en/squads/d3fd31cc/2022-2023/Everton-Stats
29,28.2,48.8,38,418,3420,38,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,663,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,/en/squads/fd962109/2022-2023/Fulham-Stats
29,25.3,47.0,38,418,3420,38,45,31,76,44,1,3,89,3,47.3,44.9,31.8,76.7,555,1429,1.18,0.82,2.0,1.16,1.97,1.24,0.84,2.08,1.18,2.02,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
28,26.1,47.7,38,418,3420,38,49,36,85,46,3,6,63,2,50.5,45.7,38.4,84.1,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.2,2.21,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
28,27.4,60.8,38,418,3420,38,71,58,129,69,2,4,57,1,71.5,68.4,55.6,124.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.88,1.46,3.35,1.8,3.26,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
24,27.2,64.7,38,418,3420,38,92,69,161,83,9,10,44,1,78.6,71.1,57.5,128.6,988,2073,2.42,1.82,4.24,2.18,4.0,2.07,1.51,3.58,1.87,3.38,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
26,26.9,53.7,38,418,3420,38,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.5,1.78,1.37,3.15,1.72,3.09,/en/squads/19538871/2022-2023/Manchester-United-Stats
27,27.3,52.3,38,418,3420,38,64,42,106,58,6,6,61,1,71.9,67.3,51.8,119.1,695,1618,1.68,1.11,2.79,1.53,2.63,1.89,1.36,3.26,1.77,3.13,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
