Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,URL
28,26.8,59.2,38,418,3420,38,67,48,115,64,3,5,109,4,1.76,1.26,3.03,1.68,2.95,/en/squads/ad2be733/2016-2017/Sevilla-Stats
29,26.4,44.4,38,418,3420,38,42,26,68,38,4,7,116,4,1.11,0.68,1.79,1.0,1.68,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats
31,25.9,48.8,38,418,3420,38,53,38,91,49,4,6,114,6,1.39,1.0,2.39,1.29,2.29,/en/squads/dcc91a7b/2016-2017/Valencia-Stats
27,26.7,49.3,38,418,3420,38,55,36,91,49,6,8,91,4,1.45,0.95,2.39,1.29,2.24,/en/squads/2a8183b3/2016-2017/Villarreal-Stats
29,26.7,46.1,38,418,3420,38,39,25,64,36,3,4,60,1,1.03,0.66,1.68,0.95,1.61,/en/squads/69236f98/2016-2017/Angers-Stats
29,26.9,43.4,38,418,3420,38,28,18,46,28,0,1,85,7,0.74,0.47,1.21,0.74,1.21,/en/squads/6283be2c/2016-2017/Bastia-Stats
27,25.9,48.3,38,418,3420,38,51,35,86,47,4,7,67,1,1.34,0.92,2.26,1.24,2.16,/en/squads/123f3efe/2016-2017/Bordeaux-Stats
27,28.7,45.8,38,418,3420,38,35,28,63,31,4,5,61,1,0.92,0.74,1.66,0.82,1.55,/en/squads/74229020/2016-2017/Caen-Stats
27,27.7,46.4,38,418,3420,38,42,29,71,39,3,4,74,3,1.11,0.76,1.87,1.03,1.79,/en/squads/8dfb7350/2016-2017/Dijon-Stats
25,27.6,47.5,38,418,3420,38,46,33,79,42,4,4,63,3,1.21,0.87,2.08,1.11,1.97,/en/squads/d41b5f53/2016-2017/Guingamp-Stats
31,26.9,51.1,38,418,3420,38,40,26,66,34,6,7,64,3,1.05,0.68,1.74,0.89,1.58,/en/squads/cb188c0c/2016-2017/Lille-Stats
