Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,xG,xG (sem pênalti),xAG,npxG+xAG,Conduções Progressivas,Passes Progressivos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,xG/90min,xAG/90min,xG+xAG/90min,npxG/90min,npxG+xAG/90min,URL
31,28.0,47.2,38,418,3420,38,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,1.34,0.89,2.24,1.13,2.03,1.45,0.84,2.28,1.19,2.02,/en/squads/9800b6a1/2021-2022/Levante-Stats
33,27.9,45.3,38,418,3420,38,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.7,0.88,1.55,/en/squads/2aa12281/2021-2022/Mallorca-Stats
29,27.7,46.9,38,418,3420,38,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,0.97,0.61,1.58,0.82,1.42,0.96,0.6,1.57,0.81,1.41,/en/squads/03c57e2b/2021-2022/Osasuna-Stats
28,27.5,49.9,38,418,3420,38,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,1.0,0.74,1.74,0.89,1.63,1.13,0.81,1.93,1.04,1.85,/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats
31,27.7,59.9,38,418,3420,38,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2.11,1.55,3.66,1.89,3.45,1.89,1.33,3.22,1.64,2.97,/en/squads/53a2f082/2021-2022/Real-Madrid-Stats
32,25.7,54.3,38,418,3420,38,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02,/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats
33,28.6,59.4,38,418,3420,38,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,1.34,1.05,2.39,1.29,2.34,1.12,0.86,1.97,1.05,1.91,/en/squads/ad2be733/2021-2022/Sevilla-Stats
34,24.8,43.6,38,418,3420,38,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,1.18,0.79,1.97,0.97,1.76,1.03,0.67,1.69,0.85,1.52,/en/squads/dcc91a7b/2021-2022/Valencia-Stats
29,28.0,56.8,38,418,3420,38,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,1.63,1.34,2.97,1.5,2.84,1.69,1.34,3.03,1.58,2.92,/en/squads/2a8183b3/2021-2022/Villarreal-Stats
30,27.4,48.4,38,418,3420,38,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.08,0.66,1.74,0.84,1.5,1.22,0.75,1.97,1.04,1.79,/en/squads/69236f98/2021-2022/Angers-Stats
