Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,xG,xG (sem pênalti),xAG,npxG+xAG,Conduções Progressivas,Passes Progressivos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,xG/90min,xAG/90min,xG+xAG/90min,npxG/90min,npxG+xAG/90min,URL
24,26.9,66.2,38,418,3420,38,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4.0,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
29,24.8,55.8,38,418,3420,38,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36,/en/squads/19538871/2019-2020/Manchester-United-Stats
28,26.5,39.0,38,418,3420,38,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,1.0,0.76,1.76,1.0,1.76,0.94,0.71,1.64,0.91,1.62,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
30,26.0,49.3,38,418,3420,38,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65,/en/squads/1c781004/2019-2020/Norwich-City-Stats
26,26.9,43.1,38,418,3420,38,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
25,25.9,48.9,38,418,3420,38,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33,/en/squads/33c895d4/2019-2020/Southampton-Stats
29,26.7,52.0,38,418,3420,38,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
26,28.9,42.9,38,418,3420,38,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95,/en/squads/2abfe087/2019-2020/Watford-Stats
29,27.4,44.1,38,418,3420,38,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,667,1377,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
21,26.6,48.3,38,418,3420,38,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
32,27.6,41.5,38,418,3420,38,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944,0.89,0.53,1.42,0.74,1.26,1.03,0.71,1.74,0.91,1.62,/en/squads/8d6fd021/2019-2020/Alaves-Stats
26,26.7,48.7,38,418,3420,38,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291,1.05,0.61,1.66,0.84,1.45,1.09,0.69,1.78,0.89,1.58,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
30,26.1,48.6,38,418,3420,38,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333,1.32,0.92,2.24,1.16,2.08,1.5,1.04,2.53,1.33,2.37,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
28,27.8,66.4,38,418,3420,38,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042,2.21,1.63,3.84,2.05,3.68,1.75,1.3,3.05,1.62,2.93,/en/squads/206d90db/2019-2020/Barcelona-Stats
27,27.5,56.7,38,418,3420,38,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475,1.26,0.92,2.18,1.11,2.03,1.34,0.97,2.31,1.19,2.16,/en/squads/fc536746/2019-2020/Real-Betis-Stats
30,25.8,51.7,38,418,3420,38,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364,0.97,0.68,1.66,0.82,1.5,1.03,0.69,1.72,0.85,1.54,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
26,29.3,46.3,38,418,3420,38,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265,1.0,0.63,1.63,0.82,1.45,1.1,0.68,1.79,0.9,1.58,/en/squads/bea5c710/2019-2020/Eibar-Stats
31,27.7,47.4,38,418,3420,38,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240,0.66,0.45,1.11,0.55,1.0,1.02,0.72,1.74,0.94,1.66,/en/squads/a8661628/2019-2020/Espanyol-Stats
30,27.5,45.0,38,418,3420,38,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196,1.11,0.82,1.92,0.95,1.76,1.09,0.73,1.83,0.95,1.69,/en/squads/7848bd64/2019-2020/Getafe-Stats
27,26.8,43.8,38,418,3420,38,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009,1.32,0.89,2.21,1.18,2.08,1.18,0.8,1.98,1.08,1.88,/en/squads/a0435291/2019-2020/Granada-Stats
29,26.9,43.9,38,418,3420,38,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,0.79,0.5,1.29,0.71,1.21,1.05,0.73,1.78,0.95,1.68,/en/squads/7c6f2c78/2019-2020/Leganes-Stats
29,27.7,48.3,38,418,3420,38,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358,1.18,0.74,1.92,1.05,1.79,1.27,0.95,2.22,1.16,2.12,/en/squads/9800b6a1/2019-2020/Levante-Stats
32,26.8,45.0,38,418,3420,38,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210,1.03,0.55,1.58,0.82,1.37,1.08,0.67,1.75,0.88,1.55,/en/squads/2aa12281/2019-2020/Mallorca-Stats
31,27.7,47.4,38,418,3420,38,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359,1.21,0.68,1.89,1.0,1.68,1.3,0.91,2.21,1.14,2.04,/en/squads/03c57e2b/2019-2020/Osasuna-Stats
26,27.6,58.8,38,418,3420,38,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,1.82,1.37,3.18,1.53,2.89,1.79,1.31,3.1,1.56,2.87,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
27,24.8,56.2,38,418,3420,38,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,1.42,1.0,2.42,1.32,2.32,1.29,0.93,2.22,1.19,2.12,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats
26,27.7,57.9,38,418,3420,38,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,1.39,0.92,2.32,1.21,2.13,1.4,1.01,2.41,1.26,2.27,/en/squads/ad2be733/2019-2020/Sevilla-Stats
28,27.0,49.0,38,418,3420,38,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,1.18,0.89,2.08,1.05,1.95,1.14,0.83,1.97,0.98,1.81,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
30,27.1,44.7,38,418,3420,38,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,0.82,0.5,1.32,0.74,1.24,0.96,0.63,1.59,0.85,1.48,/en/squads/17859612/2019-2020/Valladolid-Stats
25,27.6,52.9,38,418,3420,38,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,1.63,1.05,2.68,1.37,2.42,1.67,1.13,2.81,1.45,2.59,/en/squads/2a8183b3/2019-2020/Villarreal-Stats
27,27.4,45.6,28,308,2520,28,30,20,50,27,3,5,59,4,27.4,23.4,16.9,40.4,384,1013,1.07,0.71,1.79,0.96,1.68,0.98,0.6,1.58,0.84,1.44,/en/squads/25622401/2019-2020/Amiens-Stats
26,28.0,45.3,28,308,2520,28,27,21,48,26,1,1,43,2,29.3,28.5,23.0,51.5,542,1088,0.96,0.75,1.71,0.93,1.68,1.05,0.82,1.87,1.02,1.84,/en/squads/69236f98/2019-2020/Angers-Stats
26,26.9,53.6,28,308,2520,28,40,29,69,38,2,2,55,0,30.4,28.8,21.6,50.4,441,995,1.43,1.04,2.46,1.36,2.39,1.08,0.77,1.86,1.03,1.8,/en/squads/123f3efe/2019-2020/Bordeaux-Stats
24,26.1,49.8,28,308,2520,28,32,27,59,31,1,5,45,2,30.7,26.8,22.1,48.9,415,1138,1.14,0.96,2.11,1.11,2.07,1.1,0.79,1.89,0.96,1.75,/en/squads/fb08dbb3/2019-2020/Brest-Stats
28,26.9,46.5,28,308,2520,28,26,17,43,25,1,1,43,2,30.5,29.9,22.9,52.8,513,909,0.93,0.61,1.54,0.89,1.5,1.09,0.82,1.91,1.07,1.88,/en/squads/8dfb7350/2019-2020/Dijon-Stats
25,24.3,52.9,28,308,2520,28,35,25,60,30,5,8,51,3,40.3,34.0,24.5,58.5,544,1077,1.25,0.89,2.14,1.07,1.96,1.44,0.88,2.31,1.21,2.09,/en/squads/cb188c0c/2019-2020/Lille-Stats
27,24.8,56.2,28,308,2520,28,42,29,71,37,5,6,50,4,37.6,33.0,25.2,58.2,563,1208,1.5,1.04,2.54,1.32,2.36,1.34,0.9,2.24,1.18,2.08,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,27.1,53.5,28,308,2520,28,38,28,66,34,4,6,68,3,36.2,31.6,25.8,57.5,639,1107,1.36,1.0,2.36,1.21,2.21,1.29,0.92,2.22,1.13,2.05,/en/squads/5725cc7b/2019-2020/Marseille-Stats
24,25.9,45.3,28,308,2520,28,27,20,47,25,2,4,45,4,27.1,24.0,18.0,41.9,578,845,0.96,0.71,1.68,0.89,1.61,0.97,0.64,1.61,0.86,1.5,/en/squads/f83960ae/2019-2020/Metz-Stats
28,26.0,50.9,28,308,2520,28,44,29,73,40,4,4,61,10,48.9,45.7,33.1,78.8,646,1302,1.57,1.04,2.61,1.43,2.46,1.74,1.18,2.93,1.63,2.82,/en/squads/fd6114db/2019-2020/Monaco-Stats
27,28.5,47.6,28,308,2520,28,33,19,52,31,2,5,57,5,35.3,31.3,23.2,54.6,425,1104,1.18,0.68,1.86,1.11,1.79,1.26,0.83,2.09,1.12,1.95,/en/squads/281b0e73/2019-2020/Montpellier-Stats
29,25.4,48.0,28,308,2520,28,23,16,39,21,2,2,52,2,30.2,28.7,23.6,52.4,548,1034,0.82,0.57,1.39,0.75,1.32,1.08,0.84,1.92,1.03,1.87,/en/squads/d7a486cd/2019-2020/Nantes-Stats
31,23.9,54.6,28,308,2520,28,41,30,71,36,5,5,58,7,35.7,31.9,24.9,56.8,499,1260,1.46,1.07,2.54,1.29,2.36,1.28,0.89,2.17,1.14,2.03,/en/squads/132ebc33/2019-2020/Nice-Stats
28,25.4,45.0,28,308,2520,28,29,20,49,27,2,2,44,6,30.3,28.7,22.2,50.9,421,959,1.04,0.71,1.75,0.96,1.68,1.08,0.79,1.87,1.03,1.82,/en/squads/1cbf5f9e/Nimes-Stats
31,27.2,65.2,27,297,2430,27,71,51,122,65,6,8,51,1,74.2,67.9,54.4,122.3,711,1681,2.63,1.89,4.52,2.41,4.3,2.75,2.01,4.76,2.51,4.53,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
26,25.3,48.9,28,308,2520,28,26,16,42,21,5,5,57,5,30.6,26.7,22.1,48.9,597,1042,0.93,0.57,1.5,0.75,1.32,1.09,0.79,1.88,0.96,1.75,/en/squads/7fdd64e0/2019-2020/Reims-Stats
26,25.5,49.6,28,308,2520,28,37,26,63,34,3,5,51,1,37.1,33.4,25.6,59.0,557,936,1.32,0.93,2.25,1.21,2.14,1.33,0.91,2.24,1.19,2.11,/en/squads/b3072e00/2019-2020/Rennes-Stats
31,27.0,48.2,28,308,2520,28,28,20,48,23,5,5,61,3,31.4,27.6,20.2,47.8,515,979,1.0,0.71,1.71,0.82,1.54,1.12,0.72,1.84,0.99,1.71,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats
25,25.8,49.6,27,297,2430,27,32,21,53,29,3,4,47,1,34.2,31.1,22.9,54.0,492,982,1.19,0.78,1.96,1.07,1.85,1.27,0.85,2.11,1.15,2.0,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats
30,25.1,44.2,28,308,2520,28,21,14,35,17,4,6,49,5,31.7,27.2,19.6,46.8,556,949,0.75,0.5,1.25,0.61,1.11,1.13,0.7,1.84,0.97,1.67,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats
28,26.2,38.6,34,374,3060,34,45,29,74,42,3,5,68,2,43.1,39.1,29.7,68.8,411,815,1.32,0.85,2.18,1.24,2.09,1.27,0.87,2.14,1.15,2.02,/en/squads/0cdc4311/2019-2020/Augsburg-Stats
29,26.7,65.1,34,374,3060,34,97,75,172,91,6,6,54,3,89.5,84.8,73.1,157.9,930,2300,2.85,2.21,5.06,2.68,4.88,2.63,2.15,4.78,2.49,4.64,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
27,25.8,60.4,34,374,3060,34,84,74,158,82,2,2,49,1,61.0,59.5,50.6,110.1,792,1736,2.47,2.18,4.65,2.41,4.59,1.8,1.49,3.28,1.75,3.24,/en/squads/add600ae/2019-2020/Dortmund-Stats
28,27.1,45.6,34,374,3060,34,36,26,62,32,4,4,78,0,35.9,32.7,24.2,56.9,487,1268,1.06,0.76,1.82,0.94,1.71,1.06,0.71,1.77,0.96,1.67,/en/squads/b1278397/2019-2020/Dusseldorf-Stats
27,27.0,50.9,34,374,3060,34,57,45,102,55,2,2,71,4,59.5,58.0,44.8,102.8,677,1389,1.68,1.32,3.0,1.62,2.94,1.75,1.32,3.07,1.71,3.02,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats
26,26.4,48.1,34,374,3060,34,46,27,73,41,5,6,43,2,46.7,42.0,33.0,75.0,537,1128,1.35,0.79,2.15,1.21,2.0,1.37,0.97,2.34,1.24,2.21,/en/squads/a486e511/2019-2020/Freiburg-Stats
25,26.3,52.4,34,374,3060,34,64,53,117,60,4,6,77,3,72.0,67.2,53.6,120.8,650,1305,1.88,1.56,3.44,1.76,3.32,2.12,1.58,3.69,1.98,3.55,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats
32,26.2,44.7,34,374,3060,34,45,35,80,42,3,3,78,4,43.1,40.7,32.7,73.4,546,1073,1.32,1.03,2.35,1.24,2.26,1.27,0.96,2.23,1.2,2.16,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats
31,26.0,51.6,34,374,3060,34,52,36,88,49,3,4,66,2,56.1,53.0,40.2,93.2,598,1261,1.53,1.06,2.59,1.44,2.5,1.65,1.18,2.83,1.56,2.74,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats
29,25.6,46.7,34,374,3060,34,50,38,88,48,2,4,79,4,48.9,46.3,35.6,81.9,494,1158,1.47,1.12,2.59,1.41,2.53,1.44,1.05,2.49,1.36,2.41,/en/squads/bc357bf7/2019-2020/Koln-Stats
24,26.1,63.2,34,374,3060,34,57,48,105,55,2,2,61,6,59.1,57.5,48.6,106.1,761,1471,1.68,1.41,3.09,1.62,3.03,1.74,1.43,3.17,1.69,3.12,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
25,24.6,43.2,34,374,3060,34,42,34,76,39,3,3,75,3,48.2,45.8,37.4,83.2,524,1146,1.24,1.0,2.24,1.15,2.15,1.42,1.1,2.52,1.35,2.45,/en/squads/a224b06a/2019-2020/Mainz-05-Stats
27,25.7,45.9,34,374,3060,34,37,26,63,35,2,4,84,3,39.2,36.1,26.8,62.9,682,1009,1.09,0.76,1.85,1.03,1.79,1.15,0.79,1.94,1.06,1.85,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats
29,24.2,55.3,34,374,3060,34,81,58,139,76,5,5,53,3,71.3,67.6,54.4,122.0,759,1700,2.38,1.71,4.09,2.24,3.94,2.1,1.6,3.7,1.99,3.59,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
29,24.6,49.0,34,374,3060,34,35,25,60,33,2,2,64,2,37.8,36.2,25.5,61.7,603,1201,1.03,0.74,1.76,0.97,1.71,1.11,0.75,1.86,1.07,1.82,/en/squads/c539e393/2019-2020/Schalke-04-Stats
26,27.7,41.9,34,374,3060,34,38,27,65,34,4,5,71,5,41.4,37.6,28.0,65.7,387,944,1.12,0.79,1.91,1.0,1.79,1.22,0.82,2.04,1.11,1.93,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats
30,26.7,48.8,34,374,3060,34,40,30,70,37,3,6,80,4,39.4,34.7,25.8,60.5,509,1309,1.18,0.88,2.06,1.09,1.97,1.16,0.76,1.92,1.02,1.78,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats
26,26.0,48.4,34,374,3060,34,48,33,81,44,4,4,71,4,52.8,49.7,37.9,87.6,620,1247,1.41,0.97,2.38,1.29,2.26,1.55,1.11,2.67,1.46,2.58,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats
30,27.2,57.2,38,418,3420,38,96,68,164,89,7,10,80,2,83.5,75.6,58.9,134.5,978,1867,2.53,1.79,4.32,2.34,4.13,2.2,1.55,3.75,1.99,3.54,/en/squads/922493f3/2019-2020/Atalanta-Stats
31,27.2,52.6,38,418,3420,38,48,31,79,43,5,6,109,7,56.9,52.2,41.3,93.5,799,1672,1.26,0.82,2.08,1.13,1.95,1.5,1.09,2.58,1.37,2.46,/en/squads/1d8099f8/2019-2020/Bologna-Stats
32,25.6,40.6,38,418,3420,38,34,22,56,30,4,4,95,6,43.4,40.2,28.8,69.0,537,1241,0.89,0.58,1.47,0.79,1.37,1.14,0.76,1.9,1.06,1.82,/en/squads/4ef57aeb/2019-2020/Brescia-Stats
33,27.4,45.7,38,418,3420,38,50,34,84,46,4,6,108,6,41.8,37.1,32.0,69.0,662,1288,1.32,0.89,2.21,1.21,2.11,1.1,0.84,1.94,0.98,1.82,/en/squads/c4260e09/2019-2020/Cagliari-Stats
33,25.1,47.4,38,418,3420,38,48,30,78,39,9,11,105,5,53.6,45.4,34.5,79.8,857,1446,1.26,0.79,2.05,1.03,1.82,1.41,0.91,2.32,1.19,2.1,/en/squads/421387cf/2019-2020/Fiorentina-Stats
34,26.8,49.5,38,418,3420,38,46,28,74,35,11,16,107,10,48.7,36.2,27.6,63.7,583,1280,1.21,0.74,1.95,0.92,1.66,1.28,0.73,2.01,0.95,1.68,/en/squads/658bf2de/2019-2020/Genoa-Stats
30,26.1,49.8,38,418,3420,38,45,27,72,37,8,9,87,7,50.5,43.6,34.5,78.1,728,1575,1.18,0.71,1.89,0.97,1.68,1.33,0.91,2.24,1.15,2.06,/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats
29,27.7,54.2,38,418,3420,38,80,57,137,70,10,11,104,6,69.4,60.8,44.0,104.7,797,1820,2.11,1.5,3.61,1.84,3.34,1.83,1.16,2.98,1.6,2.76,/en/squads/d609edc0/2019-2020/Internazionale-Stats
30,28.6,58.1,38,418,3420,38,73,47,120,60,13,14,87,3,71.1,60.1,45.5,105.6,879,1746,1.92,1.24,3.16,1.58,2.82,1.87,1.2,3.07,1.58,2.78,/en/squads/e0652b02/2019-2020/Juventus-Stats
27,27.9,50.4,38,418,3420,38,77,45,122,62,15,18,99,2,68.0,53.9,42.5,96.4,935,1668,2.03,1.18,3.21,1.63,2.82,1.79,1.12,2.91,1.42,2.54,/en/squads/7213da33/2019-2020/Lazio-Stats
30,28.7,44.8,38,418,3420,38,52,30,82,41,11,15,98,5,54.7,43.5,32.6,76.1,752,1356,1.37,0.79,2.16,1.08,1.87,1.44,0.86,2.3,1.15,2.0,/en/squads/ffcbe334/2019-2020/Lecce-Stats
32,24.6,54.9,38,418,3420,38,60,38,98,52,8,9,97,6,62.8,56.0,46.0,101.9,816,1717,1.58,1.0,2.58,1.37,2.37,1.65,1.21,2.86,1.47,2.68,/en/squads/dc56fe14/2019-2020/Milan-Stats
25,26.9,59.2,38,418,3420,38,60,45,105,55,5,5,73,2,61.7,57.8,46.8,104.6,979,2024,1.58,1.18,2.76,1.45,2.63,1.62,1.23,2.85,1.52,2.75,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
25,28.8,43.8,38,418,3420,38,53,38,91,49,4,6,81,1,48.4,43.7,33.9,77.6,673,1227,1.39,1.0,2.39,1.29,2.29,1.27,0.89,2.17,1.15,2.04,/en/squads/eab4234c/2019-2020/Parma-Stats
31,26.9,52.7,38,418,3420,38,73,47,120,61,12,14,111,7,73.2,62.8,48.6,111.3,944,1651,1.92,1.24,3.16,1.61,2.84,1.93,1.28,3.21,1.65,2.93,/en/squads/cf74a709/2019-2020/Roma-Stats
34,27.5,46.9,38,418,3420,38,27,17,44,22,5,7,98,4,40.7,35.2,26.5,61.7,696,1236,0.71,0.45,1.16,0.58,1.03,1.07,0.7,1.77,0.93,1.62,/en/squads/1d2fe027/2019-2020/SPAL-Stats
31,26.0,42.7,38,418,3420,38,48,25,73,39,9,12,111,7,50.2,40.8,30.8,71.6,613,1369,1.26,0.66,1.92,1.03,1.68,1.32,0.81,2.13,1.07,1.89,/en/squads/8ff9e3b3/2019-2020/Sampdoria-Stats
31,26.4,57.5,38,418,3420,38,69,49,118,64,5,6,99,3,52.9,48.2,39.2,87.4,902,1590,1.82,1.29,3.11,1.68,2.97,1.39,1.03,2.42,1.27,2.3,/en/squads/e2befd26/2019-2020/Sassuolo-Stats
27,27.3,47.4,38,418,3420,38,44,29,73,37,7,8,96,7,44.8,39.4,30.3,69.6,843,1220,1.16,0.76,1.92,0.97,1.74,1.18,0.8,1.98,1.04,1.83,/en/squads/105360fe/2019-2020/Torino-Stats
25,26.5,44.7,38,418,3420,38,37,26,63,37,0,0,77,3,41.6,41.6,33.5,75.2,709,1274,0.97,0.68,1.66,0.97,1.66,1.1,0.88,1.98,1.1,1.98,/en/squads/04eea015/2019-2020/Udinese-Stats
