players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
3,38,38,3417,38,39,1.03,129,93,71.3,18,7,13,12,31.6,3,2,1,0,33.3,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
1,38,38,3420,38,46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,16.7,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2,38,38,3420,38,46,1.21,125,81,68.0,9,14,15,12,31.6,7,6,0,1,0.0,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
3,38,38,3420,38,55,1.45,179,125,70.9,10,9,19,11,28.9,3,3,0,0,0.0,/en/squads/943e8050/2020-2021/Burnley-Stats
3,38,38,3420,38,36,0.95,107,71,69.2,19,10,9,18,47.4,4,3,1,0,25.0,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2,38,38,3420,38,66,1.74,174,107,63.8,12,8,18,8,21.1,4,3,1,0,25.0,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
3,38,38,3420,38,48,1.26,161,114,72.0,17,8,13,12,31.6,4,3,0,1,0.0,/en/squads/d3fd31cc/2020-2021/Everton-Stats
2,38,38,3420,38,53,1.39,170,118,72.9,5,13,20,9,23.7,7,7,0,0,0.0,/en/squads/fd962109/2020-2021/Fulham-Stats
2,38,38,3420,38,54,1.42,198,145,76.8,18,5,15,12,31.6,9,8,1,0,11.1,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
1,38,38,3420,38,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
3,38,38,3420,38,42,1.11,140,97,72.9,20,9,9,12,31.6,8,4,1,3,20.0,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
3,38,38,3420,38,32,0.84,100,67,76.0,27,5,6,19,50.0,10,8,2,0,20.0,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2,38,38,3420,38,44,1.16,141,98,71.6,21,11,6,13,34.2,4,4,0,0,0.0,/en/squads/19538871/2020-2021/Manchester-United-Stats
2,38,38,3420,38,62,1.63,188,128,69.1,12,9,17,7,18.4,5,4,1,0,20.0,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
1,38,38,3420,38,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2,38,38,3420,38,68,1.79,178,110,66.3,12,7,19,9,23.7,9,8,1,0,11.1,/en/squads/33c895d4/2020-2021/Southampton-Stats
1,38,38,3420,38,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2,38,38,3420,38,76,2.0,240,166,71.3,5,11,22,6,15.8,11,7,1,3,12.5,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2,38,38,3420,38,47,1.24,147,103,70.1,19,8,11,11,28.9,5,3,1,1,25.0,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2,38,38,3420,38,52,1.37,152,102,70.4,12,9,17,10,26.3,8,7,1,0,12.5,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
2,38,38,3420,38,57,1.5,142,85,62.0,9,11,18,9,23.7,3,3,0,0,0.0,/en/squads/8d6fd021/2020-2021/Alaves-Stats
2,38,38,3420,38,42,1.11,111,69,66.7,11,13,14,9,23.7,6,5,1,0,16.7,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
1,38,38,3420,38,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2,38,38,3420,38,38,1.0,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0.0,/en/squads/206d90db/2020-2021/Barcelona-Stats
2,38,38,3420,38,50,1.32,136,87,69.1,17,10,11,13,34.2,10,8,2,0,20.0,/en/squads/fc536746/2020-2021/Real-Betis-Stats
2,38,38,3418,38,57,1.5,138,81,63.8,14,11,13,9,23.7,8,7,1,0,12.5,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
3,38,38,3420,38,58,1.53,150,91,67.3,11,11,16,10,26.3,10,9,1,0,10.0,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
2,38,38,3420,38,52,1.37,135,82,63.7,6,12,20,9,23.7,5,3,1,1,25.0,/en/squads/bea5c710/2020-2021/Eibar-Stats
2,38,38,3420,38,55,1.45,163,106,69.9,8,12,18,7,18.4,10,6,3,1,33.3,/en/squads/6c8b07df/2020-2021/Elche-Stats
2,38,38,3420,38,43,1.13,111,70,67.6,9,11,18,14,36.8,8,7,1,0,12.5,/en/squads/7848bd64/2020-2021/Getafe-Stats
3,38,38,3420,38,65,1.71,170,101,65.3,13,7,18,9,23.7,12,6,5,1,45.5,/en/squads/a0435291/2020-2021/Granada-Stats
2,38,38,3420,38,53,1.39,149,98,67.8,7,13,18,9,23.7,5,5,0,0,0.0,/en/squads/c6c493e6/2020-2021/Huesca-Stats
3,38,38,3420,38,57,1.5,163,108,66.9,9,14,15,4,10.5,4,3,0,1,0.0,/en/squads/9800b6a1/2020-2021/Levante-Stats
3,38,38,3415,38,48,1.27,142,94,69.7,11,11,16,11,28.9,8,5,2,1,28.6,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
1,38,38,3420,38,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
1,38,38,3420,38,38,1.0,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2,38,38,3420,38,33,0.87,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3,/en/squads/ad2be733/2020-2021/Sevilla-Stats
2,38,38,3420,38,53,1.39,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2,38,38,3420,38,57,1.5,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0.0,/en/squads/17859612/2020-2021/Valladolid-Stats
2,38,38,3420,38,44,1.16,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
1,38,38,3420,38,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5,/en/squads/69236f98/2020-2021/Angers-Stats
1,38,38,3420,38,56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5,/en/squads/123f3efe/2020-2021/Bordeaux-Stats
2,38,38,3420,38,66,1.74,180,115,68.3,11,8,19,7,18.4,11,9,1,1,10.0,/en/squads/fb08dbb3/2020-2021/Brest-Stats
