players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
34,41.4,38,17155,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,43889,21461,411,288,105,526,346,8979,961,/en/squads/a0435291/2020-2021/Granada-Stats
27,48.3,38,21271,2396,7960,9099,4469,594,21267,653,426,65.2,227,34.8,11737,65272,34054,617,452,113,539,305,13397,1173,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,52.2,38,21882,2407,7652,9504,4931,679,21876,615,366,59.5,249,40.5,12435,63695,33417,621,446,136,548,326,14069,1526,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,43.2,38,18965,2103,6010,8686,4447,623,18959,441,245,55.6,195,44.2,8688,42982,19734,345,315,64,588,310,10118,1200,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,59.3,38,27856,2279,7913,12359,7814,1021,27853,646,429,66.4,216,33.4,17126,95094,49939,963,739,242,546,315,20538,1909,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,54.9,38,22623,2089,6527,10724,5581,823,22611,550,330,60.0,220,40.0,12816,70621,37154,626,492,125,518,311,14729,1530,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,60.9,38,26485,2495,8190,12249,6228,784,26478,599,392,65.4,207,34.6,15794,78278,38933,691,552,151,516,309,19128,1606,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,46.9,38,20239,2575,7195,8736,4520,560,20229,553,341,61.7,212,38.3,11500,62716,32815,576,468,102,498,268,12660,1168,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,45.2,38,19403,2227,6559,8418,4627,558,19395,504,291,57.7,214,42.5,9720,52059,25666,564,423,112,524,328,11055,1089,/en/squads/17859612/2020-2021/Valladolid-Stats
29,55.2,38,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
31,46.4,38,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418,/en/squads/69236f98/2020-2021/Angers-Stats
28,49.8,38,23564,2361,7808,11547,4454,603,23560,679,391,57.6,287,42.3,13778,70213,34273,644,459,156,614,396,15747,1291,/en/squads/123f3efe/2020-2021/Bordeaux-Stats
26,49.3,38,23400,2617,8252,10194,5202,723,23396,613,383,62.5,230,37.5,13831,71207,37159,685,479,132,561,285,15317,1421,/en/squads/fb08dbb3/2020-2021/Brest-Stats
33,46.2,38,21990,2520,8132,10171,3924,497,21985,673,385,57.2,288,42.8,12516,61771,30394,527,413,91,654,366,13866,1196,/en/squads/8dfb7350/2020-2021/Dijon-Stats
27,51.1,38,23098,2044,6791,11442,5083,678,23086,636,363,57.1,273,42.9,13085,75523,42321,743,499,122,620,348,14953,1553,/en/squads/fd4e0f7d/2020-2021/Lens-Stats
21,53.8,38,25941,1898,6831,13326,6020,726,25936,705,408,57.9,297,42.1,15631,76909,39867,713,620,168,622,380,17767,1647,/en/squads/cb188c0c/2020-2021/Lille-Stats
27,44.6,38,21346,1961,7224,10271,4118,511,21336,635,361,56.9,274,43.1,11509,58437,29360,572,440,112,618,349,13049,1158,/en/squads/d2c87802/2020-2021/Lorient-Stats
29,54.9,38,25614,2062,6882,12340,6637,1100,25604,812,479,59.0,333,41.0,15185,75787,41526,804,621,246,636,326,17592,1980,/en/squads/d53c0b06/2020-2021/Lyon-Stats
31,53.6,38,24581,2364,7705,12328,4779,650,24574,582,321,55.2,261,44.8,14356,68585,36113,606,409,140,571,312,16362,1490,/en/squads/5725cc7b/2020-2021/Marseille-Stats
27,45.2,38,21372,2166,7340,10088,4182,529,21361,678,381,56.2,297,43.8,12250,68808,34671,744,541,135,695,381,13076,1210,/en/squads/f83960ae/2020-2021/Metz-Stats
30,55.8,38,25954,2018,7190,13087,5926,922,25939,570,308,54.0,262,46.0,14599,75884,40603,757,511,159,608,304,17644,1738,/en/squads/fd6114db/2020-2021/Monaco-Stats
25,45.7,38,20692,2271,6950,9233,4727,707,20687,587,299,50.9,288,49.1,11316,60679,31283,619,452,131,590,300,12605,1303,/en/squads/281b0e73/2020-2021/Montpellier-Stats
25,43.9,38,20868,1949,6147,10133,4806,666,20859,678,378,55.8,300,44.2,10893,57486,28597,656,459,182,620,367,12247,1342,/en/squads/d7a486cd/2020-2021/Nantes-Stats
31,54.3,38,25537,2558,8505,12382,4889,696,25530,741,440,59.4,301,40.6,16012,86546,47274,784,508,167,664,366,18001,1517,/en/squads/132ebc33/2020-2021/Nice-Stats
33,44.4,38,21040,2456,7793,9153,4316,583,21032,616,320,51.9,296,48.1,11514,58681,30411,520,353,126,645,362,12585,1187,/en/squads/1cbf5f9e/2020-2021/Nimes-Stats
