players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
29,38,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,2.9,332,1377,325,67,1760,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
24,38,12940,16998,76.1,235952,93019,5731,6656,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1420,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
27,38,15772,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,24,33.2,34.9,-9.2,358,1132,358,80,1516,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
25,38,10825,15562,69.6,196816,82192,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,20,27.7,26.9,-7.7,267,923,292,80,1012,/en/squads/943e8050/2020-2021/Burnley-Stats
27,38,21969,25799,85.2,360450,112392,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,38,41.5,37.1,-3.5,448,1441,377,70,1798,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
24,38,11627,15597,74.5,193706,81274,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,29,23.6,23.4,5.4,264,838,232,54,1132,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
29,38,14792,18696,79.1,263227,93921,6563,7438,88.2,6125,7073,86.6,1580,2924,54.0,32,30.7,28.7,1.3,300,944,257,60,1184,/en/squads/d3fd31cc/2020-2021/Everton-Stats
28,38,15401,19512,78.9,270640,94395,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,1354,/en/squads/fd962109/2020-2021/Fulham-Stats
23,38,16284,20629,78.9,286488,99274,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1633,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
27,38,17014,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,45,33.7,30.1,11.3,360,1209,283,57,1464,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
28,38,21929,26226,83.6,360990,115400,10789,11862,91.0,8747,9940,88.0,1715,2969,57.8,43,48.3,45.6,-5.3,455,1608,524,82,2057,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
24,38,23819,27167,87.7,390212,110951,11548,12409,93.1,9673,10628,91.0,1771,2616,67.7,55,45.4,43.3,9.6,433,1772,412,41,2051,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
29,38,18800,22624,83.1,310438,100811,9248,10259,90.1,7258,8255,87.9,1597,2585,61.8,51,41.6,38.2,9.4,414,1419,377,54,1832,/en/squads/19538871/2020-2021/Manchester-United-Stats
27,38,10839,14709,73.7,197161,77098,4828,5635,85.7,4197,5131,81.8,1387,2879,48.2,26,29.0,21.1,-3.0,289,739,207,83,903,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
27,38,12146,16264,74.7,207510,78589,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,1196,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
29,38,14928,19288,77.4,239028,85450,7587,8659,87.6,5629,6690,84.1,1099,2547,43.1,33,25.8,22.2,7.2,294,894,261,36,1195,/en/squads/33c895d4/2020-2021/Southampton-Stats
24,38,16508,20571,80.2,274912,94098,7801,8828,88.4,6561,7603,86.3,1393,2672,52.1,50,35.3,25.3,14.7,316,1035,257,54,1330,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
30,38,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,1027,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
24,38,12725,16901,75.3,225666,88791,5888,6864,85.8,4948,6052,81.8,1470,2860,51.4,46,39.6,31.9,6.4,340,1037,238,95,1282,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
27,38,15548,19225,80.9,275061,93014,6990,7796,89.7,6320,7342,86.1,1742,2944,59.2,21,24.1,23.9,-3.1,345,1117,213,85,1283,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
30,38,10217,14390,71.0,196749,86617,4465,5486,81.4,4015,5139,78.1,1482,2923,50.7,21,27.4,21.0,-6.4,256,789,189,82,939,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,38,13577,17841,76.1,251118,91439,5872,6901,85.1,5484,6607,83.0,1791,3120,57.4,31,31.0,27.9,0.0,303,1054,284,79,1496,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,38,16757,20680,81.0,276506,95008,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,38,25192,28488,88.4,384110,119170,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,38,15816,19679,80.4,273427,94370,7406,8310,89.1,6094,7035,86.6,1673,3002,55.7,35,33.4,30.5,1.6,335,1048,297,80,1442,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,38,15176,19318,78.6,263065,91357,6912,7946,87.0,6117,7188,85.1,1552,2914,53.3,39,36.7,32.0,2.3,267,978,248,48,1308,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,38,7949,12067,65.9,158876,72248,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,854,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,38,11810,16890,69.9,234607,92605,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,1295,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,38,13481,17054,79.0,244141,94274,6024,6751,89.2,5311,6194,85.7,1653,3001,55.1,25,21.8,19.8,3.2,190,785,148,79,929,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,38,8977,13863,64.8,170990,76315,4043,5155,78.4,3111,4340,71.7,1417,3219,44.0,14,23.6,24.0,-9.6,261,863,225,102,1090,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,38,9083,13336,68.1,173761,74249,3915,4776,82.0,3574,4629,77.2,1288,2951,43.6,30,26.8,22.6,3.2,224,813,173,58,975,/en/squads/a0435291/2020-2021/Granada-Stats
27,38,13511,17483,77.3,250957,87960,5695,6489,87.8,5786,6819,84.9,1679,3199,52.5,23,26.6,25.3,-3.6,295,898,221,113,1185,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,38,14189,18113,78.3,256983,95961,6357,7201,88.3,5757,6801,84.6,1695,3077,55.1,35,29.6,30.0,5.4,286,1087,306,83,1537,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,38,10233,15031,68.1,201352,91555,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5,25,24.9,27.9,0.1,259,968,261,101,1220,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,38,20652,24119,85.6,352965,111437,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7,53,47.4,48.8,5.6,438,1525,401,77,1920,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,38,14915,18995,78.5,264692,91984,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7,39,39.6,39.7,-0.6,308,1100,343,64,1554,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,38,19248,22873,84.2,342985,106478,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6,36,41.0,40.1,-5.0,387,1234,346,122,1627,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,38,12755,16480,77.4,241622,89245,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5,35,27.2,24.8,7.8,283,926,239,62,1180,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,38,11145,15385,72.4,206105,80260,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7,21,24.2,25.7,-3.2,263,873,213,90,1101,/en/squads/17859612/2020-2021/Valladolid-Stats
29,38,17508,21129,82.9,305401,104843,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1628,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
31,38,14883,18822,79.1,260279,99308,6976,7852,88.8,5985,7038,85.0,1531,2897,52.8,23,26.4,25.0,-3.4,294,1059,221,62,1435,/en/squads/69236f98/2020-2021/Angers-Stats
28,38,15862,19490,81.4,283184,102852,7065,7953,88.8,6665,7634,87.3,1694,2878,58.9,32,31.4,27.2,0.6,319,978,186,57,1303,/en/squads/123f3efe/2020-2021/Bordeaux-Stats
26,38,15437,19407,79.5,292474,108202,6267,7228,86.7,6798,7856,86.5,2034,3384,60.1,31,36.0,36.5,-5.0,337,1178,301,123,1438,/en/squads/fb08dbb3/2020-2021/Brest-Stats
33,38,13948,17901,77.9,255832,97586,5993,6862,87.3,6024,7094,84.9,1638,3054,53.6,15,22.6,19.7,-7.6,253,936,185,56,1203,/en/squads/8dfb7350/2020-2021/Dijon-Stats
27,38,15078,18957,79.5,276447,96848,6283,7229,86.9,6713,7778,86.3,1682,2916,57.7,35,37.8,33.3,-2.8,327,1132,264,90,1567,/en/squads/fd4e0f7d/2020-2021/Lens-Stats
21,38,17886,21892,81.7,305333,103853,8342,9348,89.2,7195,8239,87.3,1668,2938,56.8,39,34.4,33.6,4.6,365,1488,251,58,1660,/en/squads/cb188c0c/2020-2021/Lille-Stats
27,38,13171,17085,77.1,232514,87993,6009,6910,87.0,5392,6409,84.1,1381,2801,49.3,26,30.8,25.8,-4.8,289,910,191,55,1169,/en/squads/d2c87802/2020-2021/Lorient-Stats
29,38,17683,21396,82.6,304026,112587,8263,9252,89.3,7091,8150,87.0,1737,2736,63.5,46,54.9,52.2,-8.9,455,1444,426,77,1991,/en/squads/d53c0b06/2020-2021/Lyon-Stats
