players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
29,25.9,38,3420,90,100,38,418,84,301,114,19,201,1.61,55,39,16,0.42,51.7,43.0,8.8,0.23,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
24,25.2,38,3420,90,100,38,418,86,324,91,17,229,1.45,55,46,9,0.24,52.5,51.1,1.5,0.04,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
27,25.8,38,3420,90,100,38,418,85,305,108,20,208,1.08,40,46,-6,-0.16,50.9,35.3,15.6,0.41,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
25,28.3,38,3420,90,100,38,418,86,339,81,19,235,1.03,33,55,-22,-0.58,39.3,54.7,-15.4,-0.4,/en/squads/943e8050/2020-2021/Burnley-Stats
27,26.0,38,3420,90,100,38,418,84,308,108,22,208,1.76,58,36,22,0.58,62.4,30.3,32.1,0.85,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
24,29.1,38,3420,90,100,38,418,86,321,95,17,208,1.16,41,66,-25,-0.66,34.1,58.2,-24.2,-0.64,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
29,26.3,38,3420,90,100,38,418,85,310,106,19,206,1.55,47,48,-1,-0.03,45.7,50.1,-4.5,-0.12,/en/squads/d3fd31cc/2020-2021/Everton-Stats
28,25.2,38,3420,90,100,38,418,85,306,110,19,203,0.74,27,53,-26,-0.68,40.5,52.6,-12.1,-0.32,/en/squads/fd962109/2020-2021/Fulham-Stats
23,26.1,38,3420,90,100,38,418,83,312,107,25,209,1.55,62,54,8,0.21,55.6,57.9,-2.2,-0.06,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
27,26.5,38,3420,90,100,38,418,85,320,99,22,216,1.74,68,50,18,0.47,55.8,46.0,9.8,0.26,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
28,26.8,38,3420,90,100,38,418,85,314,104,19,212,1.82,68,42,26,0.68,67.5,43.0,24.5,0.65,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
24,26.1,38,3420,90,100,38,418,86,339,77,22,240,2.26,83,32,51,1.34,68.2,30.2,38.0,1.0,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
29,25.6,38,3420,90,100,38,418,86,318,99,18,219,1.95,73,44,29,0.76,60.1,41.4,18.6,0.49,/en/squads/19538871/2020-2021/Manchester-United-Stats
27,27.1,38,3420,90,100,38,418,85,306,109,19,209,1.18,46,62,-16,-0.42,43.4,58.3,-14.9,-0.39,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
27,26.7,38,3420,90,100,38,418,83,315,103,25,198,0.61,20,63,-43,-1.13,32.6,62.2,-29.6,-0.78,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
29,26.6,38,3420,90,100,38,418,85,314,101,19,215,1.13,47,68,-21,-0.55,41.2,53.1,-11.8,-0.31,/en/squads/33c895d4/2020-2021/Southampton-Stats
