players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
29,38,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
24,38,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
27,38,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
25,38,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2,/en/squads/943e8050/2020-2021/Burnley-Stats
27,38,1018,26.79,790,81,42,55,43,7,95,2.5,69,6,4,6,10,0,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
24,38,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
29,38,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0,/en/squads/d3fd31cc/2020-2021/Everton-Stats
28,38,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1,/en/squads/fd962109/2020-2021/Fulham-Stats
23,38,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
27,38,863,22.71,635,49,56,46,54,23,114,3.0,85,3,8,4,10,4,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
28,38,1068,28.11,818,71,58,61,46,14,110,2.89,77,6,4,14,6,3,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
24,38,1067,28.08,801,61,90,57,43,15,141,3.71,100,3,17,13,6,2,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
29,38,953,25.08,720,73,46,58,46,10,127,3.34,94,5,8,9,9,2,/en/squads/19538871/2020-2021/Manchester-United-Stats
27,38,688,18.11,454,85,51,36,56,6,75,1.97,46,7,6,7,7,2,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
27,38,567,14.92,435,48,27,29,23,5,27,0.71,16,3,2,3,3,0,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
29,38,728,19.16,513,63,42,47,51,12,83,2.18,49,8,6,7,11,2,/en/squads/33c895d4/2020-2021/Southampton-Stats
24,38,786,20.68,553,55,56,49,56,17,120,3.16,86,6,13,8,6,1,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
30,38,568,14.95,407,60,26,27,39,9,53,1.39,40,3,1,3,5,1,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
24,38,823,21.66,576,92,37,56,53,9,106,2.79,73,12,1,13,7,0,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
27,38,821,21.61,572,74,68,47,46,14,63,1.66,39,4,7,7,5,1,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
30,38,595,15.66,375,97,25,35,50,13,59,1.55,28,9,4,5,9,4,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,38,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,38,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,38,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,38,800,21.05,578,74,59,40,36,13,91,2.39,58,12,6,5,9,1,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,38,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,38,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,38,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,38,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,38,618,16.26,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,38,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2,/en/squads/a0435291/2020-2021/Granada-Stats
27,38,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,38,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,38,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,38,981,25.82,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,38,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,38,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,38,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,38,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1,/en/squads/17859612/2020-2021/Valladolid-Stats
29,38,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
31,38,706,18.58,525,48,41,38,42,12,66,1.74,42,8,2,5,7,2,/en/squads/69236f98/2020-2021/Angers-Stats
28,38,740,19.47,476,82,63,45,57,17,76,2.0,45,10,6,5,9,1,/en/squads/123f3efe/2020-2021/Bordeaux-Stats
26,38,789,20.76,561,80,45,43,50,10,84,2.21,61,7,3,6,6,1,/en/squads/fb08dbb3/2020-2021/Brest-Stats
33,38,587,15.45,398,64,42,35,42,6,40,1.05,21,5,3,6,4,1,/en/squads/8dfb7350/2020-2021/Dijon-Stats
27,38,790,20.79,566,61,58,41,51,13,94,2.47,61,6,8,5,11,3,/en/squads/fd4e0f7d/2020-2021/Lens-Stats
21,38,845,22.24,639,61,52,40,42,11,107,2.82,82,3,6,8,8,0,/en/squads/cb188c0c/2020-2021/Lille-Stats
27,38,726,19.11,498,62,47,53,58,8,80,2.11,47,4,5,11,12,1,/en/squads/d2c87802/2020-2021/Lorient-Stats
29,38,1075,28.29,776,83,81,63,53,19,130,3.42,89,5,10,9,14,3,/en/squads/d53c0b06/2020-2021/Lyon-Stats
31,38,672,17.68,487,59,31,31,49,15,97,2.55,68,9,3,4,10,3,/en/squads/5725cc7b/2020-2021/Marseille-Stats
27,38,762,20.05,529,75,43,39,65,11,71,1.87,46,2,6,6,9,2,/en/squads/f83960ae/2020-2021/Metz-Stats
