nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
POR,"MF,DF",21,1999,1.9,7,5,5,2,0,3,4,75.0,1,3,0,3,2,9,4,0
CAN,FW,18,2002,0.1,2,1,0,2,0,1,1,100.0,0,0,0,0,1,3,0,0
POR,MF,20,2000,5.8,7,3,2,5,0,3,8,37.5,5,3,0,3,3,10,1,0
BRA,FW,28,1991,12.3,2,1,1,1,0,1,4,25.0,3,6,1,5,1,3,12,0
CIV,DF,29,1991,20.9,33,20,26,7,0,13,24,54.2,11,18,12,6,32,65,84,1
ENG,GK,23,1998,34.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,26,3
ENG,MF,23,1997,3.0,8,4,5,3,0,2,4,50.0,2,2,0,2,4,12,4,0
BEL,MF,21,1999,12.6,22,18,11,9,2,12,14,85.7,2,12,7,5,13,35,12,4
FRA,FW,30,1991,19.8,27,10,8,13,6,7,21,33.3,14,12,1,11,5,32,6,0
ENG,DF,23,1997,32.0,44,23,30,8,6,28,45,62.2,17,42,24,18,42,86,102,0
GER,GK,29,1992,4.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
ENG,"FW,MF",19,2001,33.1,40,21,12,17,11,13,39,33.3,26,28,2,26,22,62,23,0
ENG,DF,26,1995,1.9,5,3,3,1,1,3,4,75.0,1,6,3,3,0,5,10,0
POR,DF,29,1991,16.5,38,26,23,9,6,16,25,64.0,9,18,7,11,16,54,31,1
ENG,FW,22,1999,9.3,9,4,1,4,4,1,4,25.0,3,9,2,7,4,13,5,0
ENG,"MF,FW",21,2000,21.3,14,7,7,7,0,4,20,20.0,16,18,1,17,15,29,10,1
USA,FW,20,2001,0.8,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0
BRA,DF,23,1997,34.0,50,30,36,12,2,30,41,73.2,11,34,26,8,13,63,112,4
BRA,"FW,MF",20,2001,20.7,27,19,7,14,6,10,29,34.5,19,26,1,25,20,47,15,0
SUI,"MF,DF",28,1992,25.9,32,18,16,12,4,16,41,39.0,25,21,6,15,21,53,31,0
SCO,DF,24,1997,21.3,18,14,11,7,0,10,11,90.9,1,23,5,18,15,33,54,0
NOR,"MF,FW",22,1998,30.9,49,21,6,24,19,22,61,36.1,39,18,1,17,11,60,11,1
EGY,MF,29,1992,9.0,16,8,10,5,1,7,12,58.3,5,7,1,6,14,30,13,0
CIV,"FW,MF",26,1995,7.7,8,5,3,5,0,3,9,33.3,6,9,1,8,8,16,2,0
POR,DF,21,2000,13.1,21,14,10,7,4,8,18,44.4,10,15,5,10,9,30,33,1
ESP,DF,27,1993,2.0,5,3,1,3,1,3,6,50.0,3,5,4,1,3,8,10,0
GAB,FW,32,1989,11.5,11,5,6,4,1,3,10,30.0,7,12,1,11,0,11,4,0
ENG,FW,21,1999,0.2,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
ENG,DF,25,1995,9.4,13,9,11,1,1,5,6,83.3,1,23,18,5,10,23,42,1
BIH,DF,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0
JPN,DF,22,1998,18.7,35,17,19,13,3,21,32,65.6,11,22,3,19,24,59,64,2
GHA,MF,28,1993,22.5,43,29,22,17,4,18,44,40.9,26,22,4,18,23,66,35,2
NED,"FW,MF",26,1995,4.3,4,4,2,2,0,2,7,28.6,5,6,0,6,1,5,2,0
ENG,"DF,FW",36,1985,13.9,18,6,9,6,3,11,16,68.8,5,10,4,6,13,31,25,1
COD,DF,23,1997,5.6,5,3,3,2,0,2,5,40.0,3,5,4,1,5,10,12,1
BFA,"MF,FW",25,1995,2.4,3,3,0,1,2,1,2,50.0,1,0,0,0,0,3,1,0
ENG,DF,26,1995,9.2,16,8,10,6,0,4,6,66.7,2,14,8,6,5,21,42,0
ENG,"FW,MF",20,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,"MF,FW",17,2003,3.3,7,1,2,5,0,3,5,60.0,2,3,0,3,1,8,2,1
ENG,FW,29,1992,21.1,23,16,2,16,5,13,37,35.1,24,31,2,29,6,29,22,0
BRA,MF,23,1998,30.2,59,39,30,24,5,21,72,29.2,51,30,7,23,34,93,28,1
ARG,"MF,FW",24,1996,21.1,38,18,16,13,9,21,51,41.2,30,21,3,18,9,47,11,0
ARG,GK,28,1992,36.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,6,1
ENG,DF,23,1997,27.5,25,15,13,11,1,10,13,76.9,3,31,22,9,15,40,86,2
ENG,MF,20,2001,27.4,67,44,31,28,8,30,69,43.5,39,36,7,29,24,91,28,0
ENG,FW,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,GK,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
SCO,MF,26,1994,34.3,106,64,35,55,16,54,104,51.9,50,53,6,47,35,141,34,0
ENG,FW,23,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,DF,26,1995,4.4,3,3,2,0,1,3,4,75.0,1,8,5,3,6,9,13,0
JAM,"FW,MF",23,1997,8.5,17,11,6,8,3,6,13,46.2,7,10,1,9,1,18,2,0
FRA,DF,28,1993,14.1,13,10,8,3,2,9,19,47.4,10,15,8,7,23,36,40,0
ZIM,MF,27,1994,10.0,32,19,18,14,0,12,34,35.3,22,14,4,10,12,44,17,1
ENG,DF,25,1995,15.9,34,18,28,5,1,24,45,53.3,21,16,9,7,23,57,35,0
POL,DF,23,1997,37.5,89,50,52,34,3,47,78,60.3,31,54,16,38,49,138,100,2
FRA,MF,26,1994,4.0,12,8,7,2,3,3,7,42.9,4,13,0,13,10,22,2,1
ENG,FW,25,1995,32.8,17,13,2,7,8,2,15,13.3,13,25,3,22,12,29,27,0
BRA,"MF,FW",29,1992,14.8,17,12,4,11,2,6,21,28.6,15,11,1,10,7,24,4,0
SWE,GK,31,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,MF,18,2003,1.0,5,4,2,3,0,1,1,100.0,0,0,0,0,2,7,1,0
EGY,FW,26,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,DF,28,1993,35.4,23,12,17,3,3,14,22,63.6,8,47,30,17,46,69,153,2
BRA,FW,24,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
CMR,FW,21,1999,32.3,28,16,1,12,15,6,20,30.0,14,21,6,15,11,39,20,0
ENG,DF,25,1995,5.0,7,5,5,2,0,4,4,100.0,0,4,2,2,2,9,8,0
DEN,MF,29,1992,10.4,13,6,4,5,4,8,17,47.1,9,9,1,8,9,22,14,0
DEN,MF,27,1994,33.9,109,60,42,58,9,52,101,51.5,49,48,9,39,64,173,58,1
ESP,GK,25,1995,24.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,10,1
ENG,DF,21,2000,1.6,1,0,1,0,0,0,1,0.0,1,2,2,0,2,3,3,0
JAM,DF,28,1993,29.9,51,35,37,12,2,25,38,65.8,13,30,11,19,44,95,154,1
WAL,DF,18,2003,0.2,3,1,0,3,0,1,1,100.0,0,0,0,0,0,3,0,0
NGA,MF,23,1998,11.6,25,17,13,9,3,8,27,29.6,19,16,2,14,14,39,13,0
ENG,FW,25,1996,32.3,33,21,5,20,8,12,38,31.6,26,16,2,14,14,47,44,1
DEN,GK,32,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG,"MF,FW",22,1998,2.9,2,1,0,1,1,1,2,50.0,1,3,0,3,1,3,7,0
NOR,DF,23,1998,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0
DEN,DF,22,1999,9.3,8,7,6,2,0,6,7,85.7,1,9,6,3,6,14,25,0
DEN,MF,20,2001,0.5,1,0,0,1,0,0,3,0.0,3,0,0,0,1,2,2,0
DEN,DF,22,1999,13.8,23,12,19,2,2,14,32,43.8,18,14,5,9,16,39,29,0
FIN,"FW,MF",22,1999,2.3,3,3,0,2,1,2,4,50.0,2,5,0,5,1,4,0,0
DEN,MF,25,1996,17.8,33,18,12,16,5,22,63,34.9,41,32,3,29,22,55,13,0
DEN,DF,31,1990,5.8,10,4,3,5,2,7,10,70.0,3,6,1,5,10,20,13,0
ENG,MF,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
SWE,DF,30,1991,36.9,40,21,32,8,0,22,34,64.7,12,37,27,10,52,92,187,0
ENG,DF,24,1997,30.8,28,20,18,8,2,12,34,35.3,22,31,10,21,26,54,76,1
IRN,"MF,DF",27,1993,6.0,17,10,8,6,3,9,15,60.0,6,2,0,2,3,20,16,0
ESP,"DF,FW",24,1997,23.1,56,25,32,15,9,33,60,55.0,27,32,3,29,22,78,38,0
GRN,MF,23,1998,10.1,14,4,9,4,1,6,15,40.0,9,10,0,10,11,25,12,0
GHA,DF,25,1995,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
GER,MF,23,1998,25.5,61,32,26,27,8,27,53,50.9,26,23,7,16,28,89,35,0
COD,FW,24,1996,14.3,12,6,5,4,3,1,16,6.3,15,12,5,7,8,20,6,0
ESP,GK,23,1998,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2
IRL,"FW,MF",21,2000,1.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
ENG,MF,33,1988,17.3,34,17,14,14,6,12,41,29.3,29,16,6,10,16,50,13,1
ENG,DF,26,1995,15.9,26,8,17,7,2,13,20,65.0,7,25,17,8,17,43,66,2
ARG,"MF,FW",22,1998,23.6,65,40,23,30,12,29,68,42.6,39,37,7,30,13,78,22,0
ENG,DF,29,1992,11.4,22,12,13,8,1,6,15,40.0,9,14,10,4,24,46,51,0
ENG,"FW,MF",30,1990,16.4,14,7,2,8,4,3,10,30.0,7,18,2,16,5,19,18,0
ZAM,MF,23,1998,11.1,22,12,10,10,2,5,27,18.5,22,20,2,18,12,34,19,0
IRL,MF,16,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
POL,MF,22,1999,18.9,42,25,18,17,7,23,42,54.8,19,25,2,23,10,52,22,1
ENG,GK,30,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ECU,"FW,MF",19,2002,0.5,1,1,0,0,1,0,2,0.0,2,2,0,2,0,1,0,0
NED,DF,29,1992,31.9,74,48,47,21,6,21,53,39.6,32,46,16,30,45,119,89,0
CUW,"MF,FW",27,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
BEL,"FW,MF",26,1994,31.2,34,20,12,9,13,4,31,12.9,27,33,4,29,15,49,10,0
ENG,DF,29,1991,28.6,10,8,5,5,0,5,11,45.5,6,32,28,4,27,37,113,3
ESP,DF,23,1998,34.3,93,62,43,32,18,44,71,62.0,27,42,14,28,30,123,74,0
ECU,MF,19,2001,7.3,16,10,7,7,2,5,12,41.7,7,18,4,14,10,26,7,0
FRA,FW,24,1996,25.3,17,10,2,6,9,4,18,22.2,14,21,2,19,2,19,2,0
GER,"MF,DF",30,1991,22.6,28,15,15,11,2,12,33,36.4,21,34,8,26,18,46,23,0
ESP,GK,23,1997,37.0,2,1,2,0,0,1,1,100.0,0,1,0,1,0,2,11,4
IRL,DF,29,1992,16.0,15,12,12,3,0,8,14,57.1,6,24,18,6,16,31,76,1
ENG,"DF,FW",27,1994,19.4,30,17,11,9,10,7,22,31.8,15,22,3,19,17,47,25,0
COL,MF,22,1998,4.5,10,4,4,5,1,4,7,57.1,3,2,1,1,10,20,10,0
GHA,"DF,FW",20,2000,17.3,36,25,14,17,5,15,25,60.0,10,13,3,10,21,57,23,0
ENG,MF,20,2000,0.3,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
MLI,MF,24,1996,23.5,76,49,35,37,4,21,37,56.8,16,33,3,30,50,126,49,0
ENG,"MF,FW",34,1987,17.2,33,17,10,13,10,10,34,29.4,24,26,4,22,9,42,14,0
ENG,FW,31,1989,9.0,11,2,2,7,2,2,9,22.2,7,8,1,7,2,13,5,0
ENG,MF,31,1990,25.4,21,12,8,12,1,10,31,32.3,21,21,9,12,30,51,16,1
ENG,DF,31,1989,20.4,26,12,16,7,3,12,19,63.2,7,28,22,6,24,50,94,1
ENG,DF,27,1993,30.3,45,26,31,11,3,26,44,59.1,18,42,20,22,58,103,95,2
NZL,FW,29,1991,15.2,7,5,0,3,4,3,10,30.0,7,13,4,9,0,7,3,0
WAL,DF,25,1995,18.8,20,13,10,7,3,10,15,66.7,5,25,5,20,22,42,62,1
ENG,MF,32,1989,1.4,4,1,0,3,1,3,8,37.5,5,4,1,3,1,5,1,0
ENG,MF,21,1999,34.5,78,49,27,38,13,33,73,45.2,40,64,11,53,35,113,31,1
NED,DF,32,1988,8.1,28,15,15,11,2,17,28,60.7,11,18,7,11,10,38,38,0
ENG,MF,32,1989,18.6,20,6,6,11,3,7,20,35.0,13,17,4,13,17,37,29,1
ENG,DF,28,1992,34.5,65,45,47,17,1,33,47,70.2,14,75,61,14,48,113,186,4
ENG,FW,32,1989,15.4,20,12,8,8,4,4,14,28.6,10,19,1,18,4,24,12,0
ENG,MF,25,1995,32.8,73,37,25,42,6,21,53,39.6,32,37,12,25,68,141,42,1
ISL,MF,30,1990,12.2,16,6,7,7,2,5,20,25.0,15,11,2,9,12,28,22,0
IRL,DF,30,1990,4.6,3,2,1,2,0,1,2,50.0,1,4,1,3,1,4,20,0
ENG,DF,32,1989,19.7,38,24,20,10,8,20,37,54.1,17,25,11,14,26,64,68,0
CZE,FW,29,1992,7.5,12,7,3,4,5,3,7,42.9,4,5,1,4,0,12,9,0
CIV,"FW,MF",24,1996,19.6,16,9,7,5,4,7,15,46.7,8,13,4,9,10,26,14,0
IRL,DF,20,2001,18.6,37,15,27,8,2,17,27,63.0,10,38,25,13,24,61,83,2
ENG,GK,29,1992,36.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,30,3
WAL,GK,34,1987,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1
NED,FW,28,1992,16.1,17,9,3,9,5,6,19,31.6,13,16,5,11,6,23,13,0
DEN,DF,25,1996,16.6,14,8,9,4,1,4,7,57.1,3,14,6,8,29,43,57,1
GER,DF,28,1993,33.7,48,28,29,15,4,36,48,75.0,12,20,11,9,28,76,91,1
ENG,DF,24,1996,6.0,8,3,2,6,0,2,5,40.0,3,7,0,7,4,12,14,1
ENG,"MF,FW",20,2000,10.7,14,10,5,6,3,8,23,34.8,15,8,0,8,2,16,6,1
USA,"MF,FW",22,1998,14.3,10,7,6,3,1,3,17,17.6,14,12,0,12,5,15,10,0
ESP,DF,31,1989,23.0,51,28,18,27,6,16,35,45.7,19,32,9,23,23,74,65,1
SEN,GK,29,1992,34.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,13,4
ITA,DF,26,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
MAR,"MF,FW",28,1993,14.7,19,10,5,12,2,10,36,27.8,26,11,1,10,10,29,10,0
ITA,MF,29,1991,25.3,64,33,27,31,6,29,83,34.9,54,27,4,23,36,100,21,1
GER,"FW,MF",22,1999,20.1,17,8,5,7,5,4,14,28.6,10,28,1,27,4,21,32,1
BRA,DF,25,1996,0.6,5,2,1,2,2,2,3,66.7,1,0,0,0,0,5,0,0
ESP,GK,26,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
FRA,DF,22,1999,6.1,14,7,10,2,2,7,12,58.3,5,6,3,3,11,25,20,0
ESP,DF,30,1990,24.1,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0
ENG,MF,22,1999,26.3,41,16,10,17,14,10,34,29.4,24,18,1,17,13,54,12,0
CRO,MF,27,1994,17.3,51,31,14,26,11,17,35,48.6,18,19,4,15,7,58,9,1
FRA,MF,30,1991,19.7,59,31,20,27,12,25,40,62.5,15,37,2,35,31,90,8,0
ENG,DF,21,1999,20.7,33,25,14,18,1,9,22,40.9,13,20,2,18,17,50,22,0
BEL,FW,28,1993,17.7,2,1,0,1,1,1,5,20.0,4,11,1,10,0,2,20,0
ENG,"MF,FW",27,1993,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
ENG,"MF,DF",25,1996,15.5,29,10,16,11,2,10,19,52.6,9,15,6,9,11,40,17,0
ESP,"DF,MF",26,1994,5.3,20,9,11,9,0,9,16,56.3,7,14,3,11,7,27,10,1
BRA,DF,36,1984,29.4,32,21,19,12,1,11,22,50.0,11,54,31,23,44,76,100,0
GER,"FW,MF",25,1996,14.3,8,4,3,3,2,2,20,10.0,18,9,0,9,2,10,4,0
ENG,DF,22,1999,16.1,40,27,22,18,0,24,31,77.4,7,16,6,10,19,59,43,2
SEN,MF,31,1989,21.9,52,38,28,22,2,18,39,46.2,21,40,14,26,38,90,39,0
BEL,FW,30,1990,12.7,3,2,1,2,0,2,6,33.3,4,7,3,4,2,5,33,0
ENG,MF,21,2000,31.6,69,38,35,20,14,21,69,30.4,48,58,9,49,29,98,26,0
ENG,"MF,FW",23,1998,6.7,10,6,5,2,3,6,11,54.5,5,4,1,3,5,15,1,0
ENG,GK,28,1993,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
SCO,MF,33,1987,16.0,33,23,13,19,1,16,44,36.4,28,23,9,14,30,63,27,0
ENG,DF,32,1989,6.1,8,3,6,2,0,6,8,75.0,2,8,8,0,4,12,18,0
NED,MF,24,1996,1.3,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,2,0
FRA,FW,24,1997,12.7,8,4,2,5,1,3,18,16.7,15,11,3,8,4,12,13,0
GHA,"MF,FW",28,1992,20.6,46,25,16,23,7,24,50,48.0,26,39,9,30,18,64,32,0
ENG,"FW,MF",18,2002,0.9,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,0,0
DEN,DF,25,1996,32.4,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3
ENG,DF,31,1989,27.6,44,26,30,11,3,30,57,52.6,27,24,11,13,32,76,107,1
GHA,FW,29,1991,22.4,47,30,20,20,7,17,31,54.8,14,33,3,30,15,62,15,0
SRB,MF,30,1991,8.6,18,9,9,6,3,10,16,62.5,6,6,1,5,11,29,15,0
ENG,DF,21,2000,35.8,35,17,24,10,1,15,16,93.8,1,34,26,8,30,65,127,0
FRA,"FW,MF",19,2001,12.7,22,18,8,11,3,7,24,29.2,17,17,0,17,6,28,6,0
ENG,DF,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,DF,30,1991,15.0,21,10,11,9,1,10,20,50.0,10,7,2,5,15,36,32,0
FRA,FW,23,1998,17.4,16,10,2,7,7,7,21,33.3,14,20,5,15,0,16,18,0
ENG,DF,21,1999,34.5,104,57,67,26,11,46,67,68.7,21,47,5,42,41,145,101,0
ESP,GK,34,1987,29.5,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,8,1
CIV,FW,28,1992,30.7,40,20,14,15,11,10,31,32.3,21,28,0,28,5,45,5,0
ENG,MF,26,1995,11.7,29,14,10,16,3,7,16,43.8,9,13,7,6,8,37,10,0
MLI,MF,28,1993,28.2,75,43,30,37,8,32,71,45.1,39,33,8,25,28,103,32,0
NGA,"MF,DF",25,1996,22.6,40,19,23,12,5,21,52,40.4,31,39,3,36,20,60,25,2
BRA,MF,30,1991,24.3,74,44,28,39,7,34,105,32.4,71,40,9,31,23,97,39,1
ENG,"MF,FW",30,1991,16.2,31,17,15,6,10,15,40,37.5,25,28,2,26,14,45,6,1
POR,MF,28,1993,6.9,16,4,6,6,4,8,32,25.0,24,8,2,6,1,17,7,1
ENG,"MF,FW",20,2001,25.4,54,32,20,30,4,21,59,35.6,38,49,3,46,22,76,17,0
NED,"FW,MF",26,1995,0.1,1,1,1,0,0,1,1,100.0,0,3,0,3,0,1,0,0
BIH,GK,34,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
ENG,DF,23,1998,22.5,47,32,29,14,4,24,39,61.5,15,41,19,22,15,62,100,2
TUR,MF,30,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG,"MF,FW",25,1996,3.8,7,2,3,4,0,0,4,0.0,4,7,2,5,6,13,10,0
JAM,"MF,FW",25,1996,26.0,30,19,13,10,7,10,22,45.5,12,30,2,28,15,45,21,1
ENG,FW,24,1997,14.3,11,8,1,6,4,3,8,37.5,5,5,2,3,3,14,12,0
NED,MF,24,1997,5.4,15,7,8,6,1,6,13,46.2,7,6,2,4,6,21,4,0
ENG,FW,20,2001,0.7,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
ENG,MF,31,1989,7.4,18,15,10,7,1,8,21,38.1,13,12,5,7,14,32,10,0
NIR,MF,17,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG,DF,19,2002,4.3,4,1,3,1,0,3,8,37.5,5,3,2,1,1,5,20,0
CIV,MF,25,1995,0.7,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,1,0
ENG,DF,24,1997,11.3,17,7,11,6,0,13,21,61.9,8,8,1,7,20,37,31,0
ENG,GK,27,1994,35.0,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,14,1
ENG,"FW,MF",18,2003,0.4,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0
FRA,DF,28,1993,13.0,33,19,26,4,3,21,28,75.0,7,16,5,11,14,47,30,0
ENG,DF,24,1996,23.7,35,18,26,9,0,11,26,42.3,15,25,17,8,26,61,95,1
ENG,DF,28,1993,31.0,46,25,32,13,1,28,45,62.2,17,33,28,5,62,108,128,2
ITA,FW,21,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
BRA,FW,24,1997,28.0,40,23,18,15,7,15,31,48.4,16,42,4,38,12,52,34,0
VEN,FW,31,1989,8.8,6,1,1,2,3,4,14,28.6,10,5,0,5,0,6,10,0
IRL,DF,32,1988,29.5,61,36,35,16,10,33,51,64.7,18,30,11,19,32,93,80,2
ENG,MF,23,1998,2.6,3,1,1,1,1,2,5,40.0,3,2,1,1,2,5,9,0
ENG,MF,18,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
UKR,DF,22,1999,11.7,25,15,15,7,3,12,21,57.1,9,15,2,13,16,41,37,0
COL,DF,26,1994,9.4,12,10,12,0,0,10,13,76.9,3,13,9,4,11,23,38,1
ENG,MF,29,1991,17.0,53,23,21,27,5,21,54,38.9,33,17,1,16,19,72,12,2
ENG,DF,18,2002,1.6,5,2,1,4,0,3,3,100.0,0,1,1,0,2,7,6,0
ENG,"DF,MF",19,2001,1.4,4,2,3,1,0,1,3,33.3,2,0,0,0,1,5,4,0
NED,"MF,FW",19,2001,1.4,5,3,1,1,3,2,3,66.7,1,2,0,2,2,7,0,0
WAL,"FW,MF",23,1997,26.3,24,14,8,8,8,10,23,43.5,13,18,1,17,8,32,12,0
ESP,DF,27,1993,26.0,53,31,32,19,2,33,47,70.2,14,35,17,18,40,93,77,2
ANG,MF,27,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
FRA,GK,21,2000,37.6,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,27,1
ENG,"FW,MF",24,1996,29.3,57,37,22,22,13,31,76,40.8,45,35,1,34,21,78,19,0
ENG,"DF,MF",21,1999,7.9,27,16,19,7,1,13,25,52.0,12,11,7,4,8,35,12,1
ENG,"FW,MF",19,2002,8.3,4,3,1,0,3,2,10,20.0,8,9,0,9,0,4,3,0
DOM,"DF,MF",24,1996,19.0,61,29,30,26,5,31,59,52.5,28,22,6,16,24,85,37,0
ENG,MF,25,1995,17.7,54,25,24,25,5,24,57,42.1,33,37,9,28,24,78,18,0
NOR,GK,20,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NOR,"MF,DF",17,2003,1.7,5,4,3,2,0,3,3,100.0,0,3,3,0,4,9,7,0
ENG,MF,18,2002,1.6,1,0,0,0,1,0,8,0.0,8,1,0,1,1,2,1,0
SCO,DF,29,1991,20.2,41,23,27,13,1,23,33,69.7,10,29,18,11,43,84,72,2
SCO,FW,20,2001,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG,DF,29,1991,25.2,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1
POL,MF,31,1990,23.0,47,25,18,23,6,25,66,37.9,41,22,4,18,11,58,20,0
NED,"DF,MF",21,1999,22.8,61,39,34,23,4,30,50,60.0,20,35,23,12,33,94,60,2
ENG,FW,27,1993,6.2,1,0,0,1,0,0,3,0.0,3,8,2,6,2,3,8,0
BRA,"FW,MF",24,1996,32.4,51,29,25,14,12,22,71,31.0,49,43,0,43,29,80,28,1
GER,"MF,DF",25,1996,17.5,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0
ESP,"MF,FW",30,1991,25.2,20,9,7,6,7,4,32,12.5,28,12,0,12,11,31,27,1
ENG,"MF,FW",19,2002,2.6,8,5,0,5,3,4,7,57.1,3,3,0,3,2,10,1,0
NIR,"DF,MF",30,1991,32.4,93,55,58,31,4,56,105,53.3,49,45,14,31,57,150,63,2
SCO,MF,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
WAL,"MF,FW",22,1999,11.0,16,7,6,7,3,9,16,56.3,7,11,1,10,5,21,11,0
NGA,"FW,MF",23,1997,16.1,32,14,10,13,9,10,28,35.7,18,19,1,18,10,42,4,0
ESP,"MF,FW",28,1993,4.9,4,2,0,3,1,0,13,0.0,13,11,1,10,2,6,5,0
FRA,MF,22,1999,12.2,19,13,10,8,1,8,17,47.1,9,13,1,12,14,33,18,0
GHA,DF,26,1994,23.6,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4
WAL,GK,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
BAN,"DF,MF",23,1997,3.2,9,3,4,4,1,3,5,60.0,2,0,0,0,12,21,10,0
ENG,"FW,MF",23,1997,23.3,31,16,9,11,11,7,23,30.4,16,24,1,23,5,36,7,0
ENG,DF,23,1998,11.1,22,13,11,8,3,7,15,46.7,8,16,4,12,17,39,34,0
ENG,"MF,FW",24,1996,27.3,40,20,8,24,8,14,46,30.4,32,18,3,15,11,51,12,0
ENG,FW,34,1987,20.1,6,5,0,4,2,1,7,14.3,6,9,0,9,1,7,17,0
DEN,DF,28,1992,6.3,15,10,12,3,0,8,15,53.3,7,10,8,2,7,22,36,0
NIR,DF,33,1988,15.0,24,14,14,8,2,14,22,63.6,8,17,13,4,20,44,59,0
IRL,FW,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
DEN,GK,34,1986,37.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,2
NGA,FW,24,1996,14.0,10,7,2,5,3,3,14,21.4,11,19,0,19,4,14,10,0
ENG,MF,22,1998,23.4,39,24,20,14,5,19,40,47.5,21,37,8,29,21,60,26,1
ENG,MF,20,2000,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG,DF,20,2001,21.2,50,31,33,13,4,28,65,43.1,37,35,14,21,40,90,55,0
ENG,"FW,DF",31,1989,12.6,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0
SEN,MF,29,1992,11.5,12,6,8,4,0,6,17,35.3,11,7,4,3,11,23,11,1
