nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
ESP,"FW,MF",29,1987,14.9,,27,,,,,,,,,,,14,,,
ESP,"DF,MF",26,1989,38.0,,66,,,,,,,,,,,71,,,
BRA,"DF,MF",29,1987,32.8,,27,,,,,,,,,,,69,,,
ESP,FW,27,1988,34.2,,11,,,,,,,,,,,9,,,
BEL,"FW,MF",25,1991,33.1,,14,,,,,,,,,,,28,,,
ENG,DF,30,1985,36.6,,41,,,,,,,,,,,48,,,
ENG,DF,35,1980,5.5,,2,,,,,,,,,,,5,,,
BRA,"FW,MF",20,1996,0.8,,0,,,,,,,,,,,2,,,
FRA,DF,21,1994,2.8,,6,,,,,,,,,,,5,,,
ESP,"DF,MF",25,1990,29.9,,38,,,,,,,,,,,43,,,
BEL,FW,22,1993,2.8,,2,,,,,,,,,,,2,,,
FRA,MF,25,1991,34.9,,84,,,,,,,,,,,83,,,
NED,"DF,MF",21,1995,1.1,,3,,,,,,,,,,,2,,,
ENG,"DF,MF",21,1994,1.9,,4,,,,,,,,,,,2,,,
SRB,MF,27,1988,29.9,,40,,,,,,,,,,,55,,,
NGA,"DF,MF",19,1996,0.3,,0,,,,,,,,,,,0,,,
BRA,"FW,MF",24,1991,5.1,,16,,,,,,,,,,,5,,,
ESP,"FW,MF",29,1987,23.8,,36,,,,,,,,,,,21,,,
ENG,MF,20,1996,0.4,,0,,,,,,,,,,,0,,,
BEL,GK,24,1992,36.0,,0,,,,,,,,,,,0,,,
NGA,"DF,FW",25,1990,27.6,,42,,,,,,,,,,,41,,,
BRA,"FW,MF",27,1988,17.0,,12,,,,,,,,,,,7,,,
ENG,"FW,MF",25,1991,28.0,,64,,,,,,,,,,,44,,,
MLI,"FW,MF",28,1988,1.6,,6,,,,,,,,,,,0,,,
BEL,FW,25,1990,34.8,,6,,,,,,,,,,,7,,,
ENG,"FW,MF",23,1993,4.6,,2,,,,,,,,,,,2,,,
IRL,DF,35,1981,22.4,,22,,,,,,,,,,,43,,,
ENG,FW,28,1987,1.8,,1,,,,,,,,,,,1,,,
SCO,MF,28,1987,22.2,,45,,,,,,,,,,,26,,,
ENG,"DF,MF",27,1989,21.9,,19,,,,,,,,,,,38,,,
ENG,MF,30,1986,34.3,,61,,,,,,,,,,,40,,,
GHA,"DF,FW",23,1992,11.1,,21,,,,,,,,,,,26,,,
WAL,MF,29,1987,12.9,,16,,,,,,,,,,,28,,,
ENG,"DF,MF",26,1989,38.0,,67,,,,,,,,,,,64,,,
BEL,FW,21,1995,0.1,,0,,,,,,,,,,,0,,,
ENG,MF,24,1991,0.6,,2,,,,,,,,,,,0,,,
KOR,"FW,MF",28,1988,5.2,,14,,,,,,,,,,,4,,,
FRA,FW,29,1987,1.5,,0,,,,,,,,,,,0,,,
SRB,MF,25,1991,13.6,,18,,,,,,,,,,,41,,,
FRA,DF,26,1990,7.6,,1,,,,,,,,,,,14,,,
ENG,"DF,MF",26,1990,23.6,,34,,,,,,,,,,,26,,,
FRA,MF,32,1984,3.0,,2,,,,,,,,,,,5,,,
AUS,MF,31,1984,1.0,,2,,,,,,,,,,,1,,,
SEN,DF,26,1990,3.0,,4,,,,,,,,,,,10,,,
NED,DF,25,1990,7.9,,5,,,,,,,,,,,14,,,
ENG,DF,29,1987,19.4,,11,,,,,,,,,,,32,,,
FRA,GK,31,1985,9.0,,0,,,,,,,,,,,0,,,
SLE,"FW,MF",20,1995,0.3,,0,,,,,,,,,,,0,,,
WAL,GK,29,1987,29.0,,2,,,,,,,,,,,1,,,
CIV,"FW,MF",23,1992,33.5,,56,,,,,,,,,,,34,,,
COD,"FW,MF",27,1989,0.3,,0,,,,,,,,,,,0,,,
FRA,MF,30,1986,23.6,,39,,,,,,,,,,,72,,,
ENG,DF,23,1992,2.1,,1,,,,,,,,,,,2,,,
ENG,"FW,MF",29,1987,5.7,,12,,,,,,,,,,,5,,,
