players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
29,38,,,,,,,,,,,,,,,,,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
27,38,,,,,,,,,,,,,,,,,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
27,38,,,,,,,,,,,,,,,,,/en/squads/943e8050/2016-2017/Burnley-Stats
24,38,,,,,,,,,,,,,,,,,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
31,38,,,,,,,,,,,,,,,,,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
27,38,,,,,,,,,,,,,,,,,/en/squads/d3fd31cc/2016-2017/Everton-Stats
28,38,,,,,,,,,,,,,,,,,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
25,38,,,,,,,,,,,,,,,,,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
23,38,,,,,,,,,,,,,,,,,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
25,38,,,,,,,,,,,,,,,,,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
31,38,,,,,,,,,,,,,,,,,/en/squads/19538871/2016-2017/Manchester-United-Stats
27,38,,,,,,,,,,,,,,,,,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
26,38,,,,,,,,,,,,,,,,,/en/squads/33c895d4/2016-2017/Southampton-Stats
26,38,,,,,,,,,,,,,,,,,/en/squads/17892952/2016-2017/Stoke-City-Stats
31,38,,,,,,,,,,,,,,,,,/en/squads/8ef52968/2016-2017/Sunderland-Stats
27,38,,,,,,,,,,,,,,,,,/en/squads/fb10988f/2016-2017/Swansea-City-Stats
24,38,,,,,,,,,,,,,,,,,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
