players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
31,34,,,,,,,446,,,,,,,,,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats
27,34,,,,,,,468,,,,,,,,,/en/squads/add600ae/2016-2017/Dortmund-Stats
26,34,,,,,,,518,,,,,,,,,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats
25,34,,,,,,,351,,,,,,,,,/en/squads/a486e511/2016-2017/Freiburg-Stats
24,34,,,,,,,396,,,,,,,,,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats
29,34,,,,,,,501,,,,,,,,,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats
26,34,,,,,,,426,,,,,,,,,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats
23,34,,,,,,,417,,,,,,,,,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats
22,34,,,,,,,559,,,,,,,,,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats
26,34,,,,,,,410,,,,,,,,,/en/squads/bc357bf7/2016-2017/Koln-Stats
24,34,,,,,,,407,,,,,,,,,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats
28,34,,,,,,,491,,,,,,,,,/en/squads/a224b06a/2016-2017/Mainz-05-Stats
23,34,,,,,,,429,,,,,,,,,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats
29,34,,,,,,,566,,,,,,,,,/en/squads/c539e393/2016-2017/Schalke-04-Stats
31,34,,,,,,,371,,,,,,,,,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats
31,34,,,,,,,548,,,,,,,,,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats
32,38,,,,,,,863,,,,,,,,,/en/squads/922493f3/2016-2017/Atalanta-Stats
28,38,,,,,,,627,,,,,,,,,/en/squads/1d8099f8/2016-2017/Bologna-Stats
34,38,,,,,,,553,,,,,,,,,/en/squads/c4260e09/2016-2017/Cagliari-Stats
29,38,,,,,,,722,,,,,,,,,/en/squads/cc919b35/2016-2017/Chievo-Stats
31,38,,,,,,,748,,,,,,,,,/en/squads/3074d7b1/2016-2017/Crotone-Stats
29,38,,,,,,,752,,,,,,,,,/en/squads/a3d88bd8/2016-2017/Empoli-Stats
30,38,,,,,,,833,,,,,,,,,/en/squads/421387cf/2016-2017/Fiorentina-Stats
33,38,,,,,,,917,,,,,,,,,/en/squads/658bf2de/2016-2017/Genoa-Stats
29,38,,,,,,,1212,,,,,,,,,/en/squads/d609edc0/2016-2017/Internazionale-Stats
27,38,,,,,,,786,,,,,,,,,/en/squads/e0652b02/2016-2017/Juventus-Stats
30,38,,,,,,,792,,,,,,,,,/en/squads/7213da33/2016-2017/Lazio-Stats
28,38,,,,,,,799,,,,,,,,,/en/squads/dc56fe14/2016-2017/Milan-Stats
26,38,,,,,,,790,,,,,,,,,/en/squads/d48ad4ff/2016-2017/Napoli-Stats
30,38,,,,,,,665,,,,,,,,,/en/squads/ee058a17/2016-2017/Palermo-Stats
34,38,,,,,,,661,,,,,,,,,/en/squads/b985784c/2016-2017/Pescara-Stats
22,38,,,,,,,916,,,,,,,,,/en/squads/cf74a709/2016-2017/Roma-Stats
24,38,,,,,,,782,,,,,,,,,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats
28,38,,,,,,,751,,,,,,,,,/en/squads/e2befd26/2016-2017/Sassuolo-Stats
29,38,,,,,,,750,,,,,,,,,/en/squads/105360fe/2016-2017/Torino-Stats
29,38,,,,,,,853,,,,,,,,,/en/squads/04eea015/2016-2017/Udinese-Stats
