players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Rec,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,,
32,49.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/281b0e73/2016-2017/Montpellier-Stats
27,43.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/e88fc6e5/2016-2017/Nancy-Stats
27,48.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/d7a486cd/2016-2017/Nantes-Stats
27,58.9,38,,,,,,,,,,,,,,,,,,,,,/en/squads/132ebc33/2016-2017/Nice-Stats
28,65.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats
31,52.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/b3072e00/2016-2017/Rennes-Stats
34,49.8,38,,,,,,,,,,,,,,,,,,,,,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats
30,45.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats
28,41.9,34,,,,,,,,,,,,,,,,,,,,,/en/squads/0cdc4311/2016-2017/Augsburg-Stats
22,69.0,34,,,,,,,,,,,,,,,,,,,,,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats
31,38.3,34,,,,,,,,,,,,,,,,,,,,,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats
27,62.0,34,,,,,,,,,,,,,,,,,,,,,/en/squads/add600ae/2016-2017/Dortmund-Stats
26,49.9,34,,,,,,,,,,,,,,,,,,,,,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats
25,46.7,34,,,,,,,,,,,,,,,,,,,,,/en/squads/a486e511/2016-2017/Freiburg-Stats
24,53.9,34,,,,,,,,,,,,,,,,,,,,,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats
29,43.8,34,,,,,,,,,,,,,,,,,,,,,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats
26,48.5,34,,,,,,,,,,,,,,,,,,,,,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats
23,56.2,34,,,,,,,,,,,,,,,,,,,,,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats
22,45.9,34,,,,,,,,,,,,,,,,,,,,,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats
26,43.4,34,,,,,,,,,,,,,,,,,,,,,/en/squads/bc357bf7/2016-2017/Koln-Stats
24,54.3,34,,,,,,,,,,,,,,,,,,,,,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats
28,46.0,34,,,,,,,,,,,,,,,,,,,,,/en/squads/a224b06a/2016-2017/Mainz-05-Stats
23,53.0,34,,,,,,,,,,,,,,,,,,,,,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats
29,51.8,34,,,,,,,,,,,,,,,,,,,,,/en/squads/c539e393/2016-2017/Schalke-04-Stats
31,44.6,34,,,,,,,,,,,,,,,,,,,,,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats
