players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
3,38,38,3420,38,44,1.16,167,123,79.6,23,6,9,13,34.2,10,10,0,0,0.0,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
3,38,38,3420,38,67,1.76,189,122,65.6,12,10,16,10,26.3,5,2,2,1,50.0,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2,38,38,3420,38,55,1.45,208,153,75.5,11,7,20,10,26.3,5,4,1,0,20.0,/en/squads/943e8050/2016-2017/Burnley-Stats
2,38,38,3420,38,33,0.87,105,72,70.5,30,3,5,16,42.1,2,2,0,0,0.0,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2,38,38,3420,38,63,1.66,176,113,65.3,12,5,21,7,18.4,2,2,0,0,0.0,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2,38,38,3420,38,44,1.16,148,104,72.3,17,10,11,13,34.2,5,3,1,1,25.0,/en/squads/d3fd31cc/2016-2017/Everton-Stats
2,38,38,3420,38,80,2.11,214,134,67.8,9,7,22,5,13.2,14,11,2,1,15.4,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2,38,38,3420,38,63,1.66,190,127,68.4,12,8,18,9,23.7,3,3,0,0,0.0,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2,38,38,3420,38,42,1.11,114,72,65.8,22,10,6,12,31.6,5,3,2,0,40.0,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2,38,38,3420,38,39,1.03,105,66,64.8,23,9,6,12,31.6,5,2,1,2,33.3,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
3,38,38,3420,38,29,0.76,116,87,78.4,18,15,5,17,44.7,5,4,1,0,20.0,/en/squads/19538871/2016-2017/Manchester-United-Stats
2,38,38,3420,38,53,1.39,171,118,71.3,5,13,20,11,28.9,5,4,0,1,0.0,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
1,38,38,3420,38,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3,/en/squads/33c895d4/2016-2017/Southampton-Stats
3,38,38,3420,38,56,1.47,180,124,69.4,11,11,16,11,28.9,2,1,1,0,50.0,/en/squads/17892952/2016-2017/Stoke-City-Stats
2,38,38,3420,38,69,1.82,248,179,73.8,6,6,26,6,15.8,4,4,0,0,0.0,/en/squads/8ef52968/2016-2017/Sunderland-Stats
2,38,38,3420,38,70,1.84,179,109,64.2,12,5,21,8,21.1,8,6,1,1,14.3,/en/squads/fb10988f/2016-2017/Swansea-City-Stats
2,38,38,3420,38,26,0.68,110,84,78.2,26,8,4,17,44.7,2,2,0,0,0.0,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2,38,38,3420,38,68,1.79,187,119,65.2,11,7,20,7,18.4,4,3,1,0,25.0,/en/squads/2abfe087/2016-2017/Watford-Stats
