playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
31,6,1.0,,61630,Marco Grüll,Marco,Grüll,1998-07-06,Austria,Midfield,,,2024-06-12T17:56:51Z,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,Franz-Böhmert-Str. 1c Bremen 28205,http://www.werder.de,1899,Green / White,Weserstadion,2024-07-29T17:13:29Z,BL1,Bundesliga,2024
25,6,1.0,,109649,Morgan Guilavogui,Morgan,Guilavogui,1998-03-10,Guinea,Right Winger,,,2024-10-10T09:41:20Z,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,Auf dem Heiligengeistfeld Hamburg 20359,http://www.fcstpauli.de,1910,Brown / White,Millerntor-Stadion,2022-07-12T12:08:57Z,BL1,Bundesliga,2024
33,6,4.0,,9501,Lucas Höler,Lucas,Höler,1994-07-10,Germany,Centre-Forward,,,2024-08-12T11:57:09Z,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,Schwarzwaldstraße 193 Freiburg 79117,http://www.scfreiburg.com,1912,Red / White,Schwarzwald-Stadion,2024-07-29T17:13:41Z,BL1,Bundesliga,2024
24,6,4.0,1.0,6839,Steven Skrzybski,Steven,Skrzybski,1992-11-18,Germany,Attacking Midfield,,,2024-08-12T11:57:09Z,720,Holstein Kiel,Holstein Kiel,KSV,https://crests.football-data.org/720.png,Steenbeker Weg 150 Kiel 24106,http://www.holstein-kiel.de,1844,Blue / Red / White,Holstein-Stadion,2022-05-30T07:15:34Z,BL1,Bundesliga,2024
31,5,1.0,,9473,Lukas Kübler,Lukas,Kübler,1992-08-30,Germany,Right-Back,,,2024-08-12T11:57:09Z,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,Schwarzwaldstraße 193 Freiburg 79117,http://www.scfreiburg.com,1912,Red / White,Schwarzwald-Stadion,2024-07-29T17:13:41Z,BL1,Bundesliga,2024
34,5,5.0,,128954,Jeremie Frimpong,Jeremie,Frimpong,2000-12-10,Netherlands,Right Midfield,,30.0,2024-08-29T15:38:43Z,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,Bismarckstr. 122-124 Leverkusen 51373,http://www.bayer04.de,1904,Red / White / Black,BayArena,2022-02-25T16:43:07Z,BL1,Bundesliga,2024
33,5,2.0,,119385,Armin Gigovic,Armin,Gigović,2002-04-06,Bosnia-Herzegovina,Midfield,,8.0,2024-08-01T09:41:06Z,720,Holstein Kiel,Holstein Kiel,KSV,https://crests.football-data.org/720.png,Steenbeker Weg 150 Kiel 24106,http://www.holstein-kiel.de,1844,Blue / Red / White,Holstein-Stadion,2022-05-30T07:15:34Z,BL1,Bundesliga,2024
30,5,3.0,,30302,Matúš Bero,Matúš,Bero,1995-09-06,Slovakia,Central Midfield,,,2024-08-12T11:57:09Z,36,VfL Bochum 1848,Bochum,BOC,https://crests.football-data.org/36.png,Castroper Straße 145 Bochum 44791,http://www.vfl-bochum.de,1849,Blue / White,Vonovia Ruhrstadion,2022-02-19T08:39:46Z,BL1,Bundesliga,2024
33,5,1.0,,145057,Tiago Tomás,,Tiago Tomás,2002-06-16,Portugal,Centre-Forward,,,2024-08-12T11:57:09Z,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,In den Allerwiesen 1 Wolfsburg 38446,http://www.vfl-wolfsburg.de,1945,Green / White,Volkswagen Arena,2024-07-29T17:13:21Z,BL1,Bundesliga,2024
26,5,,,9537,Willi Orban,Willi,Orbán,1992-11-03,Hungary,Centre-Back,,,2024-08-12T11:57:09Z,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,Neumarkt 29-33 Leipzig 04109,http://www.dierotenbullen.com,2009,White / Red,Red Bull Arena,2022-02-19T09:03:00Z,BL1,Bundesliga,2024
