nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
FRA,GK,22,1999,13.0,29,2,0,5,2,20.4,0.27,-6.6,-0.51,75,198,37.9,373,55,36.5,33.1,111,55.9,41.0,191,10,5.2,40,3.08,17.6
NED,GK,30,1991,38.0,57,4,0,8,2,51.0,0.28,-4.0,-0.1,290,624,46.5,877,205,43.1,37.4,328,75.0,53.1,541,16,3.0,34,0.89,14.1
FRA,GK,27,1994,14.5,33,3,0,3,1,22.3,0.3,-9.7,-0.67,32,133,24.1,302,53,28.8,30.2,112,41.1,33.8,159,5,3.1,4,0.28,10.6
GNB,GK,23,1998,23.5,36,2,0,7,2,28.2,0.27,-5.8,-0.24,92,302,30.5,584,107,36.6,33.7,154,57.1,40.5,304,23,7.6,28,1.19,14.2
FRA,GK,35,1985,25.7,33,3,1,2,0,31.8,0.29,-1.2,-0.05,108,259,41.7,535,133,35.3,31.3,199,35.2,33.1,293,19,6.5,24,0.93,14.1
VEN,GK,23,1998,12.3,15,1,0,1,0,13.1,0.28,-1.9,-0.15,25,82,30.5,221,61,30.3,30.6,82,18.3,24.4,159,15,9.4,21,1.71,16.6
CRO,GK,25,1996,21.0,28,2,1,5,1,23.2,0.25,-3.8,-0.18,97,267,36.3,419,87,41.5,35.2,166,56.0,43.5,310,16,5.2,13,0.62,11.7
BRA,GK,26,1995,17.0,20,4,0,3,1,15.9,0.19,-3.1,-0.18,65,214,30.4,310,69,42.9,35.1,125,64.8,47.3,212,8,3.8,22,1.29,17.1
FRA,GK,32,1989,16.0,25,1,0,1,0,19.3,0.32,-5.7,-0.36,67,203,33.0,282,46,38.3,36.3,133,71.4,48.9,223,5,2.2,10,0.63,15.4
FRA,GK,27,1994,22.0,38,4,4,3,3,30.5,0.3,-4.5,-0.2,71,296,24.0,357,78,45.7,38.5,177,75.1,56.0,345,4,1.2,15,0.68,13.1
POR,GK,30,1990,33.1,45,3,1,8,3,42.7,0.26,0.7,0.02,113,263,43.0,910,160,23.0,29.3,219,24.7,31.4,412,17,4.1,28,0.85,14.6
GER,GK,26,1994,4.8,6,4,0,1,0,7.5,0.14,1.5,0.31,13,35,37.1,140,25,20.0,27.1,34,20.6,27.0,47,1,2.1,7,1.44,17.4
ESP,GK,26,1994,29.0,31,4,0,5,0,29.9,0.32,-1.1,-0.04,79,248,31.9,1166,145,16.8,25.8,167,31.1,33.4,271,19,7.0,46,1.59,17.8
FRA,GK,36,1985,9.0,7,0,0,3,1,6.7,0.26,0.7,0.08,40,104,38.5,332,37,23.5,28.0,67,38.8,34.4,135,6,4.4,21,2.33,19.1
ALG,GK,33,1988,20.8,39,3,1,2,2,29.8,0.3,-7.2,-0.35,131,335,39.1,431,137,48.0,39.7,167,76.6,54.9,319,39,12.2,42,2.02,14.8
FRA,GK,27,1994,17.1,30,2,0,7,0,27.5,0.3,-2.5,-0.15,103,276,37.3,286,87,44.8,38.9,168,88.1,58.5,263,10,3.8,13,0.76,12.8
GER,GK,24,1996,38.0,40,8,0,5,3,41.5,0.24,4.5,0.12,160,415,38.6,839,173,31.9,32.5,280,52.5,42.5,427,23,5.4,46,1.21,17.1
COD,GK,23,1998,9.3,20,2,1,1,0,16.0,0.25,-4.0,-0.43,46,129,35.7,226,55,38.5,33.8,86,48.8,38.5,128,8,6.3,4,0.43,11.7
SUI,GK,27,1994,28.7,41,3,0,1,1,44.5,0.26,4.5,0.15,134,332,40.4,808,179,27.4,30.3,262,42.4,37.0,466,37,7.9,27,0.94,13.5
FRA,GK,22,1999,38.0,48,4,0,6,1,52.4,0.3,5.4,0.14,206,607,33.9,824,137,46.2,39.2,288,78.5,55.5,491,27,5.5,56,1.47,14.9
POL,GK,21,1999,1.0,1,0,0,0,0,1.7,0.35,0.7,0.73,1,3,33.3,17,6,11.8,19.2,7,14.3,24.9,14,1,7.1,1,1.0,22.5
ARG,GK,28,1993,37.0,35,4,1,1,0,42.6,0.27,7.6,0.21,145,378,38.4,774,169,30.2,30.5,260,55.4,43.0,503,31,6.2,33,0.89,13.6
FRA,GK,30,1990,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,0,,2,0,0.0,22.0,1,0.0,34.0,1,0,0.0,0,0.0,
ITA,GK,22,1999,17.0,17,1,0,3,1,17.5,0.27,1.5,0.09,20,47,42.6,374,108,8.8,22.0,95,14.7,21.7,176,11,6.3,34,2.0,18.4
CRC,GK,34,1986,20.6,18,2,0,2,0,18.3,0.21,0.3,0.01,23,58,39.7,415,100,11.3,24.5,132,8.3,22.2,239,5,2.1,20,0.97,16.3
ESP,GK,27,1993,0.3,1,0,0,0,0,0.2,0.06,-0.8,-3.23,0,1,0.0,7,1,14.3,31.4,0,,,5,0,0.0,2,7.83,23.5
SRB,GK,25,1995,38.0,44,5,2,8,0,42.9,0.24,-1.1,-0.03,151,479,31.5,975,217,35.5,34.7,285,46.7,38.8,645,37,5.7,53,1.39,14.8
SEN,GK,27,1993,25.0,25,4,0,4,1,23.9,0.33,-0.1,0.0,130,304,42.8,627,119,32.1,31.4,151,68.2,49.5,362,17,4.7,31,1.24,16.1
TUR,GK,18,2002,12.0,13,1,0,1,0,12.3,0.29,-0.7,-0.06,54,147,36.7,321,54,27.4,30.3,70,84.3,54.9,146,8,5.5,24,2.0,19.1
FRA,GK,37,1984,1.0,2,0,0,0,0,1.5,0.49,-0.5,-0.53,4,7,57.1,30,8,23.3,31.2,3,0.0,14.3,11,0,0.0,1,1.0,21.5
ENG,GK,21,2000,13.3,27,1,1,1,2,23.9,0.34,-1.1,-0.08,64,166,38.6,290,64,34.8,34.4,110,59.1,46.6,173,6,3.5,14,1.05,14.1
FRA,GK,24,1997,19.0,37,5,1,5,2,31.4,0.29,-3.6,-0.19,87,304,28.6,443,119,46.5,37.0,136,72.1,49.3,198,19,9.6,56,2.95,18.9
FRA,GK,19,2001,5.7,13,2,1,0,0,13.2,0.39,0.2,0.04,28,75,37.3,141,40,34.0,31.6,44,61.4,46.3,82,4,4.9,11,1.94,17.1
JPN,GK,38,1983,1.0,0,0,0,0,0,0.1,0.07,0.1,0.07,3,6,50.0,23,5,13.0,26.0,7,42.9,31.7,12,2,16.7,0,0.0,12.0
BEL,GK,29,1992,37.0,43,4,0,5,1,35.0,0.24,-7.0,-0.19,164,401,40.9,718,145,39.1,34.3,239,50.2,40.6,476,13,2.7,39,1.05,13.7
FRA,GK,28,1993,31.0,45,8,1,7,2,45.3,0.28,2.3,0.07,183,452,40.5,814,159,38.9,34.7,246,54.9,40.1,411,19,4.6,25,0.81,14.5
FRA,GK,35,1986,7.0,8,2,1,1,0,7.8,0.25,-0.2,-0.02,32,97,33.0,164,40,37.8,35.7,75,46.7,37.7,109,11,10.1,9,1.29,11.4
FRA,GK,33,1989,31.1,60,8,1,10,1,47.7,0.3,-11.3,-0.36,213,522,40.8,657,77,52.4,38.5,212,84.0,52.1,389,18,4.6,54,1.74,16.9
FRA,GK,28,1994,6.0,14,1,0,1,1,9.1,0.34,-3.9,-0.65,19,87,21.8,102,11,56.9,40.7,40,72.5,48.2,93,6,6.5,6,1.0,11.5
FRA,GK,19,2002,0.9,0,0,0,0,0,0.8,0.24,0.8,0.93,6,24,25.0,26,2,61.5,43.8,8,100.0,61.0,25,2,8.0,0,0.0,7.5
FRA,GK,25,1997,27.0,62,8,1,6,3,51.4,0.31,-7.6,-0.28,94,291,32.3,479,124,39.5,34.6,185,55.1,42.6,357,21,5.9,18,0.67,11.4
CIV,GK,21,2000,11.0,19,1,0,3,1,16.4,0.27,-1.6,-0.14,33,125,26.4,256,70,35.2,33.6,69,50.7,41.7,143,17,11.9,9,0.82,11.8
FRA,GK,35,1987,19.0,41,3,0,3,0,34.0,0.33,-7.0,-0.37,132,292,45.2,454,72,41.9,36.8,137,74.5,51.7,285,3,1.1,11,0.58,13.1
GUF,GK,29,1992,2.0,2,1,0,0,0,1.9,0.13,-0.1,-0.03,19,57,33.3,55,8,63.6,46.4,24,91.7,66.1,41,0,0.0,2,1.0,12.9
ROU,GK,25,1997,17.0,20,0,0,0,1,21.9,0.27,2.9,0.17,117,349,33.5,469,65,52.9,41.3,128,78.9,53.1,273,14,5.1,13,0.76,12.7
ARG,GK,21,2001,1.0,0,0,0,0,0,0.2,0.06,0.2,0.17,8,13,61.5,18,3,61.1,45.7,11,18.2,26.3,11,2,18.2,0,0.0,3.5
NED,GK,31,1991,37.0,54,7,1,11,2,54.9,0.26,2.9,0.08,198,477,41.5,806,163,38.2,35.5,289,58.5,43.9,520,30,5.8,25,0.68,11.6
SEN,GK,29,1993,37.0,47,8,0,5,0,55.4,0.28,8.4,0.23,235,601,39.1,1209,173,40.0,37.0,255,45.9,40.4,464,34,7.3,25,0.68,11.5
GNB,GK,24,1998,1.0,2,0,0,0,0,1.0,0.34,-1.0,-0.97,3,17,17.6,30,4,40.0,33.6,10,50.0,31.7,14,1,7.1,5,5.0,21.3
FRA,GK,28,1994,37.0,28,3,0,6,1,32.4,0.24,5.4,0.15,174,435,40.0,1075,140,35.5,33.3,160,33.1,32.7,384,34,8.9,41,1.11,15.4
