nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
FRA,GK,29,1994,33.0,35,6,0,6,1,42.3,0.27,8.3,0.25,163,369,44.2,948,143,31.8,31.5,170,40.0,33.5,388,32,8.2,39,1.18,14.8
FRA,GK,37,1985,1.0,2,0,0,0,0,1.0,0.49,-1.0,-1.03,1,10,10.0,22,5,31.8,29.0,4,75.0,60.5,8,0,0.0,0,0.0,9.8
FRA,GK,21,2001,33.0,32,3,0,2,2,35.7,0.26,5.7,0.17,101,344,29.4,1059,121,26.5,29.6,123,51.2,44.5,388,25,6.4,28,0.85,12.7
ITA,GK,35,1988,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,5,16,31.3,37,1,40.5,35.9,1,100.0,61.0,11,2,18.2,4,3.96,15.0
SUI,GK,29,1994,34.0,66,8,1,8,1,64.0,0.28,-1.0,-0.03,139,378,36.8,921,162,29.1,31.4,228,48.2,38.8,591,24,4.1,13,0.38,8.9
POR,GK,32,1990,31.0,49,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,438,36,8.2,28,0.9,12.4
FRA,GK,35,1987,3.0,6,0,1,0,0,4.7,0.33,-1.3,-0.44,5,24,20.8,81,13,16.0,26.1,23,47.8,39.0,32,3,9.4,3,1.0,13.4
ESP,GK,28,1994,32.7,39,3,1,7,1,32.6,0.24,-5.4,-0.17,93,325,28.6,1044,113,24.8,29.4,149,44.3,37.3,406,15,3.7,25,0.77,13.9
ESP,GK,28,1995,1.3,2,0,0,0,0,1.3,0.21,-0.7,-0.55,5,12,41.7,41,6,26.8,28.4,10,10.0,27.0,24,4,16.7,1,0.74,10.4
ALG,GK,35,1988,33.2,57,6,1,7,0,52.3,0.26,-4.7,-0.14,209,666,31.4,708,125,57.3,42.4,292,89.0,59.0,569,46,8.1,22,0.66,10.3
FRA,GK,22,2001,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100.0,63.0,14,1,7.1,0,0.0,3.0
SUI,GK,25,1998,22.0,32,5,1,6,1,32.0,0.27,1.0,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3
POL,GK,23,1999,12.0,10,0,0,0,1,14.7,0.29,5.7,0.47,39,121,32.2,296,68,31.1,32.0,80,36.3,33.4,160,13,8.1,7,0.58,11.0
FRA,GK,32,1991,30.0,37,4,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5
COD,GK,25,1998,4.0,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38.0,23,47.8,42.5,56,3,5.4,0,0.0,9.6
FRA,GK,24,1999,27.7,43,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34.0,166,60.8,46.9,385,33,8.6,33,1.19,13.0
SRB,GK,35,1988,0.3,1,0,0,1,0,0.3,0.28,-0.7,-2.71,1,2,50.0,7,2,28.6,30.7,0,,,4,0,0.0,0,0.0,
FRA,GK,27,1996,6.0,11,1,0,0,0,12.5,0.35,1.5,0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,116,8,6.9,0,0.0,7.8
POL,GK,23,1999,34.0,29,5,0,1,1,30.7,0.22,2.7,0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,376,32,8.5,21,0.62,12.2
ESP,GK,22,2001,5.9,7,0,0,2,0,6.0,0.24,-1.0,-0.17,14,46,30.4,174,19,23.0,29.6,37,16.2,27.1,71,2,2.8,5,0.85,14.8
ITA,GK,24,1999,24.1,20,3,0,2,0,30.4,0.25,10.4,0.43,36,94,38.3,641,113,11.4,24.2,131,16.0,23.0,294,15,5.1,23,0.95,13.2
CRC,GK,36,1986,4.0,6,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10.0,23.5,18,5.6,22.2,37,0,0.0,5,1.25,16.3
FRA,GK,23,1999,34.0,47,6,1,4,1,42.7,0.27,-3.3,-0.1,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2
FRA,GK,38,1985,34.0,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8.0,37,1.09,15.1
MAR,GK,21,2002,15.0,26,3,0,1,1,19.9,0.25,-5.1,-0.34,56,183,30.6,440,57,36.4,34.4,61,37.7,36.0,203,19,9.4,21,1.4,13.4
BEL,GK,31,1992,19.0,24,1,0,2,2,19.8,0.31,-2.2,-0.12,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1.0,13.9
FRA,GK,18,2005,34.0,46,4,2,6,0,45.3,0.3,-0.7,-0.02,92,285,32.3,702,93,27.4,29.3,193,48.2,38.9,490,7,1.4,16,0.47,10.7
GER,GK,29,1987,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
SUI,GK,28,1987,32.0,50,4,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,30,1986,26.0,13,0,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,27,1988,5.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,35,1981,3.0,5,1,,,,,,,,,,,,,,,,,,,,,,,
POR,GK,23,1992,6.4,13,1,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,28,1987,27.6,50,5,,,,,,,,,,,,,,,,,,,,,,,
SUI,GK,25,1990,27.0,29,2,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,35,1980,7.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
AUT,GK,26,1990,1.9,3,0,,,,,,,,,,,,,,,,,,,,,,,
FIN,GK,26,1989,32.0,40,3,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,24,1992,34.0,60,4,,,,,,,,,,,,,,,,,,,,,,,
SUI,GK,27,1988,34.0,49,4,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,24,1992,14.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,31,1985,19.0,38,3,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,27,1989,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
NOR,GK,31,1984,34.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,26,1990,34.0,37,1,,,,,,,,,,,,,,,,,,,,,,,
DEN,GK,26,1990,22.6,34,5,,,,,,,,,,,,,,,,,,,,,,,
NOR,GK,25,1990,11.4,23,2,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,20,1996,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,30,1986,13.0,18,1,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,23,1993,20.0,24,3,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,24,1992,34.0,55,3,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,22,1994,7.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
DEN,GK,27,1989,27.0,46,3,,,,,,,,,,,,,,,,,,,,,,,
SUI,GK,35,1980,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
HUN,GK,26,1990,33.0,39,3,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,27,1988,34.0,40,6,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,26,1990,24.5,49,6,,,,,,,,,,,,,,,,,,,,,,,
CZE,GK,36,1979,9.4,15,2,,,,,,,,,,,,,,,,,,,,,,,
SUI,GK,32,1983,14.0,22,2,,,,,,,,,,,,,,,,,,,,,,,
BEL,GK,24,1992,20.0,30,0,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,30,1987,2.0,4,1,0,0,0,3.5,0.35,-0.5,-0.26,10,26,38.5,65,12,32.3,32.1,14,35.7,35.4,31,5,16.1,1,0.5,6.6
SUI,GK,29,1987,32.0,42,1,2,11,0,42.0,0.26,0.0,0.0,264,552,47.8,881,150,45.1,37.8,267,58.1,44.6,440,29,6.6,17,0.53,12.5
GER,GK,31,1986,3.0,2,0,0,0,0,2.6,0.38,0.6,0.21,12,23,52.2,78,11,25.6,31.8,17,17.6,31.6,15,1,6.7,4,1.33,15.1
GER,GK,28,1988,29.0,26,1,1,2,3,25.3,0.26,2.3,0.08,137,328,41.8,795,141,33.1,32.5,153,42.5,39.8,247,15,6.1,37,1.28,15.4
GER,GK,36,1981,2.0,0,0,0,0,0,0.7,0.17,0.7,0.34,4,18,22.2,48,9,27.1,31.9,9,55.6,42.7,18,1,5.6,1,0.5,20.3
SUI,GK,26,1990,33.0,43,3,2,3,0,45.5,0.3,2.5,0.08,163,481,33.9,1050,185,31.7,32.4,237,62.4,49.7,404,40,9.9,38,1.15,14.0
GER,GK,36,1980,1.0,4,0,0,1,0,1.5,0.22,-2.5,-2.43,3,25,12.0,33,0,54.5,38.1,8,87.5,56.4,15,1,6.7,1,0.99,12.8
FIN,GK,27,1989,34.0,45,2,2,7,2,41.3,0.3,-1.7,-0.05,271,662,40.9,1058,164,45.0,37.2,241,77.2,56.1,483,46,9.5,59,1.74,15.2
GER,GK,25,1992,32.3,53,4,1,7,4,41.4,0.25,-7.6,-0.24,313,779,40.2,1041,123,49.1,40.8,307,87.3,63.1,529,28,5.3,22,0.68,14.2
POL,GK,29,1987,1.7,3,0,0,0,0,1.5,0.21,-1.5,-0.89,28,57,49.1,52,7,67.3,48.9,23,95.7,66.2,41,2,4.9,1,0.58,14.5
GER,GK,29,1988,4.8,10,0,0,0,0,10.2,0.45,0.2,0.05,31,88,35.2,153,15,41.2,37.1,34,73.5,53.3,63,3,4.8,5,1.04,14.8
SUI,GK,28,1988,29.2,42,4,0,6,1,39.3,0.24,-1.7,-0.06,178,482,36.9,1009,143,33.7,33.3,246,57.7,44.7,524,42,8.0,22,0.75,11.6
GER,GK,25,1992,24.0,38,3,0,4,1,36.8,0.36,-0.2,-0.01,135,409,33.0,506,79,51.4,40.6,199,74.9,55.8,332,20,6.0,18,0.75,14.8
GER,GK,22,1994,10.0,15,0,1,1,0,15.5,0.34,0.5,0.05,51,168,30.4,480,49,29.6,32.7,65,40.0,40.8,114,16,14.0,15,1.5,15.2
GER,GK,29,1987,3.0,9,0,0,0,0,6.8,0.34,-2.2,-0.73,23,51,45.1,97,20,41.2,35.0,25,44.0,39.5,55,8,14.5,3,1.0,12.6
GER,GK,31,1985,31.0,45,2,1,11,0,42.1,0.26,-2.9,-0.09,230,518,44.4,875,161,43.0,35.1,275,51.6,40.5,508,24,4.7,20,0.65,12.4
NOR,GK,32,1984,31.0,44,5,0,7,1,35.8,0.22,-7.2,-0.23,286,761,37.6,882,101,61.5,44.0,249,88.0,57.9,483,37,7.7,15,0.48,11.9
GER,GK,29,1988,3.0,2,1,0,0,0,3.5,0.18,1.5,0.51,30,79,38.0,108,5,59.3,41.5,28,53.6,44.2,39,0,0.0,4,1.33,18.2
GER,GK,27,1990,34.0,48,3,1,9,2,42.6,0.27,-3.4,-0.1,223,590,37.8,1181,179,36.2,33.4,261,62.5,47.9,480,37,7.7,28,0.82,12.5
GER,GK,24,1993,34.0,70,8,0,7,0,66.5,0.29,-3.5,-0.1,302,746,40.5,787,84,62.9,44.1,299,83.9,57.3,592,25,4.2,31,0.91,13.7
GER,GK,25,1992,33.0,40,5,2,3,0,35.2,0.28,-4.8,-0.15,194,536,36.2,995,134,39.5,35.0,250,57.2,46.1,366,29,7.9,34,1.03,14.4
AUT,GK,33,1984,1.0,4,0,0,0,0,4.1,0.39,0.1,0.09,3,10,30.0,33,6,30.3,31.0,6,0.0,27.0,14,0,0.0,1,1.0,17.0
GER,GK,19,1997,5.0,7,0,0,2,0,6.6,0.27,-0.4,-0.08,21,85,24.7,116,25,42.2,38.0,41,87.8,56.6,81,1,1.2,4,0.8,15.3
GER,GK,32,1985,14.0,18,1,0,5,0,14.0,0.25,-4.0,-0.29,78,216,36.1,322,55,39.1,36.3,117,76.9,54.9,209,19,9.1,22,1.57,15.4
GER,GK,22,1994,15.0,27,4,1,3,1,21.3,0.26,-4.7,-0.31,100,279,35.8,386,75,47.9,38.7,126,74.6,54.8,211,11,5.2,19,1.27,14.3
HUN,GK,27,1990,33.0,52,5,0,8,0,47.1,0.29,-4.9,-0.15,223,545,40.9,895,152,43.8,36.0,206,74.3,50.6,440,36,8.2,33,1.0,13.9
SUI,GK,23,1994,1.0,1,0,0,0,0,1.1,0.28,0.1,0.12,11,18,61.1,35,6,40.0,32.7,7,57.1,47.6,11,0,0.0,2,2.0,15.3
GER,GK,20,1996,0.5,0,0,0,0,0,0.3,0.14,0.3,0.55,5,13,38.5,13,3,46.2,39.2,9,77.8,52.4,7,0,0.0,1,2.0,30.0
GER,GK,28,1988,33.5,37,3,1,3,1,35.3,0.25,-0.7,-0.02,190,476,39.9,714,126,45.7,38.3,236,63.6,47.4,456,53,11.6,18,0.54,10.9
GER,GK,28,1989,34.0,36,4,2,2,0,40.7,0.24,4.7,0.14,296,834,35.5,1029,123,57.2,42.8,300,81.7,59.0,547,34,6.2,37,1.09,13.6
CZE,GK,25,1992,34.0,40,2,0,6,2,42.0,0.25,4.0,0.12,234,576,40.6,915,185,44.7,38.6,256,65.2,49.6,482,27,5.6,17,0.5,10.7
BEL,GK,25,1992,34.0,48,6,1,4,2,50.4,0.28,4.4,0.13,248,654,37.9,1043,210,44.2,38.0,288,67.0,52.0,522,57,10.9,30,0.88,12.1
GER,GK,31,1987,14.6,22,0,1,2,1,20.7,0.27,-0.3,-0.02,76,209,36.4,353,56,42.8,36.9,128,45.3,38.1,200,3,1.5,9,0.62,13.7
GER,GK,28,1990,4.0,7,0,0,1,0,5.5,0.29,-1.5,-0.38,28,61,45.9,88,16,48.9,39.3,29,62.1,47.7,54,3,5.6,1,0.25,10.1
SUI,GK,20,1997,15.4,42,1,1,5,1,34.6,0.36,-6.4,-0.42,74,221,33.5,407,71,38.1,33.4,119,55.5,45.7,216,10,4.6,16,1.04,14.6
GER,GK,32,1986,25.6,23,3,0,2,1,19.8,0.31,-2.2,-0.08,92,210,43.8,794,114,23.8,28.8,128,16.4,31.3,188,10,5.3,44,1.72,20.6
GER,GK,29,1988,8.4,9,2,1,1,0,9.9,0.35,0.9,0.11,18,51,35.3,218,56,20.6,26.6,37,16.2,29.5,61,0,0.0,8,0.95,17.5
SUI,GK,30,1987,2.0,4,0,0,1,0,2.4,0.4,-1.6,-0.79,6,19,31.6,51,6,25.5,31.0,13,46.2,43.1,33,1,3.0,2,1.0,12.0
SUI,GK,27,1990,32.0,40,4,1,6,0,39.0,0.28,-1.0,-0.03,140,428,32.7,852,171,33.3,32.9,222,64.9,48.7,425,18,4.2,36,1.13,15.1
CZE,GK,38,1979,2.0,3,0,0,0,0,2.6,0.32,-0.4,-0.19,10,19,52.6,27,5,51.9,39.4,10,50.0,39.5,16,3,18.8,3,1.5,16.3
GER,GK,34,1984,32.0,62,7,1,7,0,54.3,0.3,-7.7,-0.24,223,563,39.6,688,147,43.2,36.7,318,83.6,54.9,537,27,5.0,3,0.09,9.2
DEN,GK,25,1992,1.4,0,0,0,0,0,0.7,0.1,0.7,0.52,20,40,50.0,42,3,66.7,44.6,13,92.3,59.9,16,1,6.3,0,0.0,9.0
GER,GK,28,1990,32.6,48,1,1,5,1,43.4,0.28,-3.6,-0.11,330,705,46.8,982,104,53.1,38.3,222,82.9,56.6,441,19,4.3,37,1.13,15.4
GER,GK,26,1992,33.0,60,7,0,11,0,57.2,0.31,-2.8,-0.09,258,636,40.6,940,142,39.8,36.7,330,79.4,59.4,545,13,2.4,29,0.88,14.8
NED,GK,25,1993,1.0,1,0,0,0,0,0.9,0.18,-0.1,-0.11,5,11,45.5,24,1,37.5,38.1,5,40.0,44.6,7,0,0.0,0,0.0,15.5
SUI,GK,29,1988,34.0,42,3,0,3,0,48.2,0.3,6.2,0.18,174,465,37.4,1338,190,26.3,30.5,264,42.8,40.0,458,26,5.7,33,0.97,13.8
GER,GK,30,1987,32.0,66,5,1,10,1,60.8,0.26,-4.2,-0.13,299,609,49.1,943,144,46.2,36.9,295,58.6,43.3,551,24,4.4,38,1.19,14.6
GER,GK,32,1985,1.0,3,1,0,0,0,3.0,0.33,0.0,-0.04,2,9,22.2,21,3,33.3,32.0,7,28.6,29.3,10,1,10.0,0,0.0,3.0
AUT,GK,25,1992,1.0,2,0,0,0,0,1.3,0.36,-0.7,-0.66,9,15,60.0,18,3,44.4,38.3,8,87.5,58.0,8,1,12.5,4,4.0,20.7
NOR,GK,33,1984,30.5,48,2,1,6,2,45.3,0.3,-0.7,-0.02,329,755,43.6,874,97,58.1,40.8,279,88.5,57.7,496,31,6.3,29,0.95,14.2
GER,GK,30,1988,3.5,9,2,0,0,0,6.8,0.32,-2.2,-0.62,40,81,49.4,93,7,58.1,38.8,30,90.0,56.1,40,2,5.0,1,0.29,13.3
SUI,GK,20,1997,1.0,1,1,0,0,0,1.6,0.1,0.6,0.62,14,27,51.9,37,3,59.5,44.6,5,100.0,64.4,21,1,4.8,2,2.0,15.5
GER,GK,28,1990,33.0,51,6,1,4,1,47.5,0.26,-2.5,-0.08,164,397,41.3,1036,191,28.8,29.3,248,39.9,39.4,441,14,3.2,58,1.76,18.0
FIN,GK,28,1989,32.0,47,3,2,9,2,38.2,0.27,-6.8,-0.21,199,438,45.4,1160,162,29.1,31.8,193,52.3,41.6,401,10,2.5,51,1.59,18.5
AUT,GK,34,1984,2.0,5,1,0,1,1,4.9,0.24,0.9,0.43,12,38,31.6,54,7,53.7,40.5,14,64.3,47.8,23,1,4.3,2,1.0,10.9
GER,GK,20,1997,24.0,43,3,0,6,0,39.0,0.3,-4.0,-0.17,157,424,37.0,629,105,42.3,37.7,205,77.1,55.1,356,12,3.4,25,1.04,15.0
GER,GK,23,1994,10.0,14,0,1,2,0,12.8,0.26,-1.2,-0.12,46,172,26.7,252,55,40.1,36.1,88,80.7,60.4,166,10,6.0,12,1.2,14.5
GER,GK,26,1992,21.5,40,2,1,6,2,31.5,0.25,-6.5,-0.3,170,473,35.9,665,92,47.7,39.0,218,71.6,53.5,462,9,1.9,10,0.47,9.6
GER,GK,23,1995,12.5,28,0,0,1,0,22.0,0.36,-6.0,-0.48,61,188,32.4,352,46,37.5,32.9,119,47.1,43.0,171,1,0.6,10,0.8,12.7
HUN,GK,28,1990,32.5,27,4,1,4,1,37.9,0.3,11.9,0.37,236,588,40.1,797,124,50.6,39.6,223,83.0,56.2,379,16,4.2,57,1.75,19.5
SUI,GK,24,1994,1.5,2,1,0,0,0,1.8,0.19,-0.2,-0.17,5,10,50.0,25,4,32.0,35.1,6,33.3,35.3,10,0,0.0,2,1.33,14.2
GER,GK,21,1996,17.6,29,3,0,0,0,29.9,0.32,0.9,0.05,113,274,41.2,385,56,43.9,36.7,134,78.4,53.3,229,11,4.8,11,0.62,13.6
GER,GK,29,1988,16.3,26,2,1,4,1,22.8,0.27,-2.2,-0.14,103,233,44.2,394,71,40.6,36.4,120,60.8,45.8,198,10,5.1,21,1.29,14.7
GER,GK,29,1989,34.0,70,2,2,7,4,56.4,0.31,-9.6,-0.28,259,714,36.3,911,129,55.4,40.3,305,68.5,52.7,518,22,4.2,41,1.21,14.7
CZE,GK,26,1992,33.1,47,3,2,5,0,47.1,0.3,0.1,0.0,211,495,42.6,925,160,36.4,34.8,304,52.0,43.1,494,13,2.6,25,0.76,13.4
GER,GK,18,2000,0.4,1,1,0,0,0,1.0,0.0,0.0,-0.05,2,2,100.0,3,2,0.0,14.3,3,66.7,45.7,8,0,0.0,0,0.0,
GRE,GK,24,1994,0.5,1,0,0,0,0,0.5,0.18,-0.5,-0.98,0,4,0.0,13,7,23.1,28.5,3,33.3,39.7,8,0,0.0,0,0.0,12.0
BEL,GK,26,1992,25.5,39,4,3,1,0,40.0,0.31,1.0,0.04,194,420,46.2,981,148,31.9,33.8,200,53.5,45.8,398,21,5.3,26,1.02,14.4
AUT,GK,30,1987,8.5,11,0,0,0,0,11.9,0.3,0.9,0.1,67,140,47.9,270,38,34.4,34.0,75,62.7,48.9,132,3,2.3,2,0.24,10.9
GER,GK,32,1987,10.0,12,0,0,0,1,14.1,0.43,3.1,0.31,52,165,31.5,324,51,37.0,35.1,91,49.5,40.8,184,10,5.4,11,1.1,13.9
CZE,GK,26,1992,24.0,51,0,0,3,2,42.7,0.35,-6.3,-0.26,145,457,31.7,623,102,49.3,40.3,212,70.8,53.4,366,13,3.6,34,1.42,15.7
GER,GK,33,1986,33.0,31,3,0,6,1,34.6,0.28,4.6,0.14,139,276,50.4,1267,203,19.6,26.4,180,15.6,27.8,303,10,3.3,123,3.73,23.7
GER,GK,30,1988,1.0,1,0,0,0,0,1.1,0.42,0.1,0.12,2,7,28.6,42,5,14.3,24.0,10,10.0,20.4,11,0,0.0,1,1.0,14.3
SUI,GK,31,1987,3.2,1,0,0,0,0,3.4,0.49,2.4,0.75,8,22,36.4,75,14,17.3,28.2,25,36.0,38.3,35,1,2.9,4,1.24,15.4
SUI,GK,28,1990,30.8,40,3,0,7,3,34.5,0.35,-2.5,-0.08,84,272,30.9,847,182,24.9,30.0,201,30.3,33.1,309,11,3.6,45,1.46,18.2
GER,GK,22,1997,17.0,31,2,0,3,3,25.2,0.3,-2.8,-0.17,115,287,40.1,509,57,44.4,38.0,112,54.5,45.1,207,6,2.9,20,1.18,15.8
USA,GK,24,1995,17.0,36,1,1,4,1,32.5,0.32,-2.5,-0.15,129,296,43.6,472,102,42.6,36.9,144,66.0,51.2,264,14,5.3,16,0.94,12.9
GER,GK,29,1990,3.0,8,0,0,2,0,5.5,0.27,-2.5,-0.85,22,40,55.0,77,15,35.1,33.2,24,54.2,40.5,41,1,2.4,5,1.67,13.5
DEN,GK,26,1992,9.0,14,2,0,0,0,14.3,0.26,0.3,0.04,78,172,45.3,280,37,48.9,37.9,62,56.5,45.0,116,4,3.4,11,1.22,17.4
GER,GK,29,1990,22.0,38,1,1,3,2,32.1,0.3,-3.9,-0.18,153,359,42.6,792,89,36.7,33.2,145,46.9,39.7,261,15,5.7,32,1.45,16.1
GER,GK,27,1992,23.2,32,3,0,5,0,31.9,0.25,-0.1,0.0,153,429,35.7,726,120,34.4,34.3,249,71.9,55.1,381,13,3.4,14,0.6,12.9
NED,GK,26,1993,10.0,14,0,0,1,0,19.7,0.28,5.7,0.57,64,180,35.6,324,38,37.0,35.9,108,55.6,47.8,160,5,3.1,8,0.8,12.6
GER,GK,20,1999,0.8,1,0,0,0,0,1.5,0.39,0.5,0.72,1,9,11.1,34,11,26.5,29.2,7,0.0,21.1,13,0,0.0,1,1.32,18.0
SUI,GK,30,1988,34.0,40,1,1,3,0,47.5,0.29,7.5,0.22,180,418,43.1,1263,169,25.7,29.8,282,33.3,34.6,501,13,2.6,49,1.44,16.9
GER,GK,20,1999,1.7,4,0,0,1,0,2.3,0.21,-1.7,-0.99,10,26,38.5,53,8,30.2,32.7,16,62.5,45.1,15,1,6.7,3,1.79,12.9
NOR,GK,34,1984,28.3,46,7,3,5,2,42.2,0.25,-1.8,-0.06,262,563,46.5,786,117,50.8,39.2,224,73.2,50.6,458,33,7.2,20,0.71,12.0
GER,GK,31,1988,4.0,9,0,0,2,0,6.0,0.31,-3.0,-0.76,34,82,41.5,95,14,58.9,39.5,33,78.8,54.9,75,2,2.7,6,1.5,22.8
GER,GK,29,1990,30.0,49,5,0,4,2,48.5,0.29,1.5,0.05,137,391,35.0,1019,174,28.8,29.9,262,37.4,34.5,485,18,3.7,27,0.9,13.9
GER,GK,34,1985,4.0,4,1,0,0,0,6.2,0.25,2.2,0.55,13,46,28.3,133,26,27.1,30.5,30,33.3,37.9,80,4,5.0,11,2.75,17.0
GER,GK,26,1993,34.0,69,4,1,11,2,54.8,0.32,-12.2,-0.36,270,552,48.9,901,103,46.5,37.9,297,44.8,38.4,479,20,4.2,23,0.68,11.8
FIN,GK,29,1989,34.0,44,2,1,4,0,48.1,0.33,4.1,0.12,180,498,36.1,1365,204,30.4,32.3,232,35.8,35.9,365,14,3.8,55,1.62,16.7
GER,GK,21,1997,12.5,25,2,3,1,0,22.2,0.31,-2.8,-0.22,65,188,34.6,360,79,31.4,32.1,118,63.6,46.6,208,13,6.3,18,1.44,15.8
GER,GK,24,1994,21.5,40,1,0,6,1,36.6,0.31,-2.4,-0.11,129,389,33.2,594,146,44.8,36.8,197,62.4,49.2,347,20,5.8,17,0.79,13.6
GER,GK,25,1994,6.0,17,1,0,1,0,12.1,0.34,-4.9,-0.81,28,72,38.9,203,37,30.0,31.5,48,22.9,29.7,70,1,1.4,5,0.83,15.2
GER,GK,25,1994,28.0,57,3,3,6,2,48.5,0.3,-6.5,-0.23,132,287,46.0,978,188,22.9,29.0,233,27.0,29.9,454,9,2.0,22,0.79,13.3
HUN,GK,29,1990,32.0,34,2,0,7,0,36.5,0.3,2.5,0.08,117,333,35.1,1032,186,25.1,29.9,227,32.6,33.7,400,18,4.5,68,2.13,18.5
SUI,GK,25,1994,2.0,3,0,0,0,0,1.5,0.3,-1.5,-0.76,4,13,30.8,70,9,14.3,25.9,10,30.0,31.0,20,1,5.0,3,1.5,17.6
GER,GK,22,1996,25.7,40,4,1,5,2,35.8,0.28,-2.2,-0.09,132,394,33.5,791,109,34.8,33.8,207,57.5,45.0,339,22,6.5,23,0.89,13.8
GER,GK,21,1998,8.2,18,2,1,4,0,18.5,0.31,0.5,0.06,44,155,28.4,252,29,46.0,37.6,60,65.0,46.4,149,6,4.0,8,0.97,12.7
GER,GK,21,1997,1.0,4,0,0,0,0,3.0,0.37,-1.0,-1.01,9,18,50.0,28,1,50.0,42.3,7,57.1,47.4,11,0,0.0,1,1.0,16.0
POL,GK,31,1987,33.0,54,3,0,7,1,48.9,0.29,-4.1,-0.12,374,823,45.4,1079,121,56.1,41.7,269,81.0,56.7,518,32,6.2,37,1.12,13.4
CZE,GK,27,1992,33.0,67,1,1,11,3,49.5,0.29,-14.5,-0.44,198,490,40.4,894,152,37.6,35.0,298,51.7,41.7,593,12,2.0,30,0.91,14.0
GRE,GK,25,1994,1.0,2,0,0,0,0,0.9,0.19,-1.1,-1.06,7,16,43.8,26,8,38.5,33.8,9,66.7,43.0,21,0,0.0,1,1.0,12.0
BEL,GK,27,1992,26.0,38,4,1,4,0,34.3,0.29,-3.7,-0.14,187,420,44.5,792,122,39.9,35.5,178,58.4,45.3,356,18,5.1,34,1.31,16.6
AUT,GK,31,1987,8.0,8,1,0,0,0,11.4,0.28,3.4,0.42,48,120,40.0,202,37,44.1,36.4,62,50.0,44.0,104,3,2.9,12,1.5,16.3
GER,GK,27,1992,34.0,52,5,0,5,1,54.1,0.29,3.1,0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8
POL,GK,32,1987,34.0,54,6,0,2,3,53.2,0.26,2.2,0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0
GER,GK,23,1996,1.0,2,0,0,1,0,1.1,0.28,-0.9,-0.88,1,3,33.3,28,2,10.7,23.4,8,0.0,20.4,12,1,8.3,0,0.0,7.7
