nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
BIH,GK,34,1987,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0
ENG,GK,27,1994,35,35,3150,35.0,58,1.66,170,116,66.5,10,6,19,7,20.0,1,1,0,0,0.0
FRA,GK,21,2000,38,38,3384,37.6,79,2.1,220,142,66.4,9,11,18,5,13.2,5,5,0,0,0.0
NOR,GK,20,2000,1,0,36,0.4,0,0.0,4,4,100.0,0,0,0,0,,0,0,0,0,
WAL,GK,28,1993,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
DEN,GK,34,1986,37,37,3330,37.0,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2
BRA,GK,28,1992,36,36,3240,36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,
IRL,GK,22,1998,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,1,50.0,0,0,0,0,
BRA,GK,27,1993,37,37,3330,37.0,26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0.0
USA,GK,26,1995,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
ESP,GK,30,1990,38,38,3420,38.0,57,1.5,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0
ENG,GK,24,1997,4,4,360,4.0,12,3.0,22,9,54.5,0,1,3,0,0.0,3,2,1,0,33.3
WAL,GK,30,1990,8,8,720,8.0,15,1.87,37,23,64.9,0,5,3,0,0.0,2,2,0,0,0.0
SVK,GK,32,1989,26,26,2340,26.0,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0.0
SCO,GK,25,1996,9,9,810,9.0,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,1,33.3
NED,GK,33,1988,29,29,2610,29.0,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,1,0.0
ENG,GK,31,1989,17,17,1530,17.0,27,1.59,71,44,62.0,3,7,7,5,29.4,0,0,0,0,
ENG,GK,33,1988,19,19,1710,19.0,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,0.0
ARG,GK,39,1981,2,2,180,2.0,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,
FRA,GK,34,1986,38,38,3420,38.0,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0.0
ENG,GK,38,1983,26,26,2340,26.0,49,1.88,116,67,60.3,5,5,16,4,15.4,4,3,1,0,25.0
AUT,GK,27,1994,12,12,1080,12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0
FRA,GK,28,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
POL,GK,36,1985,37,37,3330,37.0,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60.0
ENG,GK,34,1986,2,1,135,1.5,3,2.0,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
POR,GK,28,1993,37,37,3285,36.5,40,1.1,160,121,80.6,15,5,17,11,29.7,10,9,0,1,0.0
ENG,GK,24,1998,38,38,3420,38.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0
ARG,GK,29,1992,36,36,3139,34.9,38,1.09,132,97,74.2,17,7,12,11,30.6,5,4,1,0,20.0
SWE,GK,32,1990,4,2,281,3.1,8,2.56,19,11,63.2,1,0,1,1,50.0,1,1,0,0,0.0
IRL,GK,23,1999,12,11,1035,11.5,32,2.78,66,36,54.5,2,0,9,2,18.2,2,2,0,0,0.0
BRA,GK,33,1989,27,27,2385,26.5,39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,1,0.0
ESP,GK,26,1995,38,38,3420,38.0,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0
ENG,GK,31,1990,15,15,1350,15.0,23,1.53,57,36,61.4,7,3,5,6,40.0,2,1,1,0,50.0
ESP,GK,24,1997,23,23,2070,23.0,30,1.3,74,46,66.2,11,5,7,6,26.1,6,5,1,0,16.7
SEN,GK,30,1992,10,9,855,9.5,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,0,
ESP,GK,27,1994,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31.0,1,1,0,0,0.0
ENG,GK,18,2004,2,2,180,2.0,5,2.5,10,5,50.0,0,0,2,0,0.0,0,0,0,0,
ENG,GK,29,1993,9,9,810,9.0,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,0.0
ESP,GK,35,1987,27,27,2430,27.0,34,1.26,116,84,72.4,7,9,11,6,22.2,2,2,0,0,0.0
BIH,GK,35,1987,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ENG,GK,28,1994,37,37,3330,37.0,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7
GER,GK,30,1992,36,36,3240,36.0,51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,0,12.5
SVK,GK,25,1996,2,2,180,2.0,2,1.0,4,2,50.0,0,2,0,1,50.0,0,0,0,0,
FRA,GK,22,2000,34,34,3060,34.0,67,1.97,158,92,59.5,7,9,18,5,14.7,3,3,0,0,0.0
ESP,GK,32,1990,4,4,360,4.0,11,2.75,27,16,66.7,0,1,3,0,0.0,3,2,0,1,0.0
DEN,GK,25,1997,12,12,1080,12.0,22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,0.0
WAL,GK,29,1993,26,26,2340,26.0,46,1.77,119,75,63.0,7,3,16,6,23.1,3,2,1,0,33.3
BRA,GK,29,1992,37,37,3330,37.0,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3
IRL,GK,23,1998,1,1,90,1.0,4,4.0,10,6,60.0,0,1,0,0,0.0,0,0,0,0,
BRA,GK,28,1993,35,35,3150,35.0,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0.0
GER,GK,29,1992,3,3,270,3.0,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,
ESP,GK,31,1990,38,38,3420,38.0,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3
SVK,GK,33,1989,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0.0,0,0,0,0,
ENG,GK,30,1992,37,37,3261,36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50.0
ENG,GK,25,1997,18,18,1620,18.0,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0
CRC,GK,35,1986,17,17,1529,17.0,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0.0
WAL,GK,35,1987,4,3,271,3.0,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,
ENG,GK,32,1989,6,6,540,6.0,17,2.83,30,14,46.7,0,1,5,0,0.0,1,1,0,0,0.0
IRL,GK,20,2002,32,32,2880,32.0,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50.0
ENG,GK,34,1988,14,13,1215,13.5,24,1.78,55,30,60.0,5,3,5,3,23.1,3,2,1,0,33.3
FRA,GK,35,1986,25,25,2205,24.5,39,1.59,117,79,67.5,13,3,9,7,28.0,1,1,0,0,0.0
FRA,GK,29,1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50.0,2,2,0,0,0.0
POL,GK,37,1985,36,36,3111,34.6,48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,1,33.3
ENG,GK,29,1993,2,2,180,2.0,3,1.5,13,10,76.9,0,1,1,0,0.0,0,0,0,0,
POR,GK,29,1993,36,36,3240,36.0,55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,0,50.0
ENG,GK,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,
ESP,GK,27,1995,32,32,2880,32.0,24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3
ARG,GK,30,1992,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0
SWE,GK,33,1990,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0
ROU,GK,26,1997,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,
IRL,GK,24,1999,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0
BRA,GK,34,1989,32,32,2880,32.0,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7
NED,GK,30,1993,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0
ALB,GK,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
NED,GK,20,2002,21,21,1890,21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0
ENG,GK,32,1990,17,17,1530,17.0,34,2.0,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0
KVX,GK,24,1998,10,10,900,10.0,16,1.6,78,62,80.8,2,4,4,0,0.0,2,1,1,0,50.0
ENG,GK,20,2002,28,28,2520,28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0
ESP,GK,25,1997,16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3
SRB,GK,23,1999,23,22,1987,22.1,38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0.0
ENG,GK,26,1997,18,18,1620,18.0,30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0.0
ENG,GK,29,1994,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,
ENG,GK,30,1993,20,20,1796,20.0,27,1.35,67,41,62.7,5,6,9,6,30.0,2,2,0,0,0.0
ENG,GK,29,1994,38,38,3420,38.0,51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0.0
GER,GK,31,1992,38,38,3420,38.0,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0
BRA,GK,30,1992,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0
IRL,GK,24,1998,10,10,900,10.0,11,1.1,38,28,71.1,8,2,0,2,20.0,0,0,0,0,
ENG,GK,32,1991,1,0,15,0.2,0,0.0,2,2,100.0,0,0,0,0,,0,0,0,0,
BEL,GK,30,1992,38,38,3405,37.8,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0.0
BRA,GK,29,1993,33,33,2785,30.9,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0
GER,GK,30,1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,
CMR,GK,27,1996,38,38,3420,38.0,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0
GER,GK,30,1993,1,1,90,1.0,4,4.0,7,4,42.9,0,0,1,0,0.0,0,0,0,0,
SVK,GK,34,1989,23,22,1985,22.1,42,1.9,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20.0
ENG,GK,31,1992,15,15,1345,14.9,16,1.07,58,42,72.4,9,2,4,5,33.3,0,0,0,0,
USA,GK,29,1994,17,17,1530,17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0
BEL,GK,31,1992,16,16,1440,16.0,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0.0
GRE,GK,29,1994,5,5,450,5.0,12,2.4,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0
CRO,GK,27,1996,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0.0,1,0,0,1,
ENG,GK,32,1991,30,29,2649,29.4,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0.0
ITA,GK,26,1996,38,38,3420,38.0,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0
FRA,GK,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6
POL,GK,38,1985,10,7,721,8.0,21,2.62,53,33,66.0,3,1,3,1,14.3,3,3,0,0,0.0
ENG,GK,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,
POR,GK,30,1993,35,35,3037,33.7,58,1.72,188,131,73.4,12,7,16,4,11.4,8,8,0,0,0.0
ESP,GK,22,1993,2,2,180,2.0,1,0.5,7,6,85.7,1,1,0,1,50.0,0,0,0,0,
ESP,GK,24,1992,36,36,3240,36.0,42,1.17,149,113,74.5,13,12,11,11,30.6,6,4,2,0,33.3
ESP,GK,35,1981,16,15,1404,15.6,21,1.35,57,39,64.9,5,3,7,3,20.0,3,1,2,0,66.7
ESP,GK,21,1994,23,23,2016,22.4,22,0.98,62,40,64.5,14,3,6,8,34.8,0,0,0,0,
SVN,GK,23,1993,30,30,2651,29.4,21,0.71,81,63,77.8,17,7,6,15,50.0,4,3,1,0,25.0
ESP,GK,32,1984,9,8,769,8.6,6,0.7,30,24,80.0,6,2,0,5,62.5,0,0,0,0,
CHI,GK,33,1983,1,1,90,1.0,2,2.0,2,0,0.0,1,0,0,0,0.0,0,0,0,0,
NED,GK,27,1989,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
GER,GK,24,1992,36,36,3240,36.0,33,0.92,154,121,78.6,27,6,3,13,36.1,0,0,0,0,
ESP,GK,29,1987,37,37,3330,37.0,62,1.68,182,125,68.1,10,8,19,10,27.0,5,4,1,0,20.0
ESP,GK,33,1983,1,1,90,1.0,2,2.0,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
ESP,GK,19,1997,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
ESP,GK,21,1995,11,11,990,11.0,15,1.36,40,30,75.0,5,3,3,2,18.2,5,5,0,0,0.0
ESP,GK,29,1986,26,26,2340,26.0,51,1.96,137,90,65.7,8,3,15,5,19.2,5,4,0,1,0.0
ESP,GK,32,1983,16,16,1252,13.9,19,1.37,48,32,66.7,7,3,6,4,25.0,3,3,0,0,0.0
ESP,GK,19,1996,1,0,45,0.5,0,0.0,2,2,100.0,0,0,0,0,,0,0,0,0,
ESP,GK,27,1988,25,22,2116,23.5,32,1.36,102,73,70.6,8,6,8,7,31.8,3,2,1,0,33.3
ESP,GK,34,1981,35,35,3113,34.6,38,1.1,153,117,76.5,15,9,11,11,31.4,2,2,0,0,0.0
ESP,GK,30,1986,4,3,307,3.4,12,3.52,22,10,45.5,0,2,1,0,0.0,0,0,0,0,
MEX,GK,31,1985,38,38,3420,38.0,82,2.16,242,163,66.9,4,8,26,3,7.9,4,2,1,1,33.3
BEL,GK,22,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ARG,GK,34,1982,25,25,2205,24.5,38,1.55,111,75,67.6,5,7,13,6,24.0,2,2,0,0,0.0
POL,GK,29,1987,13,12,1125,12.5,23,1.84,53,31,58.5,2,5,5,2,16.7,1,1,0,0,0.0
ESP,GK,33,1982,25,25,2250,25.0,47,1.88,108,68,63.0,7,5,13,2,8.0,7,7,0,0,0.0
ESP,GK,25,1991,13,13,1170,13.0,27,2.08,57,34,59.6,3,4,6,3,23.1,4,4,0,0,0.0
ITA,GK,24,1991,1,0,60,0.7,3,4.5,3,0,0.0,0,0,0,0,,0,0,0,0,
ESP,GK,22,1994,1,0,61,0.7,1,1.48,2,1,50.0,0,0,0,0,,0,0,0,0,
ESP,GK,28,1988,21,21,1825,20.3,25,1.23,66,45,66.7,4,7,10,6,28.6,4,3,1,0,25.0
ESP,GK,26,1989,13,13,1110,12.3,22,1.78,50,31,62.0,4,1,8,4,30.8,3,3,0,0,0.0
ARG,GK,31,1985,4,4,360,4.0,4,1.0,16,12,75.0,0,3,1,1,25.0,0,0,0,0,
CMR,GK,32,1984,35,35,3150,35.0,48,1.37,133,92,68.4,12,8,15,8,22.9,7,6,1,0,14.3
UKR,GK,28,1988,3,3,270,3.0,7,2.33,10,3,30.0,0,2,1,0,0.0,0,0,0,0,
ESP,GK,28,1988,7,7,585,6.5,14,2.15,29,18,55.2,0,4,3,1,14.3,3,1,2,0,66.7
ESP,GK,31,1985,13,13,1170,13.0,29,2.23,66,38,57.6,1,3,9,0,0.0,1,1,0,0,0.0
ITA,GK,29,1987,18,18,1620,18.0,51,2.83,97,49,49.5,3,3,12,1,5.6,4,2,1,1,33.3
ESP,GK,18,1998,1,0,45,0.5,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0,
CRC,GK,29,1986,27,27,2430,27.0,31,1.15,113,83,73.5,20,4,3,5,18.5,2,1,0,1,0.0
ESP,GK,29,1986,11,11,990,11.0,10,0.91,30,22,70.0,9,2,0,5,45.5,2,1,1,0,50.0
ARG,GK,24,1992,38,38,3420,38.0,53,1.39,156,108,68.6,19,7,12,10,26.3,7,4,1,2,20.0
ESP,GK,23,1993,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
ITA,GK,29,1987,2,2,177,2.0,3,1.53,7,5,71.4,0,1,1,0,0.0,1,1,0,0,0.0
ESP,GK,22,1993,35,35,3150,35.0,45,1.29,152,111,72.4,20,8,7,12,34.3,4,3,1,0,25.0
ESP,GK,26,1990,2,2,180,2.0,3,1.5,11,9,81.8,1,0,1,0,0.0,1,1,0,0,0.0
ESP,GK,32,1984,36,36,3240,36.0,69,1.92,184,123,65.8,6,10,20,7,19.4,8,6,2,0,25.0
BRA,GK,31,1985,33,33,2970,33.0,56,1.7,134,87,61.9,11,7,15,6,18.2,11,5,4,2,44.4
ESP,GK,25,1990,3,3,270,3.0,4,1.33,13,9,69.2,2,0,1,1,33.3,0,0,0,0,
AUS,GK,24,1992,2,2,180,2.0,5,2.5,7,4,42.9,0,0,2,0,0.0,2,1,1,0,50.0
ESP,GK,29,1986,15,14,1315,14.6,18,1.23,68,54,79.4,9,1,4,5,35.7,4,4,0,0,0.0
ESP,GK,27,1989,24,24,2105,23.4,15,0.64,80,67,82.5,10,9,5,11,45.8,2,1,1,0,50.0
ESP,GK,20,1996,1,1,63,0.7,,,1,1,,,,1,,,,,,,
ESP,GK,25,1992,38,37,3357,37.3,50,1.34,171,121,74.9,15,2,20,12,32.4,10,7,2,1,22.2
ESP,GK,29,1988,8,8,720,8.0,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3
ESP,GK,22,1994,30,30,2700,30.0,43,1.43,136,94,69.1,7,9,14,7,23.3,3,1,2,0,66.7
ARG,GK,21,1996,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
SVN,GK,24,1993,37,37,3330,37.0,22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,0,75.0
NED,GK,28,1989,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
GER,GK,25,1992,37,37,3330,37.0,28,0.76,126,98,79.4,27,9,1,19,51.4,2,2,0,0,0.0
ESP,GK,30,1987,30,30,2700,30.0,53,1.77,132,82,62.1,14,4,12,9,30.0,4,3,1,0,25.0
ESP,GK,34,1983,4,4,309,3.4,0,0.0,8,8,100.0,3,1,0,3,75.0,0,0,0,0,
ESP,GK,22,1995,5,4,411,4.6,8,1.75,16,8,50.0,1,1,2,1,25.0,0,0,0,0,
ESP,"MF,FW",20,1997,1,0,,10.5,,,,,,,,,,,,,,,
ESP,GK,22,1995,22,22,1941,21.6,31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,1,0.0
ESP,GK,30,1986,17,16,1475,16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0.0
ESP,GK,33,1983,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
SRB,GK,25,1992,36,36,3240,36.0,49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,0.0
ESP,GK,28,1988,1,1,90,1.0,0,0.0,5,5,100.0,0,1,0,1,100.0,0,0,0,0,
ESP,GK,35,1981,10,10,854,9.5,11,1.16,40,30,75.0,3,5,2,3,30.0,2,1,1,0,50.0
ESP,GK,22,1994,29,28,2566,28.5,31,1.09,124,92,77.4,9,8,11,9,32.1,4,3,1,0,25.0
ARG,GK,24,1992,5,5,450,5.0,7,1.4,19,12,68.4,2,1,2,2,40.0,1,1,0,0,0.0
ESP,GK,30,1987,33,33,2970,33.0,26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,1,50.0
ESP,GK,36,1981,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,
MAR,GK,26,1991,30,30,2655,29.5,46,1.56,139,94,69.8,13,6,11,9,30.0,5,4,0,1,0.0
ROU,GK,30,1987,6,6,540,6.0,9,1.5,26,18,69.2,3,0,3,1,16.7,1,1,0,0,0.0
NGA,GK,18,1998,2,2,180,2.0,2,1.0,9,7,88.9,0,1,1,1,50.0,1,1,0,0,0.0
UKR,GK,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,,1,1,,,,,,,
POL,GK,30,1987,2,1,97,1.1,4,3.71,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
ESP,GK,33,1984,28,27,2477,27.5,58,2.11,134,77,58.2,3,9,15,4,14.8,3,2,1,0,33.3
ARG,GK,27,1990,27,27,2430,27.0,47,1.74,149,103,70.5,4,5,18,4,14.8,3,3,0,0,0.0
ESP,GK,26,1991,11,11,990,11.0,27,2.45,66,39,62.1,1,2,8,1,9.1,2,2,0,0,0.0
ESP,GK,33,1984,35,35,3150,35.0,43,1.23,139,95,72.7,11,7,17,14,40.0,6,5,1,0,16.7
ESP,GK,27,1989,1,1,90,1.0,2,2.0,8,6,75.0,1,0,0,0,0.0,0,0,0,0,
ARG,GK,32,1985,2,2,180,2.0,6,3.0,9,3,44.4,0,0,2,0,0.0,1,1,0,0,0.0
ESP,GK,21,1995,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
ESP,GK,27,1989,26,26,2340,26.0,39,1.5,122,85,72.1,9,7,10,7,26.9,6,5,0,1,0.0
ESP,GK,29,1988,11,11,990,11.0,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,
ESP,GK,23,1993,4,4,360,4.0,10,2.5,20,10,60.0,0,0,4,0,0.0,2,2,0,0,0.0
ESP,GK,31,1986,34,34,3060,34.0,51,1.5,150,98,68.7,5,5,24,6,17.6,5,4,1,0,20.0
CRC,GK,30,1986,27,27,2430,27.0,31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,0,50.0
ESP,GK,30,1986,10,10,900,10.0,11,1.1,29,19,62.1,6,2,2,3,30.0,0,0,0,0,
FRA,GK,19,1998,1,1,90,1.0,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
ARG,GK,25,1992,26,26,2340,26.0,45,1.73,105,61,61.0,10,5,11,6,23.1,5,4,1,0,20.0
ESP,GK,33,1984,9,9,765,8.5,8,0.94,33,24,81.8,3,2,4,2,22.2,3,2,1,0,33.3
ESP,GK,30,1986,4,3,315,3.5,6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,0,
ESP,GK,24,1993,15,15,1265,14.0,19,1.35,58,40,70.7,7,4,4,5,33.3,3,2,0,1,0.0
ESP,GK,23,1993,24,23,2155,24.0,39,1.63,92,52,60.9,10,3,10,9,39.1,5,3,1,1,25.0
ESP,GK,26,1990,5,5,450,5.0,5,1.0,21,16,76.2,4,0,1,2,40.0,0,0,0,0,
BRA,GK,28,1989,33,33,2970,33.0,33,1.0,143,108,79.0,18,7,8,10,30.3,5,3,2,0,40.0
ESP,GK,30,1986,3,3,225,2.5,6,2.4,16,10,68.8,0,1,2,0,0.0,1,1,0,0,0.0
ARG,GK,33,1984,13,12,1125,12.5,14,1.12,48,34,72.9,6,3,3,5,41.7,1,1,0,0,0.0
ESP,GK,28,1989,23,23,2070,23.0,30,1.3,93,60,71.0,12,3,8,6,26.1,6,3,3,0,50.0
ESP,GK,21,1996,3,3,270,3.0,4,1.33,13,9,69.2,2,0,1,0,0.0,0,0,0,0,
ESP,GK,26,1992,35,35,3150,35.0,46,1.31,154,110,74.0,11,11,13,8,22.9,6,6,0,0,0.0
ESP,GK,30,1988,31,31,2790,31.0,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0
ESP,GK,21,1997,7,7,630,7.0,13,1.86,33,20,66.7,1,4,2,0,0.0,2,2,0,0,0.0
ESP,GK,31,1987,2,1,90,1.0,2,2.0,7,5,71.4,0,1,0,0,0.0,0,0,0,0,
SVN,GK,25,1993,37,37,3330,37.0,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0
NED,GK,29,1989,3,3,270,3.0,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0.0
GER,GK,26,1992,35,35,3150,35.0,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0
ESP,GK,28,1990,5,5,450,5.0,5,1.0,21,16,81.0,2,1,2,1,20.0,1,1,0,0,0.0
ESP,GK,23,1994,33,33,2970,33.0,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0
ESP,GK,23,1995,25,25,2250,25.0,40,1.6,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0
ESP,GK,31,1986,13,13,1170,13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0
ESP,GK,34,1983,15,14,1260,14.0,20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,0,
SRB,GK,26,1992,24,24,2160,24.0,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0
ESP,GK,36,1981,38,38,3420,38.0,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0
ESP,GK,25,1993,37,37,3330,37.0,34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,1,20.0
ARG,GK,28,1990,1,1,90,1.0,1,1.0,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
ESP,GK,37,1981,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0
MAR,GK,27,1991,32,32,2862,31.8,43,1.35,166,124,77.7,8,10,14,8,25.0,6,6,0,0,0.0
SRB,GK,25,1992,12,12,1080,12.0,19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0
ARG,GK,22,1996,6,6,540,6.0,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0
ESP,GK,33,1985,20,20,1800,20.0,30,1.5,96,67,75.0,5,7,8,6,30.0,6,6,0,0,0.0
UKR,GK,19,1999,5,4,364,4.1,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0
ESP,GK,34,1984,34,34,3056,33.9,38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,0.0
ESP,GK,27,1991,16,16,1440,16.0,24,1.5,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0
ESP,GK,22,1995,1,1,90,1.0,2,2.0,8,6,75.0,0,1,0,0,0.0,0,0,0,0,
ESP,GK,28,1989,21,21,1890,21.0,40,1.9,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0
