players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
29,38,53,440,155,35.2,11.58,4.08,0.11,0.32,18.3,21,3,4,47.3,44.1,0.1,5.7,5.9,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
30,38,88,551,242,43.9,14.5,6.37,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,12.2,11.3,/en/squads/206d90db/2018-2019/Barcelona-Stats
25,38,43,436,156,35.8,11.47,4.11,0.09,0.24,18.6,31,5,7,47.1,41.5,0.1,-4.1,-3.5,/en/squads/fc536746/2018-2019/Real-Betis-Stats
28,38,52,445,152,34.2,11.71,4.0,0.1,0.3,18.0,22,7,7,46.5,41.2,0.09,5.5,3.8,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats
25,38,46,524,147,28.1,13.79,3.87,0.07,0.27,17.4,20,7,8,54.8,48.6,0.1,-8.8,-9.6,/en/squads/bea5c710/2018-2019/Eibar-Stats
25,38,43,470,154,32.8,12.37,4.05,0.08,0.25,19.0,25,4,4,48.9,45.8,0.1,-5.9,-6.8,/en/squads/a8661628/2018-2019/Espanyol-Stats
26,38,47,395,122,30.9,10.39,3.21,0.1,0.34,17.1,13,6,6,46.2,41.6,0.11,0.8,-0.6,/en/squads/7848bd64/2018-2019/Getafe-Stats
26,38,37,392,137,34.9,10.32,3.61,0.08,0.23,18.3,21,6,6,43.5,39.3,0.1,-6.5,-8.3,/en/squads/9024a00a/2018-2019/Girona-Stats
30,38,43,463,139,30.0,12.18,3.66,0.08,0.27,17.9,19,6,7,50.8,45.4,0.1,-7.8,-8.4,/en/squads/c6c493e6/2018-2019/Huesca-Stats
29,38,36,414,128,30.9,10.89,3.37,0.08,0.26,17.6,14,3,5,40.6,36.8,0.09,-4.6,-3.8,/en/squads/7c6f2c78/2018-2019/Leganes-Stats
26,38,56,435,154,35.4,11.45,4.05,0.12,0.33,18.8,32,5,7,53.9,48.4,0.11,2.1,2.6,/en/squads/9800b6a1/2018-2019/Levante-Stats
29,38,40,453,144,31.8,11.92,3.79,0.08,0.24,19.3,22,5,5,48.7,44.8,0.1,-8.7,-9.8,/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats
27,38,61,585,203,34.7,15.39,5.34,0.09,0.26,17.7,19,9,9,66.7,60.2,0.11,-5.7,-8.2,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
30,38,44,418,133,31.8,11.0,3.5,0.09,0.27,18.5,16,8,10,49.7,42.2,0.1,-5.7,-6.2,/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats
27,38,60,524,167,31.9,13.79,4.39,0.1,0.33,17.2,11,5,6,66.6,61.8,0.12,-6.6,-6.8,/en/squads/ad2be733/2018-2019/Sevilla-Stats
25,38,50,470,157,33.4,12.37,4.13,0.1,0.29,17.3,18,5,7,60.7,55.2,0.12,-10.7,-10.2,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
28,38,31,406,125,30.8,10.68,3.29,0.07,0.22,19.5,24,4,7,41.1,35.6,0.09,-10.1,-8.6,/en/squads/17859612/2018-2019/Valladolid-Stats
26,38,47,488,169,34.6,12.84,4.45,0.09,0.26,17.3,8,3,6,53.9,50.0,0.1,-6.9,-6.0,/en/squads/2a8183b3/2018-2019/Villarreal-Stats
26,38,30,385,112,29.1,10.13,2.95,0.07,0.25,20.0,19,2,3,35.4,33.0,0.09,-5.4,-5.0,/en/squads/25622401/2018-2019/Amiens-Stats
24,38,42,442,144,32.6,11.63,3.79,0.08,0.26,18.8,19,5,10,50.7,42.8,0.1,-8.7,-5.8,/en/squads/69236f98/2018-2019/Angers-Stats
33,38,34,421,131,31.1,11.08,3.45,0.07,0.22,20.2,22,5,6,39.7,35.0,0.09,-5.7,-6.0,/en/squads/123f3efe/2018-2019/Bordeaux-Stats
26,38,29,331,90,27.2,8.71,2.37,0.08,0.28,20.5,17,4,4,31.0,27.9,0.09,-2.0,-2.9,/en/squads/74229020/2018-2019/Caen-Stats
26,38,29,451,138,30.6,11.87,3.63,0.06,0.19,19.9,25,3,4,39.8,36.6,0.08,-10.8,-10.6,/en/squads/8dfb7350/2018-2019/Dijon-Stats
30,38,28,411,108,26.3,10.82,2.84,0.06,0.21,18.9,17,5,6,40.4,35.7,0.09,-12.4,-12.7,/en/squads/d41b5f53/2018-2019/Guingamp-Stats
25,38,66,485,180,37.1,12.76,4.74,0.11,0.31,19.5,26,11,13,59.5,49.3,0.1,6.5,5.7,/en/squads/cb188c0c/2018-2019/Lille-Stats
25,38,70,663,241,36.3,17.45,6.34,0.1,0.27,18.1,48,5,10,73.7,66.1,0.1,-3.7,-1.1,/en/squads/d53c0b06/2018-2019/Lyon-Stats
24,38,59,525,164,31.2,13.82,4.32,0.1,0.34,18.0,21,4,5,52.7,48.9,0.09,6.3,6.1,/en/squads/5725cc7b/2018-2019/Marseille-Stats
42,38,38,462,149,32.3,12.16,3.92,0.07,0.23,18.4,25,4,5,47.4,43.5,0.1,-9.4,-9.5,/en/squads/fd6114db/2018-2019/Monaco-Stats
25,38,50,507,163,32.1,13.34,4.29,0.09,0.29,19.6,29,3,3,50.1,47.7,0.1,-0.1,-0.7,/en/squads/281b0e73/2018-2019/Montpellier-Stats
33,38,46,509,143,28.1,13.39,3.76,0.08,0.28,20.3,23,6,8,49.1,42.8,0.09,-3.1,-2.8,/en/squads/d7a486cd/2018-2019/Nantes-Stats
30,38,28,432,121,28.0,11.37,3.18,0.05,0.19,19.5,31,5,9,46.3,39.2,0.09,-18.3,-16.2,/en/squads/132ebc33/2018-2019/Nice-Stats
23,38,55,514,175,34.0,13.53,4.61,0.1,0.29,19.3,26,4,6,50.0,45.3,0.09,5.0,5.7,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats
30,38,103,549,206,37.5,14.45,5.42,0.17,0.45,16.8,29,10,12,88.9,79.5,0.15,14.1,13.5,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
27,38,39,404,132,32.7,10.63,3.47,0.09,0.28,18.5,14,2,2,38.1,36.5,0.09,0.9,0.5,/en/squads/7fdd64e0/2018-2019/Reims-Stats
28,38,52,461,147,31.9,12.13,3.87,0.1,0.31,19.0,48,7,10,55.6,47.8,0.11,-3.6,-2.8,/en/squads/b3072e00/2018-2019/Rennes-Stats
29,38,56,493,166,33.7,12.97,4.37,0.1,0.31,18.2,18,5,5,56.7,52.7,0.12,-0.7,-1.7,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats
26,38,57,396,144,36.4,10.42,3.79,0.13,0.36,19.2,11,5,7,41.3,35.8,0.09,15.7,16.2,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats
29,38,35,422,119,28.2,11.11,3.13,0.07,0.24,18.8,19,7,11,45.7,37.1,0.09,-10.7,-9.1,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats
30,34,50,450,156,34.7,13.24,4.59,0.1,0.29,18.7,19,5,5,45.3,41.8,0.09,4.7,3.2,/en/squads/0cdc4311/2018-2019/Augsburg-Stats
24,34,86,633,252,39.8,18.62,7.41,0.13,0.33,16.1,28,3,4,85.6,82.4,0.13,0.4,0.6,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
23,34,80,444,176,39.6,13.06,5.18,0.17,0.43,16.9,17,4,4,61.5,58.4,0.14,18.5,17.6,/en/squads/add600ae/2018-2019/Dortmund-Stats
24,34,48,410,153,37.3,12.06,4.5,0.1,0.28,18.4,15,5,7,47.1,41.6,0.1,0.9,1.4,/en/squads/b1278397/2018-2019/Dusseldorf-Stats
30,34,60,416,148,35.6,12.24,4.35,0.13,0.38,16.9,11,4,4,57.2,54.4,0.13,2.8,1.6,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats
28,34,44,419,154,36.8,12.32,4.53,0.09,0.25,19.6,17,5,6,40.9,36.2,0.09,3.1,2.8,/en/squads/a486e511/2018-2019/Freiburg-Stats
22,34,53,452,149,33.0,13.29,4.38,0.11,0.33,17.8,16,4,7,52.2,46.7,0.11,0.8,2.3,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats
32,34,30,382,112,29.3,11.24,3.29,0.07,0.24,18.4,13,3,3,37.2,34.9,0.09,-7.2,-7.9,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats
26,34,49,400,143,35.8,11.76,4.21,0.11,0.31,16.7,15,4,4,51.0,48.0,0.12,-2.0,-3.0,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats
29,34,69,605,215,35.5,17.79,6.32,0.1,0.29,17.0,15,6,7,75.9,70.6,0.12,-6.9,-7.6,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
21,34,68,513,188,36.6,15.09,5.53,0.12,0.34,17.6,25,4,5,58.3,54.4,0.11,9.7,9.6,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats
28,34,44,494,146,29.6,14.53,4.29,0.08,0.28,19.1,18,3,3,51.2,48.8,0.1,-7.2,-7.8,/en/squads/a224b06a/2018-2019/Mainz-05-Stats
27,34,25,354,99,28.0,10.41,2.91,0.06,0.23,19.7,19,2,6,35.7,30.9,0.09,-10.7,-7.9,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats
23,34,63,490,172,35.1,14.41,5.06,0.12,0.34,16.6,18,5,7,65.7,60.2,0.13,-2.7,-2.2,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats
32,34,37,407,122,30.0,11.97,3.59,0.07,0.25,18.4,18,7,9,45.6,39.0,0.1,-8.6,-9.0,/en/squads/c539e393/2018-2019/Schalke-04-Stats
26,34,32,407,113,27.8,11.97,3.32,0.08,0.27,18.2,16,1,1,38.0,37.3,0.09,-6.0,-6.3,/en/squads/598bc722/2018-2019/Stuttgart-Stats
24,34,57,467,170,36.4,13.74,5.0,0.11,0.31,17.6,11,4,4,49.8,46.7,0.1,7.2,6.3,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats
25,34,59,420,159,37.9,12.35,4.68,0.13,0.34,17.7,15,5,5,47.6,43.8,0.11,11.4,10.2,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats
27,38,75,637,214,33.6,16.76,5.63,0.11,0.34,16.6,16,2,4,72.2,69.0,0.11,2.8,4.0,/en/squads/922493f3/2018-2019/Atalanta-Stats
29,38,45,495,158,31.9,13.03,4.16,0.08,0.25,18.7,25,5,5,46.8,42.9,0.09,-1.8,-2.9,/en/squads/1d8099f8/2018-2019/Bologna-Stats
30,38,35,433,124,28.6,11.39,3.26,0.08,0.27,17.9,13,2,3,42.1,39.7,0.09,-7.1,-6.7,/en/squads/c4260e09/2018-2019/Cagliari-Stats
36,38,25,385,110,28.6,10.13,2.89,0.05,0.19,19.6,14,4,6,36.0,31.7,0.09,-11.0,-10.7,/en/squads/cc919b35/2018-2019/Chievo-Stats
29,38,48,450,148,32.9,11.84,3.89,0.1,0.3,17.8,17,4,7,52.4,46.8,0.11,-4.4,-2.8,/en/squads/a3d88bd8/2018-2019/Empoli-Stats
27,38,45,579,168,29.0,15.24,4.42,0.07,0.24,18.6,15,5,6,54.0,49.2,0.09,-9.0,-9.2,/en/squads/421387cf/2018-2019/Fiorentina-Stats
33,38,28,450,120,26.7,11.84,3.16,0.05,0.2,19.3,24,4,5,38.9,35.1,0.08,-10.9,-11.1,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats
31,38,37,528,147,27.8,13.89,3.87,0.06,0.22,18.9,24,4,5,46.9,43.0,0.08,-9.9,-10.0,/en/squads/658bf2de/2018-2019/Genoa-Stats
23,38,57,625,186,29.8,16.45,4.89,0.08,0.26,18.0,10,8,9,63.8,56.8,0.09,-6.8,-7.8,/en/squads/d609edc0/2018-2019/Internazionale-Stats
31,38,66,601,191,31.8,15.82,5.03,0.1,0.31,18.4,27,7,8,60.7,54.5,0.09,5.3,4.5,/en/squads/e0652b02/2018-2019/Juventus-Stats
30,38,54,606,182,30.0,15.95,4.79,0.08,0.26,18.2,22,6,6,60.4,55.8,0.09,-6.4,-7.8,/en/squads/7213da33/2018-2019/Lazio-Stats
23,38,51,582,192,33.0,15.32,5.05,0.08,0.25,19.6,19,3,4,48.8,45.7,0.08,2.2,2.3,/en/squads/dc56fe14/2018-2019/Milan-Stats
26,38,73,702,231,32.9,18.47,6.08,0.1,0.3,19.5,23,3,4,61.8,58.8,0.08,11.2,11.2,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
31,38,40,350,105,30.0,9.21,2.76,0.1,0.34,19.1,19,4,5,40.2,36.3,0.11,-0.2,-0.3,/en/squads/eab4234c/2018-2019/Parma-Stats
26,38,65,616,210,34.1,16.21,5.53,0.1,0.28,17.1,15,6,6,64.4,59.6,0.1,0.6,-0.6,/en/squads/cf74a709/2018-2019/Roma-Stats
28,38,44,454,129,28.4,11.95,3.39,0.08,0.29,18.2,15,7,8,43.9,37.7,0.08,0.1,-0.7,/en/squads/1d2fe027/2018-2019/SPAL-Stats
24,38,60,475,166,34.9,12.5,4.37,0.11,0.3,19.9,20,10,12,50.5,41.8,0.09,9.5,8.2,/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats
29,38,50,507,150,29.6,13.34,3.95,0.09,0.3,19.8,21,5,5,48.5,44.6,0.09,1.5,0.4,/en/squads/e2befd26/2018-2019/Sassuolo-Stats
25,38,50,513,175,34.1,13.5,4.61,0.09,0.26,18.7,26,5,6,46.6,41.9,0.08,3.4,3.1,/en/squads/105360fe/2018-2019/Torino-Stats
31,38,37,455,119,26.2,11.97,3.13,0.07,0.29,20.7,12,3,8,42.5,36.0,0.08,-5.5,-2.0,/en/squads/04eea015/2018-2019/Udinese-Stats
